,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,ingredients_origins,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,packaging,manufacturing,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,markets,palm_ingredients,link
1047,Coeur de soja,3760235211479,,['France'],[],[],?,347,1452 kj(347 kcal),"7,3","1,2","12,7","6,7","48,5","0,05","0,02",,,,"['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,Médaillons de soja - Hello Bio - 500g,3760235211820,['Hello Bio'],['France'],['100% soja biologique déshuilé'],[],?,347,1452 kj(347 kcal),3,"0,4",20,7,52,"0,12","0,048",,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés']","['Bio', 'Bio européen', 'Sans gluten', 'FR-BIO-10']",,3 g,en quantité modérée,0.4 g,en faible quantité,7 g,en quantité modérée,0.12 g,en faible quantité,,+50%,+55%,-69%,-75%,+30%,+173%,+333%,-76%,-76%,,,,,,,,,,,['Sachet'],,,0,,B,,,,,
1049,Dattes -,3760235280048,,['France'],[],[],?,295,1234 kj(295 kcal),"< 0,5","< 0,5",66,64,"2,3","0,025","0,01",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",,['Algérie'],0.5 g,en faible quantité,0.5 g,en faible quantité,64 g,en quantité élevée,0.025 g,en faible quantité,,-1%,-1%,+77%,+910%,-4%,+9%,+6%,+15%,+15%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,7,+43%,C,+43%,,,,
1050,Pate de Datte,3760235280093,,['France'],[],[],?,262,1096 kj(262 kcal),"0,63",0,"60,85",0,"1,7","17,02","6,808",C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits', 'Pâtes de fruits', 'Dattes', 'Pâtes de dattes']",,,0.63 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,,-7%,-8%,+38%,-100%,-7%,-100%,-26%,+115682%,+115682%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,7,+94%,C,+94%,,,,
1051,Ô'vert énergie,3760235380663,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Cashew and Cranberries,3760235382087,,['France'],[],[],?,465,1946 kj(465 kcal),24,5,60,36,8,,,,,,['Sans sucre ajouté'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,NUTSERY POWER FRUITS MIX,3760235382131,,['France'],[],[],?,359,1502 kj(359 kcal),8,5,61,61,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,Nutsery exclusive fitness mix,3760235382148,,['France'],[],[],?,507,2121 kj(507 kcal),29,9,45,43,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Noix de Pécan Noix de coco,3760235382254,,['France'],[],[],?,616,2577 kj(616 kcal),53,10,29,15,"7,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,Spray Huile Olive Ve Nature 250ML,3760235460006,,['France'],[],[],?,822,3439 kj(822 kcal),"91,1",14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
