,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,ingredients_origins,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,packaging,manufacturing,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,markets,palm_ingredients,link
0,100% MOULIN - Food Méditerranéen,3760197500673,['Food Méditerranéen'],['France'],"['GrosSel de Méditertenéè/arônfe naturel de iatat*ttte', 'thym', ""échalote Food Méditerranée -Zi Athélia 515 avenuéd'l?giahant""]",[],?,0,0 kj(0 kcal),0,0,0,0,"0,1",10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sel de camargue - Notre terre - 250g,3760197502271,['Notre terre'],['France'],[],[],?,10,42 kj(10 kcal),"0,09",0,2,"1,5","0,5",88,"35,2",B,250g,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels non raffinés', 'Sel de Camargue', 'Sels des marais salants']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],0.09 g,en faible quantité,0 g,en faible quantité,1.5 g,en faible quantité,88 g,en quantité élevée,,+233%,+200%,-9%,-100%,+368%,+694%,+223%,+31%,+31%,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,
2,Sirop bio à la aromatisation naturelle de citron - Notre Terre,3760197502318,['Notre Terre'],['France'],[],[],?,248,1038 kj(248 kcal),"0,05",0,"61,5",59,"0,2",,,B,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",['Bio'],,,,,,,,,,,+18%,+16%,-60%,-100%,+18%,+19%,+57%,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,,,
3,Sel de Camargue - Notre Terre - 650g,3760197502615,['Notre Terre'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,100,40,B,650g,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sel de Camargue']",,['France'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,100 g,en quantité élevée,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,+49%,+49%,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,,,,,,,
4,Sel du boucher,3760197503285,,['France'],[],[],?,7,29 kj(7 kcal),0,0,"1,5","1,4","0,3",95,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Vinaigre balsamique saveur truffe - Le Temps Des Mets,3760197509652,['Le Temps Des Mets'],['France'],[],[],?,88,368 kj(88 kcal),0,0,"17,1",15,"0,5","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,195G 20 Mini Croq. fondant Saumon Labeyrie,3760197630141,['Labeyrie'],['France'],"['Eau', 'pain de mie 28%* [farine de blé ', 'farine de blé', 'gluten de blé', 'farine de blé malté', 'agent de traitement de ta farine : acide ascorbique', 'eau', 'en poudre', 'levure', ""huile d'olive vierge extra"", 'sel', ""émulsifiants : mono- et diglycérides d'acides gras"", 'E472e ', ' agent de traitement de la farine : acide ascorbique', 'râpé', 'saumon ', 'salmo salar', ' 10%*', 'beurre', 'farine de blé', 'lait entieren poudre', 'saumon fumé 1 ', 'salmo salar', 'l sel]', 'jus de citron', 'persil', 'sel', 'paprika 0', '2%*', 'poivre', ' *Pourcentages exprimés sur le mini croque saumon', ' Les informations soulignées dans la liste des ingrédients et reprises ci-dessous sont destinées aux personnes allergiques : CONTIENT : céréales contenant du gluten', 'lait', 'poissons', ' PEUT CONTENIR des traces de : crustacés', 'œufs', 'soja', 'fruits à coque ', 'noix', 'noisettes', 'amandes', 'pistaches', 'céleri', 'moutarde', 'graines de sésame', 'sulfites', 'mollusques']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,222,929 kj(222 kcal),11,"9,3",20,"1,7","9,4","0,91","0,364",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]","['Poisson', 'Gluten', 'Lait']",4,,,,,,,,,,,
7,Le plaisir aux noix - Labeyrie,3760197630172,['Labeyrie'],['France'],[],[],?,470,1966 kj(470 kcal),17,"6,1",71,33,6,"0,26","0,104",,,"['Surgelés', 'Biscuits et gâteaux', 'Gâteaux et pâtisseries surgelés']",,,17 g,en quantité modérée,6.1 g,en quantité élevée,33 g,en quantité élevée,0.26 g,en faible quantité,,+40%,+39%,-1%,-33%,+83%,+30%,+19%,-5%,-5%,,,,,,,,,,,"['Carton', 'Surgelé']",['France'],"['FR 82.033.006 CE', 'Castelsarrasin (Tarn-et-Garonne, France)']",19,+21%,E,+21%,,,,
8,Désir abricots-praliné - Lenôtre,3760197630332,"['Lenôtre', 'Labeyrie']",['France'],[],[],?,255,1067 kj(255 kcal),"12,3","6,8",31,"19,4","4,2","0,13","0,052",,,"['Desserts', 'Surgelés', 'Desserts glacés']",,,12.3 g,en quantité modérée,6.8 g,en quantité élevée,19.4 g,en quantité élevée,0.13 g,en faible quantité,,+26%,+26%,+45%,+24%,+10%,-18%,+73%,+8%,+8%,,,,,,,,,,,"['Carton', 'surgelé']","['Castelsarrasin', 'France']","['FR 82.033.006 CE', 'Castelsarrasin (Tarn-et-Garonne, France)']",13,+15%,D,+15%,,,,
9,Tarte au fraise,3760197630356,,['France'],[],[],?,192,803 kj(192 kcal),"5,3",3,"32,4",18,"3,1","0,18","0,072",C,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Biscuit sec nappé aux fruits', 'Tartes aux fraises']",,,5.3 g,en quantité modérée,3 g,en quantité modérée,18 g,en quantité élevée,0.18 g,en faible quantité,,+1%,+0%,-23%,-20%,+9%,+12%,+8%,-22%,-22%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,,,,,,,6,-24%,C,-24%,,,,
10,Mini succes aux noix,3760197630608,,['France'],[],[],?,447,1870 kj(447 kcal),25,"7,3","44,6","32,6","9,4","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Mini mezze à l'Orientale - Blini,3760197630707,['Blini'],['France'],[],[],1141,?,1141 kj(273 kcal),18,,"15,4",,"11,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Coffret variations fromagères, mini feuilletés  - Blini - 355g (30unités env)",3760197630943,['Blini'],['France'],"[""- Allumette feuilletée garnie d'une préparation à base de fromage emmental râpé "", '23%', ' : Pâte feuilletée ', '63%*', ' - Garniture ', '37%*', ' : eau,farine de blé', 'margarine ', 'huiles et graisses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant : mono- et  diglycérides d'acide gras"", ""correcteur d'acidité : acide citrique"", 'fromage emmental râpé 6', '4%*', 'préparation déshydratée pour sauce -_lactosérum', 'amidon modifié', 'lait entier en poudre', 'sel', 'épaississant : gomme xanthane', 'poivre noir', 'muscade', 'fromage parmesan râpé', 'sel', 'oeuf entier en poudre', 'épaississant : méthylcellulose', 'arôme naturel', ""\r- Mini feuilleté apéritif garni d'une préparation à base de fromage de chèvre et de basilic "", '23%', ' : Pâte feuilletée ', '63%*', ' aux herbes de Provence - Garniture ', '37%*', ' : eau,farine de blé', 'margarine ', 'huiles et graisses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant : mono- et  diglycérides d'acide gras"", ""correcteur d'acidité : acide citrique"", 'fromage de chèvre  15%*', 'préparation déshydratée pour sauce -_lactosérum', 'amidon modifié', 'lait entier en poudre', 'sel', 'épaississant : gomme xanthane', 'poivre noir', 'muscade', 'sel', 'basilic', '0', '6%*', 'herbes de Provence 0', '3%*', 'thym', 'basilic', 'origan', 'marjolaine', 'serpolet', 'romarin', 'sariette', 'oeuf entier en poudre', 'arôme naturel ', 'contient du lait', ""épaississant : méthylcellulose,\r- Mini feuilleté garni d'une préparation à base de fromage mozzarella "", '22%', ' : Pâte feuilletée ', '58%*', ' - Garniture ', '42%*', ' : farine de blé', 'purée de tomate', 'margarine ', 'huiles et graisses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant : mono- et  diglycérides d'acide gras"", ""correcteur d'acidité : acide citrique"", 'fromage mozzarella 12%*', '_lait_de vache ', 'sel', 'ferments lactiques', ""correcteur d'acidité : acide citrique"", 'anti-agglomérant ', ' amidon', ""huile d'olive vierge extra"", 'sel', 'basilic', 'amidon modifié', 'oeuf entier en poudre', 'sucre', ""\r- Mini-panier feuilleté garni d'une préparation à base de pomme et de fromage Camenbert"", '16%', ' ', ' Pâte feuilletée ', '57%*', ' - Garniture ', '43%*', ' : eau,farine de blé', 'margarine ', 'huiles et graisses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant : mono- et  diglycérides d'acide gras"", ""correcteur d'acidité : acide citrique"", 'pomme 12%* ', 'pommes 99%', 'antioxydants : acide citrique', 'acide ascorbique', 'fromage Caenbert 8', '7%*', 'préparation déshydratée pour sauce -_lactosérum', 'amidon modifié', 'lait entier en poudre', 'sel', 'épaississant : gomme xanthane', 'poivre noir', 'muscade', 'sel', 'chapelure ', 'farine de blé', 'eau', 'sel', 'levure', 'oeuf entier en poudre,', 'préparation à base de pomme 0', '2%* ', 'pomme 90%', 'huile de colza', 'cannelle', 'conservateur : anhydride sulfureux', ""\r- Carré feuilleté garni d'une préparation à base de fromage Roquefort fondu "", '16%', ' ', ' Pâte feuilletée ', '59%*', ' - Garniture ', '41%*', ' : eau,farine de blé', 'margarine ', 'huiles et graisses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant : mono- et  diglycérides d'acide gras"", ""correcteur d'acidité : acide citrique"", 'fromage Roquefort fondu 15%* ', 'Roquefort 50%', 'eau', 'amidon modifié', 'sel de fonte', ' : citrate de sodium', 'préparation déshydratée pour sauce -_lactosérum', 'amidon modifié', 'lait entier en poudre', 'sel', 'épaississant : gomme xanthane', 'poivre noir', 'muscade', 'raisins secs ', 'raisins', 'huilede tournesol', 'graines de pavot', 'sel', 'oeuf entier en poudre', '\r* Pourcentages exprimés sur chaque mini feuilletés']","['Huile de palme', 'Non végétalien']",?,277,1159 kj(277 kcal),"16,6","8,6",25,"3,3","6,3","1,52","0,608",,355 g (30 unités env),"['Surgelés', 'Entrées et snacks surgelés']","['Point Vert', 'Triman']",,16.6 g,en quantité modérée,8.6 g,en quantité élevée,3.3 g,en faible quantité,1.52 g,en quantité élevée,,+24%,+24%,+30%,+36%,+57%,+7%,-25%,+45%,+45%,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E461 - Méthylcellulose', 'E300 - Acide ascorbique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium']","['Œufs', 'Gluten', 'Lait', 'Caenbert', 'Camenbert']",4,"['Boîte', 'Carton', 'Surgelé']","['Le Neubourg', 'Eure', 'France']","['FR 27.428.003 CE', 'Neubourg (Eure, France)']",9,-1%,C,-1%,"Mises en bouche apéritive, Mini feuilletés 5 fromages",['Super U'],['Huile de palme'],
13,Tarte au Fraises - Labeyrie,3760197631810,['Labeyrie'],['France'],"['@Tarte aux fraises ', '34', '8%', ' et à la crème pâtissière vanillée ', '31', '8%', ' sur une pâte sablée ', '27', '3%', ' pur beurre', 'cuite', 'surgelée', ' Ingrédiene : FraÉes enrobées 34%* ', 'fraises 99%', 'épaississanŒ : gomme guar', 'gomme xanthane ', ' amidon modifié', 'sirop de glucose', 'anüoxydant : acide ascorbique', 'arôme fraise', 'eau', 'farine de préparation pour crème pâtissière 5,8%* ', 'dextrose', 'amidon modifié', 'lactosérum en poudre', 'lgjg entier en poudre', 'gélifianŒ : dphosphates', 'carraghénanes', 'alginate de sodium', 'farine de graines de cnube', 'phosphates de sodium', 'gomme xanffane', 'sulfate de calcium ', ' émulsifianŒ : E472a', 'E472b ', ' sirop de glucose déshgdraélü écrémé en poudre', 'beurre concentré 4%* ', 'soit 470* en beurre reconsütué', 'oeuf', 'sirop de glucose et de fructose', 'JÜ écrémé en poudre', 'arôme naturel de fraise', 'poudres à lever : diphosphates', 'carbonates de sodium ', 'confient blé', ' ', ' gélifiants : pectines', 'carraghénanes ', ' sel', 'arôme namrel de vanille', 'coloranŒ : rouge de betterave', 'caroténoïdes ', ' cacao maigre en poudre']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,192,803 kj(192 kcal),"5,3",3,"32,4",18,"3,1","0,18","0,072",C,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Biscuit sec nappé aux fruits', 'Tartes aux fraises']",['Pur beurre'],,5.3 g,en quantité modérée,3 g,en quantité modérée,18 g,en quantité élevée,0.18 g,en faible quantité,,+1%,+0%,-23%,-20%,+9%,+12%,+8%,-22%,-22%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,"['E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E401 - Alginate de sodium', ""E472a - Ester diacétyl-acétique d'acides gras"", ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E440 - Pectines', 'E162 - Rouge de betterave', 'E160 - Caroténoïdes']","['Œufs', 'Lait']",4,,,,1,-87%,B,-87%,,,,
14,Ma tatin gourmande - Labeyrie,3760197631841,['Labeyrie'],['France'],"['Tarto tatln aux pommes ot au caramel b ta vaniltc Bourbon ', 't 3%', 'sur poto sabléo pur bourro ', '29%', 'cuito', 'surgctéc', 'Ingrédlcnts : Pommes 56%/1 ', 'pommes 99%', 'antioxydants ', ' acide citrique', 'acide ascorbique', 'farine do blé', 'caramel aromatique ', 'sucre', 'sirop de glucose et de fructose', 'eau', 'sucre', 'concentré ', 'soit cn reconstitué', 'amidon', 'Iqcco$érum cc protéines de bic', 'poudres d lever diphosphates', 'carbonates do sodium ', 'contient blé', ' ', "" malt d'orge"", 'vanille Bourbon en poudre', 'sel', ' Pourcentages exprimés sur ta tarte', ""Les informations soulignées dans la liste d'ingrédients ct reprises ci-dessous sont destinées aux personnes allergiques CONTIENT : contenant du gluten"", 'Lait et Œufs', 'PEUT CONTENIR DES TRACES DE : soja ct fruits coque ', 'amandes', 'noix', 'noisettes et pistaches', ',']",['Non végétalien'],?,213,891 kj(213 kcal),"6,6","3,8","34,8","17,1","2,7","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E502 - Carbonates']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,
15,Parmentier de canard,3760197632374,,['France'],[],[],?,137,573 kj(137 kcal),"7,6","4,6",11,"1,5","5,7","0,71","0,284",D,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au canard', 'Parmentiers de canard']",,,7.6 g,en quantité modérée,4.6 g,en quantité modérée,1.5 g,en faible quantité,0.71 g,en quantité modérée,,-3%,-3%,-1%,+26%,+14%,-7%,-20%,-9%,-9%,78.8%,12.8%,2.6%,3.3%,1.4%,1.0%,46,,,,,,,5,+69%,C,+69%,,,,
16,"2 Fajitas «à la Texane» Poulet, poivrons & sauce Barbecue - Blini - 200g",3760197632411,['Blini'],['France'],"['Garniture à base de viande poulet cuite', 'de poivrons et de maïs 44% : viande de poulet cuite 27% ', 'viande de poulet 99%', 'sel', 'purée de tomate', 'poivrons rouges grillés 11% ', 'poivrons rouges 98%', 'huile de tournesol', 'frommage emmental râpé', 'maïs 7,6%', 'poivrons jaunes grillés 5,9% ', 'poivrons jaunes 98%', 'huile de tournesol', 'eau', 'préparation déshydratée pour sauce ', 'lactosérum', 'amidon modifié', 'lait entier en poudre', 'sel', 'épaississant: gomme xanthane', ' poivre', 'muscade', ""huile d'olive vierge extra"", 'épices 0,6% ', 'paprika', 'coriandre', 'curry', 'cumin', 'piment', 'huile de tournesol', ""correcteur d'acidité: acide lactique"", ' sucre', ""piment d'Espelette"", '\rTortilla de blé 40% : farine de blé', 'eau', 'huile de colza', 'stabilisant : glycérol', ' sel', ""émulsifiants: mono- et diglycérides d'acides gras"", 'E472e', ' poudre à lever : diphosphates', 'carbonates de sodium', ' sucre', ""correcteurs d'acidité : acide malique"", 'acide citrique', '\rSauce Barbecue 16% : oignon', 'ketchup 34% ', 'purée de tomate', 'sirop de glucose-fructose', ""vinaigre d'alcool"", 'sucre', 'sel', 'amidon modifié', 'arôme', 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'vinaigre de Xérès 2,7% ', 'vinaigre de Xérès', 'conservateur : sulfite acide de potassium', 'ail', 'sel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",831,?,831 kj(199 kcal),"6,1","2,4","26,6","2,7","7,7","1,42","0,568",B,200g,"['Surgelés', 'Plats préparés', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes', 'Fajitas']",,,6.1 g,en quantité modérée,2.4 g,en quantité modérée,2.7 g,en faible quantité,1.42 g,en quantité modérée,,,+24%,+40%,+114%,+25%,-8%,+24%,+1%,+1%,63.7%,14.4%,4.4%,5.6%,2.5%,9.4%,68,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E270 - Acide lactique', 'E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E296 - Acide malique', 'E330 - Acide citrique', 'E228 - Sulfite acide de potassium', '', 'Risque élevé de sur-exposition']","['Lait', 'Moutarde']",4,"['Carton', 'Surgelé']",['France'],"['FR 27.428.003 CE', 'Neubourg (Eure, France)']",6,+170%,C,+170%,"2 fajitas garnies de viande de poulet cuite, de poivrons, accompagnés d'une sauce barbecue (16%) - surgelées à réchauffer.",['Simply Market'],,
17,Omelette norvegienne - Labeyrie,3760197632435,['Labeyrie'],['France'],[],[],?,255,1067 kj(255 kcal),7,4,"44,5","36,8","3,6","0,1","0,04",,,"['Surgelés', 'Biscuits et gâteaux', 'Gâteaux et pâtisseries surgelés']",,,7 g,en quantité modérée,4 g,en quantité modérée,36.8 g,en quantité élevée,0.1 g,en faible quantité,,-24%,-24%,-59%,-56%,+15%,+45%,-29%,-63%,-63%,,,,,,,,,,,['Surgelé'],['France'],"['EMB 25228', 'Étupes (Doubs, France)']",14,-11%,D,-11%,,,,
18,Succès aux Noix - Sans marque - 410g e,3760197632596,['Sans marque'],['France'],"['Mousse aux noix 55% : Lait entier', 'beurre', 'sucre glace', 'préparation pour crème pâtissière ', 'sucre', 'amidon modifié', 'crème en poudre', 'dextrose', 'gélifiant : alginate de sodium', 'colorant : caroténoïdes', 'arôme naturel de vanille', 'sel', 'amandes 6,5%*', 'noix 6,5%*', 'Porto rouge', ' *Pourcentages exprimés sur la mousse', '\rMacarons moelleux 43% : eau', 'amandes 28%*', 'sucre glace', 'sucre', ""blanc d'œuf en poudre "", ""blanc d'œuf"", 'correcteur d’acidité : acide citrique', 'agent moussant : E1505', 'amandes amères 0,2%*', ' *Pourcentages exprimés sur les macarons', '\rDécor 2% : amandes effilées 100%*', '*Pourcentage exprimé sur le décor']",['Non végétalien'],1791,?,1791 kj(428 kcal),27,"12,1","35,6",35,"8,9","0,22","0,088",,410 g e,"['Snacks', 'Desserts', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Gâteaux et pâtisseries surgelés', 'Succès aux noix']","['Point Vert', 'Fabriqué en France']",,27 g,en quantité élevée,12.1 g,en quantité élevée,35 g,en quantité élevée,0.22 g,en faible quantité,+24%,,+27%,+57%,+32%,-8%,+38%,+76%,-19%,-19%,,,,,,,,"['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E160 - Caroténoïdes', 'E330 - Acide citrique', 'E1505 - Citrate de triéthyle']","['Œufs', 'Lait', 'Fruits à coque']",4,"['Sachet', 'Plastique', 'Carton', 'Surgelé', 'Boîte']",['France'],,21,+34%,E,+34%,Mousse aux noix entre deux macarons moelleux,['Dia'],,
19,Panier ris de veau,3760197632633,,['France'],[],[],?,272,1138 kj(272 kcal),"15,9","9,3","25,8","2,2",6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Les eclairs patissiers chocolat noir x4,3760197632749,,['France'],[],[],?,267,1117 kj(267 kcal),"11,4","5,5",35,"17,2","5,2","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Les eclairs patissiers facon cappuccino x4 - Labeyrie,3760197632763,['Labeyrie'],['France'],"[""8 ECLAIRS GARNIS D'UNE CRÈME PÂTISSIÈRE SURGELÉS"", ' CRÈME U LAIT ET AU CAFÉ PÂTISSIÈRE AU LAIT ET AU CAFÉ 44% - PÂTE À CHOUX PUR BEURRE 38%', ' INGRÉDIENTS Eau', 'lait entier 21%*', 'oeuf entier', 'Fréparation pour crème pâtissière 11%* ', 'sucre', 'amidon modifié', 'crème en poudre', 'dextrose', 'épaississant : alginate de sodium', 'sel', 'arôme naturel de vanille', 'colorant : caroténoïdes', 'sucre', 'farine de blé', 'beurre pâtissier 5,1 ', 'soit 6,2%* en beurre reconstitué', 'sirop de glucose', 'stabilisants : sirop de sorbitol', 'glycérol ', ' chocolat ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'lait entier en poudre', 'matière grasse de lait anhydre', 'arôme naturel de vanille', 'extrait de café 0,5%* ', 'eau', 'café 32%', 'sucre', 'amidon', 'épaississants : pectine', 'agar agar ', ' arôme cappuccino', 'sel', 'poudres à lever : diphosphates', 'carbonates de sodium acidifiant : E334', 'émulsifiant : lécithine de soja', "" * Pourcentages exprimés sur l'éclair"", ' Les informations soulignées dans la liste des ingrédients et reprises ci-dessous sont destinées aux personnes allergiques : CONTIENT : Céréales contenant du gluten', 'Lait', 'Œuf et Soja', ' PEUT CONTENIR DES TRACES DE : Céleri', 'Fruits à coque', 'Lupin et Poisson']",['Non végétalien'],?,263,1100 kj(263 kcal),"10,3",5,"37,8","19,5","4,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E401 - Alginate de sodium', 'E160 - Caroténoïdes', 'E420ii - Sirop de sorbitol', 'E422 - Glycérol', 'E440 - Pectines', 'E406 - Agar-agar', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E334 - Acide L-tartrique', 'E322i - Lécithine']","['Œufs', 'Gluten', 'Lait', 'Soja']",4,,,,,,,,,,,
22,Feuilletés croustillants tomate mozzarella - Blini,3760197632770,['Blini'],['France'],"['Pâte feuilletée 61 % : Farine de blé', 'margarine ', 'matières grasses végétales de palme et de colza', 'eau', 'sel', 'mono - et diglycérides d’acides gras ', "" correcteur d'acidité : acide citrique"", 'eau', 'sel', ""jaune et blanc d'oeuf"", ' \rGarniture tomates mozzarella 39% : Purée de tomates 67%*', 'courgettes', 'fromage mozzarella 8', '1% ', 'lait de vache', 'sel', 'ferments', ""correcteur d'acidité: acide citrique "", ' antiagglomérant: amidon de pomme de terre', 'amidon modifié', 'fromage parmesan râpé', ""huile d'olive vierge extra"", 'basilic 0', '9%', 'sucre', 'ail', 'sel \r*Pourcentages exprimés sur la garniture', ' \rCONTIENT : céréales contenant du gluten', 'Oeuf et lait', ' \rPEUT CONTENIR des traces de : crustacés', 'poisson', 'fruits à coque', 'céleri', ' moutarde', 'graines de sésame et mollusques']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,263,1100 kj(263 kcal),"15,6","8,6","24,8","2,5","4,8","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E14XX - Amidons modifiés']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,
23,Feuilletés croustillants - Blini - 360g + 360g,3760197632787,['Blini'],['France'],"[""Pâte feuilletée 61%* garnie d'une préparation à base de colin d'Alaska et de thym : Chair de colin d'Alaska 35%* "", 'Theragra Chalcogramma', 'farine de blé', 'margarine ', 'matières grasses végétales de palme et de colza', 'eau', 'sel', ""émulsifiant mono - et diglycérides d'acides gras "", "" correcteur d'acidité : acide citrique"", 'eau', 'préparation déshydratée pour sauce ', 'lactosérum', 'amidon modifié', 'lait entier en poudre', 'sel', 'épaississant : gomme xanthane ', ' poivre', 'muscade', 'sel', ""huile d'olive vierge extra 0,8%*"", 'persil 0,4%*', ""jaune et blanc d'euf"", 'thym 0,08%*', "" *Pourcentages exprimés sur l'entrée feuilletée garnie"", ' Les informations soulignées dans la liste des ingrédients et reprises ci-dessous sont destinées aux personnes allergiques : CONTIENT : céréales contenant du gluten', 'œuf', 'poissons et lait', ' PEUT CONTENIR DES TRACES DĚ : crustacés', 'céleri', 'fruits à coque ', 'amandes', 'noix', 'noisettes', 'pistaches', 'moutarde', 'graines de sésame et mollusques']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,266,1113 kj(266 kcal),15,"7,9","22,4","1,5","9,7","1,4","0,56",,360 g + 360 g,['Surgelés'],,,15 g,en quantité modérée,7.9 g,en quantité élevée,1.5 g,en faible quantité,1.4 g,en quantité modérée,,+55%,+54%,+101%,+117%,+15%,-86%,+94%,+246%,+246%,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane']","['Œufs', 'Poisson', 'Gluten', 'Lait']",4,"['Surgelé', 'Carton', 'Plastique']",,"['FR 27.428.003 CE', 'Neubourg (Eure, France)']",16,+178%,D,+178%,Feuilletés croustillants,['Leclerc'],,
