,name,bar_code,eco_score,quantity,packaging,brand,categories,manufacturing,traceability_code,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,markets,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,palm_ingredients,brand_owner
10,Pack de 12 bouteilles de Leffe blonde de 25 cl - 12x 25cl,5410228225348,C,12 x 25 cl,"['Carton', 'bouteille verre', 'Capsule']",['Leffe'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,,['France'],[],,[],,?,,?,,,,?,,,,?,,,,?,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,Bière blonde,,
11,Leffe Blonde - 4x 25cl,5410228225768,C,4 x 25 cl,"['Carton', 'Bouteilles', 'Verre']",['Leffe'],"['Boissons', 'Boissons alcoolisées', 'Bières', ""Bières d'abbayes"", 'Bières belges', 'Bières blondes']",,,['France'],"['Eau', ""malt d'orge"", 'maïs', 'orge', 'sucre', 'houblon']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,?,,,,?,,,,?,,,,?,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Déconseillé aux femmes enceintes'],,['Carrefour Market'],,,,,,,,,,,,,,,,,
12,Leffe Winter Amber 33 CL Fles,5410228238058,C,33 cl,,['Leffe'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,['France'],[],,[],,?,,58,+32%,243 kj(58 kcal),+31%,0,-100%,0,-100%,"5,4",+39%,"0,7",-23%,"0,4",0%,"0,1",+529%,"0,04",+529%,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,
13,Leffe d'été - 6 * 25cl,5410228243847,C,6 * 25 cl,"['Verre', 'Bouteille', 'Carton']",['Leffe'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",,,['France'],"['eau', ""malt d'orge"", 'maïs', 'orge', 'sucre', 'houblon']",['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,,47.2,+15%,198 kj(47 kcal),+14%,0,-100%,0,-100%,"4,32",+24%,"0,52",+7%,"0,36",-12%,"< 0,04",+161%,"0,016",+161%,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,['Magasins U'],,,,,,,,,,,,,,,,,
14,Leffe d'été,5410228246237,,,,['Leffe'],,,,['France'],[],,[],,?,,198,,828 kj(198 kcal),,0,,0,,"4,3",,"0,5",,"0,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Préparation pour pudding sans cuisson - Dr.Oetker,5410231063425,,,['Produkt'],['Dr.Oetker'],,,,"['Belgique', 'France']",[],,[],,?,,131,,548 kj(131 kcal),,"1,5",,"0,9",,16,,13,,"2,9",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pancakes Dr. Oetker - 400gr,5410231065825,,400 gr,,['Dr.Oetker'],,,,"['Belgique', 'France']","['farine de BLÉ', 'sucre', 'agents levants ? 575', 'E 501', ""farine d'AVOlNE"", 'sel', 'arôme', 'Peut contenir des traces et de LAIT,']","['Gluten', 'Lait']",[],4,?,,198,,828 kj(198 kcal),,"3,4",,"0,9",,35,,7,,"6,9",,"0,44",,"0,176",,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,['E501 - Carbonates de potassium'],,,
17,Jus de citron,5410233710105,D,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",,,['France'],[],,[],,?,,22,-19%,92 kj(22 kcal),-18%,"0,1",-30%,"0,06",+365%,1,-72%,"0,9",-46%,"0,3",-11%,"0,02",+123%,"0,008",+123%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,0.1 g,en faible quantité,0.06 g,en faible quantité,0.9 g,en faible quantité,0.02 g,en faible quantité,-5,,B,,,,,
18,Duo crabe et crevette - Captain Byrd - 200g,5410238001154,D,200 g,['Conserve'],['Captain Byrd'],"['Conserves', 'Produits de la mer', 'Crustacés', 'Crevettes', 'Crabes', 'Crabe en conserve']",['Belgique'],['BE VE 6025 EC'],['France'],"['Chair de crabe 80%', 'crevettes 20%', 'eau', 'sucre', 'sel', 'exhausteur de gout : E621', ""correcteur d'acidité : E330"", 'conservateurs : E223', 'E385', 'stabilisants : E450', 'E451', 'E452', ' Contient sulfites']","['Crustacés', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,"231,2",-23%,54.4,-49%,"231,2 kj(54 kcal)",-43%,< 1,-55%,,,< 1,-81%,,,"13,6",+14%,,,,,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,['Leclerc'],,1 g,en faible quantité,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E385 - Éthylène diamine tétra-acétate de calcium disodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",,,
19,Crabe royal,5410238904653,,,,,,,,['France'],[],,[],,?,,72,,301 kj(72 kcal),,"2,7",,"0,1",,"0,6",,"0,6",,11,,"1,1",,"0,44",,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,
