,name,bar_code,eco_score,quantity,packaging,brand,categories,manufacturing,traceability_code,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,markets,link,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,palm_ingredients,brand_owner
269,Frigotartinable légèrement salé - Carlsbourg - 500g,5411156010068,E,500 g,"['Barquette', 'Plastique', 'Frais']","['Carlsbourg', 'Corman', 'Savencia']","['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres allégés']",,['IE 1023 EC'],"['Belgique', 'France']","['Beurre', 'eau', 'sel', 'protéines de lait']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,2234,+25%,543,+23%,2234 kj(543 kcal),+24%,60,+29%,36,+20%,"0,5",-81%,"0,5",-45%,"0,4",-28%,"0,8",-13%,"0,32",-13%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,"['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse', 'Sans additifs']",,,,60 g,en quantité élevée,36 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,18,+2%,D,+2%,,Beurre à teneur réduite en matière grasse,,
270,SOYA YOFU PECHE MANGUE - Provamel,5411188080749,,,,['Provamel'],,,,['France'],"['eau', 'feves de soja décortiquées* ', '9,701', 'sucre de canne roux*', 'pêche* ', '5,800', 'mangue* ', '0/900', 'jus de citron* à base de concentre stabilisant ', 'pectino', 'arôme naturel', 'sel marin', ""correcteur d'acidité "", 'acide citrique', 'ferments de yaourt ', 'S', ' thermophilus', 'L', ' bulgaricus', ' Naturellement sans lactose et sans aluten', ""issus de l'agriculture biologique Peut contenir des traces de fruits""]",,[],4,?,,71,,297 kj(71 kcal),,2,,"0,4",,"8,4",,8,,"3,6",,"0,2",,"0,08",,,,,,,,,"['Bio', 'en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,
271,Soja Dessert Caramel - Provamel,5411188091448,,,,['Provamel'],,,,['France'],"[""'"", ' eau', 'sirop de blé*', 'fèves de soja dé - cortiquées? ', '6%', 'amidon de blé*', 'sauce caramel* ', '2%', ' ', 'eau', 'sucre de canne roux*', 'arôme naturel', 'sucre de canne roux caramélisé* ', 'épaississant ', 'carraghénanes', 'sel marin', "" = issus de l'agriculture biologique Sans lactose et sans gluten""]",,[],,?,,109,,456 kj(109 kcal),,"1,8",,"0,3",,"20,1",,"13,7",,3,,"0,06",,"0,024",,,,,,,,,"['Bio', 'en:gluten-free', 'Arômes naturels', 'Sans lactose']",,,,,,,,,,,,,,,,,,,
272,Boisson Au Soja Chocolat Bio - 250ML - Provamel,5411188092612,,,,['Provamel'],"['Boissons', 'Boissons avec sucre ajouté']",,,['France'],"[""hulled soya bens• Cane sugar&i fat reduced cocoa' sa salt"", 'stabiliser', 'lcl ust bean gum', ""t bourbon vanilta extract*€ Natyrpllyusyose 'Chiite Sojabo nen* roher Rohrzucker*"", 'Magerkakao* ', '1,3%', 'Mœ%ùiz', 'Stabilisat r ', 'Johannisbrotkernmehl', 'Bourbon Vanilleextrakt•', ' osschem Anba Von Natur aus gluten• und laktosefrei', ' soja onen* ruwe rietsuiker*e magere cacao* stabilisatc ', 'johannesbroodpitmeel', 'i bourbon de soji décortiquées* ', '7,8%', 'sucre de canne roux*', 'cacao 6', 'choc marin', 'stabilisant ', 'farine de graines de caroube', 'extrait de']",,[],4,?,,67,-21%,280 kj(67 kcal),-24%,"2,2",+487%,"0,6",+261%,"8,1",-59%,"7,9",-57%,"3,4",+531%,"0,14",+274%,"0,056",+274%,,,,,,,,"['Bio', 'en:gluten-free', 'Sans lactose']",,,,2.2 g,en quantité modérée,0.6 g,en faible quantité,7.9 g,en quantité élevée,0.14 g,en faible quantité,15,+26%,E,+26%,['E410 - Gomme de caroube'],,,
273,Boisson Au Soja Banane Bio - - Provamel,5411188095545,,,,['Provamel'],,,,['France'],[],,[],,?,,78,,326 kj(78 kcal),,?,,"0,4",,?,,"9,2",,"3,8",,"0,15",,"0,06",,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,
274,Soya Calcium - Provamel - 250ml,5411188095682,,250 ml,['stück'],['Provamel'],,,,['France'],[],,[],,?,,45,,188 kj(45 kcal),,?,,"0,4",,?,,"2,4",,"3,7",,"0,15",,"0,06",,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,
275,Dessert soja à la myrtille - Provamel,5411188100201,B,,,['Provamel'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts végétaliens', 'Desserts au soja', 'Yaourts']",,,"['France', 'Espagne']","['eau', 'sucre de canne roux*/ fèves de soja décortiquées* myrtilles* stabilisant ', 'pectine', 'jus de citron* à base de jus concentré', 'arôme naturel', 'amidon de tapioca', "" se' marin"", 'correcteur daciaité ', 'acide citrique', '/ferments de yaourt ', 'S', ' thermophilus,']",['Lait'],"['Végétalien', 'Végétarien']",4,?,,75,-15%,314 kj(75 kcal),-16%,"1,9",-9%,"0,3",-33%,"9,3",-32%,"8,8",-20%,"3,6",+6%,"0,16",+34%,"0,064",+34%,24.3%,36.0%,14.5%,14.8%,8.1%,2.2%,96,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,1.9 g,en faible quantité,0.3 g,en faible quantité,8.8 g,en quantité modérée,0.16 g,en faible quantité,-1,-239%,A,-239%,"['E440 - Pectines', 'E330 - Acide citrique']",,,
276,Yaourt Soja Lime Melisse - Provamel,5411188105268,B,,,['Provamel'],"['Desserts', 'Produits fermentés', 'Desserts végétaliens', 'Produits végétaux fermentés', 'Yaourts végétaux', 'Yaourts au soja', 'Yaourts de soja aux fruits']",,,"['Belgique', 'France', 'Espagne']",[],,[],,?,,76,-4%,318 kj(76 kcal),-5%,"1,9",-5%,"0,3",-7%,"9,7",-13%,"9,6",-8%,"3,5",-1%,"0,17",+65%,"0,068",+65%,53.8%,21.5%,8.9%,9.6%,4.9%,1.3%,91,"['Bio', 'en:gluten-free', 'Sans lactose']",,['Bioplanet'],,1.9 g,en faible quantité,0.3 g,en faible quantité,9.6 g,en quantité modérée,0.17 g,en faible quantité,0,-100%,B,-100%,,,,
277,Alpro Light Soya,5411188106159,B,,,['Alpro'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits laitiers', 'Boissons à base de végétaux', 'Substitut du lait', 'Laits', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja']",,,['France'],"['hulled soya beans ', '4,1 maltodextrin ', 'fibre', 'fructose', 'sugar', 'calcium carbonate', 'acidity regulator ', 'mono - potassium phosphate ', 'sea Salt', 'flavouring', 'stabiliser ', 'gellan gum ', 'vitamins ', 'riboflavin ', 'B2', 'B12', 'D2', 'natural flavouring', ' vroefromdairvandgluten']",,[],4,?,,27,-46%,113 kj(27 kcal),-46%,"1,2",-38%,"0,2",-44%,"1,6",-66%,"1,4",-65%,"2,1",-36%,"0,11",+25%,"0,044",+25%,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,,,,,1.2 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en faible quantité,0.11 g,en faible quantité,-1,,A,,"['E340i - Phosphate monopotassique', 'E418 - Gomme gellane']",,,
278,Alpro vanille,5411188108443,,,,['Alpro'],,,,['France'],[],,[],,?,,81,,339 kj(81 kcal),,"1,7",,"0,3",,"13,1",,10,,3,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Graisse à cuisiner (Soja) - Alpro,5411188112198,C,,,['Alpro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines', 'Margarines liquides']",,,['France'],[],,[],,?,,661,+29%,2766 kj(661 kcal),+30%,73,+30%,10,-38%,"0,5",+24%,"0,5",+107%,"0,5",+121%,"0,47",-17%,"0,188",-17%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,,,,,73 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,0.47 g,en quantité modérée,11,-5%,D,-5%,,,,
280,Provamel Soja Aronia-fruit de la passion,5411188114314,,,,['Provamel'],,,,['France'],"['eau', 'sucre de canne roux*', 'fèves de soja décortiquées* ', '7,5%', ',jus de fruit de la passion* ', '6,7%', ""jus d'aronia à base de jus concentré* "", '5,8%', 'stabilisant ', 'pectine', 'amidon de tapioca*', 'sel marin', ""correcteur d'acidité "", 'acide citrique', ""concentré de fruits et de plantes' "", 'carotte*', 'pomme*', 'cassis*', 'ferments de yaourt ', 'S', ' thermophilus', 'L bulgaricus']",,[],4,?,,76,,318 kj(76 kcal),,2,,"0,4",,"9,3",,"8,6",,"3,8",,"0,18",,"0,072",,,,,,,,,"['Bio', 'en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,"['E440 - Pectines', 'E330 - Acide citrique']",,,
281,soya yogourt myrtille - Alpro,5411188114871,,,,['Alpro'],,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,,73,,305 kj(73 kcal),,2,,"0,3",,"9,4",,"9,4",,"3,6",,"0,21",,"0,084",,,,,,,,,"['Végétarien', 'Végétalien', 'Sans lactose']",,,,,,,,,,,,,,,,,,,
282,Rice coconut choco - Provamel,5411188117476,D,Provamel,,['Provamel'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz', 'Boissons végétales de riz au cacao']",,,"['France', 'Suisse']",[],,[],,?,,66,-1%,276 kj(66 kcal),-1%,"1,2",-2%,"0,8",+152%,13,+6%,"6,5",+6%,"0,5",-30%,"0,08",+1%,"0,032",+1%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,"['Bio', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'BE-BIO-01', 'Agriculture UE', 'Agriculture UE/Non UE', 'Sans sucre ajouté', 'Sans lactose', 'AB Agriculture Biologique']",,,,1.2 g,en faible quantité,0.8 g,en quantité modérée,6.5 g,en quantité élevée,0.08 g,en faible quantité,1,+140%,B,+140%,,,,
283,Dessert Moments Soya Dessert Hazelnut & Chocolate 4 x (500g) - Alpro,5411188120520,,,,['Alpro'],,,,"['Belgique', 'France']",[],,[],,?,,78,,326 kj(78 kcal),,"2,3",,"0,5",,"11,2",,9,,"2,6",,"0,13",,"0,052",,,,,,,,,['en:gluten-free'],,['Delhaize'],,,,,,,,,,,,,,,,,
284,Alpro Go On Fr. passion,5411188121237,,,,['Alpro'],,,,['France'],"['Eau', 'fèves de soja décortiquées ', '14%', 'fruit de la passion ', '10 %', ' ', 'à base de jus concentré ', '6%', ' et de purée ', '4%', 'sucre', 'stabilisants ', 'pectine', 'gomme guar', 'amidon de maïs', ""correcteurs d'acidité "", 'citrate de sodium', 'acide citrique', 'citrate tricalcique', 'arôme naturel', 'sel marin,', ' Concentré de carthame et citron', 'antioxygènes ', 'extrait riche en tocophérols', ""esters d'acide gras de l'acide ascorbique"", 'vitamines ', 'B12', 'D2', 'ferments de yaourt ', 'S', ' thermophilus', 'L', ' bulgaricus', "" Peut contenir des traces d'amandes et de noisettes"", ' Sans produits laitiers ni gluten']",,"[""Pourrait contenir de l'huile de palme""]",4,?,,84,,351 kj(84 kcal),,"2,9",,"0,5",,"8,5",,"7,4",,"5,2",,"0,29",,"0,116",,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,"['E440 - Pectines', 'E412 - Gomme de guar', 'E331 - Citrates de sodium', 'E330 - Acide citrique', 'E333iii - Citrate tricalcique', 'E306 - Extrait riche en tocophérols', 'E304 - Acide palmityle-6-L-ascorbique']",,,
285,Boisson Aux Noisettes Bio - Provamel - 500ml,5411188121473,E,500 ml,,['Provamel'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', 'Boissons végétales de noisette']",,,['France'],"['eau', 'noisettes européennes* ', '5% ', ""sirop d' agave* "", '4,5%', 'sel marin', "" *issus de l'agriculture biologique"", ' Naturellement sans lactose et sans gluten', ' Peut contenir des traces de fruits à coque ', ""pas d'arachides"", ' *']",,[],3,?,,47,-8%,197 kj(47 kcal),-6%,"3,2",+21%,"0,2",-29%,"3,6",-38%,"3,5",-2%,"0,7",0%,"0,1",0%,"0,04",0%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,"['Bio', 'en:gluten-free', 'Sans lactose']",,,,3.2 g,en quantité modérée,0.2 g,en faible quantité,3.5 g,en quantité modérée,0.1 g,en faible quantité,0,-100%,B,-100%,,,,
286,Cuisine soja light - Alpro - 250ml,5411188121626,,250 ml,['Tetra'],['Alpro'],,,,"['Belgique', 'France', 'Suisse']","['eau', 'fèves de soja décortiquées ', '4%', 'huile de tournesol', 'amidon modifié de tapioca', 'sucre', 'stabilisants ', 'gomme xanthane', 'carraghénanes', 'émulsifiant ', 'sucroesters diacides gras', 'arôme', 'sel marin']",,"['Végétalien', 'Végétarien']",4,?,,61,,255 kj(61 kcal),,"4,7",,"0,6",,"2,3",,"0,7",,2,,"0,15",,"0,06",,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,['Delhaize'],,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition']",,,
287,Cuisine Soja - Alpro,5411188121640,,,,['Alpro'],,,,['France'],[],,[],,?,,151,,632 kj(151 kcal),,15,,"1,7",,"1,2",,"1,2",,2,,"0,14",,"0,056",,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,
288,Alpro Soya vanille light - 1L,5411188121886,B,1 L,"['Brique', 'Carton', 'Tetra Brik']",['Alpro'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja', 'Boissons sans sucre ajouté', 'Boissons végétales de soja à la vanille']",,,['France'],[],,[],,?,,37,-31%,155 kj(37 kcal),-32%,?,,"0,2",-38%,?,,"4,3",-12%,"2,1",-37%,"0,13",+30%,"0,052",+30%,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,['en:Stévia'],,,,,,0.2 g,en faible quantité,4.3 g,en quantité modérée,0.13 g,en faible quantité,,,,,,,,
289,Organic Bio Quinoa-Riz - Provamel,5411188122494,,,,['Provamel'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons multivégétaux']",,,['France'],"[""' eau"", 'quinoa* ', '7%', 'riz européen* ', '6%', 'huile de tournesol*', 'sel marin', "" Naturellement sans lactose et sans luter * = issus de l'agriculture biologique Peut contenir des traces de fruits à coque "", ""pas d'aracflides"", "" S'intègre dans une alimentation saine dès llâge de 5 ans *sans sucres ajoutés"", ' Contient des sucres naturellement présents']",['Fruits à coque'],"['Végétalien', 'Végétarien']",,?,,57,+6%,238 kj(57 kcal),+4%,"1,4",-22%,"0,1",-72%,"9,9",+14%,"6,2",+41%,"1,1",+77%,"0,1",+7%,"0,04",+7%,,,,,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien', 'Sans sucre ajouté', 'Sans lactose']",,,,1.4 g,en faible quantité,0.1 g,en faible quantité,6.2 g,en quantité modérée,0.1 g,en faible quantité,1,+77%,B,+77%,,,,
290,Coconut Original - Alpro,5411188122630,,,,['Alpro'],,,,"['Belgique', 'France']",[],,[],,?,,20,,84 kj(20 kcal),,"0,9",,"0,9",,"2,7",,"1,9",,"0,1",,"0,13",,"0,052",,,,,,,,,,,['Delhaize'],,,,,,,,,,,,,,,,,
291,Alpro Fresh Cashew Drink,5411188122715,,,['composite-carton'],['Alpro'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales']",,,['France'],"['Water', 'Cashew ', '3', '1%', 'Sugar', 'Calcium ', 'Tri-calcium phosphate', 'Sea salt', 'Stabilisers ', 'Locust bean gum', 'Gellan gum', 'Emulsifier ', 'Sunflower lecithin', 'Vitamins ', 'Riboflavin ', 'B2', 'B12', 'E', 'D2', ' May contain traces of nut ', 'no peanuts', ' Free from dairy and gluten', ' Can be introduced as part of a healthy balanced diet from 1 year of age', ' Not suitable as a main milk drink for children under 3']",['Fruits à coque'],[],4,?,,23,-68%,96 kj(23 kcal),-68%,"1,1",-76%,"0,2",-93%,"2,7",-53%,2,-46%,"0,5",-63%,"0,14",+63%,"0,056",+63%,,,,,,,,['Entrepreneurs + Engagés'],,,,1.1 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,0.14 g,en faible quantité,0,-100%,B,-100%,"['E410 - Gomme de caroube', 'E418 - Gomme gellane', 'E322i - Lécithine']",,,
292,Alpro Dessert Moments Almond Vanilla,5411188123101,,,,['Alpro'],,,,"['Belgique', 'France']","['eau', 'sucre', 'fèves de soja décortiquées ', '6%', 'amidon modifié de maïs', 'amande ', '1,7%', 'carbonate de calcium', 'arôme na - turel vanille', 'épaississant ', 'carraghénanes', ""correcteur d'acidité "", 'orthophosphate monopotassique', 'arôme', 'sel marin', 'vitamines ', 'riboflavine ', 'B2', 'B12', 'D2', 'colorants ', 'curcumine', 'annatto', ' Peut contenir des traces de fruits à coque ', ""pas d'arachides""]",['Fruits à coque'],[],4,?,,72,,301 kj(72 kcal),,"2,1",,"0,3",,"10,6",,"8,1",,"2,5",,"0,13",,"0,052",,,,,,,,,['en:gluten-free'],,['Delhaize'],,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E100 - Curcumine', 'E160b - Rocou']",,,
293,Soja-kokos Exotic - Provamel,5411188124771,,,,['Provamel'],,,,['France'],[],,[],,?,,83,,347 kj(83 kcal),,"3,1",,"1,3",,"8,3",,"8,2",,"3,8",,"0,09",,"0,036",,,,,,,,,"['Bio', ""Appellation d'origine"", 'Entrepreneurs + Engagés']",,,,,,,,,,,,,,,,,,,
294,Organic soya strawberry - Provamel - 250ml,5411188125440,A,250 ml,['brique cartonnée'],['Provamel'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja', 'Boissons avec sucre ajouté']",['Belgique'],['BA4008Z'],['France'],"['Eau', 'fève de soja européennes décortiquées * ', '9', '8%', 'sucre de canne roux*', 'arôme naturel', 'sel marin', ""\r *= issus de l'agriculture biologique""]",,"['Végétalien', 'Végétarien']",4,?,,59,+18%,247 kj(59 kcal),+17%,"2,1",+8%,"0,4",+11%,"5,8",+22%,"5,7",+41%,"3,8",+16%,"0,15",+70%,"0,06",+70%,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'AB Agriculture Biologique', 'BE-BIO-01', 'Empreinte carbone', 'Agriculture UE/Non UE', 'Sans lactose', 'CO2 neutral production process', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone']",['Soja européen'],['Alsastore'],https://www.provamel.com/fr,2.1 g,en quantité modérée,0.4 g,en faible quantité,5.7 g,en quantité modérée,0.15 g,en quantité modérée,-1,,A,,,Boisson biologique à base de soja - saveur fraise,,
295,Soya Dessert Vanille - Provamel - 1L,5411188513452,A,1 L,"['Brique', 'Carton']",['Provamel'],"['Desserts', 'Desserts végétaliens', 'Desserts au soja', 'Dessert au soja aromatisé', 'Desserts de soja à la vanille']",,,['France'],"['Eau', 'sucre de canne roux*', 'fèves de soja décortiquées* ', '6%', 'amidon de blé*', 'amidon de tapioca*', 'maltodextrine de maïs*', 'extrait de vanille* ', '0,2%', 'épaississant ', 'pectine', 'sel marin', "" * = issus de l'agriculture biologique""]","['Gluten', 'Soja']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,,82,-5%,343 kj(82 kcal),-7%,"1,8",+1%,"0,3",-5%,"13,5",-6%,"8,7",-16%,3,-3%,"0,16",+19%,"0,064",+19%,53.8%,21.5%,8.9%,9.6%,4.9%,1.3%,91,"['Peu ou pas de sucre', 'Peu de sucre', 'Bio', 'Bio européen', 'en:FSC', 'en:gluten-free', 'Allégé en sucre', '100% végétal', 'BE-BIO-01', 'Agriculture UE/Non UE', 'FSC Mix', 'Sans lactose', 'AB Agriculture Biologique']",,,,1.8 g,en faible quantité,0.3 g,en faible quantité,8.7 g,en quantité modérée,0.16 g,en faible quantité,1,-32%,B,-32%,['E440 - Pectines'],,,
296,Crème dessert vanille - Limelco - 510g,5411193098999,C,510 g,"['Conserve', 'métal']",['Limelco'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert rayon frais', 'Crèmes dessert vanille', 'Desserts lactés à la vanille']",,['BE M169 EC'],['France'],"['Lait entier ', '70 %', 'lait écrémé ', '14,5 %', 'sucre ', '10,2 %', 'stabilisant : amidon transformé de maïs', 'lactose', 'épaississant : gomme guar', 'sel', ""correcteur d'acidité : phosphates de sodium"", 'colorants : bêta-carotène', 'curcuma', 'arôme']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,?,,108,-22%,452 kj(108 kcal),-21%,"2,7",-46%,"1,9",-40%,18,0%,15,-1%,"2,9",-10%,"0,22",+65%,"0,088",+65%,75.1%,12.7%,4.2%,4.9%,2.4%,0.6%,65,,,,,2.7 g,en faible quantité,1.9 g,en quantité modérée,15 g,en quantité élevée,0.22 g,en faible quantité,4,-31%,C,-31%,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E160ai - Bêta-carotène']",,,
297,Tartelette Bresilienne - La Lorraine,5411198166082,,,,['La Lorraine'],,,,['France'],"[""I l[li Ili iillten: suikert 'Mater"", 'magere MELK', 'palmolie', 'palmpitolie', 'lei I i•LK', 'El EREN', 'palrm et', 'HA ZEI„ÈIOTEN ', '3161', 'gemodificeerd zetmeel', 'I l', ' l/ ELKP OEDER', 'aardapçt l', 'kokosvet', 'verdikkingsmiddel ', 'E466', ' I v f If', ' ZETMEEI-', ' raapzaadc lie', 'g el d:lel emulgatoren ', 'E471', 'E433', ' ml i zout', 'aroma', 'kleursnf ', 'E I fil', ' il', 'stabilisator ', 'E407', 'EIGEEL', 'zout', 'heerde vanille stokje$', 'E300', 'zuulteregelaar ', 'E270', ' Kan : Il evatten ve n: soja']",,"[""Pourrait contenir de l'huile de palme""]",4,?,,330,,1381 kj(330 kcal),,17,,11,,39,,24,,"3,8",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,"['E466 - Carboxyméthylcellulose', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E433 - Monooléate de polyoxyéthylène de sorbitane', '', 'Risque modéré de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E270 - Acide lactique']",,,
298,Gaufre aux Cerises - La Lorraine - 2Gaufres,5411198227905,C,2 Gaufres,"['Plastique', 'Frais']",['La Lorraine'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",,,['France'],"['Cerises ', '47 %', 'farine de BLÉ', 'sucre', 'beurre ', 'LAIT', 'ŒUFS', 'graisse de palme', 'amidon modifié', 'levure', 'LAIT écrémé en poudre', 'sel iode', 'huile de colza', 'cannelle,jus de citron', 'émulsifiant ', ""mono-et diglycérides d'acides gras"", 'antioxydant ', 'acide ascorbique']","['Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,?,,227,-50%,950 kj(227 kcal),-49%,8,-63%,"4,7",-55%,34,-41%,15,-51%,4,-33%,"0,67",-5%,"0,268",-5%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,,,8 g,en quantité modérée,4.7 g,en quantité modérée,15 g,en quantité élevée,0.67 g,en quantité modérée,10,-54%,C,-54%,"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']",,['Huile de palme'],
