,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,generic_name,packaging,additives,allergens,ingredients_origins,markets,traceability_code,link,manufacturing,palm_ingredients
0,I ♡ Quiberon - La Cour d'Orgères,3760194182094,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,44 g,en quantité élevée,?,,193,-11%,808 kj(193 kcal),-11%,"0,5",+67%,0,-100%,44,-16%,44,-13%,"0,8",+46%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,
1,"Jolie frimousse Fraise, pamplemousse et poivre du Timut - La Cour d'Orgères - 240g",3760194183398,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,?,,223,+3%,933 kj(223 kcal),+2%,"0,5",+67%,0,-100%,55,+6%,55,+9%,"0,5",-9%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,240 g,['Point Vert'],0.1 g,en faible quantité,"0,1",+313%,"0,04",+313%,10,+5%,C,+5%,,,,,,,,,,,
2,CONFITURE EXTRA DE FRAISES - La Cour d'Orgères,3760194183527,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],[],[],0.3 g,en faible quantité,0.04 g,en faible quantité,55 g,en quantité élevée,?,,230,+6%,962 kj(230 kcal),+5%,"0,3",+24%,"0,04",-11%,55,+4%,55,+8%,"0,7",+58%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,0.01 g,en faible quantité,"0,01",-56%,"0,004",-56%,11,+26%,D,+26%,,,,,,,,,,,
3,Confiture - La Cour d'Orgères - 250g,3760194183541,C,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",['France'],"['Framboise ', '57%', 'sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,?,,246,+10%,1029 kj(246 kcal),+10%,"0,5",+85%,0,-100%,57,+7%,57,+11%,"0,8",+19%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,250 g,,0.1 g,en faible quantité,"0,1",+369%,"0,04",+369%,8,-10%,C,-10%,3,,,,,,,,,,
4,Confiture maracuga - La Cour d'Orgères,3760194183688,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits', 'Gelées de fruits de la passion']",['France'],"['Jus de la passion 58,13 %', 'sucre', 'gélifiant: pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Point Vert'],,,,,,,,,,,4,Gelée de fruit de la passion,"['Bocal', 'Verre', 'métal']",['E440 - Pectines'],,,,,,,
5,Rhubarbe - Confiture traditionnelle - La Cour d'Orgères - 250g,3760194183862,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe', 'en:vegetable-jams']",['France'],"['Pour 100 g', '55,45% rhubarbe', 'Sucre', 'gélifiant : pectine']",[],0.5 g,en faible quantité,0 g,en faible quantité,55.5 g,en quantité élevée,?,,224,+2%,937 kj(224 kcal),+1%,"0,5",+140%,0,-100%,"55,5",+2%,"55,5",+5%,"0,5",+7%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,250 g,['Fabriqué en France'],0.1 g,en faible quantité,"0,1",+398%,"0,04",+398%,11,+30%,D,+30%,4,,,['E440 - Pectines'],,,,,,,
6,Confiture - La Cour d'Orgères,3760194183923,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits']",['France'],"['bananes 29,6%', 'framboises 19,7%', 'fruits de la passion 15,7%', 'sucre', 'jus de citron']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,?,,226,+4%,946 kj(226 kcal),+4%,"0,5",+67%,0,-100%,56,+7%,56,+11%,"0,8",+46%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,0 g,en faible quantité,0,-100%,0,-100%,10,+5%,C,+5%,3,"Confiture de banane, framboise, fruit de la passion",,,,,,,,,
7,"Explosive, mangues, piment d'Espelette - La Cour d'Orgères",3760194183930,,"[""La Cour d'Orgères""]",,['France'],[],[],,,,,,,?,,246,,1029 kj(246 kcal),,"0,3",,0,,60,,60,,"0,6",,,,,,,,,,,,,"0,2",,"0,08",,,,,,,,,,,,,,,,
8,"Confiture Ode à L'amour - Framboises, Rose - La cour d orgeres",3760194183992,,['La cour d orgeres'],,['France'],"['frorüises 60%', 'sucre', 'orôme naturel de rose 0,6%']",[],,,,,,,?,,237,,992 kj(237 kcal),,"0,7",,0,,57,,57,,"0,8",,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,
9,Papa Chéri - La Cour d'Orgères - 240g,3760194184036,D,"[""La Cour d'Orgères""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures multifruits', 'Confitures de fruits tropicaux']",['France'],[],[],8.6 g,en quantité modérée,0 g,en faible quantité,55 g,en quantité élevée,?,,298,+31%,1247 kj(298 kcal),+31%,"8,6",+2588%,0,-100%,55,+2%,55,+6%,"1,2",+121%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,240 g,,0 g,en faible quantité,0,-100%,0,-100%,11,+14%,D,+14%,,,,,,,,,,,
10,"Passionnément mangues, fruits de la passion",3760194184135,,,,['France'],[],[],,,,,,,?,,191,,799 kj(191 kcal),,"0,4",,0,,"46,2",,"46,2",,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Moutarde aux herbes de Provence à l'huile d'olive - Savoir & Sens,3760194200064,B,['Savoir & Sens'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes aux herbes de provence']",['France'],"['Moutarde ', 'graines de moutarde', 'eau', 'huile de tournesol', 'sel', 'gomme xanthane', 'huile d’olive 4%', 'herbes de Provence ', 'thym', 'romarin', 'sarriette', 'marjolaine', 'origan', 'hysope', ' 0,5%', 'huiles essentielles de thym']",[],13.4 g,en quantité modérée,1.1 g,en faible quantité,5.9 g,en quantité modérée,?,,187,+6%,782 kj(187 kcal),+6%,"13,4",,"1,1",+21%,"11,5",,"5,9",+28%,"7,1",+29%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,"['Bio', 'Fabriqué en France']",5.2 g,en quantité élevée,"5,2",-2%,"2,08",-2%,11,,D,,4,,,['E415 - Gomme xanthane'],['Moutarde'],,,,,,
12,Moutarde bio saveur basilic et persil à l'huile d'olive,3760194200095,B,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],13.4 g,en quantité modérée,1.1 g,en faible quantité,6 g,en quantité modérée,?,,188,+11%,787 kj(188 kcal),+11%,"13,4",+24%,"1,1",+34%,"11,6",+68%,6,+55%,"7,2",+10%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,['Bio'],5.3 g,en quantité élevée,"5,3",+13%,"2,12",+13%,14,+21%,D,+21%,,,,,,,,,,,
13,Moutarde saveur truffe et poivre noir - Open bbq season,3760194200149,B,['Open bbq season'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],13 g,en quantité modérée,1.1 g,en faible quantité,6.5 g,en quantité modérée,?,,184,+8%,770 kj(184 kcal),+8%,13,+20%,"1,1",+34%,"11,7",+70%,"6,5",+68%,7,+7%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",5.14 g,en quantité élevée,"5,14",+9%,"2,056",+9%,10,-14%,C,-14%,,,,,,,,,,,
14,Huile d'olive vierge extra - Savor & Sens - 25cl,3760194200989,C,['Savor & Sens'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],,,,,0 g,en faible quantité,?,,899,+5%,3761 kj(899 kcal),+5%,?,,,,0,,0,,0,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,25 cl,"['Bio', 'Bio européen', 'Fabriqué en France']",0 g,en faible quantité,0,-100%,0,-100%,,,,,,,,,,"['Mélange', 'UE/hors UE']",,,,,
15,Moutarde olives noires et romarin à l'huile d'olive - SAVOR & SENS - 130g,3760194204598,B,['SAVOR & SENS'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],"['Moutarde ', 'graines de moutarde', ""vinaigre d'alcool"", 'eau', 'huile de tournesol', 'sel', 'gomme de xanthane', ""huile d'olive vierge extra 4%"", 'olives noires ', 'eau', 'sel', ' 3%', 'romarin 0,8%', 'arôme']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",14 g,en quantité modérée,1.2 g,en faible quantité,5.8 g,en quantité modérée,?,,191,+12%,799 kj(191 kcal),+13%,14,+30%,"1,2",+47%,"11,6",+68%,"5,8",+50%,"6,9",+5%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,130 g,"['Bio', 'Fabriqué en France']",5.2 g,en quantité élevée,"5,2",+10%,"2,08",+10%,10,-14%,C,-14%,4,,,['E415 - Gomme xanthane'],['Moutarde'],,,,,,
16,Crème Balsamique Noir Nature - Savor & Sens - 200ml,3760194205755,,['Savor & Sens'],"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",['France'],"['jus de raisin', 'vinaigre balsamique de Modene 38% ', 'vinaigre de vin', 'mout de raisin cuit E150d', 'amidon de mais modifié', 'arôme naturel 0,5%', ' Contient des sulfites']",[],0.1 g,en faible quantité,0.1 g,en faible quantité,36 g,en quantité élevée,?,,173,-18%,724 kj(173 kcal),-18%,"0,1",+154%,"0,1",+785%,"41,5",-17%,36,-14%,"1,6",+140%,,,,,,,,200 ml,['Fabriqué en France'],0.1 g,en faible quantité,"0,1",-21%,"0,04",-21%,9,-17%,C,-17%,4,,,,['Anhydride sulfureux et sulfites'],,,,,,
17,Sirop saveur cola Hello Kitty - Savor Créations - 35cl,3760194206493,,['Savor Créations'],['Sirops'],['France'],"['sucre', 'eau', 'arôme naturel', 'acidifiant : acide citrique', 'colorant : caramel E150d']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,35 cl,['Fabriqué en France'],,,,,,,,,,,4,,['Verre'],"['E330 - Acide citrique', ""E150d - Caramel au sulfite d'ammonium""]",,['France'],['Galeries Lafayette'],,,,
18,Sel rose de l'Himalaya,3760194206622,,,,['France'],[],[],,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,1,,,,,,,,,,,,,1,,"0,4",,,,,,,,,,,,,,,,
19,Moutarde au fromage de chèvre et noix à huile d'olive - Savoir & Sens,3760194206738,B,['Savoir & Sens'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],['Valeyrs'],[],14.6 g,en quantité modérée,1.7 g,en quantité modérée,5.7 g,en quantité modérée,?,,198,+16%,828 kj(198 kcal),+17%,"14,6",+35%,"1,7",+108%,"10,8",+57%,"5,7",+48%,"7,6",+16%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,"['Bio', 'Fabriqué en France']",5.1 g,en quantité élevée,"5,1",+8%,"2,04",+8%,10,-14%,C,-14%,,,,,,,,,,,
20,Crème Balsamique Noir Pailleté Or - 200 ML - Savor & Sens Tradition,3760194206936,,['Savor & Sens Tradition'],,['France'],[],[],,,,,,,?,,173,,724 kj(173 kcal),,"0,1",,"0,1",,"41,5",,36,,"1,6",,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,
21,Ketchup de luxe saveur truffe - Savor & Sens Tradition,3760194207452,B,['Savor & Sens Tradition'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",['France'],[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,16 g,en quantité élevée,?,,108,+2%,452 kj(108 kcal),+3%,"0,1",-59%,"0,1",+57%,25,+10%,16,-18%,2,+54%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,3 g,en quantité élevée,3,+51%,"1,2",+51%,14,+16%,D,+16%,,,,,,,,,,,
22,Mayonnaise Saveur Truffe Noire - Savor & Sens,3760194207902,D,['Savor & Sens'],"['Epicerie', 'Sauces', 'Mayonnaises']",['France'],"['Huile de colza 77%', 'eau', ""jaune d'oeuf vinaigre"", 'moutarde de Dijon ', 'eau', 'graines de moutarde vinaigre', 'sel conservateur bisulfite de sodium', 'sucre', 'sel', '- sirop de glucose', 'colorants: lutéine et extrait de paprika épaississants gomme de xanthane et farine de graines de guar', 'jus concentré de citron', 'arôme naturel 1', '8%', 'poivre noir concassé', 'colorant: E1508']",[],76.9 g,en quantité élevée,6.2 g,en quantité élevée,1.6 g,en faible quantité,?,,706,+15%,2954 kj(706 kcal),+15%,"76,9",+16%,"6,2",+0%,2,-26%,"1,6",+10%,"0,4",-67%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,1.16 g,en quantité modérée,"1,16",-13%,"0,464",-13%,16,-11%,D,-11%,4,,,['E161b - Lutéine'],,,,,,,
23,Huile d'olive a la pulpe de tomate provencale - Savor & Sens Tradition,3760194208022,D,['Savor & Sens Tradition'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],93.5 g,en quantité élevée,12.9 g,en quantité élevée,1 g,en faible quantité,?,,848,-1%,3548 kj(848 kcal),-1%,"93,5",-2%,"12,9",-8%,1,,1,,"0,2",,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,"['EMB 83129', 'Six-Fours-les-Plages (Var, France)']",,,
24,Sel Citron & Thym - 110G,3760194208121,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Brunoise de légumes - Savor & Sens,3760194208701,,['Savor & Sens'],,['France'],"[""concocté 9toueetce jus d'orange"", 'eau', 'coriandre', 'sel', 'jus de citron', 'cumin', 'ail', 'piment', ' Pout contenir do traces do fruttt coquet', 'sésame', 'atuton', ' arachide', ' sutnt•t', ' laaos• et solo']",[],,,,,,,?,,83,,347 kj(83 kcal),,5,,"0,7",,"8,8",,"5,9",,"1,7",,,,,,,,,,,,,"2,9",,"1,16",,,,,,,,,,,,,,,,
26,Petites sardines à Huile d'olive saveur truffe noire - Savoir & Sens Tradition - 90g,3760194208817,D,['Savoir & Sens Tradition'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",['France'],"['Sardines 72%', ""huile d'olive saveur truffe noire "", ""huile d'olive"", 'arôme naturel 1,3%', ' 27%', 'sel']","['Non végétalien', 'Non végétarien']",19 g,en quantité modérée,4.2 g,en quantité modérée,0 g,en faible quantité,?,,255,+3%,1067 kj(255 kcal),+4%,19,+7%,"4,2",+9%,1,+212%,0,-100%,20,-6%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,90 g,,1 g,en quantité modérée,1,+10%,"0,4",+10%,11,+95%,D,+95%,4,,,,['Poisson'],,,,,,
27,Love you.  Confiture cuisinee à la fraise,3760194211497,,,,['France'],[],[],,,,,,,?,,208,,870 kj(208 kcal),,20,,"0,3",,"51,4",,47,,0,,,,,,,,,,,,,"0,7",,"0,28",,,,,,,,,,,,,,,,
28,Moutarde eclats de truffe - SAVOR ET SENS,3760194211657,B,['SAVOR ET SENS'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],4.7 g,en quantité modérée,3.6 g,en quantité modérée,0.8 g,en faible quantité,?,,217,+28%,908 kj(217 kcal),+28%,"4,7",-56%,"3,6",+340%,"4,7",-32%,"0,8",-79%,8,+22%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,0.22 g,en faible quantité,"0,22",-95%,"0,088",-95%,-2,-117%,A,-117%,,,,,,,,,,,
29,Hoummous - Thessalia,3760194320045,B,['Thessalia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['France'],"['Pois chiches cuits ', '61', '8%', 'eau', 'crème de sésame ', '15,4%', 'ail', ""huile d'olive extra vierge"", 'sel', 'acide citrique', 'poivre blanc', ' Fabriqué dans un atelier utilisant gluten', 'lait', 'œufs', 'fruits à coque', 'arachide', 'sulfites', 'soja', 'céleri', 'moutarde', 'mollusque', 'poisson', 'crustacé']","['Sans huile de palme', 'Végétalien', 'Végétarien']",13.3 g,en quantité modérée,2 g,en quantité modérée,1.4 g,en faible quantité,?,,211,-20%,883 kj(211 kcal),-20%,"13,3",-34%,2,-19%,"14,3",+35%,"1,4",+4%,"10,3",+59%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,"['Sans colorants', 'Sans conservateurs']",0.41 g,en quantité modérée,"0,41",-61%,"0,164",-61%,-1,-120%,A,-120%,3,,,['E330 - Acide citrique'],,,['Magasins U'],,,,
30,Madeleines Longues - Mille Gâteaux - 500g,3760194500119,B,['Mille Gâteaux'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines', 'Madeleines longues']",['France'],"['Farine de blé sucre', 'huile de colza', 'œufs frais 14 %', 'sirop de glucose stabilisant : sorbitols', 'sirop de sucre inverti', 'poudres à lever: diphosphates et carbonates de sodium ', 'amidon de blé', 'sel', 'arômes']",['Non végétalien'],17.8 g,en quantité modérée,1.7 g,en quantité modérée,31.4 g,en quantité élevée,?,,425,-3%,1778 kj(425 kcal),-3%,"17,8",-16%,"1,7",-51%,"59,6",+9%,"31,4",+11%,"5,8",+3%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,500 g,['Point Vert'],0.68 g,en quantité modérée,"0,68",-19%,"0,272",-19%,16,-1%,D,-1%,4,,"['Sachet', 'Plastique']","['E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium']","['Œufs', 'Gluten']",,,"['EMB 17283A', 'Pons (Charente-Maritime, France)']",,,
31,Generous Gin 44° 70 CL,3760194540436,,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,44,,0,,0,,,,,,,,,70 cL,,,,0,,0,,,,,,,,,,,,,,,,
32,"Arcane Extraroma Rum 12y 0,7 LTR. -  - 70cl",3760194540481,C,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums', 'Rhums bruns']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,70cl,,,,0,-100%,0,-100%,,,,,,,['Bouteille'],,,,,,,,
33,Huile de noix - Nico Noix - 25cl,3760194782256,C,['Nico Noix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noix']",['France'],[],[],100 g,en quantité élevée,10 g,en quantité élevée,0.1 g,en faible quantité,?,,900,+2%,3766 kj(900 kcal),+3%,100,+2%,10,+6%,"0,1",+1114%,"0,1",+2790%,"0,1",+1495%,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,25 cl,,0.1 g,en faible quantité,"0,1",+6797%,"0,04",+6797%,6,+12%,C,+12%,,,,,,['France'],,,,,
34,Meuh Cola - solibulles - 25cl,3760194920054,,['Solibulles'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Sodas au cola', 'Boissons avec sucre ajouté']",['France'],"['Eau gazeuse', 'sucre de canne', 'arome naturel de cola', 'colorant caramel ', 'acidifiant : acide citrique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,25 cl,,,,,,,,,,,,4,Soda solidaire aromatisé au Cola,['Bouteille en Verre'],"['E150 - Caramel', 'E330 - Acide citrique']",,"['France', '50380 St-Pair-sur-mer', 'ZA du croissant']",['JDLL'],"['EMB 50532', 'Saint-Pair-sur-Mer (Manche, France)']",http://la-meuh.fr,,
35,Meuh Cola - Solibulles - 75cl,3760194920061,,['Solibulles'],,['France'],[],[],,,,,,,?,,39,,163 kj(39 kcal),,0,,0,,"9,7",,"9,7",,0,,,,,,,,,75 cl,,,,"0,01",,"0,004",,,,,,,,"['Bouteille', 'Verre']",,,,['Coop 5 pour 100'],,,,
36,Meuh Cola Roseline - Solibulles - 75cl,3760194920085,,['Solibulles'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",['France'],"['eau gazeuse', 'sucre de canne bio', 'acidifiant : acide citrique', 'arôme de cola bio', 'extrait de marc de raisin bio']",[],0 g,en faible quantité,0 g,en faible quantité,9.6 g,en quantité élevée,164,+53%,38,+41%,164 kj(38 kcal),+41%,0,-100%,0,-100%,"9,6",+42%,"9,6",+45%,0,-100%,,,,,,,,75 cl,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",0.01 g,en faible quantité,"< 0,01",-28%,"0,004",-28%,13,+41%,E,+41%,3,,"['Bouteille', 'Verre']",['E330 - Acide citrique'],,,['Bio14'],,,,
37,Meuh Cola - Solibulles - 33cl,3760194920894,,['Solibulles'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Sodas au cola', 'Boissons avec sucre ajouté']",['France'],"['Eau gazeuse', 'sucre de canne', 'arôme naturel de cola', 'colorant : caramel', 'acidifiant : acide citrique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0 g,en faible quantité,0 g,en faible quantité,9.7 g,en quantité élevée,165,+99%,39,+86%,165 kj(39 kcal),+85%,0,-100%,0,-100%,"9,7",+81%,"9,7",+85%,0,-100%,,,,,,,,33 cl,,0.01 g,en faible quantité,"< 0,01",-7%,"0,004",-7%,13,+76%,E,+76%,4,,"['Bouteille', 'Plastique']","['E150 - Caramel', 'E330 - Acide citrique']",,,['Bio14'],"['EMB 49099K', 'Cholet (Maine-et-Loire, France)']",,,
38,Limeuhnade citron - Solibulles,3760194923444,,['Solibulles'],"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades', 'Boissons avec sucre ajouté']",['France'],['acide citrique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,9.6 g,en quantité élevée,?,,38,+23%,159 kj(38 kcal),+26%,0,-100%,0,-100%,"9,6",+28%,"9,6",+32%,0,-100%,,,,,,,,,['Bio'],0.01 g,en faible quantité,"0,01",-25%,"0,004",-25%,13,+27%,E,+27%,3,,"['Bouteille', 'Plastique']",['E330 - Acide citrique'],,,,,,,
39,Nickel  (chrome) - Bières Bio Mont d'Or - 33cl,3760195150047,B,"[""Bières Bio Mont d'Or""]","['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières blondes']",['France'],"['Eau', ""malt d'orge"", 'blé', 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,?,,?,,,,?,,,,?,,,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,33 cl,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'Point Vert', 'Déconseillé aux femmes enceintes']",,,,,,,,,,,3,,"['Bouteille', 'Verre']",,['Gluten'],,,"['EMB 73065', 'Chambéry (Savoie, France)']",,['France'],
