,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,salt_quantity,salt_comment,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,generic_name,packaging,additives,allergens,ingredients_origins,markets,traceability_code,link,manufacturing,palm_ingredients
1785,Rusks Bruschette Maretti W Pesto Taste 70G 1 / 12,3800205873365,,,,['France'],[],[],,,,,,,?,,467,,1954 kj(467 kcal),,18,,"7,3",,66,,"3,9",,9,,,,,,,,,,,,,3,,"1,2",,,,,,,,,,,,,,,,
1786,Bruschette - maretti - 85g,3800205873464,B,['Maretti'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'en:bruschette']",['France'],"['Farine de blé 60% ', 'huile ce tournesol', 'mélange de mais 13 % ', 'farine de maïs extrudé', 'lait écrémé en poudre', 'gluten', 'stabilisant: gomme guar', ' dextrose', 'assisonement Tomate,olives et origan 6% ', 'dextrose', 'sel', 'amidon de maïs', 'poudre de tomate 9%', ""poudre d'oignon"", 'persil séché', 'extrait de levure', ""poudre d'ail"", ""régulateur d'acidité"", 'acide citrique', ' agent antiagglomérant : dioxyde de silicium', ' olives séchées 0,5%', 'origan seché 0,5%', 'arôme', 'sel', 'sucre', 'levure', 'antioxydant : extrait de romarin']",['Non végétalien'],18 g,en quantité modérée,7.3 g,en quantité élevée,3.9 g,en faible quantité,?,,467,+1%,1954 kj(467 kcal),-0%,18,-10%,"7,3",+35%,66,+11%,"3,9",-1%,9,-9%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,85 g,,3 g,en quantité élevée,3,+50%,"1,2",+50%,20,+30%,E,+30%,4,,,"['E412 - Gomme de guar', 'E330 - Acide citrique', 'E392 - Extrait de romarin']",['Gluten'],,,,,,
1787,Swissroll,3800213626373,,,,['France'],[],[],,,,,,,?,,363,,1519 kj(363 kcal),,11,,"4,6",,42,,"11,1",,"4,04",,,,,,,,,,,,,"0,2",,"0,08",,,,,,,,,,,,,,,,
1788,CIDRE de ROSES BIO - Jardins sud,3800217322219,D,['Jardins sud'],"['Boissons', 'Boissons alcoolisées', 'Cidres']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,?,,41,+41%,172 kj(41 kcal),+39%,"0,012",-99%,0,-100%,"11,5",+146%,"10,1",+210%,"0,11",+166%,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,"['Bio', 'Végétarien', 'Sans gluten', 'Végétalien']",,,0,-100%,0,-100%,,,,,,,,,,,,,,,
1789,Labneh,3800221970031,,,,['France'],[],[],,,,,,,?,,295,,1234 kj(295 kcal),,"22,5",,"11,12",,5,,"4,13",,18,,,,,,,,,,,,,"3,5",,"1,4",,,,,,,,,,,,,,,,
1790,Sitovo Kashkaval,3800224851078,,,,['France'],[],[],,,,,,,?,,335,,1402 kj(335 kcal),,"26,44",,"13,6",,2,,"0,67",,"22,37",,,,,,,,,,,,,"2,18",,"0,872",,,,,,,,,,,,,,,,
1791,Spiruline Biologique en poudre,3800225473439,E,,"['Compléments alimentaires', 'Spiruline']",['France'],[],"['Végétalien', 'Végétarien']",8.2 g,en quantité modérée,1.1 g,en faible quantité,3 g,en faible quantité,?,,381,+52%,1594 kj(381 kcal),+50%,"8,2",+124%,"1,1",-14%,"12,1",+17%,3,+330%,"61,8",+25%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,"['Bio', 'Végétarien', 'Végétalien']",0.57 g,en quantité modérée,"0,57",-50%,"0,228",-50%,2,-59%,B,-59%,,,,,,,,,,,
1792,ROO BAR BAIES DE GOJI VEGAN SANS GLUTEN,3800225476287,,['Roo Bar'],,['France'],"['dates*', 'goji coconut*', 'cacao Organic and raw', ' May contan occasional nuts and *+ùfruit pits', ' Keep in a cool', 'dry and dark place', ' See front side']",[],,,,,,,?,,329,,1377 kj(329 kcal),,"7,4",,"6,7",,57,,54,,"4,2",,,,,,,,,,['Bio'],,,"0,08",,"0,032",,,,,,,,,,,,,,,,
1793,Roo'bar Chia Noix De Coco - Roobar,3800225476294,,['Roobar'],,['France'],"['Organic Raw Fruit bar With Chia & Coconut', ' gr', ' tjujedients: dates ', 'chia lemon oil""', ' Organic and raw', ' ""organic', ' nuts and pieces of fruit pits', ' ay cor', 'end dark place', ' Best before: see front side', ' ep in a coû']","['Végétalien', 'Végétarien']",,,,,,,?,,383,,1602 kj(383 kcal),,18,,15,,47,,46,,"4,3",,,,,,,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien']",,,0,,0,,,,,,,,,,,,,,,,
1794,Roo Bar Maca Et Canneberge - 50g e,3800225476607,,"[""ROO'BAR""]","['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres aux fruits']",['France'],"['Dattes', 'canneberges ', 'canneberges', 'concentré de jus de pomme', 'huile de tournesol', '20 %', 'amandes*', 'maca* ', '3 %']","['Végétalien', 'Végétarien']",9.9 g,en quantité modérée,0.8 g,en faible quantité,51 g,en quantité élevée,?,,362,-6%,1515 kj(362 kcal),-5%,"9,9",-20%,"0,8",-71%,58,0%,51,+25%,"6,1",-8%,,,,,,,,50 g e,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Kascher', 'Sans OGM', 'Végétalien', 'BG-BIO-02', 'Sans sucre ajouté', 'Sans soja']",0 g,en faible quantité,0,-100%,0,-100%,9,-7%,C,-7%,3,Roo'Bar Maca Cranberry,"['Sachet', 'Plastique']",,['Fruits à coque'],,,,https://us.roobar.com/fr/les-produits,['Bulgarie'],
