,name,bar_code,brand,traceability_code,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,packaging,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,producer_info,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
1109,"Proteinbar 52%, Peanut Caramel - Weider",4044782306475,['Weider'],,,"['France', 'Espagne']",[],,,[],,?,362,1515 kj(362 kcal),"5,1","5,1",29,2,52,"0,7","0,28",,,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",['Fabriqué en Allemagne'],5.1 g,en quantité modérée,5.1 g,en quantité élevée,2 g,en faible quantité,0.7 g,en quantité modérée,,-2%,-2%,-61%,-14%,-11%,-85%,+77%,+43%,+43%,12,+17%,D,+17%,,,,,,,,,,,,,,,
1110,Low Carb High Protein Barre 50 GR - Chocolat - Weider,4044782321478,['Weider'],,,['France'],"['Riegermit EiweiB und Vollmilchschokoladenüberzug', ' Mit SüBungsmitteln', ' Schoko Geschmack', ' Bar With Protein and Milk Chocolate Coaing', ' sweeteners', ' Chocolate Havour', ' Barriu de proteinas con cobertura de chocolat leche', ' Con edulcorantes', ' Sabor chocolate', ' Barre à base de protéines avec enrobage de chocolat au lait Avec édulcorants', 'Goût chocolat tot•', 'Barre de de Maw', ' htydextrose', ' Humidifiant Glycérol', ' Protéines de Soja', 'Sirop Fructo-0figosaccharide', ""pouüe de Cacao et d'aftes noix comesftles Une consommation excessive peut enfrûler des effeb taxatfs""]",,,[],,?,333,1393 kj(333 kcal),"9,3","5,6",22,"2,5",40,"0,77","0,308",,,,,['Avec édulcorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Vivani Chocolade Puur Nougat - 100g,4044889001501,['Vivani'],['FSC-C011660'],['Ekoplaza'],"['France', 'Pays-Bas']","['sucre de canne brun*', 'pâte de noisettes* 25 %', 'pâte de cacao*', 'beurre de cacao*', 'extrait de vanille de bourbon*', ' Cacao: 36 % min', "" Peut contenir des composants d'autres fruits à coque"", 'de lait et de gluten']",,"['Gluten', 'Lait', 'Fruits à coque']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,582,2435 kj(582 kcal),"40,9",17,"43,9","38,6","6,3","0,01","0,004",D,100g,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aux noisettes', 'Chocolats noirs aux noisettes']","['Bio', 'Végétarien', 'Bio européen', 'Agriculture non UE', 'Végétalien', 'DE-ÖKO-013', 'Agriculture UE', 'Agriculture UE/Non UE']",40.9 g,en quantité élevée,17 g,en quantité élevée,38.6 g,en quantité élevée,0.01 g,en faible quantité,,+2%,+2%,-0%,-8%,+14%,+15%,-21%,-69%,-69%,25,+18%,E,+18%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,
1112,Panama dark 92% - Bjornsted - 80g,4044889002669,['Bjornsted'],,,['France'],"[""pâte de cacao'"", ""beurre de cacao'"", 'sucre de coco', ' Cacao: 92% min', ' Peut contenir des composants de fruits à coque', 'de lait et de gluten']",,,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,?,648,2711 kj(648 kcal),"59,4","37,4","13,1",7,"8,5","0,02","0,008",D,80 g,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Bio européen', 'DE-ÖKO-013']",59.4 g,en quantité élevée,37.4 g,en quantité élevée,7 g,en quantité modérée,0.02 g,en faible quantité,,+17%,+17%,+51%,+62%,-66%,-78%,+11%,-57%,-57%,19,-10%,E,-10%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,
1113,FruchtTiger Multifrucht Reiner Saft & Stilles Wasser,4045145541502,,,,['France'],[],,,[],,?,30,126 kj(30 kcal),"0,5","0,1","6,6","6,4","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Milana mit Emmentaler & Allgäuer Milch - Milkana - 200g,4045357098337,"['Milkana', 'Savencia']",,,"['France', 'Allemagne']",[],,,[],,?,251,1050 kj(251 kcal),20,13,"6,8","6,8",11,"2,1","0,84",D,200 g,['7 O'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,20 g,en quantité modérée,13 g,en quantité élevée,6.8 g,en quantité modérée,2.1 g,en quantité élevée,,-24%,-23%,-25%,-27%,+462%,+816%,-46%,+62%,+62%,18,+31%,D,+31%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,Schmelzkäsezubereitung,,,,,,,
1115,Creme legere Ramli -,4045500111920,,,,['France'],[],,,[],,?,197,824 kj(197 kcal),18,12,"5,1","3,7","2,9","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,"Bio Joghurt Mit Früchten, Sanddorn Orange - Schwarzwaldmilch",4046700006412,['Schwarzwaldmilch'],,,['France'],"['Joghurt', 'Sanddorn-Orange-Fruchtzubereitung ', 'Rohrohrzucker', '25% Orangenzellen', '12% Sanddornpüree', 'Stärke', 'Zitronensaftkonzentrat', 'Orangenöl']",,,[],,?,459,1920 kj(459 kcal),"3,2","1,9","15,1","14,2","4,4","0,16","0,064",,,,,['en:Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,"Bio H Milch 1, 5% - Schwarzwaldmilch - 1l",4046700501092,['Schwarzwaldmilch'],,['REWE'],"['France', 'Allemagne', 'Suisse']",[],,,[],,?,48,201 kj(48 kcal),"1,5",1,5,5,"3,5","0,12","0,048",,1 l,['Tetra Pak'],,"['Bio', 'Bio européen', 'DE-ÖKO-003']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,Senseo Cappuccino Caramel,4047046008436,['Senseo'],,,['France'],"['ARt', 'NAïlSlïRtïS', 'GESi', 'SStFS GORANKrpug i AUF8ŒWAHRUNG: Wir dir SI NSM', ""' Katferparfs atlttubtaurhen"", ' ZUTATCN: Maqermilcttpulver', 'Zucker', 'qqnp IPI', 'Trennmittet ', '1341', '1551', 'Emutqatot ', 't 481', ' ', 'Inter Schutzatmosphâre AROMATISERET', 'sgDET INSTANT OG OPBEVARING: Yi anbetalet at opbevare SENSU', ""' kgtiqt kokostedt"", 'glukosesirup', ' instant katfe ', ""l'h"", 'aroma', '340', '457', "" 0 'Mil"", 'I emulgatiJt ', '[481', ""Pakket i beskyttende atmosta're"", ' Mindst ho', 'dbar tit: Se at sHAKST1tSATT KAFFEDRIKK OG [PPBEVARING', ' Vi anbetalet à oppbevare SENSECP kattcputct kjgtiq ttt', ""'t il Skummetmelksoutv sukker"", 'herdet kokosfett', 'qlykosesirup', "" pulverkaffe atomat stabilisat0W'"", ' ', '45?', '340', ""0 '84 1"", 'I', 'f4Bl}', "" Pakket i teskyttende atmosfŒ're"", ' Best fgr: Se bunnen av posen', ' KARAMELLiZÜ CUKROZOTT INSTANT KAvÉ ', ' IN IAROLAS: Javasoljuk', 'hogy a kâvépàrnâkat tctbont,is utân h', ""iv0st K'"", 'teipor', 'ctik0', 'telle mértékben hidrogénezett kékuszzsir', 'gliik0zszirup', 'instant kàvé ', '106', ' arotna', '1 34', 'tejteiiéfje', ""q{itlC' "", '8341', 'emulqeâléster ', 'E481', ' Védégàzas csomagolûsban', 'Min6ségét meg6rzi ', 'nap', 'hon', 'qi', 'év', ':']","['E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition']",,"[""Pourrait contenir de l'huile de palme""]",4,?,36,151 kj(36 kcal),"1,6","1,5","4,8",3,"0,7",0,0,,,,['Boissons'],,1.6 g,en quantité modérée,1.5 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,,-36%,-37%,+361%,+1171%,-58%,-68%,+41%,-100%,-100%,9,+17%,D,+17%,,,,,,,,,,,,,,,
