,name,bar_code,brand,traceability_code,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,packaging,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,producer_info,manufacturing,ingredients_origins,link,palm_ingredients,brand_owner
0,Crispy chicken - Carrefour,3560071086312,['Carrefour'],"['EMB 44014B', 'Bignon (Loire-Atlantique, France)']",['Carrefour'],['France'],"['Morceaux de filets de POU/et traités en salaison 73%', 'panés 27%', 'frits et cuits', ' Ingrédients ', 'à la mise en Œuvre', ' : Morceaux de filets de poulet 56%', 'chapelure ', 'farine de blé', 'levure} sel', 'eau', 'farine de blé', 'amidon modifié de manioc', 'épices ', 'dont poivre', 'piment', 'sel', 'arôme', 'poudres à lever : E450 E500f épaississant : algue Euchéma transformées', 'gluten de blé', ' Huile de tournesol Pourcentages exprimés sur le produit total avant friture', ' - Peut_contenir des traces de lait et œuf']","['E14XX - Amidons modifiés', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition']",['Gluten'],"['Non végétalien', 'Non végétarien']",4,?,247,1033 kj(247 kcal),11,"1,4",21,"1,2",15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mini financiers aux amandes et à la framboise - Carrefour Sélection - 120g,3560071091187,"['Carrefour Sélection', 'Carrefour']","['EMB 23040', 'Celle-sous-Gouzon (Creuse, France)']",['Carrefour'],['France'],"['Sucre roux de canne', ""blancs d'œufs"", 'beurre 19 %', ""poudre d'amandes 13,7 %"", 'farine de blé', 'humectant : glycérol', 'brisures de framboises 2,8 %', 'éclats de biscuit à la framboise 2,8 % ', 'framboises', 'sucre', 'farine de blé', 'arôme naturel de framboise 0,9 %', 'poudres à lever : carbonates et diphosphates de sodium', 'amidon de blé', ""préparation à base de jus de citron et d'agrumes à base de concentrés et de pulpes micronisées "", 'jus à base de concentrés de citron', 'orange et pamplemousse', 'eau', 'pulpes de pamplemousse', 'acidifiant : acide citrique', 'arômes naturels', 'antioxydant : acide ascorbique', 'œufs', 'sel', 'arôme ', 'contient alcool']","['E422 - Glycérol', 'E500 - Carbonates de sodium', 'E450i - Pyrophosphate de sodium acide', 'E330 - Acide citrique', 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,?,432,1807 kj(432 kcal),25,12,44,31,"7,9","0,59","0,236",D,120 g,['Carton'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Financiers', 'Financiers aux framboises']",['Approuvé par Gault & Millau'],25 g,en quantité élevée,12 g,en quantité élevée,31 g,en quantité élevée,0.59 g,en quantité modérée,,-4%,-4%,-7%,-6%,+2%,-4%,-3%,+78%,+78%,21,-3%,E,-3%,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,,,,,,,,
2,Ethiopie Yrgacheffe - Carrefour Sélection - 52g,3560071093310,"['Carrefour Sélection', 'Carrefour']","['EMB 59368F', 'Madeleine (Nord, France)']",['Carrefour'],['France'],"[""100 % café moulu Arabica d' Ethiopie Yrgacheffe""]",,,[],,?,1,4 kj(1 kcal),1,1,1,0,0,0,0,,52 g,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",['Fabriqué en France'],,,,,,,,,,-93%,-95%,+32%,+154%,-58%,-100%,-100%,-100%,-100%,,,,,,,,,,,,Capsules de café moulu pur Arabica.,Voir F22,Torréfié et conditionné par EMB59368F pour Interdis.,,,,,
3,Sirop citron,3560071094034,,,,['France'],[],,,[],,?,308,1289 kj(308 kcal),0,0,74,70,0,,,B,,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",,,,,,,,,,,+46%,+44%,-100%,-100%,+41%,+41%,-100%,,,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,
4,Galettes de pommes de terre - Carrefour,3560071094416,['Carrefour'],"['EMB 68298', 'Sainte-Marie-aux-Mines (Haut-Rhin, France)']",['Carrefour'],['France'],"['Pommes de terre 71%', 'faine de blé', 'œufs frais 7,9%', 'huile de tournesol', 'sel', 'plantes aromatiques déshydratées ', 'échalote', 'persil', 'ail', 'ciboulette', 'épices ', 'muscade', 'poivre', ',']",,['Œufs'],['Non végétalien'],3,?,207,866 kj(207 kcal),"8,8","1,2",26,1,"4,3","0,62","0,248",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Aliments à base de plantes surgelés', 'Pommes de terre surgelés']",,8.8 g,en quantité modérée,1.2 g,en faible quantité,1 g,en faible quantité,0.62 g,en quantité modérée,,+28%,+26%,+37%,-10%,+27%,+7%,+72%,+20%,+20%,1,,B,,,,,,,,,,,,,,,,
5,Filets de thon listeo au citron - Carrefour,3560071094553,['Carrefour'],"['EMB 92026O', 'Courbevoie (Hauts-de-Seine, France)']",['Carrefour'],['France'],[],,,[],,?,158,661 kj(158 kcal),"7,8",1,"1,9",1,20,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Gâteau aux Amandes - Carrefour Sélection - 310g e,3560071095277,['Carrefour Sélection'],"['EMB 33063', 'Bordeaux (Gironde, France)']",['Carrefour'],['France'],"['Sucre de canne', 'amandes en poudre 31 %', 'farine de blé', 'farine de blé complète', 'amandes effilées 3 %', 'poudres à lever : diphosphates et carbonates de sodium', 'épaississant : gomme xanthane', 'antioxydant : extraits de romarin']","['E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane', 'E392 - Extrait de romarin']","['Gluten', 'Fruits à coque']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,466,1950 kj(466 kcal),18,"1,5",63,53,10,"0,5","0,2",,310 g e,"['Carton', 'boîte', 'Plastique']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aides culinaires', 'Produits déshydratés', 'Gâteaux', 'Préparations pour desserts', 'Produits lyophilisés à reconstituer', 'Aides à la pâtisserie', 'Préparations pour gâteaux']",['Approuvé par Gault & Millau'],,,,,,,,,,+25%,+26%,+75%,-65%,+7%,+76%,+67%,-20%,-20%,,,,,,,,,,,,Préparation en poudre pour Gâteau aux Amandes,,,,,,,
7,Foie gras entier - Carrefour - 200g,3560071095741,['Carrefour'],"['FR 40.230.005 CE', ""Pontonx-sur-l'Adour (Landes, France)""]",['Carrefour'],['France'],[],,,[],,?,550,2301 kj(550 kcal),56,25,"3,4","0,9","7,3","0,8","0,32",B,200 g,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers']","['Viande Française', 'Canard Français', 'IGP']",56 g,en quantité élevée,25 g,en quantité élevée,0.9 g,en faible quantité,0.8 g,en quantité modérée,,+4%,+4%,+3%,+8%,+40%,-33%,-3%,-33%,-33%,19,-8%,E,-8%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,['France'],,,,
8,9 précieux - Carrefour - 126g,3560071095772,['Carrefour'],"['EMB 44223B', 'Geneston (Loire-Atlantique, France)']",['Carrefour'],['France'],"['Sucre', 'beurre', 'amandes 8,7%', 'sucre glace', 'marrons 7,6%', ""blanc d'œuf"", 'œuf', 'fromage frais ', 'crème de lait', ""correcteur d'acidité : acide citrique"", 'lait entier', 'praliné noisette 3,8% ', 'noisettes 2,2%', 'sucre', 'crème', 'jus de citron 2,9%', ""jaune d'œuf"", 'noisettes 2,3%', 'spécialité fromagère ', 'lait entier', 'crème', 'protéine de lait', 'sel', 'sirop de glucose', 'meringue 0,8% ', 'sucre', ""blanc d'œuf"", 'épaississants : adipate de diamidon acétylé - gomme xanthane - gomme guar - carraghénanes', 'amidon de maïs', 'fécule de pomme de terre', 'rhum', 'extrait de vanille', 'colorant : curcumine', 'grains de vanille épuisée', 'cacao en poudre', "" Peut contenir des traces d'arachides"", 'de graines de sésame', 'de gluten', ""de soja et d'autres fruits à coques""]","['E330 - Acide citrique', 'E1422 - Adipate de diamidon acétylé', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E100 - Curcumine']","['Œufs', 'Lait', 'Fruits à coque']",['Non végétalien'],4,1673,400,1673 kj(400 kcal),22,"7,8",43,42,"7,4","0,12","0,048",,126 g,,"['Desserts', 'Surgelés', 'Desserts glacés']","['Point Vert', 'Fabriqué en Belgique', 'Fabriqué en France']",22 g,en quantité élevée,7.8 g,en quantité élevée,42 g,en quantité élevée,0.12 g,en faible quantité,+87%,+98%,+97%,+159%,+42%,+53%,+78%,+205%,-0%,-0%,18,+59%,D,+59%,,,,,,,,"Assortiment de 9 pâtisseries congelées composées de 3 biscuits (32,5%) aux amandes, garnis d'une préparation (64,7%) au citron et décorés d'une meringue (2,8%), de 3 biscuits (26%) aux amandes et à la vanille, garnis d'une préparation (54%) au praliné et d'une préparation (13,3%) à la vanille, décorés de noisettes, de 3 biscuits (26%) aux amandes, garnis d'une préparation (54%) aux marrons et d'une préparation (13,3%) à la vanille, décorés de morceaux de biscuit (6,4%)",,Fabriqué en France par EMB 44223B pour Interdis,,,,,
9,"8 Eclairs Chocolat, Vanille, Fruit de la passion, Cassis - Carrefour - 120g",3560071095789,['Carrefour'],"['EMB 44223C', 'Geneston (Loire-Atlantique, France)']",['Carrefour'],['France'],"['Lait', 'sucre', 'œuf', 'eau', 'cassis 6,7%', 'chocolat blanc ', 'sucre', 'beurre de cacao', 'poudre de lait entier', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'beurre', 'farine de blé', 'fruits de la passion 4,3%', 'purée de pomme ', 'pomme', 'sucre', 'antioxydant : acide ascorbique', 'noix de pécan caramélisées 2,5% ', 'noix de pécan 2,4%', 'sucre', 'sirop de glucose', 'miel', 'flocons de chocolat 1,5% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'poudre de l_ait_ entier', 'matière grasse laitière anhydre', 'arôme naturel de vanille', 'amidon de maïs', 'sirop de glucose', 'chocolat au lait 1,2% ', 'sucre', 'poudre de lait entier', 'beurre de cacao', 'pâte de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ""jaune d'oeuf"", 'chocolat noir 1% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'arôme naturel de vanille', 'chocolat noir 0,9% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'épaississants : adipate de diamidon acetylé-pectines-carraghénanes', 'pâte de cacao', 'noisettes 0,5%', 'noix de coco 0,25%', 'sel', 'colorants : rouge de betterave - anthocyanes - curcumine', 'arôme naturel de cassis', 'jus de citron', 'poudre de vanille', 'gluten de blé', 'acidifiant : acide citrique', 'grains de vanille épuisée', 'agent de traitement de la farine : acide ascorbique']","['E322i - Lécithine', 'E300 - Acide ascorbique', 'E1422 - Adipate de diamidon acétylé', 'E162 - Rouge de betterave', 'E163 - Anthocyanes', 'E100 - Curcumine', 'E330 - Acide citrique']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,1548,371,1548 kj(371 kcal),21,12,38,28,"5,9","0,5","0,2",,120 g,,"['Desserts', 'Surgelés', 'Desserts glacés']",['Fabriqué en France'],21 g,en quantité élevée,12 g,en quantité élevée,28 g,en quantité élevée,0.5 g,en quantité modérée,+73%,+84%,+82%,+148%,+119%,+35%,+19%,+143%,+317%,+317%,21,+86%,E,+86%,,,,,,,,"Assortiment de 8 mini éclairs congelés composés de 2 choux (29%) garnis d'une préparation (51%) au cassis, glacés et décorés de noisettes, de 2 choux (29%) garnis d'une préparation (47%) au chocolat, glacés et décorés de flocons de chocolat, de 2 choux (29%) garnis d'une préparation (52%) au fruit de la passion, glacés et décorés de noix de coco, de 2 choux (29%) garnis d'une préparation (43%) à la vanille, glacés et décorés d'éclats de noix de pécan caramélisées.",,Fabriqué en France par EMB 44223C pour Interdis,,,,,
10,"Ecrasé de pommes de terre,saumon et epinards - Carrefour",3560071097318,['Carrefour'],"['EMB 22182', ""Plélo (Côtes-d'Armor, France)""]",['Carrefour'],['France'],"['Épinard 22,5%', 'saumon ', 'Salmo salar', ' 22%', 'pommes de terre 21,9%', 'eau', 'crème fraîche 5,6%', 'oignon', 'emmental 2,8%', 'farine de blé', 'amidon modifié de manioc', 'huile de tournesol', 'lait écrémé en poudre', 'fumet de poisson ', 'sel', 'poisson en poudre', 'extrait de vin blanc', 'fructose', 'plantes aromatiques', 'jus de citron déshydraté et extrait de citron', ""huile d'olive"", 'extraits de plantes aromatiques', 'sel', 'poisson en poudre', 'huile de poisson', 'jus de citron', 'poivre blanc']",['E14XX - Amidons modifiés'],"['Poisson', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,?,107,448 kj(107 kcal),"5,5","2,6",7,"0,9","6,6","0,41","0,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Cabillaud pomme de terre et patate douce - Carrefour - 325g,3560071098087,['Carrefour'],"['EMB 22182', ""Plélo (Côtes-d'Armor, France)""]",['Carrefour'],['France'],"['Pomme de terre 25,1%', 'cabillaud MSC ', 'Gadus morhua', ' o', 'patate douce 17,2%', 'eau', 'poireaux 8,7%', 'crème fraîche 7,9%', 'lait écrémé en poudre', 'beurre', 'amidon de maïs', 'persil', 'persil déshydraté', 'vin blanc', 'sel', 'ail', 'fumet de poisson ', 'sel', 'poisson en poudre', 'extrait de vin blanc', 'fructose', 'plantes aromatiques', 'jus de citron déshydraté et extrait de citron', ""huile d'olive"", 'extraits de plantes aromatiques', ' Peut contenir des traces de mollusques', 'crustacés', 'gluten', 'soja', 'œuf', 'céleri', 'moutarde', 'fruits à coque et graines de sésame']",,['Lait'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,?,106,444 kj(106 kcal),"4,2","2,9",11,"4,3","5,7","0,59","0,236",,325g,['Film en plastique'],"['Surgelés', 'Plats préparés', 'Plats préparés au poisson', 'Plats à base de pommes de terre', 'Plats préparés surgelés', 'Plats au cabillaud']","['Sans conservateurs', 'Pêche durable', 'Pêche durable MSC']",4.2 g,en quantité modérée,2.9 g,en quantité modérée,4.3 g,en faible quantité,0.59 g,en quantité modérée,,-5%,-5%,-9%,+76%,+7%,+183%,-16%,-10%,-10%,1,+327%,B,+327%,,,,,,,,,,,,,,,
12,Pizza au fromage et jambon sans gluten - Carrefour - 350g,3560071098438,['Carrefour'],"['EMB 69194C', ""Saint-Didier-au-Mont-d'Or (Rhône, France)""]",['Carrefour'],['France'],[],,,[],,?,238,996 kj(238 kcal),8,"2,7",33,"1,4","7,9","1,1","0,44",C,350 g,"['Carton', 'surgelé', 'Etui en carton', 'Film en plastique']","['Surgelés', 'Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Pizzas', 'Plats au porc', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizza jambon fromage']",['en:gluten-free'],8 g,en quantité modérée,2.7 g,en quantité modérée,1.4 g,en faible quantité,1.1 g,en quantité modérée,,+8%,+8%,+17%,-21%,+20%,-53%,-25%,-22%,-22%,4,-49%,C,-49%,65.3%,14.8%,5.7%,4.3%,2.1%,7.8%,60,,,,,,,,
13,Pommes de Terre Persillées et Poulet Rôti - Carrefour - 350g e,3560071098469,['Carrefour'],"['EMB 22182', ""Plélo (Côtes-d'Armor, France)""]",['Carrefour'],['France'],"['Pomme de terre 47,1 %', 'eau', 'bouchée de poulet traité en salaison rôti 15', '4 % ', 'filets de poulet 13,1 %', 'dextrose', 'sel', 'champignon de Paris 3,8 %', 'oignon', 'huile de tournesol', 'ail', 'amidon modifié de mais', 'tomate mi-séchée aux herbes ', 'tomate', 'huile de colza', 'sel', 'ail', 'origan', 'sel', 'persil 0,4 %', 'concentré de tomate', 'romarin', 'poivre', 'maltodextrine', 'fécule', 'graisse et extrait de poulet', 'épice et plante aromatique', 'extrait de plante aromatique']",['E14XX - Amidons modifiés'],,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,?,77,322 kj(77 kcal),"2,4","0,3","7,3","1,2","5,8","0,9","0,36",C,350 g e,"['Surgelé', 'Carton', 'Plastique']","['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats préparés surgelés', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes']","['Point Vert', 'Fabriqué en France']",2.4 g,en faible quantité,0.3 g,en faible quantité,1.2 g,en faible quantité,0.9 g,en quantité modérée,,-48%,-48%,-59%,-82%,-47%,-38%,-28%,+7%,+7%,-1,-170%,A,-170%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,['France'],['France'],,,
14,"Riz basmati au pavot, cabillaud - Carrefour - 350g",3560071098476,['Carrefour'],,['Carrefour'],['France'],"['Riz basmati cuit 38,6% ', 'eau ', 'cabillaud MSC ', 'Gadus morhua', ' 20%', 'concentré de tomate 5,3%', 'oignon', 'crème fraîche', 'huile de tournesol', 'basilic 1 %', 'sel', 'amidon modifié de maïs', 'ail graine de pavot bleu 0,2%', 'persil déshydraté 0,05%', 'poivre', ' Peut contenir des traces de gluten', 'crustacés', 'mollusques', 'fruits à coque', 'céleri', 'graines de sésame', 'moutarde et soja']",['E14XX - Amidons modifiés'],['Lait'],"['Non végétalien', 'Non végétarien']",4,?,107,448 kj(107 kcal),"3,4","1,2",14,"1,2","5,2","0,9","0,36",,350 g,,"['Surgelés', 'Plats préparés', 'Plats préparés au poisson', 'Plats à base de riz', 'Plats préparés surgelés', 'Plats préparés à réchauffer au micro-ondes', 'Plats au cabillaud']","['Pêche durable', 'Pêche durable MSC']",3.4 g,en quantité modérée,1.2 g,en faible quantité,1.2 g,en faible quantité,0.9 g,en quantité modérée,,-4%,-4%,-26%,-27%,+36%,-21%,-23%,+38%,+38%,2,+755%,B,+755%,,,,,,,,,,,,,,,
15,Nouilles à la chinoise - Carrefour,3560071098490,['Carrefour'],"['EMB 14047E', 'Bayeux (Calvados, France)']",['Carrefour'],['France'],"['Nouilles précuites 40% ', 'eau', 'semoule de blé dur', 'oeuf entier en poudre', 'sel', 'huile de tournesol', 'farine de blé', 'farine de malt de blé', ""extrait de malt d'orge"", 'curcuma', 'carottes jaunes 10,1%', 'eau', 'épinards 7,6%', 'carottes 7%', 'tomates 6%', 'poivrons rouges 6%', 'champignons noirs 4,4%', 'petits pois 3,7%', 'sauce soja concentrée 1,5% ', 'eau', 'soja', 'farine de blé', 'sel', 'alcool de canne à sucre', 'miel', 'oignon 0,5%', 'sauce nuoc mâm ', 'extrait de poisson', 'sel', 'sucre', 'coriandre', 'huile de tournesol', 'amidon modifié de maïs de riz', 'épices et plantes aromatiques', 'sucre', 'sel', ""correcteur d'acidité : acide acétique"", 'anchois', 'jus de citron concentré', 'farine de riz', 'jus de citron déshydraté et extrait de citron']","['E14XX - Amidons modifiés', 'E260 - Acide acétique']","['Poisson', 'Gluten', 'Soja']","['Non végétalien', 'Non végétarien']",4,?,91,381 kj(91 kcal),"1,5","0,3",16,3,"3,5","0,65","0,26",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles', 'Nouilles chinoises']",,1.5 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0.65 g,en quantité modérée,,-64%,-64%,-71%,-85%,-62%,+43%,-51%,-47%,-47%,-1,-137%,A,-137%,,,,,,,,,,,,,,,
16,Gnocchi sauce fromage - Carrefour,3560071099367,['Carrefour'],,['Carrefour'],['France'],[],,,[],,?,181,757 kj(181 kcal),"7,5","4,7",21,7,"5,8","0,83","0,332",,,,['Plats préparés'],,7.5 g,en quantité modérée,4.7 g,en quantité modérée,7 g,en quantité modérée,0.83 g,en quantité modérée,,+12%,+13%,+5%,+106%,+57%,+237%,-17%,-12%,-12%,7,+78%,C,+78%,,,,,,,,,,,,,,,
17,"Galettes au blé - Pistou, fromage - Carrefour Veggie",3560071100001,['Carrefour Veggie'],"['EMB 14738A', 'Verson (Calvados, France)']",['Carrefour'],['France'],"['Eau', 'blé entier précuit 16% ', 'eau', 'blé dur 5%', 'protéines de blé texturées déshydratées 12,6%', 'tomates 11%', 'oignons préfrits ', 'oignons', 'huile de tournesol', "",huile d'olive vierge extra 6%"", 'fromage 5% ', 'lait de vache', 'sel', 'coagulant microbien', 'basilic 4,5%', 'ail 2,2%', 'fibres de blé', 'farine de blé', 'épaississant sel', ""vinaigre d'alcool"", 'méthylcellulose', 'fibres de psyllium', 'Fabriqué dans un atelier utilisant : poissons', 'mollusques', 'crustacés', 'moutarde', 'soja', 'céleri et œuf']",['E461 - Méthylcellulose'],"['Gluten', 'Lait']",['Non végétalien'],4,?,180,753 kj(180 kcal),"9,1","2,1","7,3","1,5",15,"0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Lait de montagne - Carrefour,3560071100216,['Carrefour'],"['EMB 63345', 'Saint-Genès-Champanelle (Puy-de-Dôme, France)', 'EMB 23013', 'Auzances (Creuse, France)']",['Carrefour'],['France'],[],,,[],,?,46,192 kj(46 kcal),"1,6",1,"4,8","4,8","3,2","0,13","0,052",D,,,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Produits de montagne', 'Laits demi-écrémés', 'Laits UHT', 'Laits de montagne']",['Fabriqué en France'],1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.13 g,en faible quantité,,-10%,-10%,-25%,-23%,+0%,+1%,0%,+21%,+21%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,,,
19,Jus de citron - En Cuisine - 1L,3560071106492,['En Cuisine'],,,['France'],"['Jus de citron à base de concentré', 'conservateur : disulfite de potassium']","['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",['Anhydride sulfureux et sulfites'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,26,109 kj(26 kcal),?,,2,2,?,0,0,D,1 L,"['Bouteille', 'Plastique']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",['Produits destinés aux professionnels'],,,,,2 g,en faible quantité,0 g,en faible quantité,,-4%,-3%,,,-44%,+20%,,-100%,-100%,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,Jus de citron à base de concentré,,,['Italie'],,,,
20,Moulage de confiserie au beurre de cacao aromatisée - Esprit de Fête - 155g e,3560071109257,['Esprit de Fête'],"['EMB 68129', 'Heimsbrunn (Haut-Rhin, France)']",['Carrefour'],['France'],"['Sucre', 'beurre de cacao', 'lait entier en poudre', 'lactosérum en poudre', 'pâte de cacao', 'arôme', 'colorant: rouge de betterave', 'émulsifiant lécithines ', 'soja', ',extrait de vanille']","['E162 - Rouge de betterave', 'E322 - Lécithines']","['Lait', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,2236,535,2236 kj(535 kcal),31,19,59,59,"4,7","0,24","0,096",,155 g e,"['Sachet', 'Plastique']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Moulages en chocolat', 'Cochons en chocolat']",['Fabriqué en France'],31 g,en quantité élevée,19 g,en quantité élevée,59 g,en quantité élevée,0.24 g,en faible quantité,-3%,-3%,-3%,-9%,-10%,+10%,+13%,-29%,+22%,+22%,27,+3%,E,+3%,,,,,,,,Moulage de confiserie au beurre de cacao aromatisée (94.3%) avec décors chocolat noir (5.8%) et chocolat blanc (0.2%),,,['France'],,,,
21,Quiche lorraine - Produits Blancs - 400g,3560071120450,['Produits Blancs'],,,['France'],"['Eau', 'farines ', 'farine de blé', 'farine de fèves', 'farine de blé malté', 'agent de traitement de la farine : acide ascorbique', '_crème_fraîche 8,8%', 'œufs 8,8 %', 'margarine ', 'huiles et graisses végétales ', 'palme', 'colza', 'eau', 'sel', ""émulsifiant: mono - et diglycérides d'acides gras"", 'acidifiant : acide citrique', 'colorant: caroténoïdes', 'fromage blanc', 'blanc d’œufs 3,8 % ', 'lardons fumés 2,4 % ', 'poitrine de porc', 'sel', 'dextrose', 'lactose', 'sirop de glucose', 'arôme de fumée', 'arômes ', 'contient céleri', 'acidifiants acide citrique - acétates de sodium - lactate de sodium - lactate de potassium', 'antioxydants érythorbate de sodium', 'ascorbate de sodium', 'conservateur: nitrite de sodium', 'ferments', 'amidon modifié de mais et/ou de riz', 'lactose et protéines de _lait', 'jambon cuit standard 1,7% ', 'jambon de porc', 'eau', 'sel', 'sirop de glucose', 'stabilisants: triphosphates et diphosphates', 'dextrose', 'arômes', 'gélifiant: carraghénanes', 'antioxydant: érythorbate de sodium', 'conservateur: nitrite de sodium', 'sel', 'crème', 'muscade', 'poivre', 'extraits de poivre et de muscade']","['E300 - Acide ascorbique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160 - Caroténoïdes', 'E262 - Acétates de sodium', 'E325 - Lactate de sodium', 'E326 - Lactate de potassium', 'E316 - Érythorbate de sodium', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['Céleri', 'Œufs', 'Gluten', 'Lait']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,?,244,1021 kj(244 kcal),14,"7,4",22,"2,7","5,7",1,"0,4",D,400 g,"['Carton', 'Frais', 'Plastique']","['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",,14 g,en quantité modérée,7.4 g,en quantité élevée,2.7 g,en faible quantité,1 g,en quantité modérée,,-8%,-7%,-14%,-15%,+14%,+17%,-39%,-4%,-4%,14,-1%,D,-1%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,"Pâte feuilletée 39,6% garnie d'une préparation à base de lardons fumés et jambon cuit standard. - Quiche Lorraine",,,,,,,
