,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,ingredients_origins,nova_score,sugar_quantity,sugar_comment,nutriment_sugars_tr_diff,saturated_acids_quantity,saturated_acids_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,nutriment_saturated-fat_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,allergens,additives,palm_ingredients,link
0,"2 Escalopes de Poulet Fermier Jaune du Sud-Ouest élevé en plein air - Leader Price - 2escalopes, 0.311kg",2662100031629,D,"2 escalopes, 0.311 kg","['barquette - plastique', 'film - plastique']",['Leader Price'],"['Viandes', 'Volailles', 'Poulets']",['Label Rouge'],['France'],"['FR 33.036.001 CE', 'Bazas (Gironde, France)']","['Franprix', 'Leader Price']",['France'],['Escalopes de Poulet Fermier Jaune du Sud-Ouest élevé en plein air'],[],1 g,en faible quantité,454,-34%,?,,454 kj(109 kcal),-28%,1,-83%,"0,5",-75%,24,+18%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pao da avó peq,2665957001067,,,,,,,,,,['France'],[],[],,,?,,241,,1008 kj(241 kcal),,1,,"48,4",,"7,9",,,,,,,,,1,1,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,
2,Carrefour Le boeuf Steak - Carrefour Bio,2666116039365,,,,['Carrefour Bio'],,['Bio'],,,['Carrefour'],['France'],[],[],,,?,,413,,1728 kj(413 kcal),,33,,1,,28,,,,,,,,,21,1,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,
3,2 biftecks - Carrefour - 280g,2666116041399,,280 g,"['Papier', 'Plastique']","['Carrefour', 'Carrefour Bio']","['Viandes', 'Bœuf', 'Biftecks']","['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique', 'Origine France']",['France'],"['EMB 84054K', 'Isle-sur-la-Sorgue (Vaucluse, France)', 'EMB 72080B', 'Cherré (Sarthe, France)', 'FR 72.080.002 CE', 'Cherré (Sarthe, France)']","['Carrefour Market', 'Carrefour']",['France'],['2 steaks **'],[],,,?,,?,,,,?,,?,,?,,,,,,,,,,,,,biftecks,['France'],,,,,,,,,,,,,,,,,,,
4,Grillade de porc à la provençale,2666155018246,,,,,,,,,,['France'],[],[],,,?,,248,,1038 kj(248 kcal),,20,,"1,1",,16,,,,,,,,,7,"0,8","0,79","0,316",,,,,,,,,,,,,,,,,,,,,
5,"Foie de veau - Socopa - 0,144kg",2666271019363,,"0,144 kg","['Frais', 'Plastique']",['Socopa'],"['Viandes', 'Poissons et viandes et oeufs', 'Abats', 'Viandes de veau', 'Foies']",,,"['FR 72.080.002 CE', 'Cherré (Sarthe, France)']",,['France'],['Foie de veau'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3.4 g,en quantité modérée,413,-33%,?,,413 kj(99 kcal),-45%,"3,4",-69%,0,-100%,"16,9",+2%,,,,,,,,,0,,,1 tranche de foie,,1,0 g,en faible quantité,-100%,,,,,,,,,,,,,,,
6,Foie de veau,2666271029584,,,,,['en:Foie de veau'],,,,,['France'],[],[],4.8 g,en quantité modérée,?,,135,,565 kj(135 kcal),,"4,8",,"2,9",,20,,,,,,,,,"1,6",0,"0,19","0,076",,,,0 g,en faible quantité,,1.6 g,en quantité modérée,0.19 g,en faible quantité,-3,A,,,,,,,,,
7,"Foie de veau - Socopa - 0,159kg",2666271029713,E,"0,159 kg",['Barquette'],['Socopa'],"['Viandes', 'Viandes de veau', 'Foie de veau']",,,,,['France'],['Foie de veau'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3.4 g,en quantité modérée,413,,?,,413 kj(99 kcal),-25%,"3,4",-25%,0,-100%,"16,9",-12%,96.9%,0.5%,1.0%,0.9%,0.5%,0.1%,16,,0,,,Foie de veau,,1,0 g,en faible quantité,-100%,,,,,,,,,,,,,,,
8,"Foie d'agneau - Sans marque - 0,140kg",2666789009580,E,"0,140 kg","['Plastique', 'Barquette']","['Sans marque', 'Socopa', 'Sélectionné par nos tripiers']","['Viandes', ""Viandes d'agneau"", ""Foie d'agneau""]",,,,['Carrefour market'],['France'],"[""foie d'agneau""]",[],5 g,en quantité modérée,556,-22%,?,,556 kj(133 kcal),-11%,5,-29%,"1,8",+36%,20,+6%,98.2%,0.2%,0.7%,0.6%,0.4%,0.1%,6,"1,9",0,"0,18","0,072",Foie d'agneau,,,0 g,en faible quantité,-100%,1.9 g,en quantité modérée,0.18 g,en faible quantité,-3,A,-30%,-82%,-82%,-207%,-207%,,,,
9,Rognon De Boeuf - Socopa,2666836021978,,,,['Socopa'],,"['Viande Française', 'Viande-bovine-francaise']",,,,['France'],[],[],,,?,,92,,385 kj(92 kcal),,?,,?,,17,,,,,,,,,5,0,"0,45","0,18",,,,,,,,,,,,,,,,,,,,,
10,Cuisse de lapin - Monoprix,2666882077349,D,,,['Monoprix'],"['Viandes', 'Viande de lapin']","['Viande-francaise', 'Lapin Français']",,,['Monoprix'],['France'],[],[],2.4 g,en faible quantité,?,,463,+201%,1937 kj(463 kcal),+192%,"2,4",-70%,0,-100%,22,+12%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,"0,6",0,"0,14","0,056",,,,0 g,en faible quantité,-100%,0.6 g,en faible quantité,0.14 g,en faible quantité,0,B,-75%,-72%,-72%,-100%,-100%,,,,
11,2667825077730,2667825077730,,,,,,['Point Vert'],,,,['France'],[],[],,,?,,?,,,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Grillade de porc,2667829009317,,,,,,,,,,['France'],[],[],,,?,,?,,,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Véritable andouille de Guémené à l'ancienne fumée - Atelier de l'Argoat - 264g,2670102041393,D,264 g,"['Sachet', 'Plastique', 'Sous atmosphère protectrice']","[""Atelier de l'Argoat""]","['Viandes', 'Charcuteries', 'Frais', 'Charcuteries cuites', 'Andouilles', 'Andouilles de Guémené']","['Viande-francaise', 'en:produced-in-bretagne', 'Viande-porcine-francaise', 'Fait Main']","['France', 'Bretagne', 'Ille et Vilaine', 'Plélan Le Grand']","['FR 35.223.002 CE', 'Plélan-le-Grand (Ille-et-Vilaine, France)', 'EMB 35223C', 'Plélan-le-Grand (Ille-et-Vilaine, France)']",['Carrefour'],['France'],"['Chaudins de porc français', 'enveloppe : baudruche de boeuf', 'sel', 'poivre']",[],20 g,en quantité modérée,1046,,252,+1%,1046 kj(252 kcal),+1%,20,-1%,0,-100%,18,+10%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,"9,6",0,"2,9","1,16",Véritable andouille de Guémené à l'ancienne fumée,['France'],3,0 g,en faible quantité,-100%,9.6 g,en quantité élevée,2.9 g,en quantité élevée,22,E,-5%,+21%,+21%,+2%,+2%,,,,
14,2670184049850,2670184049850,,,,,,,,,,['France'],[],[],,,?,,?,,,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Saucisson de cheval,2670232015097,,,,,,,,,,['France'],[],[],,,?,,265,,1109 kj(265 kcal),,20,,8,,13,,,,,,,,,"7,5","1,3","2,3","0,92",,,,,,,,,,,,,,,,,,,,,
16,Comté - JuraFlore,2671346031683,D,,,['JuraFlore'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],,"['FR 39.434.001 CE', 'Poligny (Jura, France)']",,['France'],"['COMTÉ Fromage à pâte cutte IngrédietTts : latt cru', 'ferments lactiques ', 'laft', 'sel', ""film PENSEZ AU TRI ! Afiné et Fromageries Amaud 39800 POLIGNY Acorewente+4'Cet+8'C""]",[],35 g,en quantité élevée,?,,418,+5%,1749 kj(418 kcal),+6%,35,+7%,0,-100%,27,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,23,0,"0,9","0,36",,,,0 g,en faible quantité,-100%,23 g,en quantité élevée,0.9 g,en quantité modérée,13,D,+6%,-8%,-8%,-3%,-3%,['Lait'],,,
17,Magret canard piment d'espelette - Delpeyrat,2672683104177,,,,['Delpeyrat'],,,,"['FR 40.281.001 CE', 'Saint-Pierre-du-Mont (Landes, France)']",,['France'],[],[],,,?,,333,,1393 kj(333 kcal),,29,,10,,17,,,,,,,,,10,"0,8","0,59","0,236",,,,,,,,,,,,,,,,,,,,,
18,Paupiette de veau - Carrefour,2672897036349,E,,,['Carrefour'],"['Viandes', 'Viandes de veau', 'Paupiette de veau']",,,"['FR 24.053.001 CE', 'Boulazac (Dordogne, France)']",['Carrefour'],['France'],[],[],16.1 g,en quantité modérée,?,,224,-7%,937 kj(224 kcal),-5%,"16,1",-15%,"3,4",+55%,"16,3",+13%,91.6%,4.0%,1.1%,0.9%,0.5%,1.9%,15,"6,4","0,4","0,7","0,28",,,,0.4 g,en faible quantité,-11%,6.4 g,en quantité élevée,0.7 g,en quantité modérée,11,D,-16%,-25%,-25%,-15%,-15%,,,,
19,découpe de poulet fermier de l'Ardèche cou nu jaune - Les Fermiers de l'Ardèche - 316g,2674589038440,C,316 g,"['Plastique', 'Barquette']","[""Les Fermiers de l'Ardèche""]","['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['Viande Française', 'Label Rouge', 'Volaille-francaise', 'Élevé en plein air']",,"['FR 07.089.001 CE', 'Félines (Ardèche, France)']",['Leclerc'],['France'],['découpe de poulet fermier cou nu jaune'],[],,,?,,?,,,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,poulet,"['France', 'Ardèche']",,,,,,,,,,,,,,,,,,,
20,Lomo au piment doux,2676319040679,,,,,,,,,,['France'],[],[],,,?,,112,,469 kj(112 kcal),,"3,4",,3,,"20,2",,,,,,,,,"1,3",1,2,"0,8",,,,,,,,,,,,,,,,,,,,,
21,Saussisson sec - Maison CHASSAGNARD,2678238039031,,,,['Maison CHASSAGNARD'],"['Viandes', 'Charcuteries', 'Charcuteries diverses']",,,,,['France'],"['30g ', ' Sel : q,5g', ' lg ', 'dont cucrcs lg', ' : Protéines BRRRERU Corrézien INGREOIENTS : HaiQrc gras de porc', ' GCI', 'LRCTOSE', ' Dextrose', 'Vin 2010', 'Epiccte Conservateur Salpàtrt Viande origine UE', '155g pour 100g Pdt fini', ' 0502', '18']",[],32 g,en quantité élevée,?,,409,+39%,1711 kj(409 kcal),+41%,32,+31%,1,-43%,30,+100%,,,,,,,,12,1,"4,9","1,96",,,4,1 g,en faible quantité,+28%,12 g,en quantité élevée,4.9 g,en quantité élevée,25,E,+30%,+151%,+151%,+33%,+33%,,,,
22,Saucisson sec,2678238039628,D,,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,,,,['France'],[],[],32 g,en quantité élevée,?,,409,+1%,1711 kj(409 kcal),+1%,32,+1%,1,-55%,30,+9%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,12,1,"4,9","1,96",,,,1 g,en faible quantité,-27%,12 g,en quantité élevée,4.9 g,en quantité élevée,25,E,-2%,+5%,+5%,+4%,+4%,,,,
23,"Saucisson sec - Maison Chassagnard - 0,256kg",2678238040679,D,"0,256 kg",,['Maison Chassagnard'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['Point Vert'],,"['FR 19.073.003 CE', 'Égletons (Corrèze, France)']",,['France'],"['Maigre et gras du porc', 'sel', 'lactose', 'Dextrose', 'Vin 2%', 'Epices', 'Conservateur Selpâtre']",['Non végétalien'],32 g,en quantité élevée,?,,409,+1%,1711 kj(409 kcal),+1%,32,+1%,1,-55%,30,+9%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,12,1,"4,9","1,96",,,4,1 g,en faible quantité,-27%,12 g,en quantité élevée,4.9 g,en quantité élevée,25,E,-2%,+5%,+5%,+4%,+4%,['Lait'],,,
24,Salsichon IB Joselito -,2678477009987,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,['France'],[],[],,,?,,?,,,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Andouillettes,2681302030766,E,,,,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Andouillettes']",,,,,['France'],[],[],14 g,en quantité modérée,?,,202,-13%,845 kj(202 kcal),-12%,14,-19%,"1,2",+94%,"17,9",-1%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,"6,2","0,3","1,35","0,54",,,,0.3 g,en faible quantité,-18%,6.2 g,en quantité élevée,1.35 g,en quantité modérée,13,D,-19%,-22%,-22%,-22%,-22%,,,,
26,Muffins myrtilles,2681502000019,,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Muffins aux fruits']",,,,,['France'],[],[],16.1 g,en quantité modérée,?,,366,-1%,1531 kj(366 kcal),-1%,"16,06",-8%,"49,3",+2%,"5,46",+11%,,,,,,,,"2,17","23,25","0,9","0,36",,,,23.2 g,en quantité élevée,-11%,2.17 g,en quantité modérée,0.9 g,en quantité modérée,14,D,-19%,+35%,+35%,+4%,+4%,,,,
27,Muffins vanille et pepites chocolat - Costco,2681503000018,,,,"['Costco', 'Cosco']",,,,,,['France'],"['far ine de BLÉ ', ""calcium' fer' niacine' thiamine"", ""' sucre' neufs liquides ent iers plein air "", 'hui les végétales ', ""tournesol' colza"", ""' pépites de "", '11 Z', ' ', 'cacao 55 t', ' ', ""pâte de cacao' acan maigre en poudre' émulsif iant ? sucre' c"", 'de SOJÊ', ""' eau"", ""amidon modifié de maïs' lécithinq Ed5D"", 'E5DD', ""' sel' LRIT écrémé en poudre"", 'levures ', ' ', 'Ed71', ""' arômes' stabi I isant "", 'E4Ë6', ""' EHtrait naturel d vanille "", 'C']",[],,,?,,431,,1803 kj(431 kcal),,"22,3",,"51,2",,6,,,,,,,,,"5,1","25,6","0,825","0,33",,,4,,,,,,,,,,,,,,,['Gluten'],['E14XX - Amidons modifiés'],,
28,Veau milanais à poêler,2681739030506,,,,,,,,,,['France'],[],[],,,?,,100,,418 kj(100 kcal),,5,,"2,5",,20,,,,,,,,,"2,5","0,5",5,2,,,,,,,,,,,,,,,,,,,,,
29,Croissant pur beurre x12,2685004005992,,,,,,,,,,['France'],[],[],,,?,,365,,1527 kj(365 kcal),,"20,2",,"37,5",,8,,,,,,,,,"12,9","8,1",1,"0,4",,,,,,,,,,,,,,,,,,,,,
30,Shortbread au Chocolat et Pépites de Chocolat - Kirkland - 900g,2685024008997,C,900 g,['Plastique'],"['Kirkland', 'Costco']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits sablés', 'Shortbread']",,,,['Costco'],['France'],"['Farine de BLÉ nappage au chocolat ', ' 25 %', ' [Chocolat de couverture Origine Cuba : pâte de cacao Cuba 63', '5 %', 'sucre 27 %', 'beurre de cacao 9 %', 'lécithine de soja', ' arôme naturel de vanille', 'sucre', 'amidon modifié de maïs', 'LAIT écrémé en poudre', 'eau', 'sel', 'levures ', 'E450', 'E500', 'E170']",['Non végétalien'],15.7 g,en quantité modérée,?,,220,-57%,920 kj(220 kcal),-58%,"15,7",-44%,"15,7",-74%,"2,4",-57%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"9,6","12,4",0,0,Shortbread au Chocolat et Pépites de Chocolat,['Cuba'],4,12.4 g,en quantité modérée,-35%,9.6 g,en quantité élevée,0 g,en faible quantité,13,D,-43%,-100%,-100%,-39%,-39%,"['Gluten', 'Lait', 'Soja']","['E322i - Lécithine', 'E14XX - Amidons modifiés', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E170 - Carbonates de calcium']",,
31,Pizza  Pepperoni  prêt à cuire -,2685124008996,,,,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au pepperoni']",,,,,['France'],[],[],11 g,en quantité modérée,?,,267,+9%,1117 kj(267 kcal),+10%,11,+7%,25,-8%,16,+45%,,,,,,,,"5,4","2,3",2,"0,8",,,,2.3 g,en faible quantité,-18%,5.4 g,en quantité élevée,2 g,en quantité élevée,16,D,+23%,+60%,+60%,+82%,+82%,,,,
32,Empanada de Thon - Kirkland,2685203008992,,,,['Kirkland'],"['Plats préparés', 'Plats préparés au poisson']",,,,,['France'],"[""farine de BLÉ' oignons' thon à Ihuile de SOJA vin ient des SULFITES"", ' LAIT', ""huile de tournesol' sauce tomate "", ""tomate' huile de tournesol' sucre' fécule de maïs' sel' oignon' ail"", ""' huile d’olive"", ""poivrons' sucre' sel' piments"", ""Oeufs pasteurisés pour une pâte dorée' conservateur "", 'E-200', "" ALLERGÈNES : voir ingrédients en majUSCULESn Peut contenir des traces de crustacés' poisson"", ""soja' fruits à coque' céleri' cacahuètes' moutarde' graines de sésame et mollusques""]","['Non végétalien', 'Non végétarien']",6 g,en quantité modérée,?,,237,+33%,992 kj(237 kcal),+37%,6,-42%,37,+344%,"7,6",-19%,,,,,,,,"0,1",10,"1,23","0,492",,,,10 g,en quantité modérée,+567%,0.1 g,en faible quantité,1.23 g,en quantité modérée,5,C,-96%,+19%,+19%,+6%,+6%,"['Gluten', 'Lait', 'Soja', 'Anhydride sulfureux et sulfites']","['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",,
33,"1/2 palette fumée à cuire - Morteau - Morteau saucisse SAS - 1,179kg",2688183075442,,"1,179 kg",['Film plastique'],['Morteau saucisse SAS'],"['Viandes', 'Porc']",,['Haut-Doubs France'],"['FR 25.039.050 CE', 'Avoudrey (Doubs, France)']",['Carrefour'],['France'],"['Palette de porc', 'eau', 'sel', 'dextrose', 'saccharose', 'E301', 'salpêtre', 'nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,?,,?,,,,?,,?,,?,,,,,,,,,,,,,Palette de porc,['France'],4,,,,,,,,,,,,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,
34,Filet de porc fumé - Morteau Saucisses,2688198048158,E,,,['Morteau Saucisses'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",['Viande Française'],,,,['France'],"['FR MORTEAU SAUCISSE S CE 25500 MORTEAU FILET DE PORC FUME - KASSLER A CUIRE ngrédients : Filet de porc', 'eau', 'sel', 'dextrose', 'saccharose', 'intioxydant: E301', ""épices et extraits d'épices naturelles"", 'tonservateur: salpètre - nitrite de sodium', "" Cuire 60 minutes dans l'eau frémissante"", ' VIANDE FRANCAISE']","['Non végétalien', 'Non végétarien']",2.7 g,en faible quantité,?,,117,-63%,490 kj(117 kcal),-63%,"2,7",-90%,"0,6",+9%,"22,6",+35%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,1,"0,6","1,4","0,56",,,4,0.6 g,en faible quantité,+55%,1 g,en faible quantité,1.4 g,en quantité modérée,2,B,-91%,-37%,-37%,-91%,-91%,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,
35,L'Extra,2688492032730,,,,,,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",,,,['France'],[],[],,,?,,353,,1477 kj(353 kcal),,25,,"1,6",,29,,,,,,,,,10,1,"6,2","2,48",,,,,,,,,,,,,,,,,,,,,
36,Saucisson Sec Pur Porc - Clovis Auvergne - Variable,2688493029395,C,Variable,"['Sachet', 'Plastique']",['Clovis Auvergne'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']","['Viande-francaise', 'Viande Porcine Française', 'Sans colorants', 'Pur porc']",['France'],"['FR 43.262.001 CE', 'Vieille-Brioude (Haute-Loire, France)']",,['France'],"['Maigre et gras de porc', 'origine France', 'sel', 'lactose', 'dextrose', 'saccharose', 'épices', 'alcool', 'ferments lactiques', 'conservateur : E252', ' boyau naturel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",31.3 g,en quantité élevée,?,,394,-4%,1648 kj(394 kcal),-4%,"31,3",-4%,"3,1",+33%,25,-8%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"13,3","1,36","4,5","1,8",,['France'],4,1.36 g,en faible quantité,-11%,13.3 g,en quantité élevée,4.5 g,en quantité élevée,24,E,+4%,-3%,-3%,-1%,-1%,['Lait'],"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,
37,Le traditionnel,2688493032210,,,,,,,,,,['France'],[],[],,,?,,394,,1648 kj(394 kcal),,"31,3",,"3,1",,25,,,,,,,,,"13,3","1,36","4,53","1,812",,,,,,,,,,,,,,,,,,,,,
38,Filet de dinde Cuit doré - Carrefour,2689112023619,,,,['Carrefour'],,,,"['EMB 57032A', 'Ars-sur-Moselle (Moselle, France)']",['Carrefour'],['France'],[],[],,,?,,109,,456 kj(109 kcal),,"0,8",,"1,4",,24,,,,,,,,,"0,3","1,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,
39,Filet de dinde - Carrefour,2689112024531,D,,,['Carrefour'],"['Viandes', 'Volailles', 'Dindes', 'Filets de dinde']",,,,['Carrefour'],['France'],[],[],0.8 g,en faible quantité,?,,109,+1%,456 kj(109 kcal),-1%,"0,8",-46%,"1,4",+51%,24,+10%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"0,3","1,3",2,"0,8",,,,1.3 g,en faible quantité,+76%,0.3 g,en faible quantité,2 g,en quantité élevée,4,C,-45%,+53%,+53%,+82%,+82%,,,,
40,2 COTES PREMIERES DE PORC BIO - Carrefour Bio,2689189018761,D,,,['Carrefour Bio'],"['Viandes', 'Porc', 'Côtes de porc']","['Bio', 'Bio européen', 'FR-BIO-10', 'Fabriqué en France']",,"['EMB 79246', 'Sainte-Eanne (Deux-Sèvres, France)']",['Carrefour'],['France'],[],[],,,?,,?,,,,?,,?,,?,,77.5%,16.7%,3.3%,1.3%,0.8%,0.5%,21,,,,,,,,,,,,,,,,,,,,,,,,,
41,1/2 palette fumée demi sel - Clermont,2689766035426,,,,['Clermont'],"['Viandes', 'Porc']","['Viande Française', 'Viande Porcine Française']",,"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,['France'],"[""S152-002 palette fumee demi sel porc'70,6"", 'eau', 'sel', 'conservateur de sodium', 'arômes', 'fumé au bols de Cutt à coeur pour 100 g']",[],4.6 g,en quantité modérée,?,,127,-34%,531 kj(127 kcal),-33%,"4,6",-59%,"0,4",-55%,20,+1%,,,,,,,,"1,3","0,2","5,1","2,04",,,4,0.2 g,en faible quantité,-67%,1.3 g,en faible quantité,5.1 g,en quantité élevée,12,D,-70%,+167%,+167%,+8%,+8%,,,,
42,Orangendirektsaft Paradiso - Penny - 1000ml,26873497,,1000ml,,['Penny'],,"['Végétarien', 'Végétalien']",,,,"['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",,,?,,41,,172 kj(41 kcal),,0,,"8,5",,"0,7",,,,,,,,,0,"8,5",,,,,,,,,,,,,,,,,,,,,,,
43,Boeuf bourguignon - Tendre&plus,2692508027092,E,,,['Tendre&plus'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Ragoûts de boeuf', 'Bœufs bourguignons']",,,,,['France'],[],[],2.2 g,en faible quantité,?,,84,-12%,351 kj(84 kcal),-11%,"2,2",-24%,"3,7",-36%,12,+19%,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,"0,7","2,3","1,1","0,44",,,,2.3 g,en faible quantité,+55%,0.7 g,en faible quantité,1.1 g,en quantité modérée,0,B,-30%,+36%,+36%,,,,,,
44,Boeuf bourguignon - Tendre Et Plus,2692508034960,E,,,['Tendre Et Plus'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Ragoûts de boeuf', 'Bœufs bourguignons']","['Viande Française', 'Viande-bovine-francaise']",,,,['France'],"['viande bovine traitée en salaison ', 'viande bovine origine France eau', 'sel', 'dextrose', 'arômes naturels', 'carottes 20%', 'champignons 9%,"" sucre', ' farine de blé', 'maltodextrine', 'amidon', '*épice', 'épaississant c E415 ', ' arômes', 'a!ômenatutel', 'arômes de fumée', 'extrait devin roug%tomate', 'jusqcuissorie de bœuf', "" Traces d'œuf"", 'soja', 'lait pt céleri']","['Non végétalien', 'Non végétarien']",2.2 g,en faible quantité,?,,84,-12%,351 kj(84 kcal),-11%,"2,2",-24%,"3,7",-36%,12,+19%,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,"0,7","2,3","1,5","0,6",,,4,2.3 g,en faible quantité,+55%,0.7 g,en faible quantité,1.5 g,en quantité modérée,2,B,-30%,+86%,+86%,,,['Gluten'],,,
45,Boeuf Bourguignon - Tendre Et Plus,2692508041333,E,,,['Tendre Et Plus'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Ragoûts de boeuf', 'Bœufs bourguignons']","['Viande Française', 'Viande-bovine-francaise']",,,,['France'],"['Itgeifrine', 'amidon', ':prix,']",[],2.2 g,en faible quantité,?,,84,-12%,351 kj(84 kcal),-11%,"2,2",-24%,"3,7",-36%,12,+19%,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,"0,7","2,3","1,5","0,6",,,,2.3 g,en faible quantité,+55%,0.7 g,en faible quantité,1.5 g,en quantité modérée,2,B,-30%,+86%,+86%,,,,,,
46,ROGNONS DE BOEUF - Tendre & Plus,2692668030376,,,,['Tendre & Plus'],,"['Viande Française', 'Viande-bovine-francaise']",,,,['France'],"['nognons ftnME:', ' ï r ', ""0NDANTs cuits a l'ét0Ufféc sauce onctueuse avec des ingrédients gourmands 'ltàfeiir nïtritionnelle ennes gra $ Roghons je poivreseoignot"", '$ colorant: de tournesol', 'ail/bètteiaverougqd shydratéè•', ' A - pri\\', ""Z A conserverà 'K Conditionné sous vide"", ' FR 14', '752', '010 fr SERVICE CONSOMMATEURS']",[],,,?,,119,,498 kj(119 kcal),,"4,4",,"2,8",,17,,,,,,,,,"1,3",0,"0,69","0,276",,,4,,,,,,,,,,,,,,,,,,
47,Rognons de boeuf,2692669031754,,,,,,,,"['EMB 51649', 'Vitry-le-François (Marne, France)']",,['France'],[],[],,,?,,142,,594 kj(142 kcal),,"6,5",,"3,7",,17,,,,,,,,,"1,5","0,6","0,97","0,388",,,,,,,,,,,,,,,,,,,,,
