,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,ingredients_origins,nova_score,sugar_quantity,sugar_comment,nutriment_sugars_tr_diff,saturated_acids_quantity,saturated_acids_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,nutriment_saturated-fat_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,allergens,additives,palm_ingredients,link
1540,Soupe à la Bolognaise - Liebig - 1L,3036811358990,,1 L,['Brique'],['Liebig'],"['Plats préparés', 'Soupes']","['Sans colorants', 'Sans conservateurs']",,,['Auchan'],['France'],"['Eau', 'légumes : 43% ', 'purée de tomates à base de concentré 20%', 'oignon 8%', 'carotte', 'céleri rave', 'préparation à base de viande de porc et bœuf 2,4% ', 'viande cuite de porc et de bœuf 2,2%', 'chapelure [farine de blé', 'sel', 'levure', ""extrait de malt d'orge]"", 'sel', 'épices', 'vermicelle 1,3% ', 'farine de blé', 'blanc d’œuf', 'amidon transformé', 'sel', 'huile végétale', 'arômes', 'exhausteur de goût : glutamate de sodium', ""extraits naturels d'épices et aromates "", 'dont poivre', 'laurier', 'thym']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1 g,en faible quantité,129,-41%,31,-46%,129 kj(31 kcal),-46%,1,-48%,"4,2",-27%,"1,2",-45%,,,,,,,,"0,3","1,7","0,813","0,325","Soupe tomates, oignons, viande et vermicelles",,4,1.7 g,en faible quantité,-2%,0.3 g,en faible quantité,0.813 g,en quantité modérée,1,B,-50%,-6%,-6%,-39%,-39%,"['Céleri', 'Œufs', 'Gluten']","['E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,
1541,"PurSoup' Oseille, Cresson et crème fraîche - Liebig - 30cl",3036811359065,,30 cl,['Carton'],['Liebig'],"['Plats préparés', 'Soupes', 'Soupes de cresson']","['Sans colorants', 'Sans conservateurs']",,,,['France'],"['Eau', 'légumes 36% ', 'pomme de terre', 'cresson 11%', 'oseille 5%', 'oignon', 'crème fraîche 4,6%', 'amidon transformé de maïs E1404', 'sel', 'arômes', 'vitamines B6', 'B9 ', 'acide folique']",['Non végétalien'],1.8 g,en faible quantité,164,-25%,39,-32%,164 kj(39 kcal),-31%,"1,8",-7%,"4,6",-20%,"0,8",-64%,,,,,,,,"1,1","0,7","0,7","0,28",Soupe oseille cresson,,4,0.7 g,en faible quantité,-60%,1.1 g,en faible quantité,0.7 g,en quantité modérée,4,C,+82%,-19%,-19%,+144%,+144%,['Lait'],['E14XX - Amidons modifiés'],,
1542,Doux plaisirs - Légumes et kiri - Liebig - 1L,3036811362249,,1 L,"['Brique', 'Carton']",['Liebig'],"['Plats préparés', 'Soupes']",,,,,['France'],"['eau', 'légumes 32% ', 'courgette 12,8%', 'oignon', 'petit pois', 'brocoli', 'épinard', 'fromage blanc fondu Kiri 3,8% ', 'fromage blanc', 'crème', 'protéines de lait', 'sels de fonte : polyphosphates', 'phosphates et citrates de sodium', 'acide citrique', 'sel', 'amidon transformé de maïs', 'beurre de cuisine', 'sel', 'exhausteur de goût : glutamate de sodium', 'arôme naturel']",['Non végétalien'],2.4 g,en faible quantité,190,-13%,46,-19%,190 kj(46 kcal),-20%,"2,4",+24%,"4,2",-27%,"1,3",-41%,,,,,,,,"1,3","0,9","0,7","0,28",,,4,0.9 g,en faible quantité,-48%,1.3 g,en faible quantité,0.7 g,en quantité modérée,3,C,+115%,-19%,-19%,+83%,+83%,['Lait'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,
1543,Doux Plaisir Potiron et Kiri - Liebig - 2* 30cl,3036811362256,A,2* 30 cl,"['Carton', 'Brique']",['Liebig'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes de potiron']",,,,['Carrefour City'],['France'],"['Eau', 'légumes 36 % ', 'potiron 18 %', 'carotte', 'oignon', 'pomme de terre', 'purée de tomates à base de concentré', 'fromage blanc fondu Kiri® 3,1 % ', 'fromage blanc', 'crème', 'protéines de lait', 'sels de fonte : polyphosphates', 'phosphates et citrates de sodium', 'acide citrique', 'sel', 'amidon transformé de maïs', 'crème', 'sel', 'sucre', 'arômes', 'exhausteur de goût : glutamate de sodium', '\rPeut contenir des traces de céleri', 'blé et œuf']",['Non végétalien'],1.6 g,en faible quantité,164,,39,+15%,164 kj(39 kcal),+15%,"1,6",+29%,"4,9",+13%,"0,9",+28%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"0,8","2,2","0,75","0,3",Soupe de Potiron au fromage Kiri,,4,2.2 g,en faible quantité,+20%,0.8 g,en faible quantité,0.75 g,en quantité modérée,3,C,+31%,+13%,+13%,+60%,+60%,['Lait'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,
1544,Suprême de volaille aux morilles - Liebig - 35cl,3036811362874,,35 cl,['Carton'],['Liebig'],"['Plats préparés', 'Soupes']",,,,,['France'],"['Eau', 'légumes 34% ', 'chou rave', 'topinambour', 'panais', 'carotte', 'céleri rave', 'crème', 'viande de volaille cuite saumurée 2 % ', 'viande de volaille', 'eau', 'sel', 'champignons ', 'champignons de Paris', 'morilles réhydratées 0,9%', 'amidon transformé de maïs', 'graisse de poulet ', 'antioxydant : extrait de romarin', 'sel', 'exhausteur de goût : E621', 'arômes']","['Non végétalien', 'Non végétarien']",2.5 g,en faible quantité,176,-19%,44,-23%,176 kj(44 kcal),-26%,"2,5",+29%,"3,2",-44%,"1,3",-41%,,,,,,,,"1,2","1,3","0,75","0,3",Soupe suprême de volaille aux morilles,,4,1.3 g,en faible quantité,-25%,1.2 g,en faible quantité,0.75 g,en quantité modérée,3,C,+99%,-13%,-13%,+83%,+83%,"['Céleri', 'Lait']","['E14XX - Amidons modifiés', 'E392 - Extrait de romarin', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,
1545,Patate douce au fromage frais - Liebig - 1L,3036811362898,,1 L,,['Liebig'],,,,,,['France'],[],[],,,?,,?,,,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1546,PurSoup' Velouté de 10 legumes 2x1l - Liebig,3036811363246,B,,,['Liebig'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']","['Sans colorants', 'Sans conservateurs']",,,,['France'],"['eau', 'légumes 42 % ', 'jus de tomates à base de concentré', 'carotte', 'pomme de terre', 'oignon', 'poireau', 'potiron', 'céleri', 'petit pois', 'navet', 'chou-fleur', 'lait écrémé reconstitué', 'amidon transformé de maïs', 'huile de colza', 'sucre', 'beurre de cuisine', 'sel', 'arôme', ' Peut contenir des traces de blé et œuf']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2.1 g,en faible quantité,?,,46,+18%,192 kj(46 kcal),+18%,"2,1",+36%,"5,5",+16%,"0,8",-6%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"0,7","2,5","0,75","0,3",,,4,2.5 g,en faible quantité,+35%,0.7 g,en faible quantité,0.75 g,en quantité modérée,2,B,+16%,+16%,+16%,+49%,+49%,['Céleri'],['E14XX - Amidons modifiés'],,
1547,Pur Soup' Mouliné de Légumes Printaniers - Liebig - 1l,3036811363284,A,1 l,"['Brique', 'Carton']",['Liebig'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",['en:FSC'],,,['Carrefour Market'],['France'],"['Eau', 'légumes 38% ', 'carotte', 'pomme de terre', 'navet', 'petits pois', 'asperge', 'oignon', 'épinard', 'crème', 'amidon transformé de maïs', 'sel', 'beurre de cuisine', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1.6 g,en faible quantité,169,+6%,40,+3%,169 kj(40 kcal),+4%,"1,6",+4%,5,+5%,"0,9",+6%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,1,"1,2","0,65","0,26",,,4,1.2 g,en faible quantité,-35%,1 g,en faible quantité,0.65 g,en quantité modérée,1,B,+65%,+1%,+1%,-25%,-25%,['Lait'],['E14XX - Amidons modifiés'],,
1548,Pur Soup' - Velouté de 10 Légumes - Liebig - 700ml (2 * 350ml),3036811363536,A,700 ml (2 * 350 ml),"['Brique', 'Carton']",['Liebig'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', ""Plats préparés d'origine végétale"", 'Soupes de légumes', 'Veloutés de légumes', 'Plats préparés à réchauffer au micro-ondes']",['Point Vert'],,,['Auchan'],['France'],"['Eau', 'légumes 42 % jus de tomates à base de concentré', 'carotte', 'pomme de terre', 'oignon', 'poireau', 'potiron', 'céleri', 'petit pois', 'navet', 'courgette', 'lait écrémé reconstitué', 'amidon transformé de maïs', 'huile de colza', 'sucre', 'beurre de cuisine', 'sel', 'arôme']",['Non végétalien'],2.1 g,en faible quantité,192,+20%,?,,192 kj(46 kcal),+18%,"2,1",+36%,"5,5",+16%,"0,8",-6%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"0,7","2,5","0,75","0,3",Velouté de 10 légumes,,4,2.5 g,en faible quantité,+35%,0.7 g,en faible quantité,0.75 g,en quantité modérée,3,C,+16%,+16%,+16%,+124%,+124%,"['Céleri', 'Lait']",['E14XX - Amidons modifiés'],,
1549,Légumes et Vermicelles - Liebig - 70cl (2 * 35cl),3036811363543,A,70 cl (2 * 35 cl),"['Brique', 'Carton']",['Liebig'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes en brique']",['Point Vert'],,,['Noz'],['France'],"['Eau', 'légumes 32 % ', 'carotte', 'pomme de terre', 'oignon', 'jus de tomates à base de concentré', 'céleri-rave', 'poireau', 'petit pois', 'vermicelles cuits 8 % ', 'semoule de blé', ""blanc d'oeuf"", 'crème', 'amidon modifié de maïs', 'sel', 'huile de colza', 'sucre', 'beurre de cuisine', 'arôme', 'exhausteur de goût : E621']","['Sans huile de palme', 'Non végétalien']",1 g,en faible quantité,?,,33,-20%,138 kj(33 kcal),-20%,1,-42%,"4,6",+0%,"0,9",-3%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"0,4","1,4","0,77","0,308",,,4,1.4 g,en faible quantité,-28%,0.4 g,en faible quantité,0.77 g,en quantité modérée,2,B,-29%,+18%,+18%,+41%,+41%,"['Céleri', 'Œufs', 'Lait']","['E14XX - Amidons modifiés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,
