,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,ingredients_origins,traceability_code,allergens,palm_ingredients
0,Pomme Poire - Andros - 400g,3045320017229,A,Compote Pomme poire,400 g,['Pots plastiques'],['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes poires']","['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",['Leclerc'],['France'],"['Pommes ', '65%', 'poires ', '28%', 'sucre', 'antioxydant ', 'acide ascorbique']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.2 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,0.1 g,en faible quantité,?,,75,+21%,314 kj(75 kcal),+20%,"0,2",-39%,0,-100%,17,+24%,17,+37%,"0,3",-15%,"0,1",+1092%,"0,04",+1092%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,
1,Compote pomme nature - Andros,3045320023480,B,Compote de pomme,,,['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes nature']","['Sans colorants', 'Sans conservateurs']",,['France'],"['pommes 89%', 'sucre', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.1 g,en faible quantité,0 g,en faible quantité,20 g,en quantité élevée,0 g,en faible quantité,362,+36%,86,+34%,362 kj(86 kcal),+36%,"0,1",-66%,0,-100%,20,+41%,20,+50%,"0,3",+2%,0,-100%,0,-100%,-1,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,
2,Confiture myrtilles sauvages - Bonne maman - 750g,3045320026764,C,Confiture de myrtilles sauvages,750g,"['Bocal verre', 'Couvercle métal']",['Bonne maman'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,,['France'],"['Myrtilles sauvages', 'sucre', 'sucre roux de canne', 'jus de citrons concentré', 'gélifiant : pectines de fruits']",['E440 - Pectines'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.1 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,241,+10%,1008 kj(241 kcal),+10%,"0,1",-62%,0,-100%,59,+10%,59,+16%,"0,3",-23%,0,-100%,0,-100%,7,-24%,C,-24%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['46130 Biares'],https://www.bonne-maman.com/,,,,
3,"Dessert Fruitier® Pomme Nature (16 pots) 1,6 kg - Andros - 1,6kg (16x 100g)",3045320076080,A,Dessert fruitier,"1,6 kg (16 x 100 g)","['Frais', 'Pot', 'Plastique', 'Opercule', 'Etui', 'Carton']",['Andros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']","['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",['Carrefour'],['France'],"['Pommes ', '93%', 'sucre', 'antioxydant : acide ascorbique']",['E300 - Acide ascorbique'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.2 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,0.102 g,en faible quantité,316,+18%,?,,316 kj(76 kcal),+16%,"0,2",-39%,0,-100%,17,+19%,17,+31%,"0,2",-47%,"0,102",+1097%,"0,041",+1097%,-4,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,
4,Bonne Maman Abrikozen Confiture,3045320082593,,,,,['Bonne Maman'],,,,['France'],[],,[],,,,,,,,,,?,,241,,1008 kj(241 kcal),,"0,1",,0,,59,,59,,"0,5",,,,,,,,,,,,,,,,,,,,,,
5,Confiture peche,3045320082975,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
6,Creme de Castanha con Baunilha - Bonne Maman - 370g,3045320087581,C,,370 g,,['Bonne Maman'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",,,['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,51 g,en quantité élevée,0.01 g,en faible quantité,?,,245,-2%,1025 kj(245 kcal),-2%,"0,5",-33%,"0,1",-31%,58,-3%,51,+2%,"0,9",-18%,"0,01",-47%,"0,004",-47%,12,+4%,D,+4%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,,,,
7,Bonne Maman Marmalade,3045320089332,,,,,['Bonne Maman'],,,,['France'],[],,[],,,,,,,,,,?,,240,,1004 kj(240 kcal),,?,,0,,?,,59,,0,,0,,0,,,,,,,,,,,,,,,,,,
8,Saveur intense bonne maman légère et fruitée - 340g,3045320090543,D,,340 g,,['Bonne Maman'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de groseilles']",,,['France'],[],,[],,0.2 g,en faible quantité,0.2 g,en faible quantité,46 g,en quantité élevée,,,?,,188,-16%,787 kj(188 kcal),-17%,"0,2",-10%,"0,2",+585%,46,-15%,46,-12%,"0,5",-6%,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,
9,Confiture Abricots - Bonne Maman,3045320091687,B,,,,['Bonne Maman'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,['France'],"['abricots', 'suce', 'sucre roux de canne', 'jus de citron concentré', 'gélifiant : pectine de fruits']",['E440 - Pectines'],[],4,0.1 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,241,+10%,1008 kj(241 kcal),+10%,"0,1",-56%,0,-100%,59,+11%,59,+17%,"0,5",-0%,0,-100%,0,-100%,12,+33%,D,+33%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,
