,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,quantity,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,manufacturing,additives,generic_name,traceability_code,link,brand_owner
0,Angeknabbert Riesling 2017,4023131029753,['Flasche'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorbet Caramel beurre salé,3760259271886,,['France'],[],[],?,?,?,?,?,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Chipolatas aux herbes,2229331033459,,['France'],[],[],?,?,?,?,?,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Caramelos de goma surtidos - El Corte Ingles,8433329074995,,['France'],[],[],?,337,"0,5",79,"4,5",,,,,,,,,,,,,,,,['El Corte Ingles'],1410 kj(337 kcal),"0,2",63,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Yobù - Yogurt di latte di bufala intero,8033116900072,,['France'],[],[],?,102,"3,5",14,"3,5",,,,,,,,,,,,,,,,,427 kj(102 kcal),"1,8",13,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Compte AOP fort des rousses 12 mois d'affinage - Auchan,2090425027223,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,['Auchan'],,,,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Brie de meaux AOP 1/2 affine,0206540025453,,['France'],[],[],?,?,?,?,?,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Chun Guang Classic Coconut Candy 250G - 250g,6917541686355,,['France'],[],[],?,476,19,81,2,,,,,,,,,,,,,,,,,1992 kj(476 kcal),"6,3",62,"0,25","0,1",,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ente - 2318g,2237975011573,['Stück'],"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,2318 g,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Éclair chantilly /fraise,2020002040796,,['France'],[],[],?,189,21,12,2,,,,,,,,,,,,,,,,,791 kj(189 kcal),18,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tropifrutti,4001686367797,,['France'],[],[],?,349,"0,5",82,"4,5",,,,,,,,,,,,,,,,,1460 kj(349 kcal),"0,1",63,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Vanille de Tahiti,3458512248613,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Calissons genepi boite losange - Confiserie d'Entrecasteaux - 250g,3502790456908,,['France'],"['Fruits confits ', 'melon', ""écorces d'orange"", 'sucre de canne blond', 'sirop de glucose de riz', 'AMANDES', ' sucre', 'spiritueux au génépi ', '65% vol', ' 1', '3%', ""blanc d'OEUF"", 'arôme naturel', 'pain azyme ', 'fécule de pomme de terre', 'huile de tournesol', 'colorant ', ""poudre de feuilles d'épinard"", ' Fabriqué dans un atelier utilisant gluten', 'soja', 'lait et autres fruits à coque']",['Non végétalien'],?,460,"17,9","64,4","7,3",,B,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons']",,+4%,0%,+6%,-5%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,"[""Confiserie d'Entrecasteaux""]",1925 kj(460 kcal),"3,4","59,7","0,09","0,036",,250 g,"['Œufs', 'Fruits à coque']",4,17.9 g,en quantité modérée,3.4 g,en quantité modérée,59.7 g,en quantité élevée,0.09 g,en faible quantité,+4%,+111%,+21%,+76%,+76%,15,+3%,D,+3%,,,,,,,
13,Galettes pur beurre,3111110003939,,['France'],[],[],?,478,19,69,"7,2",,,,,,,,,,,,,,,,,2000 kj(478 kcal),12,26,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Le Gaulois : Cuisses de poulet rôti,0217637045131,,['France'],[],[],?,168,10,"0,1",19,['Sans conservateurs'],D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,-12%,-19%,-69%,+3%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Le Gaulois'],703 kj(168 kcal),"2,6","0,1","1,4","0,56",,,,,10 g,en quantité modérée,2.6 g,en quantité modérée,0.1 g,en faible quantité,1.4 g,en quantité modérée,-12%,-22%,-35%,+84%,+84%,5,+42%,C,+42%,,,,,,,
15,Ensalada De Pimiento - Eliges,8480012009420,,['France'],[],[],?,31,0,"5,7","0,8",,,,,,,,,,,,,,,,['Eliges'],130 kj(31 kcal),0,"5,3","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4 pavés de dinde - Despi - 450g env.,0572725700294,,['France'],[],[],?,?,?,?,?,,D,"['Viandes', 'Volailles', 'Dindes', 'Filets de dinde']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Despi'],,,,,,['grand frais'],450g env.,,,,,,,,,,,,,,,,,,,,['14/09/2019'],['France'],,,,,
17,Cheddar mature  tranche - Violife - 500g,5202390017995,,['France'],[],"['Végétalien', 'Végétarien']",?,285,23,20,0,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,['Violife'],1192 kj(285 kcal),21,0,"2,3","0,92",,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2600706045138,2600706045138,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4030254387134,4030254387134,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Thé carcadet passion framboise,3259920063818,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Nougat Douceurs,3465170900760,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Isaflorentin,1188456017014,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Harina de trigo - Aliada,8433329051897,,['France'],[],[],?,348,2,71,9,,,,,,,,,,,,,,,,['Aliada'],1456 kj(348 kcal),"0,5",2,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Crozet,3760150331757,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Pastas de avena -  - 200g,8436551770222,,"['France', 'Espagne']",[],[],?,530,"29,98","57,24","6,68",,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,+12%,+44%,-11%,+3%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,2218 kj(530 kcal),"7,1","6,5","0,3","0,12",,200 g,,,30 g,en quantité élevée,7.1 g,en quantité élevée,6.5 g,en quantité modérée,0.3 g,en quantité modérée,+11%,-30%,-78%,-49%,-49%,15,-24%,D,-24%,,,,,,,
26,"Poire mûre à point verte, Variété Comice, Catégorie 1",3423187144300,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Confiture - 340g,3331100000049,,['France'],[],[],?,10,5,62,2,,,,,,,,,,,,,,,,,42 kj(10 kcal),5,62,2,"0,8",,340 g,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Warburtons Brown Premium Bread, Sliced - 400g",5010044000190,,['France'],"['Wholemeal Wheat Flour', 'Water', 'Yeast', 'Salt', 'Vegetable Oil ', 'Rapeseed', 'Sustainable Palm', 'Wheat Gluten', 'Emulsifiers E471', 'E481', 'E472e', ' Soya Flour', 'Preservative: Calcium Propionate', ' Flour Treatment Agent: Ascorbic Acid ', 'Vitamin C', ' \rSUITABLE FOR VEGETARIANS', ' \rCONTAINS NATURALLY OCCURRING SUGARS']","['Huile de palme', 'Végétarien']",?,231,"2,8","37,8","10,6",['Végétarien'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",,-13%,-37%,-17%,+26%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,['Warburtons'],967 kj(231 kcal),"0,5","2,4","0,95","0,38",,400 g,['Soja'],4,2.8 g,en faible quantité,0.5 g,en faible quantité,2.4 g,en faible quantité,0.95 g,en quantité modérée,-14%,-23%,-54%,-17%,-17%,-4,-376%,A,-376%,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E282 - Propionate de calcium', 'E300 - Acide ascorbique']",,,,
29,Bob Martin Tasty Hide Hide Pressed Bone Large,5011914402229,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Nelli Cordial - 750ml,0628713004087,,['France'],[],[],?,200,"0,04",68,"0,24",,,,,,,,,,,,,,,,,837 kj(200 kcal),0,49,20,8,,750 ml,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Boisson gazeifiée mure cassis,06933031,,['France'],[],[],?,0,0,9,0,,,,,,,,,,,,,,,,,0 kj(0 kcal),0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Complètement alimentaire à base de curcuma et de thym - Superdiet,3428881117100,,['France'],[],[],?,?,?,?,?,['Bio'],,['Compléments alimentaires'],,,,,,,,,,,,,['Superdiet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Crème d'amande,8051013331072,,['France'],[],[],?,604,"43,8",44,"8,2",,,,,,,,,,,,,,,,,2527 kj(604 kcal),"13,3",44,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Very Berry Cheescake,821007702000062500470,,['France'],[],[],?,317,"16,3","36,3","3,1",,,,,,,,,,,,,,,,,1326 kj(317 kcal),"8,7","12,3","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Weissweinessig - Maille - 500ml,3036810230709,['Flasche'],"['France', 'Allemagne']",['Weissweinessig'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,B,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins blancs']",,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,['Maille'],,,,,,,500ml,,2,,,,,,,,,,,,,,,,,,,,,,,,
36,"Sablés cacao, kasha & citron vert - 140g",3770013882036,,['France'],[],"['Végétalien', 'Végétarien']",?,491,"26,03","53,75","8,97","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-09']",,,,,,,,,,,,,,,,2054 kj(491 kcal),"2,32","19,54","0,44","0,176",,140 g,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Manzana sin gas,8423453020104,,['France'],[],[],?,37,0,9,0,,,,,,,,,,,,,,,,,155 kj(37 kcal),0,"8,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sablés noisettes & orange confites - 140g,3770013882043,,['France'],[],"['Végétalien', 'Végétarien']",?,529,"30,4","53,21","8,06","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-09']",,,,,,,,,,,,,,,,2213 kj(529 kcal),"2,35","24,16","0,42","0,168",,140 g,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ail violet,3593241629897,,['France'],[],[],?,?,?,?,?,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail violet']",,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Mélange canadien,2600706022702,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Huile de sésame,5060172777983,,['France'],[],[],?,900,100,0,0,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de sésame']",,+5%,+4%,-100%,-100%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,3766 kj(900 kcal),"26,48",0,0,0,,,,,100 g,en quantité élevée,26.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,+80%,-100%,-100%,-100%,13,+13%,D,+13%,,,,,,,
42,Yaourt Brassé Bio Citron - Normandoise - 125g,3770011578061,['Pot verre'],['France'],"['lait entier fermier bio ', ' Préparation de fruits Bio ', '16%', ' : sucre de canne Bio', 'citrons entiers Bio ', ' lait écrémé en poudre ', 'maxi 3%', ' et ferments lactiques']",['Non végétalien'],420,102,"3,22","15,36","3,43","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",A,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts brassés', 'Yaourts brassés aux fruits', 'Yaourts au citron']",-8%,-4%,-21%,+15%,-1%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Normandoise'],420 kj(102 kcal),"1,3","14,4","0,12","0,048",,125 g,['Lait'],3,3.22 g,en quantité modérée,1.3 g,en faible quantité,14.4 g,en quantité élevée,0.12 g,en faible quantité,-5%,-51%,+14%,-0%,-0%,3,-17%,C,-17%,['France'],"['Oise', 'France']",,Yaourt Bio,"['FR 60.577.001 CE', 'Saint-Germer-de-Fly (Oise, France)']",http://www.normandoise.fr,
43,La grosse Tetre,3701281000020,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Pommes de terre micro ondes,3360190045654,,['France'],[],[],?,77,"0,5","15,2","2,2",,,,,,,,,,,,,,,,,322 kj(77 kcal),"0,1","0,7","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Luxury Jaffa Cakes - Bahlsen,4017100305054,,['France'],[],[],?,407,15,63,4,"['Agriculture durable', 'en:UTZ Certified']",C,"['Desserts', 'Biscuits et gâteaux', 'Gâteaux', 'Génoise', 'Génoise sèche fourrée aux fruits et nappée de chocolat']",,+6%,+36%,-5%,+5%,74.7%,14.3%,4.0%,4.6%,2.4%,0.0%,61,['Bahlsen'],1703 kj(407 kcal),"8,2",47,"0,14","0,056",,,,,15 g,en quantité modérée,8.2 g,en quantité élevée,47 g,en quantité élevée,0.14 g,en faible quantité,+6%,+46%,-2%,-42%,-42%,23,+31%,E,+31%,,,,,,,
46,Finest Arabian sweets,6297000185347,,['France'],[],[],?,565,12,40,13,['Sans additifs'],,,,,,,,,,,,,,,,2364 kj(565 kcal),9,38,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"On Lee Egg Noodles (wide), 16 Oz (24-count)",0087303857418,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Oasis Tropical,3195480191182,,['France'],[],[],?,34,0,"8,3","0,1",,,,,,,,,,,,,,,,,142 kj(34 kcal),0,"8,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Manzana,3138670344500,,['France'],[],[],?,53,"0,1",13,"0,1",,,,,,,,,,,,,,,,,222 kj(53 kcal),"0,02",13,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Foul Moudammas,5410677110813,,['France'],[],[],?,114,"3,78",10,"6,74",,,,,,,,,,,,,,,,,477 kj(114 kcal),1,0,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Palette à la diable,0290704087838,,['France'],[],[],?,136,"8,4","1,1",14,,,,,,,,,,,,,,,,,569 kj(136 kcal),"3,6","0,5","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Huile d'olive Basilic,8057685120143,,['France'],[],[],?,824,92,0,0,,,,,,,,,,,,,,,,,3448 kj(824 kcal),14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Boulettes de poisson pangasius surgelé - 500g,3379141808873,,['France'],[],[],?,87,"1,7","2,5","15,5",,,,,,,,,,,,,,,,,364 kj(87 kcal),"0,9","0,4","0,3","0,12",,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Spirale blanche bio,0200321005580,,['France'],[],[],?,?,?,?,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Arsenal - Floss Candy 400ML,5907654440006,,['France'],[],[],?,405,0,100,0,,,,,,,,,,,,,,,,,1695 kj(405 kcal),0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Basil SEED,8936143030593,,['France'],[],[],?,134,0,32,0,,,,,,,,,,,,,,,,,561 kj(134 kcal),0,32,"0,145","0,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Galettes legumes oubliés - Thiriet,3292590839444,,['France'],[],[],?,140,8,13,"2,5",,,,,,,,,,,,,,,,['Thiriet'],586 kj(140 kcal),"1,1","4,2","0,76","0,304",['Thiriet'],,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Pink Lemonade - Aldi,0041498269647,,['France'],[],[],?,1,0,50,0,,,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",,-97%,-100%,+568%,-100%,,,,,,,,['Aldi'],4 kj(1 kcal),0,25,0,0,['Aldi'],,,,0 g,en faible quantité,0 g,en faible quantité,25 g,en quantité élevée,0 g,en faible quantité,-97%,-100%,+242%,-100%,-100%,11,+8%,E,+8%,,,,,,,
59,Gommes aromatisées réglisse,3760107842756,,['France'],[],[],?,884,"0,2","2,5","1,1",,,,,,,,,,,,,,,,,3699 kj(884 kcal),"0,1","0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,BBQ et Plancha,2666162022960,,['France'],[],[],?,?,?,?,?,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Flamiche légumes,3420130071485,,['France'],[],[],?,154,"4,5","23,6","4,2",,,,,,,,,,,,,,,,,644 kj(154 kcal),"1,9","1,5","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Palomitas de maíz bolsa 100 g - Santo Reino,8425469200167,,['France'],[],[],?,377,"11,8","51,3","10,5",,,,,,,,,,,,,,,,['Santo Reino'],1577 kj(377 kcal),"1,7","0,7","10,8","4,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Suspiros de luarca - La Luarquesa,8414226234576,,['France'],[],[],?,520,"25,8","66,4","5,6",,,,,,,,,,,,,,,,['La Luarquesa'],2176 kj(520 kcal),"13,8","17,3","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3127832947277,3127832947277,,['France'],[],[],?,?,?,?,?,"['Viande Française', 'Viande-bovine-francaise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Salade de gambas aux mandarines  surimi et raisins secs,2293262017710,,['France'],[],[],?,146,11,"6,8","4,2",['Point Vert'],,,,,,,,,,,,,,,,611 kj(146 kcal),"0,8","4,9","0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Duo de carotte et céleri,2253026008132,,['France'],[],[],?,132,12,4,1,,,,,,,,,,,,,,,,,552 kj(132 kcal),"0,9","2,6","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Brie de nangis,2488039019350,,['France'],[],[],?,263,20,"0,9",20,,,,,,,,,,,,,,,,,1100 kj(263 kcal),14,0,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Green olives with oregano,5200375410984,,['France'],[],[],?,195,"18,2","3,6","1,6",,,,,,,,,,,,,,,,,816 kj(195 kcal),"3,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Jambon sec -,3289010002144,,['France'],[],[],?,229,"13,5","1,2","25,6",,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",,-5%,0%,+85%,-11%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,958 kj(229 kcal),"5,1","0,4","4,8","1,92",,,,,13.5 g,en quantité modérée,5.1 g,en quantité élevée,0.4 g,en faible quantité,4.8 g,en quantité élevée,-4%,-2%,-8%,-2%,-2%,17,0%,D,0%,,,,,,,
70,Glace corne de gazelle - Terre Adélice,3515890502994,,['France'],[],[],?,227,"10,4","27,3","5,4","['Bio', 'Sans colorants']",,,,,,,,,,,,,,,['Terre Adélice'],950 kj(227 kcal),"4,6",22,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Pâté en croute pistache,2274710018046,,['France'],[],[],?,258,"15,5","16,8","12,6",,,,,,,,,,,,,,,,,1079 kj(258 kcal),"6,5","1,4","2,05","0,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Mousse de foie qualité supérieure,2262797009514,,['France'],[],[],?,336,32,"1,9",10,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,1406 kj(336 kcal),11,"1,3","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Tentacles Squid Pieces In Vegetable Oil,8428626010524,,['France'],[],[],?,337,29,0,19,['Fabriqué en Espagne'],,,,,,,,,,,,,,,,1410 kj(337 kcal),"3,3",0,"0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Tekila KAH,0081240700264,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,La faisselle de signy - 4x 100g,3760012450213,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,4 x 100 g,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Mimolette Vieille,2237408024200,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1920 de mamie Chazel,2869701028939,,['France'],[],[],?,352,"26,6","1,1","26,7",['Sans colorants'],,,,,,,,,,,,,,,,1473 kj(352 kcal),"8,76","0,2","5,8","2,32",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 07.259.002 CE', ""Saint-Just-d'Ardèche (Ardèche, France)""]",,
78,Chocolate con leche & almendras - 100g,7861004100997,,['France'],[],[],?,100,6,5,2,,,,,,,,,,,,,,,,,418 kj(100 kcal),3,5,3,"1,2",,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Salma smoked,0201239064942,,['France'],[],[],?,222,"14,4","0,5","22,1",,,,,,,,,,,,,,,,,929 kj(222 kcal),"2,8","0,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Biscuit chocolat Fleur de Sel,3683080085920,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Tang sabor tamarindo,7622210255679,,['France'],[],[],?,3,0,0,0,,,,,,,,,,,,,,,,['Tang'],13 kj(3 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Petites crèpes,0205856008945,,['France'],[],[],?,284,14,32,"2,7",,,,,,,,,,,,,,,,,1188 kj(284 kcal),3,13,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Biscuit pur beurre,8437004227850,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Pinard,9418408050014,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Poivre au citron,7311310262679,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Sel marin de Noirmoutier,3544769041005,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Impact whey protein - MyProtein,5056281107957,,['France'],[],[],?,415,"7,8","6,4",75,['en:gluten-free'],,,,,,,,,,,,,,,['MyProtein'],1736 kj(415 kcal),"5,5","4,7","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Pomme Bio de la vallée du Rhône - 700g,3437340065913,,['France'],[],[],?,63,"0,3",13,"0,5","['Bio', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,264 kj(63 kcal),"0,3",11,0,0,,700 g,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 74289B', 'Vallières (Haute-Savoie, France)']",,
89,Yogurt fermier vanille,9782980555022,,['France'],[],[],?,180,7,25,4,,,['Non alimentaire'],,-15%,-36%,+10%,-43%,,,,,,,,,753 kj(180 kcal),"4,5",21,0,0,,,,,7 g,en quantité modérée,4.5 g,en quantité modérée,21 g,en quantité élevée,0 g,en faible quantité,-16%,+30%,+130%,-100%,-100%,,,,,,,,,,,
90,"Monin, Bourges Monin Sirup Mini Coffee Set 6 x 5 CL - 6x 50ml",4008077740665,,['France'],[],"['Végétalien', 'Végétarien']",?,?,?,?,?,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,['Monin'],,,,,,,6 x 50 ml,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Piccolinis au jambon et fromage,8410100050829,,['France'],[],[],?,232,"9,2","24,6","11,9",,,,,,,,,,,,,,,,,971 kj(232 kcal),"4,2","1,6","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,
