,name,bar_code,packaging,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,quantity,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,manufacturing,additives,generic_name,traceability_code,link,brand_owner
1489,Melange tokyo,2600803018042,,['France'],[],[],?,467,"20,9","54,8","13,2",,,,,,,,,,,,,,,,,1954 kj(467 kcal),"5,7","11,3","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,Divorcé,,,['France'],[],[],?,191,"7,1",27,"4,6",,,,,,,,,,,,,,,,,799 kj(191 kcal),3,15,"0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,Merveilleux,,,['France'],[],[],?,493,29,51,5,,,,,,,,,,,,,,,,,2063 kj(493 kcal),13,48,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,Classico yogourt (yaourt grec) - 2x 200g,5201168415186,,['France'],[],[],?,120,8,"4,9",7,,,,,,,,,,,,,,,,,502 kj(120 kcal),"4,8","4,9","0,18","0,072",,2 x 200 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,La specialita,8009280002621,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,Minceur Brûleur Bio - Naturland,7001375005990,,['France'],[],[],?,?,?,?,?,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,['Naturland'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,Pâté de tête,3001021000007,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,Saint julien,3760170830216,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Huile d'olive de Nîmes vierge extra,000000022524,,['France'],[],[],?,823,"91,5",0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,-3%,-3%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,3443 kj(823 kcal),"12,6",0,"0,002","0,001",,,,,91.5 g,en quantité élevée,12.6 g,en quantité élevée,0 g,en faible quantité,0.0025 g,en faible quantité,-3%,-8%,,,,6,-1%,C,-1%,,,,,,,
1498,Funny Pisang,5411353998008,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Ravioli basilic,3308090002490,,['France'],[],[],?,223,"3,3","38,5","8,4",,,,,,,,,,,,,,,,,933 kj(223 kcal),"2,1","3,3","0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Harina Espelta Blanca Bio,8422584048575,,['France'],[],[],?,332,"2,5",64,"13,2",['Bio'],,,,,,,,,,,,,,,,1389 kj(332 kcal),"0,4","0,5","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,Torremilla rosé Côte du roussillion,3486640005952,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,Black tea with pomegranate and ginger - Lipton - 25cl,8711200409310,,['France'],[],[],?,19,"0,5","4,6",0,,,,,,,,,,,,,,,,['Lipton'],79 kj(19 kcal),"0,1","4,5","0,03","0,012",,25 cl,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,Confiture extra fraise - La Chareyrade - 390g,3511281001138,,['France'],[],[],?,191,"0,16",46,"0,43",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,-12%,-34%,-13%,-3%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['La Chareyrade'],799 kj(191 kcal),"0,03",46,"0,017","0,007",,390 g,,,0.16 g,en faible quantité,0.03 g,en faible quantité,46 g,en quantité élevée,0.017 g,en faible quantité,-12%,-33%,-9%,-25%,-25%,10,+15%,C,+15%,,,,,,,
1504,Emmental Français,0201140017518,,['France'],[],[],?,?,?,?,?,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,Jamón bellota,8424736902506,,['France'],[],[],?,367,"27,5","0,5","27,5",,,,,,,,,,,,,,,,,1536 kj(367 kcal),"9,3","0,5","4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,Terrine de Jambon d'Auvergne,3477620004195,,['France'],[],[],?,292,25,2,"15,2",,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons français', ""Jambon d'Auvergne""]",,+20%,+81%,+231%,-47%,,,,,,,,,1222 kj(292 kcal),"8,56",0,"1,18","0,472",,,,,25 g,en quantité élevée,8.56 g,en quantité élevée,0 g,en faible quantité,1.18 g,en quantité modérée,+20%,+51%,-100%,-80%,-80%,16,-8%,D,-8%,,,,,,,
1507,Chutes de jambons blanc,2677662039037,,['France'],[],[],?,106,"2,6","0,3",21,,,,,,,,,,,,,,,,,444 kj(106 kcal),1,"0,3","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,Limonade artisanale biologique,3701284501241,,['France'],[],[],?,?,?,?,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,LTC chocolat noir cœur orange,3760163210773,,['France'],[],[],?,461,"23,6","55,6","3,9",,,,,,,,,,,,,,,,,1929 kj(461 kcal),"14,1",45,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,Miel de lavande de provence - La Ruche d'Or - 500g,3105560454908,,['France'],[],[],?,?,?,?,?,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"[""La Ruche d'Or""]",,,,,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,Juvamine Konjac Réducteur D'appétit,3160920712029,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,['Juvamine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
