,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,packaging,ingredients_origins,allergens,markets,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
10,"""mini Chupa Chups Lollipops (30 Lollies Per Bag)"" - 210g",8410031936988,E,210g,['Chupa Chups'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Sucettes']",,,"['Belgique', 'France']","['Ingrédients ', 'pour sucettes goûts fraise', 'pomme', 'orange et cerise', ':sucre', 'sirop de glucose', 'purée de fruits ', '3%', ' ', 'pomme', 'cerise', 'framboise', 'ananas', 'citron vert', 'citron', 'fraise', 'pêche', 'banane', 'orange', 'myrtille', 'mûre', 'mangue', 'pastèque', 'kiwi', 'acidifiants: ', 'acide lactique', 'acide malique', 'acide citrique', 'arômes', 'colorants ', 'E100', 'E160c', 'E162', ' Ingrédients ', 'pour sucettes goût cola', ': sucre', 'sirop de glucose', 'acidifiants ', 'acide lactique', 'acide malique', 'acide citrique', 'arômes', 'colorant ', 'E150d']","['E270 - Acide lactique', 'E296 - Acide malique', 'E330 - Acide citrique', 'E100 - Curcumine', 'E160c - Extrait de paprika', 'E162 - Rouge de betterave', ""E150d - Caramel au sulfite d'ammonium""]",[],4,0 g,en faible quantité,0 g,en faible quantité,83 g,en quantité élevée,0.1 g,en faible quantité,1653,+6%,394,+5%,1653 kj(394 kcal),+4%,0,-100%,0,-100%,96,+8%,83,+16%,0,-100%,"0,1",-2%,"0,04",-2%,14,-5%,D,-5%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['sachet plastique'],,,"['Leclerc', 'Delhaize']","Sucettes aux goûts assortis: fraise, pomme, orange, cerise et cola",,,,,
11,Espuna jambon serrano espagnol 10 tranches - 15,8410060485501,E,15,['Espuna'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",,,['France'],"['on de set', 'dextrose et conservateurs ', 'nitrite de sodium', 'nitrete de potassÏMtn', "" a•ons mis en t 59 g de -'n too g de produit fin[ Ce a subi une perte ffeau durant le processes de secha}e"", ' VALEURS NUIRttlORNtUES MÜtNNtS 30 q tstebM Mtftm 0!0t4itr', 'i •']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",[],4,12 g,en quantité modérée,4 g,en quantité modérée,1.5 g,en faible quantité,5.12 g,en quantité élevée,?,,234,-2%,979 kj(234 kcal),-2%,12,-5%,4,-14%,"1,5",+109%,"1,5",+236%,30,-1%,"5,125",+9%,"2,05",+9%,15,-9%,D,-9%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,['Magasins U'],,,,,,
12,Anguriñas - Pescanova,8410063044002,B,,['Pescanova'],"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Surimi']",,,"['France', 'Espagne']",[],,[],,13.6 g,en quantité modérée,1.3 g,en faible quantité,1.2 g,en faible quantité,1.6 g,en quantité élevée,?,,188,+58%,787 kj(188 kcal),+58%,"13,6",+189%,"1,3",+100%,"7,5",-34%,"1,2",-58%,"8,8",+18%,"1,6",-7%,"0,64",-7%,5,+13%,C,+13%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,,,,,,,,,,
13,Salsa napolitana - Gallo - 260g,8410069014856,B,260 g,['Gallo'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces napolitaines']",['en:gluten-free'],,"['France', 'Espagne']","['Pure de tomates frescos y concentrado doble de tomate ', '69%', 'cebolla ', '10%', 'zanahoria ', '8%', 'aceite de girasol', 'apio ', '2%', 'sal', 'azúcar', 'plantas aromáticas', 'almidón modificado de patata', 'potenciador de sabor: glutamato mono sódico', 'especias']",,[],4,6.1 g,en quantité modérée,0.6 g,en faible quantité,2.3 g,en faible quantité,1.5 g,en quantité modérée,397,+58%,95,+61%,397 kj(95 kcal),+63%,"6,1",+151%,"0,6",+79%,"7,7",+13%,"2,3",-59%,"1,6",+13%,"1,5",+54%,"0,6",+54%,6,+355%,C,+355%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,['españa'],"['Tarro', 'Vidrio']",['Espagne'],['Céleri'],,Salsa napolitana,,,,,
14,Salsa De Queso Old El Paso,8410076423047,,,['Old el Paso'],"['Epicerie', 'Sauces']",,,"['France', 'Espagne']","['Agua', 'trozos de pimiento rojo QU ', '11%', 'queso Cheddar ', '8%', 'aceite de girasol', 'almidón modificado de maíz', 'azúcar', 'suero lácteo en polvo ', 'leche', 'gira huevo', 'leche en polvo', 'queso en polvo ', '1,6%', 'pasta de tomate ', '1,5%', 'sal', 'correctores de acidez: ácido láctico', 'ácido cítrico', ' espesante: pectina', ' extracto de levadura', 'puré ácid de ajo', 'aromas', 'especias', 'emulgentes: polifosfato de sodio', 'de a citratos de sodio', 'fosfatos de sodio', ' queso ', '0,1%', 'maltodextrina', 'dextrosa', 'tomate en polvo', 'harina de mostaza', 'harina de trigo', 'colorante: extracto de pimentón']","['E270 - Acide lactique', 'E330 - Acide citrique', 'E440 - Pectines', 'E452i - Polyphosphate de sodium', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']",['Non végétalien'],4,6.6 g,en quantité modérée,2.8 g,en quantité modérée,5.2 g,en quantité modérée,1.68 g,en quantité élevée,?,,114,-52%,477 kj(114 kcal),-52%,"6,6",-64%,"2,8",+30%,"9,5",-4%,"5,2",-20%,"3,5",+30%,"1,68",-31%,"0,672",-31%,10,-14%,C,-14%,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,,,,,
15,Bracitos cacao rellenos de trufa - Dulcesol,8410087142173,E,,['Dulcesol'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",,,"['France', 'Espagne']","['specia [sucre', 'graisses végétales ', 'pallile', 'palmiste', ' en propottion tsugar', 'vegetable variable', 'cacao degraissé en poudre étnutsifiant: proportions', 'fat-redl lécithine de soja et avôtnel', 'sucre', 'fourrée de truffe ', '17%', ' soya lecithin and fl ', 'graisses végétales ', 'panne', 'coprah', ' en propottion variable', 'Ivegetable fats ', 'pair sucre', 'huiles végétales ', 'tournesol', 'soja', ' en propottion variable', 'vegetable cils ', 'su cacao dégraissé en poudre ', '9%', '*', 'lactosérum', 'pâte de fat', 'reduced cocoa tvoisettes', 'énitllsifiant: lécithine de soja et arôjnesl', 'farine de emulsifier?', ' blé', 'sirop de glucose et fructose', 'oeuf,lnunnectants: sorbitot et glucose ancHructc']",['E322i - Lécithine'],"['Huile de palme', 'Non végétalien']",4,18 g,en quantité modérée,12 g,en quantité élevée,43 g,en quantité élevée,0.43 g,en quantité modérée,?,,426,-3%,1782 kj(426 kcal),-3%,18,-24%,12,+51%,61,+24%,43,+40%,"3,8",-34%,"0,43",-17%,"0,172",-17%,22,+19%,E,+19%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,,,,"['Œufs', 'Gluten', 'Lait', 'Soja']",,,['Huile de palme'],,,,
16,Fantasmikos - Nestlé,8410100189499,B,,['Nestlé'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['en:gluten-free'],,"['France', 'Espagne']",[],,[],,10.7 g,en quantité modérée,5 g,en quantité modérée,25 g,en quantité élevée,0 g,en faible quantité,?,,223,-4%,933 kj(223 kcal),-4%,"10,7",-9%,5,-34%,25,-10%,25,+7%,"0,3",-91%,0,-100%,0,-100%,11,-18%,D,-18%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,,
17,Mantequilla original tarrina - Pascual,8410128000578,E,,['Pascual'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres']",,,"['France', 'Espagne']",[],,[],,82 g,en quantité élevée,51 g,en quantité élevée,1.1 g,en faible quantité,0 g,en faible quantité,?,,745,+4%,3117 kj(745 kcal),+4%,82,+3%,51,-4%,"1,1",+50%,"1,1",+78%,"0,7",+3%,0,-100%,0,-100%,18,-18%,D,-18%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,,,,
18,Bi frutas Zero Mediterraneo - Pascual - 330ml,8410128168506,,330 ml,['Pascual'],"['Boissons', 'Produits laitiers', 'Boissons lactées']",,,"['France', 'Espagne']",[],,[],,0 g,en faible quantité,0 g,en faible quantité,2.6 g,en quantité modérée,0.06 g,en faible quantité,?,,13,-81%,54 kj(13 kcal),-82%,0,-100%,0,-100%,"2,6",-75%,"2,6",-73%,"0,4",-86%,"0,06",-46%,"0,024",-46%,4,-73%,C,-73%,,,,,,,,,,,,,,,,,,
19,La Gula del Norte Salteada al ajillo - Ubago - 85g (42g escurrido),8410155040295,B,85 g (42 g escurrido),['Ubago'],"['Produits de la mer', 'Poissons', 'Préparations de poisson', 'Surimi']",,,"['France', 'Espagne']",[],,[],,43 g,en quantité élevée,5.5 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,?,,449,+277%,1879 kj(449 kcal),+278%,43,+813%,"5,5",+747%,"6,8",-40%,"0,5",-83%,"7,9",+6%,"1,3",-24%,"0,52",-24%,15,+240%,D,+240%,52.0%,22.5%,10.3%,8.6%,5.2%,1.4%,92,,"['Canned', 'Envase en metal']",,,['Mercadona'],,,,,,
