,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,packaging,ingredients_origins,allergens,markets,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
70,Noyaux de citrouille (Graines de courbe) - Raw,8719324585248,,,['Raw'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge', 'Graines de courge en coque', 'en:raw-unshelled-pumpkin-seeds']",,,['France'],[],,[],,45.9 g,en quantité élevée,8.9 g,en quantité élevée,1.2 g,en faible quantité,0.003 g,en faible quantité,?,,586.70001220703,+3%,2455 kj(586 kcal),+4%,"45,9",+4%,"8,9",+17%,"18,1",+123%,"1,2",+3%,"25,3",-16%,"0,003",-99%,"0,001",-99%,11,+4%,D,+4%,,,,,,,,,"['Sachet', 'Plastique']",,,,,,,,,
71,Choux Rouges avec Morceaux de Pomme - Hak - 370ml,8720600099106,A,370ml,['Hak'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Choux cabus', 'Chou rouge', 'de:Legumes-fermentes']","['Sans gluten', 'Sans lactose']",,"['Belgique', 'France', 'Allemagne']","['Choux rouges ', '66%', 'eau', 'sucre', 'morceaux de pommes ', '6,8%', 'vinaigre naturel', 'amidon de mais modifié', 'sel']",,[],,0 g,en faible quantité,0 g,en faible quantité,9.7 g,en quantité modérée,0.4 g,en quantité modérée,?,,49,-17%,205 kj(49 kcal),-16%,0,-100%,0,-100%,"10,8",+30%,"9,7",+36%,"0,7",-38%,"0,4",-41%,"0,16",-41%,0,,B,,59.0%,0.0%,0.0%,14.5%,17.3%,9.2%,96,['Pays-Bas'],"['Glas', 'Verre', 'Bocal']",['Pays-Bas'],,['Delhaize'],,,,,,
72,Sparkling Ice tea zero - Lipton - 500ml,8722700050223,,500 ml,['Lipton'],"['Boissons', 'Boissons édulcorées']",['Sans colorants'],,"['Belgique', 'France']","['Eau pétillante', 'extrait de thé ', '0,32%', 'acidifiant ', 'acide citrique', ""correcteur d'acidité "", 'citrate trisodique', ""jus de citron à partir d'un concentré "", '0,1%', 'arômes', 'antioxygène ', 'acide ascorbique', 'édulcorants ', 'sucralose', 'acesulfame-K']","['E330 - Acide citrique', 'E331iii - Citrate trisodique', 'E300 - Acide ascorbique', 'E955 - Sucralose', 'E950 - Acésulfame K']",[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.04 g,en faible quantité,?,,3,-80%,13 kj(3 kcal),-78%,"< 0,5",+517%,"< 0,1",+288%,"< 0,5",-81%,"< 0,5",-79%,"< 0,5",+294%,"0,04",+15%,"0,016",+15%,2,-54%,C,-54%,,,,,,,,,,,,,,,,,,
73,Chips de crevettes - Nongshim - 75g,8801043007368,D,75 g,['Nongshim'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips cocktail de crevettes', 'Beignets salés']",,,['France'],"['Farine de tapioca', 'huile de riz', 'crevette 13,3%', 'farine de blé', 'huile de palme', 'sucre', 'sel', 'assaisonnement en poudre à la ', 'extrait de en poudre 0,3%', 'protéine de hydrolysée', 'lait', 'oignon en poudre', 'ail en poudre', 'acidifiant : Ego', 'protéine de na', ' Informations sur les allergènes : Fabriqué dans un atelier qui utilise aussi : œuf et sésame']",,"['Huile de palme', 'Non végétalien', 'Non végétarien']",4,25 g,en quantité élevée,8 g,en quantité élevée,10 g,en quantité modérée,0.74 g,en quantité modérée,2120,+145%,510,+123%,2120 kj(510 kcal),+125%,25,+169%,8,+540%,69,+173%,10,+187%,2,-71%,"0,74",-50%,"0,296",-50%,18,+163%,D,+163%,65.0%,16.6%,5.2%,10.9%,2.4%,0.0%,61,"['Corée', 'Séoul']",['Plastique'],,"['Crustacés', 'Gluten', 'Lait']",['supermarché chinois'],chips de crevettes,['Huile de palme'],http://eng.nongshim.com/brand/shrimpchips/main/index,,,
74,Sauce Huitre Pantai - Saveur d autrefois,8850058004213,,,['Saveur d autrefois'],,,,['France'],"['eau', 'sucre', 'sauce soja ', '15%eau su extrait de graines de soja', 'farine de blé', 'épaississant amidon modifié de mais', 'sirop de fructose', 'sel huile mollusques', ' ', '7%', 'sauce au poisson ', 'extrait d’anchois Sucre', 'huile de graines de sésame', 'exhausteurs de oit E 621 E 627', 'E 631 colorant E 150c', 'conservateurs E 202', ""E 211 Correcteur d'acidité E 330""]","['E631 - Inosinate disodique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,93,,389 kj(93 kcal),,"0,4",,0,,20,,7,,5,,"11,1",,"4,44",,,,,,,,,,,,,['Thailand'],,,"['Gluten', 'Mollusques', 'Soja']",['Auchan'],,,,,,
75,Sauce Aigre Douce - Exotic Food - 200ml,8853662003078,B,200ml,['Exotic Food'],"['Epicerie', 'Sauces', 'Sauces aigre-douces']",,,['France'],"['sucre', 'eau', ""jus d'ananas 20%"", 'tohate', 'pimente vinaig<rnidon de : E415', 'conse valeur : E202']","['E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",[],4,0.2 g,en faible quantité,0 g,en faible quantité,34 g,en quantité élevée,3 g,en quantité élevée,?,,183,+48%,766 kj(183 kcal),+49%,"0,2",-41%,0,-100%,44,+67%,34,+55%,"0,8",+60%,3,+156%,"1,2",+156%,19,+91%,E,+91%,42.4%,22.5%,16.3%,10.1%,5.1%,3.6%,92,,,,,,,,,,,
76,Erdbeer Marmelade - Darbo - 1kg,9001432029387,D,1kg,['Darbo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,"['France', 'Allemagne', 'Luxembourg']",[],,[],,0 g,en faible quantité,0 g,en faible quantité,37 g,en quantité élevée,0.02 g,en faible quantité,663,-28%,158,-27%,663 kj(158 kcal),-27%,0,-100%,0,-100%,37,-30%,37,-27%,"0,6",+35%,"0,02",-12%,"0,008",-12%,7,-20%,C,-20%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,['Edeka'],,,,,,
77,Schoko Bananen - Sir Charles - 300g e,9002859058172,,300 g e,['Sir Charles'],"['Snacks', 'Snacks sucrés', 'Confiseries']",,,"['France', 'Suisse']","['Sucre', 'sirop de glucose', 'eau', 'pâte de cacao', 'pulpe de banane 5 %', 'beurre de cacao', 'humectant', ' E420', ' gélifiant', ' E406', ' gélatine', 'acidifiant: E330', ' émulsifiant', ' E322 ', 'soja', ' arôme naturel', 'colorant', ' E100']","['E420 - Sorbitol', 'E406 - Agar-agar', 'E428 - Gélatine', 'E330 - Acide citrique', 'E322 - Lécithines', 'E100 - Curcumine']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,8.5 g,en quantité modérée,5.1 g,en quantité élevée,61.3 g,en quantité élevée,0.1 g,en faible quantité,?,,359,-15%,1502 kj(359 kcal),-15%,"8,5",-42%,"5,1",-21%,"67,3",+1%,"61,3",+24%,"2,1",-50%,"0,1",-32%,"0,04",-32%,19,+4%,E,+4%,,,,,,,,,"['Carton', 'boîte', 'Plastique']",,['Soja'],,Guimauve au gout banane enrobée de chocolat (25%).,,,,,
78,Rauch Juice Pineapple Glass Bottle,90169502,,,['Rauch'],['Boissons'],"['Végétarien', 'Végétalien']",,['France'],[],,"['Végétalien', 'Végétarien']",,0.1 g,en faible quantité,0.1 g,en faible quantité,12.3 g,en quantité élevée,0.003 g,en faible quantité,?,,54,-4%,226 kj(54 kcal),-6%,"0,1",-71%,"0,1",-15%,"12,3",+9%,"12,3",+30%,"0,4",-19%,"0,003",-93%,"0,001",-93%,17,+122%,E,+122%,,,,,,,,,,,,,,,,,,
79,Philadelphia,9300650431812,D,,['Philadelphia'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à la crème']",,,"['Australie', 'France']",[],,[],,24.4 g,en quantité élevée,17 g,en quantité élevée,2.8 g,en faible quantité,0.35 g,en quantité modérée,?,,255,+72%,1067 kj(255 kcal),+70%,"24,4",+130%,17,+145%,"2,8",-48%,"2,8",-41%,"5,4",-20%,"0,35",+5%,"0,14",+5%,11,+168%,D,+168%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,Cream cheese,,,,,
80,Vitaweat sesame - Arnott's,9310072004075,,,"[""Arnott's""]",,['Fabriqué en Australie'],,"['Australie', 'France']","['COMPLÈTE ', '80 0%', ' GRAINES ', '6,5 0%', ' HUILE VÉGETALE', 'SEL', 'SUCRE', "" PEUT CONTENIR DES TRACES D'ŒUF"", 'DE LAIT', 'DE CACAHUETE', 'DE SOJA ET DE FRUIT A COQUE', ' FABRIQUÉ EN AUSTRALIE']",,"[""Pourrait contenir de l'huile de palme""]",,,,,,,,,,?,,1.7,,7 kj(1 kcal),,"11,7",,"1,7",,"60,817",,"1,6",,12,,"0,512",,"0,205",,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Graines de sésame', 'Soja']",['Woolworths'],,,,,,
81,Riz complet BASMATI -,3367350401008,C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz complet']",,,['France'],[],,[],,2.8 g,en faible quantité,0.57 g,en faible quantité,0 g,en faible quantité,2.88 g,en quantité élevée,?,,354,+7%,1481 kj(354 kcal),+6%,"2,8",+6%,"0,57",+2%,"73,3",+9%,0,-100%,"7,04",-5%,"2,88",+8523%,"1,152",+8523%,14,,D,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,
82,Poitrine Paysanne Forêt Noire - Jeca - 100g,4003419003606,E,100 g,['Jeca'],"['Viandes', 'Porc', 'Poitrine de porc']","['en:gluten-free', 'Sans lactose']",['DE EV-65 EG'],['France'],"['viande de porc*', 'sel', 'épices', 'conservateur: E 250', 'fumée de sapin', ' *Origine UE']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",3,32 g,en quantité élevée,13.3 g,en quantité élevée,0.5 g,en faible quantité,3.5 g,en quantité élevée,?,,389,+41%,1628 kj(389 kcal),+43%,32,+43%,"13,3",+57%,"0,5",-47%,"0,5",-24%,25,+52%,"3,5",+50%,"1,4",+50%,24,+25%,E,+25%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,['Allemagne'],"['Barquette', 'Plastique']",['Union européenne'],,,,,,,,
83,Les cocktails - Prince de Bretagne - 500g,3370569802375,,500g,['Prince de Bretagne'],,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Film en plastique', 'Barquette en carton']",,,,,,,,,
84,Yaourt brebis - Giralp - 125g,3384630420023,,125 g,['Giralp'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de brebis']",,"['FR 38.113.002 CE', 'Clelles (Isère, France)']",['France'],[],,[],,3 g,en quantité modérée,2.2 g,en quantité modérée,3 g,en faible quantité,0.13 g,en faible quantité,?,,67,-36%,280 kj(67 kcal),-37%,3,-41%,"2,2",-34%,"4,4",-54%,3,-63%,"5,5",+13%,"0,13",+21%,"0,052",+21%,-1,-139%,A,-139%,,,,,,,,,['Frais'],,,,,,,,,
85,1KG Farine T55 - 1000g,4008639259130,B,1000g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,['France'],"['100% blé ', 'contient du gluten']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,1.1 g,en faible quantité,0.2 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,?,,351,+2%,1469 kj(351 kcal),+2%,"1,1",-18%,"0,2",-15%,72,+3%,1,-35%,11,+1%,0,-100%,0,-100%,-1,,A,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,['Paquet'],,['Gluten'],,,,,,,
86,R & R Weight Reducing Herbs - Royal Regime - 100g,6040391211863,B,100 g,['Royal Regime'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Tisanes de plantes mélangées', 'Infusions minceur', 'Thés minceur']",,,['France'],"['Each tea bag ', '2g', ' contains: 20% Cichorium intybus herb 30% Cassia angustifolia leaves 50% Foeniculum vulgare fruits Indicated as a laxative and diuretic', 'and specially for Reducing Weight Thé Régime Royale A boir de préference aprés les repas', ""Mettre le sachet dans de l'eau chaude et laisser infuser 5 minutes avant de se servir Chaque sachet contient: 20% Herbe cichorium Intybus herbe 30% Feuilles Cassia Angustifolia 50% Fruit Foeniculum vulgare Il est ef diurétig surtout dans des régi d'amaigrissement Co comme laxatif et Made in Egypt""]",,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,,0,,30,+3756%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Paper'],,,,,,,,,
87,Edición kéfir natural sin gluten - Danone - 136ml,8410500022419,,136 ml,['Danone'],"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Kéfir']",,,"['France', 'Espagne']","['Leche pasteurizada', 'fermentos propios del kéfir Y otros fermentos lacticos']",,['Non végétalien'],1,2.5 g,en quantité modérée,1.6 g,en quantité modérée,3 g,en quantité modérée,0.12 g,en faible quantité,?,,54,-2%,226 kj(54 kcal),-5%,"2,5",+10%,"1,6",+14%,"3,9",-24%,3,-34%,"3,2",-0%,"0,12",+10%,"0,048",+10%,11,-4%,E,-4%,,,,,,,,,['Botella'],,,['Plushfresh'],,,,,,
88,Saussises de vienne - Zwan - 240g,8712100808661,,240g,['Zwan'],['Saucisses de Vienne'],,,"['Belgique', 'France']","['stabilisant ', 'E451', 'E452', 'antioxygène ', 'E301', 'extrait de romarin', ""extrait d'épices "", 'poivre', 'noix de muscade', 'piment rouge', 'piment', 'macis', 'conservateur E250', 'Saumure: Eau', 'sel', ""Let op: de verpakking niet in de microgolf plaatsen! Attention: Ne pas mettre l'emballage dans le micro-ondes!""]","['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E392 - Extrait de romarin', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",[],4,13 g,en quantité modérée,5.8 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,?,,180,,753 kj(180 kcal),,13,,"5,8",,4,,"0,5",,12,,"1,9",,"0,76",,15,,D,,,,,,,,,,['Conserve'],,,['Delhaize'],,,,,,
89,St Dalfour : Oranges & Gigembre - 284g,3492390005593,,284 g,['St. Dalfour'],,"['Sans colorants', 'Sans conservateurs']",,"['France', 'Maroc']",[],,[],,,,,,,,,,?,,238,,996 kj(238 kcal),,"3,1",,"2,5",,70,,59,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
90,Naturalplan - Huile d'olive Grecque - Coop - 500ml,7613356573147,C,500 ml,['Coop'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive de Grèce"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['Bio', 'Bio européen', 'GR-BIO-03', 'GR-BIO-05', 'en:Naturaplan', 'IGP']",,"['France', 'Suisse']","[""Huile d'olive bio "", 'Grèce [Crète]']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,90 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3330,+2%,797,-5%,3330 kj(797 kcal),-4%,90,-4%,13,-3%,0,-100%,0,-100%,0,-100%,0,,0,,5,-16%,C,-16%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,"['bouteille verre', 'bouteille']",['Grèce'],,['Coop'],,,,,,
91,Vitamines B et C - Merck - 30comprimés,3401599460553,,30 comprimés,['Merck'],,,,"['France', 'Martinique']",[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
92,Galettes de blé noir champignons lardons emmental - Monoprix - 2,3350033158047,,2,['Monoprix'],"['Plats préparés', 'Galettes fourrées', 'Galettes fourrées salées', 'Galettes de blé noir champignons lardons emmental']",,"['FR 22.093.041 CE', ""Lamballe (Côtes-d'Armor, France)"", 'EMB 22093K', ""Lamballe (Côtes-d'Armor, France)""]",['France'],[],,[],,7.9 g,en quantité modérée,4.9 g,en quantité modérée,0.7 g,en faible quantité,1.2 g,en quantité modérée,?,,170,-14%,711 kj(170 kcal),-16%,"7,9",-24%,"4,9",-6%,15,-8%,"0,7",-54%,"8,1",-7%,"1,2",-1%,"0,48",-1%,11,+7%,D,+7%,,,,,,,,,,,,['Monoprix'],,,,,,
93,Yoyo's - BEAR - 5x20g,5060139432962,,5x20g,['BEAR'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries aux fruits']","['Végétarien', 'Végétalien', 'en:gluten-free', 'Sans sucre ajouté', 'Sans concentrés']",,['France'],"['Pommes', 'poires', 'spiruline']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0 g,en faible quantité,0 g,en faible quantité,42 g,en quantité élevée,0 g,en faible quantité,?,,275,-35%,1151 kj(275 kcal),-36%,0,-100%,0,-100%,62,+6%,42,-17%,"1,9",-48%,0,-100%,0,-100%,1,-95%,B,-95%,,,,,,,,,['Carton'],,,,Rouleaux de fruits,,,,,
94,Nems à la crevette et au crabe x 4 - Marque Repère - 280g,3564706529489,,280 g,"['Marque Repère', 'Tables du Monde']",,,,['France'],"[""4 galettes de riz garnies d'une préparation à la crevette"", ""au colin d'Alaska et à la chair de crabe "", '60 g par pièce', ' : eau', 'farine de riz 15% *', 'carotte', 'oignon réhydraté', 'protéines de soja', 'huile de tournesol', 'crevette 5', '5%* ', 'crevette', 'eau', 'sel', 'vermicelle ', 'amidon de pois', 'amidon de maïs', ""colin d'Alaska 2%*"", 'chair de crabe 1', '9%*', 'champignon noir', 'sucre', 'sauce poisson ', 'poisson', 'sel', 'eau', 'sel', 'fibre de bambou', 'sucre caramélisé ', 'sucre', 'eau', 'poudre de crevette nordique 0', '1%*', 'poivre', ' *Pourcentages exprimés sur le nem', '1 sachet de sauce pour nems ', '40 g', ' : eau', 'sucre', ""vinaigre d'alcool"", 'sel', 'nuoc-mâm 1', '6% **', 'poisson', 'sel', 'eau', 'sauce soja ', 'eau', 'graines de soja', 'sel', 'farine de blé', ' ** Pourcentage exprimé sur la sauce', "" Traces d'arachides"", 'lait et œufs']",,"['Non végétalien', 'Non végétarien']",,,,,,,,,,748,,?,,748 kj(179 kcal),,"7,1",,"0,8",,21,,"4,7",,"6,1",,"1,9",,"0,76",,,,,,,,,,,,,,,,"['Crustacés', 'Poisson', 'Gluten', 'Soja']",['Leclerc'],,,,,,
95,Poid cassé vert,3329480014619,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,,,,,,,,,?,,300,,1255 kj(300 kcal),,12,,"0,16",,35,,8,,"24,5",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,
96,Aceite de oliva virgen extra ecológico - Coosur,8411190063195,D,,['Coosur'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['Bio'],,"['France', 'Espagne']",[],,[],,91 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3381,-4%,822,-4%,3381 kj(822 kcal),-6%,91,-5%,12,-14%,?,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
97,Thon Albacore - 140g,27013120,D,140 g,,"['Produits de la mer', 'Poissons', 'Thons', 'Thons tropicaux', 'Thons albacore']",,,"['Belgique', 'France']",[],,[],,1.2 g,en faible quantité,0.6 g,en faible quantité,0.5 g,en faible quantité,0.43 g,en quantité modérée,?,,138,+11%,577 kj(138 kcal),+12%,"1,2",-43%,"0,6",+10%,"0,5",+223%,"0,5",+390%,31,+24%,"0,43",-56%,"0,172",-56%,-3,-859%,A,-859%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,['Aldi'],,,,,,
98,Marmelade oranges - Delhaize - 450g,5400111087856,B,450 g,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Marmelades', ""Marmelades d'oranges""]",,,"['Belgique', 'France']",[],,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,57.6 g,en quantité élevée,0.1 g,en faible quantité,?,,245,+2%,1025 kj(245 kcal),+1%,"0,1",-41%,"0,1",+135%,"60,5",+2%,"57,6",+2%,"0,3",-12%,"0,1",+308%,"0,04",+308%,13,+7%,D,+7%,35.9%,18.8%,27.1%,12.6%,4.4%,1.2%,89,,,,,['Delhaize'],,,,,,
99,"Cidre ""Les Festifs"" rosé 2,5° - U - 75cl",3256225426782,C,75 cl,['U'],"['Boissons', 'Boissons alcoolisées', 'Cidres', 'Cidres rosés']",['Transformé en France'],,['France'],"['Jus de pommes fermenté', 'dioxyde de carbone', 'colorant : anthocyanes', 'antioxydant : sulfite acide de potassium', 'acidifiant : acide citrique']","['E290 - Dioxyde de carbone', 'E163 - Anthocyanes', 'E228 - Sulfite acide de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,['bouteille verre'],,['Anhydride sulfureux et sulfites'],['Magasins U'],,,,,,
100,Cornichons Fins - 420g,3760262232102,,420 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",['en:gluten-free'],,['France'],[],,[],,0.3 g,en faible quantité,0.1 g,en faible quantité,0.7 g,en faible quantité,2 g,en quantité élevée,?,,26,-4%,109 kj(26 kcal),+2%,"0,3",+1%,"0,1",+46%,"1,3",-62%,"0,7",-73%,"1,2",+19%,2,+16%,"0,8",+16%,3,+38%,C,+38%,,,,,,,,,,,,,,,,,,
101,Digestive galletas con chocolate negro - Mcvitie's - 300g,5000396037456,D,300 g,"[""Mcvitie's""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Sablés nappés de chocolat', 'es:Galletas-de-tipo-digestive']","['Sans colorants', 'Pur beurre de cacao']",,"['France', 'Espagne', 'Suisse']","['Flour ', '39%', ' ', 'Wheat Flour Calclum Carbonate', 'Iron', 'Niacin', 'Thiamin', 'Chocolate ', '30%', ' [Sugar', 'Cocoa Mass', 'Vegetable Fats ', 'contains Palm and/or Sal', 'Shea', 'Butter Oil ', 'Milk', 'Cocoa Butter', 'Emulsifiers ', 'Soya Lacithin', 'E476', 'Natural Flavouring', 'Palm Ol', 'Wholemeal Wheat Flour ', '9%', 'Sugar', 'Glucose-Fructose Syrup', 'Raising Agents ', 'Sodium Carbonates', 'Mallc Acid', 'Ammonium Carbonates', 'Salt']","['E502 - Carbonates', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E500 - Carbonates de sodium']","['Huile de palme', 'Non végétalien']",4,24.2 g,en quantité élevée,12.8 g,en quantité élevée,27.6 g,en quantité élevée,0.9 g,en quantité modérée,?,,495,+5%,2071 kj(495 kcal),+5%,"24,2",+22%,"12,8",+89%,"60,8",-5%,"27,6",+49%,6,-16%,"0,9",+1%,"0,36",+1%,21,+24%,E,+24%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,['Lait'],,,,,,,
102,Galette de riz complet - Coop,7613413041497,B,,['Coop'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz complet soufflé']",['Fabriqué en Italie'],,"['France', 'Suisse']",[],,[],,1.9 g,en faible quantité,1 g,en faible quantité,1.2 g,en faible quantité,0.3 g,en quantité modérée,?,,403,+2%,1686 kj(403 kcal),+1%,"1,9",-55%,1,-28%,87,+10%,"1,2",-52%,"7,7",-4%,"0,3",+33%,"0,12",+33%,2,+3100%,B,+3100%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,,,,,,,
