,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,packaging,markets,quantity,additives,palm_ingredients,allergens,nova_score,ingredients_origins,manufacturing,generic_name,link,brand_owner,producer_info
0,Andouille de Guemene,2699484066848,E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",['France'],[],[],18 g,en quantité modérée,9.7 g,en quantité élevée,0 g,en faible quantité,2.6 g,en quantité élevée,?,,248,-1%,1038 kj(248 kcal),-0%,18,-11%,"9,7",-4%,"0,6",+60%,0,-100%,20,+22%,"2,6",+9%,"1,04",+9%,22,+2%,E,+2%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,,,,,,,
1,Chaussons aux pommes,3276559574485,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,,,,,,,,,,
2,Mélange de noix biologiques,3100000000003,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'BE-BIO-01', 'Agriculture UE', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,
3,Moutarde a la truffe - Le Comptoir de Mathilde,3700961306865,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Le Comptoir de Mathilde'],,,,,,,,,,,,,,
4,Soupe thai - Karine & Jeff,3760052239588,,,['France'],[],[],,,,,,,,,?,,27,,113 kj(27 kcal),,"1,3",,"0,9",,"1,9",,"1,4",,"1,2",,"0,47",,"0,188",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Karine & Jeff'],,,,,,,,,,,,,,
5,Beignet Choco-Noisette,2012345221000,D,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.1%,13.7%,3.6%,3.5%,1.9%,0.0%,52,,,,,,,,,,,,,,,,
6,Confiture poire gingembre bio,3554741010080,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,"['EMB 17179', 'Gonds (Charente-Maritime, France)']",,,,,,,,,,,,,
7,BTTR,3770015725027,,,['France'],[],[],,,,,,,,,?,,128,,536 kj(128 kcal),,0,,0,,32,,32,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Andouilles de guemene,0211197029716,E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",['France'],[],[],,,,,,,2.7 g,en quantité élevée,?,,?,,,,?,,,,?,,,,?,,"2,7",+13%,"1,08",+13%,,,,,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,['Film en plastique'],,,,,,,,,,,,
9,Amandes décortiquées,2600112027292,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],[],49 g,en quantité élevée,4 g,en quantité modérée,4 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,49,-5%,4,-0%,22,+68%,4,+2%,21,-6%,0,-100%,0,-100%,-7,,A,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,,,,,,
10,Sandwich poulet halal,3496100004296,C,"['Sandwichs', 'Sandwichs à la volaille', 'Sandwichs au poulet']",['France'],[],[],12.7 g,en quantité modérée,1.3 g,en faible quantité,5.1 g,en quantité modérée,1.8 g,en quantité élevée,?,,1128.6,+406%,4722 kj(1128 kcal),+405%,"12,7",+51%,"1,3",-10%,"27,2",+6%,"5,1",+55%,"9,4",-7%,"1,8",+49%,"0,72",+49%,19,+604%,E,+604%,74.5%,14.3%,4.5%,4.2%,2.0%,0.5%,58,,,,,,,,,,,,,,,,
11,Chocolat noir 71 % cacao - Le chocolat des français,3701198801918,,,['France'],[],[],,,,,,,,,?,,566,,2368 kj(566 kcal),,"43,2",,26,,"29,1",,"25,6",,8,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['Le chocolat des français'],,,,,,,,,,,,,,
12,Chocolat noir à la myrtille -,7757762000115,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],[],[],33.3 g,en quantité élevée,19.2 g,en quantité élevée,35.7 g,en quantité élevée,0.0534 g,en faible quantité,2227,-2%,?,,2227 kj(532 kcal),-4%,"33,3",-15%,"19,2",-17%,"42,8",+11%,"35,7",+13%,7,-9%,"0,053",+14%,"0,021",+14%,21,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,,,,,
13,Céleri frais en rémoulade,3760054093348,B,"['Plats préparés', 'Légumes préparés', 'Céleris Rémoulade']",['France'],[],[],14.3 g,en quantité modérée,1.1 g,en faible quantité,1.5 g,en faible quantité,1 g,en quantité modérée,?,,158,+22%,661 kj(158 kcal),+22%,"14,3",+23%,"1,1",+12%,"4,9",+50%,"1,5",-14%,"1,2",-1%,1,-1%,"0,4",-1%,6,+75%,C,+75%,68.7%,4.1%,11.5%,9.5%,4.9%,1.3%,91,,,"['EMB 85161A', 'Nieul-le-Dolent (Vendée, France)']",,,,,,,,,,,,,
14,Infusion digestive,3456300013924,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,
15,Crunchy muesli,5400134408232,,,['France'],[],[],,,,,,,,,?,,387,,1619 kj(387 kcal),,"7,8",,"3,1",,68,,20,,"8,1",,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,,,,,,,,,,,,,,
16,Sauge,3266191071220,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,
17,Fettucine,3760189070276,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,
18,Pâté à l'ail et aux lardons,3576620008506,,,['France'],[],[],,,,,,,,,?,,375,,1569 kj(375 kcal),,35,,13,,"1,1",,"0,8",,14,,"1,6",,"0,64",,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,"['FR 59.032.001 CE', 'Aulnoy-lez-Valenciennes (Nord, France)']",,,,,,,,,,,,,
19,Pruneaux d'Agen bio,3700650907632,,,['France'],[],[],,,,,,,,,?,,250,,1046 kj(250 kcal),,"0,4",,"0,2",,55,,37,,"1,4",,"0,1",,"0,04",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,
20,Bonbons Bio au miel,3700211181501,,,['France'],[],[],,,,,,,,,?,,389,,1628 kj(389 kcal),,"0,5",,0,,96,,90,,"0,5",,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,
21,Vin blanc moelleux,3270040434470,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],[],,,,,,,,,?,,?,,,,?,,0,-100%,?,,0,-100%,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Aquafina Eau Traitée Déminéralisée,0069000061053,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Pagès,3398984300146,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,
24,Pommes bicolores - Casino,3222477638723,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']","['Casino', 'Casino Bio']",,,['Casino'],,,,,,,,,,,
25,Saucisse de Montbeliard IGP,2643314031223,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Montbéliard']",['France'],[],[],27 g,en quantité élevée,11 g,en quantité élevée,1.1 g,en faible quantité,2 g,en quantité élevée,?,,311,-5%,1301 kj(311 kcal),-5%,27,-4%,11,-2%,"1,1",+27%,"1,1",+57%,15,-7%,2,-9%,"0,8",-9%,21,-6%,E,-6%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,,,,,,,,,,,,,,,
26,Purée amandes complètes,3362962101018,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Saucisse toulouse bio x4 sous vide skin vpf,3760019299549,,,['France'],[],[],,,,,,,,,?,,248,,1038 kj(248 kcal),,16,,"6,7",,"0,2",,"0,2",,"17,4",,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique']",,"['FR 03.190.162 CE', 'Moulins (Allier, France)']",,,,,,,,,,,,,
28,Senza glutine frollino con cacao e nocciole,8000510552619,,,['France'],[],[],,,,,,,,,?,,475,,1987 kj(475 kcal),,19,,8,,72,,26,,"3,2",,"0,64",,"0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pesto de poivrons - Bio Gustiamo,8029689025335,B,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Sauces Pesto Rosso']",['France'],[],[],22 g,en quantité élevée,2.5 g,en quantité modérée,2.5 g,en faible quantité,2.01 g,en quantité élevée,?,,241,-33%,1008 kj(241 kcal),-33%,22,-34%,"2,5",-49%,"4,8",-43%,"2,5",-55%,"1,8",-55%,"2,01",-2%,"0,804",-2%,13,-18%,D,-18%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,"['Bio', 'Bio-dynamie', 'Demeter']",['Bio Gustiamo'],,,,,,,,,,,,,,
30,Nature sur fruits edition hiver - Yoplait,3329770076396,,,['France'],[],[],,,,,,,,,?,,105,,439 kj(105 kcal),,"2,5",,"1,6",,"16,5",,"15,6",,"2,7",,"0,1",,"0,04",,,,,,,,,,,,,,['Yoplait'],,,,,,,,,,,,,,
31,Perles de miel,3760099701062,,,['France'],[],[],,,,,,,,,?,,393,,1644 kj(393 kcal),,"0,5",,"0,5",,98,,79,,"0,5",,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,
32,Purefresh - Goût fresh mint,80834090,,,['France'],[],[],,,,,,,,,?,,179,,749 kj(179 kcal),,"0,2",,"0,2",,72,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Fromage nature 0%,5410146419706,,,['France'],[],[],,,,,,,,,?,,57,,238 kj(57 kcal),,"0,2",,"0,1",,"3,9",,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,bonbons au miel biol,3110770022311,,,['France'],[],[],,,,,,,,,?,,389,,1628 kj(389 kcal),,"0,5",,0,,96,,90,,"0,5",,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,
35,Chocolat au lait de coco vegan - Carré Suisse,3760231780771,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait végétal']",['France'],[],"['Végétalien', 'Végétarien']",41 g,en quantité élevée,28 g,en quantité élevée,35 g,en quantité élevée,0.18 g,en faible quantité,?,,580,+0%,2427 kj(580 kcal),+1%,41,+2%,28,+21%,44,-7%,35,+1%,"5,3",+14%,"0,18",+96%,"0,072",+96%,24,+8%,E,+8%,,,,,,,,"['Végétarien', 'Sans gluten', 'Végétalien']",['Carré Suisse'],,,,,,,,,,,,,,
36,The vert bio tchai,3760280601775,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,
37,Spiruline,3760233560418,E,"['Compléments alimentaires', 'Spiruline']",['France'],[],[],6.8 g,en quantité modérée,3 g,en quantité modérée,1.5 g,en faible quantité,3.3 g,en quantité élevée,?,,391,+56%,1636 kj(391 kcal),+54%,"6,8",+86%,3,+134%,"14,9",+45%,"1,5",+115%,"67,7",+37%,"3,3",+187%,"1,32",+187%,16,+227%,D,+227%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,,,,,,,,,,,
38,Filets de maquereaux - Franprix,3263855403618,D,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",['France'],[],[],6.1 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,11 g,en quantité élevée,?,,117,-47%,490 kj(117 kcal),-47%,"6,1",-63%,"1,8",-51%,10,+826%,0,-100%,"5,4",-67%,11,+891%,"4,4",+891%,12,+93%,D,+93%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,['Franprix'],"['EMB 62448', ""Hesdin-l'Abbé (Pas-de-Calais, France)""]",['Couvercle en métal'],['Franprix'],,,,,,,,,,,
39,Muesli croustillant BIO fruits rouges - Leader Price,3263851323255,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",['France'],[],[],13.5 g,en quantité modérée,4 g,en quantité modérée,15.9 g,en quantité élevée,0.19 g,en faible quantité,?,,422,+1%,1766 kj(422 kcal),+1%,"13,5",+3%,4,+20%,"60,4",-0%,"15,9",-6%,"10,2",+4%,"0,19",+9%,"0,076",+9%,6,+22%,C,+22%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,['Leader Price'],,,['Leader Price'],,,,,,,,,,,
40,Parmentier de canard,3564706639348,D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au canard', 'Parmentiers de canard']",['France'],[],[],7 g,en quantité modérée,2.6 g,en quantité modérée,1.2 g,en faible quantité,0.73 g,en quantité modérée,?,,129,-9%,540 kj(129 kcal),-8%,7,-9%,"2,6",-29%,"8,7",-9%,"1,2",-25%,"7,2",+1%,"0,73",-6%,"0,292",-6%,2,-32%,B,-32%,78.8%,12.8%,2.6%,3.3%,1.4%,1.0%,46,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,
41,Cacahuètes grillées sans sel - Artisans du Monde,3413880035197,,,['France'],[],[],,,,,,,,,?,,608,,2544 kj(608 kcal),,"49,5",,"8,2",,16,,"4,1",,25,,,,,,,,,,,,,,,,,,['Artisans du Monde'],,,,,,,,,,,,,,
42,Sauce Rouille,3325815008476,D,"['Epicerie', 'Sauces', 'Mayonnaises', 'Sauce rouille', 'Rouille']",['France'],[],[],33.1 g,en quantité élevée,3.8 g,en quantité modérée,4 g,en faible quantité,1.23 g,en quantité modérée,?,,1433,+244%,5996 kj(1433 kcal),+249%,"33,1",-26%,"3,8",-8%,"7,9",+95%,4,+228%,"3,6",+35%,"1,23",-12%,"0,492",-12%,18,+30%,D,+30%,81.1%,9.7%,5.1%,2.2%,1.9%,0.0%,53,,,,,,,,,,,,,,,,
43,Pomme de terre,3361310420719,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,
44,Dattes,3452519550083,,,['France'],[],[],,,,,,,,,?,,319,,1335 kj(319 kcal),,"0,1",,"0,1",,"74,7",,"71,4",,"2,3",,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,
45,Huile de cameline,3760230800098,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de cameline']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Céleri rémoulade,0208430010044,B,"['Plats préparés', 'Légumes préparés', 'Céleris Rémoulade']",['France'],[],[],11.8 g,en quantité modérée,0.91 g,en faible quantité,1.8 g,en faible quantité,1.3 g,en quantité modérée,?,,125,-4%,523 kj(125 kcal),-4%,"11,8",+2%,"0,91",-8%,"2,3",-30%,"1,8",+3%,"1,2",-1%,"1,3",+29%,"0,52",+29%,6,+75%,C,+75%,68.7%,4.1%,11.5%,9.5%,4.9%,1.3%,91,,,,,,,,,,,,,,,,
47,Moules de Hollandes - Casino,3222477666931,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Casino'],,,['Casino'],,,,,,,,,,,
48,Navarin d'agneau et purée de pommes de terre - Thiriet,3292590876180,,,['France'],[],[],,,,,,,,,?,,105,,439 kj(105 kcal),,"5,7",,"2,4",,"5,6",,"1,4",,7,,"0,64",,"0,256",,,,,,,,,,,,,,['Thiriet'],,,['Thiriet'],,,,,,,,,,,
49,Gesiers de canard confits - Lidl,4056489276791,,"['Poissons et viandes et oeufs', 'Abats', 'Gésiers', 'Gésiers de canard', 'Gésiers de canard confits']",['France'],[],[],15 g,en quantité modérée,4.4 g,en quantité modérée,0.5 g,en faible quantité,1.3 g,en quantité modérée,?,,233,+25%,975 kj(233 kcal),+26%,15,+142%,"4,4",+115%,"0,5",+97%,"0,5",+186%,24,-17%,"1,3",-10%,"0,52",-10%,11,+78%,D,+78%,,,,,,,,,['Lidl'],,,,,,,,,,,,,,
50,Embrun Breton,0779993578550,,,['France'],[],[],,,,,,,,,?,,568,,2377 kj(568 kcal),,"31,45",,"26,27",,"46,11",,"29,15",,"7,93",,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09']",,,,,,,,,,,,,,,
51,"Salade de riz noir bio, poulet et butternut - Seazon",3701456310275,D,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Salade de poulet']",['France'],[],[],6 g,en quantité modérée,1 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,?,,139,-7%,582 kj(139 kcal),-5%,6,+1%,1,-40%,11,-20%,2,+3%,9,+12%,0,-100%,0,-100%,-4,-380%,A,-380%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,['Seazon'],,,,,,,,,,,,,,
52,Faux-filet - Charal,0292452030449,,,['France'],[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,67,,0,,0,,0,,22,,"0,16",,"0,064",,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",['Charal'],,,,,,,,,,,,,,
53,Brochettes d'encornets géant et chorizo,2416890036865,,['Encornet géant'],['France'],[],[],11 g,en quantité modérée,2.6 g,en quantité modérée,0.8 g,en faible quantité,1.8 g,en quantité élevée,?,,149,,623 kj(149 kcal),,11,,"2,6",,"0,9",,"0,8",,12,,"1,8",,"0,72",,5,,C,,,,,,,,,,,,,,,,,,,,,,,,
54,Tapenade noire Bio Olives Kalamata,3265470057313,C,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",['France'],[],[],23 g,en quantité élevée,2.9 g,en quantité modérée,0.5 g,en faible quantité,3.7 g,en quantité élevée,?,,233,-15%,975 kj(233 kcal),-15%,23,-14%,"2,9",-17%,"3,5",+12%,"0,5",+7%,"1,8",+2%,"3,7",+18%,"1,48",+18%,14,-5%,D,-5%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,"['Nutriscore', 'Nutriscore C']",,,,,,,,,,,,,,,
55,Spiruline en paillettes - Spiruline de Charteuse,3698819395584,E,"['Compléments alimentaires', 'Spiruline']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,['Spiruline de Charteuse'],,,,,,,,,,,,,,
56,Tiramisu saveur cerise amarena - U,3256228415691,E,"['Biscuits et gâteaux', 'Pâtisseries', 'Tiramisu']",['France'],[],[],8 g,en quantité modérée,5.5 g,en quantité élevée,22 g,en quantité élevée,0.1 g,en faible quantité,?,,224,-15%,937 kj(224 kcal),-15%,8,-33%,"5,5",-31%,32,-1%,22,+3%,"3,9",-6%,"0,1",-43%,"0,04",-43%,10,-27%,C,-27%,84.5%,12.9%,0.8%,1.3%,0.4%,0.1%,11,,"['U', 'U Saveurs']",,,,,,,,,,,,,,
57,Noix de cajou grillées à l’huile et salées,2600159042838,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,,,,,
58,coconut oil,0812579012359,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",['France'],[],[],14 g,en quantité modérée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,120,-86%,502 kj(120 kcal),-86%,14,-86%,12,-86%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,-43%,D,-43%,,,,,,,,,,,,,,,,,,,,,,,
59,Steaks hachés Pur boeuf - Auchan,3596710465668,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,20,,"8,6",,0,,0,,18,,"0,17",,"0,068",,,,,,,,,,,,,['Nutriscore'],['Auchan'],,,,,,,,,,,,,,
60,Farine de blé T110 complète,3760054742703,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,
61,miel de fleurs - Franprix,07679500,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['France'],"[""Miel de fleurs Mélange de miels originaires et non originaires de l'U"", 'E', ' Zones de récolte: Amérique Latine et Europe']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Franprix'],,,['Franprix'],,,,,,,,,,,
62,Rôti de porc carré filet cuit sans sel afnor,0206013000000,E,"['Viandes', 'Porc', 'Rôtis de porc']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,,,
63,Chair à saucisse,0220030009648,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Chair à saucisse']",['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,77.3%,16.5%,4.1%,1.3%,0.7%,0.2%,25,,,,,,,,,,,,,,,,
64,Roti de porc 4 tranches,0281452028211,E,"['Viandes', 'Porc', 'Rôtis de porc']",['France'],[],[],3.2 g,en quantité modérée,3.2 g,en quantité modérée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,170,+18%,711 kj(170 kcal),+19%,"3,2",-36%,"3,2",+53%,"1,4",+71%,0,-100%,22,-2%,"1,6",-7%,"0,64",-7%,12,+68%,D,+68%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,"['FR 80.799.001 CE', 'Villers-Bretonneux (Somme, France)']",,,,,,,,,,,,,
65,Gnocchi à poêler - Bio Village,3564707168861,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Gnocchi', 'Gnocchis cuits', 'Gnocchi à poêler']",['France'],[],[],2.4 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,1.2 g,en quantité modérée,?,,204,+0%,854 kj(204 kcal),+1%,"2,4",-41%,"0,3",-78%,39,+17%,"0,5",-72%,"5,5",-7%,"1,2",-9%,"0,48",-9%,4,-32%,C,-32%,46.0%,1.2%,22.2%,18.3%,9.7%,2.6%,97,"['Bio', 'Bio européen', 'Nutriscore', 'Nutriscore B']",['Bio Village'],,,['Leclerc'],,,,,,,,,,,
66,Crème de caramel au beurre salé à la fleur de sel de Guérande,3437340069324,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel', 'Crème de caramel au beurre salé']",['France'],[],[],28 g,en quantité élevée,18 g,en quantité élevée,41 g,en quantité élevée,0.5 g,en quantité modérée,?,,488,+16%,2042 kj(488 kcal),+16%,28,+44%,18,+51%,58,-1%,41,-14%,1,-45%,"0,5",-18%,"0,2",-18%,27,+10%,E,+10%,,,,,,,,['IGP'],,,,,,,,,,,,,,,
