,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,traceability_code,packaging,markets,quantity,additives,palm_ingredients,allergens,nova_score,ingredients_origins,manufacturing,generic_name,link,brand_owner,producer_info
1224,Marinade provençale - Casino - 250ml,3222476878311,,['Vinaigre balsamique de Mod�ne'],['France'],"['Eau - huile de colza 28% - vinaigre balsamique de modène 15% ', ""vinaigre de vin* - moût de raisin* - colorant : caramel au sulfite d'ammonium*"", "" - huile d'olive vierge extra 10% - purée de tomate double concentrée 3"", '5% - herbes de provence 3% ', 'romarin - basilic - origan - thym - marjolaine - sarriette', ' - sel - ail en poudre 0', '5% - épaississant : gomme xanthane - poivre', ' *contient sulfites', ' traces de lait']",[],37 g,en quantité élevée,3.4 g,en quantité modérée,4.3 g,en faible quantité,2.4 g,en quantité élevée,1500,,364,+211%,1500 kj(364 kcal),+209%,37,+724%,"3,4",+662%,"5,9",-66%,"4,3",-72%,"0,6",+26%,"2,4",+682%,"0,96",+682%,14,,D,,,,,,,,,,['Casino'],,['Bouteille en plastique'],['Casino'],250 ml,"[""E150d - Caramel au sulfite d'ammonium"", 'E415 - Gomme xanthane']",,['Anhydride sulfureux et sulfites'],4,,,"Préparation condimentée à base d'huiles, de vinaigre balsamique de Modène et d'herbes de Provence",,,
1225,Maxi bâtonnets Citron meringué sauce citron enrobage chocolat blanc éclats de meringue x4 - Casino - 280g,3222476910417,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au citron']",['France'],"['Enrobage chocolat blanc 29,3% ', 'sucre - beurre de cacao - lactosérum en poudre - matière grasse laitière anhydre - lait écrémé en poudre - émulsifiant : lécithine de soja - arôme naturel de vanille', ' - lait écrémé réhydraté - eau - jus citron à base de concentré 10,3% - sucre - graisse de coprah - lactose et protéines de lait - sirop de glucose - morceaux de meringue 2,8% ', ""sucre - blanc d'oeuf - amidon de riz"", "" - sirop de glucose-fructose - purée de pomme - émulsifiant : mono - et diglycérides d'acides gras - stabilisants : farine de graines de caroube"", 'gomme guar', 'carraghénanes - amidon de maïs - arômes naturels - épaississants : pectines', ""gomme xanthane - acidifiant : acide citrique - correcteur d'acidité : citrates de sodium - arôme naturel de citron - concentré de carthame"", ' traces de gluten et fruits à coque']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",18 g,en quantité modérée,13 g,en quantité élevée,33 g,en quantité élevée,0.21 g,en faible quantité,1300,,311,+86%,1300 kj(311 kcal),+85%,18,+210%,13,+207%,35,+28%,33,+56%,"2,3",+47%,"0,21",+100%,"0,084",+100%,20,+118%,E,+118%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,['Casino'],,"['Boite carton', 'Sachet individuel', 'Surgelé']","['GeantCasino', 'Casino']",280 g,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E331 - Citrates de sodium']",,"['Œufs', 'Lait', 'Soja']",4,,['Conditionné en Espagne (46600 Alzira)'],"4 bâtonnets de glace au citron, aromatisée (59,5%), avec un enrobage chocolat blanc (29,3%), une sauce au citron (8,4%) en marbrage et des morceaux de meringue (2,8%) en décor, surgelés",http://www.produits-casino.fr/,,
1226,Petits pois carottes rondelles bio - Casino Bio - 400g,3222476921475,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",['France'],"['Légumes en proportion variable ', 'petits pois*', 'carottes*', '- eau - sel de mer', ""*Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.7 g,en faible quantité,0.1 g,en faible quantité,2.1 g,en faible quantité,0.55 g,en quantité modérée,216,-9%,52,-10%,216 kj(52 kcal),-10%,"0,7",+41%,"0,1",-21%,"5,6",-31%,"2,1",-38%,"3,5",+13%,"0,55",-6%,"0,22",-6%,-9,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,"['Bio', 'Bio européen', 'AB Agriculture Biologique']","['Casino Bio', 'Casino']",,,['Casino'],400 g,,,,3,,,Petits pois doux et carottes en rondelles issus de l'agriculture biologique,,,
1227,Pérail au lait de brebis - Casino - 150g,3222476921550,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Fromages de brebis', 'Pérail']",['France'],"['Lait de brebis pasteurisé ', 'origine : France', "" - ferments lactiques et d'affinage "", 'contient lait', ' - sel - présure ovine']",['Non végétalien'],26 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,1251,,302,+1%,1251 kj(302 kcal),-1%,26,+2%,19,+9%,0,-100%,0,-100%,17,0%,"1,5",+9%,"0,6",+9%,14,+2%,D,+2%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,['Casino'],"['FR 48.094.013 CE', 'Massegros (Lozère, France)']",,['Casino'],150 g,,,['Lait'],3,['France'],,Fromage à pâte molle au lait de brebis pasteurisé,,,
1228,Boules Tomate - Casino - 42g,3222477002234,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés', 'Biscuits apéritifs soufflés à base de maïs']",['France'],"['Semoule de maïs 50g* - cacahuètes grillées moulues 20g* - huile de tournesol 18', '5g* - poudre de tomate 13', ""5g* - sel - extrait d'origan - dextrose - extrait de muscade - colorant : extrait de paprika"", ' * quantités utilisées pour la préparation de 100g de produit fini', ' traces de gluten', 'de lait et de crustacés']",[],29 g,en quantité élevée,3 g,en quantité modérée,7.5 g,en quantité modérée,2.4 g,en quantité élevée,2133,+2%,511,+2%,2133 kj(511 kcal),+2%,29,+15%,3,-15%,49,-14%,"7,5",+114%,11,+24%,"2,4",+27%,"0,96",+27%,14,-5%,D,-5%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,['Casino'],,,['Casino'],42 g,['E160c - Extrait de paprika'],,['Arachides'],4,,,Produits soufflés à base de maïs à la cacahuète et à la tomate,,,
1229,Spaghetti - Casino - 1kg,3222477013414,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', 'Spaghetti', 'Spaghettis de blé dur']",['France'],"['Semoule de blé dur de qualité supérieure', "" trace d'_oeuf_si le numéro de lot contient la lettre n""]",[],2 g,en faible quantité,0.4 g,en faible quantité,3.7 g,en faible quantité,0 g,en faible quantité,1531,+2%,361,+2%,1531 kj(361 kcal),+3%,2,+17%,"0,4",+19%,72,+2%,"3,7",+12%,12,-2%,0,-100%,0,-100%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,['Casino'],,['Plastique'],['Casino'],1 kg,,,['Gluten'],1,,,Pâtes alimentaires de qualité supérieure,,,
1230,Le trouvillais aux pommes,3226219002926,,,['France'],[],[],,,,,,,,,?,,497,,2079 kj(497 kcal),,23,,15,,66,,32,,"5,2",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Sablés de l'abbaye - Biscuiterie de l'abbaye - 315g,3226219004630,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",['France'],"['Farine de blé', 'sucre', ""beurre d'Isigny AOP 22%"", ""jaunes d'œuf en poudre"", 'poudre de lait entier', 'sel', ""poudre à lever : carbonates d'ammonium"", 'œufs entiers en poudre', 'poudre de lait écrémé']",['Non végétalien'],19 g,en quantité modérée,13 g,en quantité élevée,25 g,en quantité élevée,0.42 g,en quantité modérée,2007,-4%,478,-2%,2007 kj(478 kcal),-3%,19,-18%,13,-6%,69,+10%,25,-2%,7,+13%,"0,42",-39%,"0,168",-39%,20,-9%,E,-9%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,"[""Biscuiterie de l'abbaye""]",,"['Boîte', 'Métal', 'Film', 'Plastique']",,315 g,"[""E503 - Carbonates d'ammonium""]",,"['Œufs', 'Gluten', 'Lait']",3,,,,,,
1232,Biscuiterie de l'abbaye - 315g,3226219009659,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",['France'],"['Farine de blé', 'sucre', ""beurre d'Isigny AOP 22%"", ""jaunes d'œufs en poudre"", 'poudre de lait entier', 'sel', ""poudre à lever : carbonates d'ammonium"", 'œufs entiers en poudre', 'poudre de lait écrémé']",['Non végétalien'],19 g,en quantité modérée,13 g,en quantité élevée,25 g,en quantité élevée,0.42 g,en quantité modérée,?,,478,-2%,2000 kj(478 kcal),-3%,19,-18%,13,-6%,69,+10%,25,-2%,7,+13%,"0,42",-39%,"0,168",-39%,21,-4%,E,-4%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,"[""Biscuiterie de l'abbaye""]",,['Boîte'],,315 g,"[""E503 - Carbonates d'ammonium""]",,"['Œufs', 'Gluten', 'Lait']",3,,,Spécialité normande au beurre d'Isigny AOP,,,
1233,Pain azyme - Paul Heumann Croustia,3226984252205,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains azymes']",['France'],"['farine complète de froment* ', '87%', 'son de froment* ', '13%', 'eau *Ingrédients biologiques Contient du gluten', ' Peut contenir des traces de sésame et de moutarde']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2.3 g,en faible quantité,0.5 g,en faible quantité,3.3 g,en faible quantité,0 g,en faible quantité,?,,342,-7%,1431 kj(342 kcal),-8%,"2,3",+30%,"0,5",+36%,"63,9",-15%,"3,3",+7%,"10,7",0%,0,-100%,0,-100%,-6,,A,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['Paul Heumann Croustia'],,,,,,,['Gluten'],1,,,,,,
