,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,packaging,nova_score,generic_name,markets,additives,origin_detail,producer_info,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
14,Schar Fior Di Sole Koekjes,8008698032107,['France'],"['Фиор ди Соле / Fior di le Бе be глутен', 'без тиеница и бer Бисі вити без глутен', 'Продукь е с 1еiиално 12KT033', 'прои веден за хора Сьставки: непоносиДе ст KbM глуте ', 'царевично рашно', 'картод ено нишесте', 'захар', 'палмово oризов сироп', 'яйца', 'Царевит 1о чен 6', 'лтък на трах', 'набухватели', 'на јись икарбон т', '2 томатиз2 TГИ', 'сол', 'Може да съдържа след о1 C я и луп на', 'масло', 'модифи и рано oризово H CTe', 'амо иев бикарбонат', 'натур ни БЕЗ ЛАКТОЗА ', ""лакт % м'g10 g"", 'Съхранение: на хладно и су', 'MAL O', '100g ранителни стойности за Ене', 'гийна 1950 kJ/loo']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,463,1937 kj(463 kcal),15,7,77,19,"3,9","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans lactose'],['Œufs'],,,,,,,,,,,,
15,Assortiment confiserie,3215470519793,['France'],[],[],?,379,1586 kj(379 kcal),1,1,92,81,5,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Levadura de cerveza seca copos - Santiveri,8412170014589,"['France', 'Espagne']",[],[],?,311,1301 kj(311 kcal),3,"1,5",11,"2,5",49,"0,2","0,08",['Santiveri'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Polo up fresa,8421542070979,['France'],[],[],?,89,372 kj(89 kcal),0,0,22,18,0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Arándanos deshidratados - El Corte Inglés,8433329078047,['France'],[],[],?,355,1485 kj(355 kcal),0,0,86,69,0,0,0,['El Corte Inglés'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",0 g,en faible quantité,0 g,en faible quantité,69 g,en quantité élevée,0 g,en faible quantité,,+5%,+5%,-100%,-100%,+8%,+5%,-100%,-100%,-100%,9,+25%,C,+25%,,,,,,,,,,,,,,,,,,,,,
19,Margarina ligera vegetal no hidrogenada sin gluten - Granovita,8006703000202,['France'],[],[],?,540,2259 kj(540 kcal),60,14,0,0,0,"0,4","0,16",['Granovita'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Salade de riz au thon - Comme J'Aime - 300g,3700977702064,['France'],"['Thon listao 23%', 'riz précuit 21% ', 'riz eau', 'eau', 'poivrons rouges 9%', 'maïs 7%', 'petits pois 7%', 'carottes 5,1%', 'câpres 2,6% ', 'câpre', 'eau', 'sel', 'cornichons ', 'cornichons', 'vinaigre', 'sel', 'olives noires', 'huile de colza', ""huile d'olive vierge extra"", 'fécule de manioc', 'jus de citron concentré', 'sel']","['Non végétalien', 'Non végétarien']",481,114,481 kj(114 kcal),"3,5","0,4","12,6","1,4","7,4","0,6","0,24","[""Comme J'Aime""]",,300 g,A,"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Plats à base de riz', 'Plats au thon', 'Salades de riz']",3.5 g,en quantité modérée,0.4 g,en faible quantité,1.4 g,en faible quantité,0.6 g,en quantité modérée,-3%,-12%,-11%,-40%,-54%,+14%,-20%,+2%,-23%,-23%,-2,,A,,57.3%,16.5%,9.1%,11.3%,4.6%,1.2%,90,"['Fabriqué en France', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A']",['Poisson'],"['Etui en carton', 'Film en plastique']",3,,,,,,,,,,
21,Terrine pur porc - Franprix - 90g,3263851861412,['France'],"['foie de porc - viande de porc 28,5% - couenne de porc - gras de porc - eau - poivrons 3,7% - olives noires 3,7% - farine de blé - sel', 'arôme naturel - épices - plantes aromatiques', ' Viande de porc origine :France', ' Les informations en gras sont destinées aux personnes allergiques ou intolérantes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,219,916 kj(219 kcal),17,"6,1","2,3",0,14,"1,5","0,6",['Franprix'],"['FR 87.187.003 CE', 'Saint-Yrieix-la-Perche (Haute-Vienne, France)']",90 g,,['Terrines'],17 g,en quantité modérée,6.1 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,-27%,-27%,-34%,-36%,+6%,-100%,0%,-2%,-2%,14,-21%,D,-21%,,,,,,,,,['Gluten'],['Capsule en métal'],4,Terrine pur porc aux poivrons et olives noires,['Franprix'],,,,,,,,
22,Jus de raisin rouge - Baton Rouge,3592860050600,['France'],[],[],?,?,,?,,?,,?,,,['Baton Rouge'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Vichyssoise tarrina - Diquesi - 400g,8437016312575,"['France', 'Espagne']",[],[],?,41,172 kj(41 kcal),1,"0,2","6,3",0,"1,2","0,7","0,28",['Diquesi'],,400 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",1 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.7 g,en quantité modérée,,+5%,+6%,-35%,-67%,+32%,-100%,+41%,+9%,+9%,3,+124%,C,+124%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,"['Fabriqué en Italie', 'Sans colorants']",,,,,,,,,,,,,
