,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,packaging,nova_score,generic_name,markets,additives,origin_detail,producer_info,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
342,Crackers,3662444003206,['France'],[],[],?,433,1812 kj(433 kcal),12,"5,9",68,"3,3",10,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Pâte d'arachide,3051106119254,['France'],[],[],?,621,2598 kj(621 kcal),52,"7,5","7,1","6,2","26,7","1,3","0,52",,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",52 g,en quantité élevée,7.5 g,en quantité élevée,6.2 g,en quantité modérée,1.3 g,en quantité modérée,,+4%,+4%,+8%,-10%,-51%,-2%,+9%,+144%,+144%,20,+82%,E,+82%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,,,,
344,Café térébinthe,8695820011507,['France'],[],[],?,410,1715 kj(410 kcal),"23,69",0,"16,12","2,75","13,21",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Arroz integral,8411484070311,['France'],[],[],?,349,1460 kj(349 kcal),"2,5","0,5",72,"0,5","8,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Puree de fruits pomme poire - Auchan - 4x 100g,3596710475209,['France'],"['Purée de pommes* 72,9 %', 'purée de poires* 27 %', 'antioxydant : acide ascorbique', "" *Issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,52,218 kj(52 kcal),"0,5","0,2",11,10,"0,5",0,0,['Auchan'],,4 x 100 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aliments pour bébé', 'Goûters et desserts pour bébé', 'Compotes', 'Compotes pour bébé']",,,,,,,,,,-5%,-6%,+102%,+410%,-8%,-2%,+14%,-100%,-100%,,,,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,"['Bio', 'Bio européen', 'Sans gluten', 'FR-BIO-01', 'Sans sucre ajouté']",,,1,,['Auchan'],['E300 - Acide ascorbique'],,,,,,,
347,Mendiants Chocolat Au Lait,3395250101131,['France'],[],[],?,550,2301 kj(550 kcal),"38,6","9,3","43,1","32,9","8,6","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Crevette entière crue vannamei ASC elevées au vietnam - U - 400g,3256227108303,['France'],"['CREVETTES entières crues ', 'penaeus vannamei', ' issues de fermes aquacoles certifiées asc', 'élevées au vietnam']","['Non végétalien', 'Non végétarien']",340,80,340 kj(80 kcal),"0,8","0,1","0,5","0,5",18,"0,27","0,108",['U'],,400 g,,"['Produits de la mer', 'Poissons', 'Surgelés', 'Fruits de mer surgelés', 'Poissons surgelés']",0.8 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.27 g,en faible quantité,-27%,-30%,-29%,-78%,-87%,-79%,+28%,+8%,-38%,-38%,-3,,A,,,,,,,,,['Elevage avec une alimentation sans OGM'],['Crustacés'],['Surgelés'],1,,['Magasins U'],,,,,,,,
349,Ripper Juiced - Monster Energy,5060166690069,['France'],"['carbonated water', 'sucrose', 'fruit juice from concentrate ', '20%', ' ', 'apple,', ' guava', 'passion fruit', 'pineapple', 'orange lemon', 'glucose syrup', 'flavourings', 'taurine ', '0', '4%', 'acid ', 'citric acid', 'acidity regulators ', 'potassium citrates', 'sodium citrates', 'panar ginseng root extract ', '0', '08%', 'preservative ', 'potassium sorbate', 'caffeine ', '0', '13%', 'antioxidant ', 'ascorbic acid', 'vitamins ', 'b3', 'b6 b2', 'b12', 'sweetener ', 'sucralose', 'l-carnitine l-tartrate ', '0', '004%', 'sodium chloride', 'colour ', 'e150c', 'd-glucuronolactone', 'guarana seed extract ', '0', '002%', 'inositol', 'maltodextrin', ' nutrition neormation']",['Non végétalien'],?,38,159 kj(38 kcal),0,0,"9,3","8,4",0,"0,04","0,016","['Monster Energy', 'Monster Energy Company', 'Monster']",,,,"['Boissons', 'Boissons édulcorées', 'Boissons énergisantes', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,8.4 g,en quantité élevée,0.04 g,en faible quantité,,+6%,+7%,-100%,-100%,+16%,+16%,-100%,-65%,-65%,12,+11%,E,+11%,,,,,,,,,,,4,,,"['E330 - Acide citrique', 'E332 - Citrates de potassium', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E955 - Sucralose', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,,,,,,
350,Huile d'olive vierge extra bio - Urzante - 750ml,8423243008701,['France'],"[""100% Huile d'olive vierge extra issue de l'argriculutre biologique""]",[],?,900,3766 kj(900 kcal),100,15,0,0,0,0,0,['Urzante'],,750ml,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,+7%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,"['Bio', 'Bio européen', 'Kascher', 'Halal']",['Aucun'],['Bouteille'],,Huile d'olive vierge extra Bio,,,,,['Espagne'],['Espagne'],https://www.urzante.com/,,
351,Baguettes guinguette Graines de tournesol - Michel et Augustin - 100g,3701239902161,['France'],"['Les ingrédients de vos baguettes guinguette aux graines de tournesol sont de la farine de blé', ""une cuillerée d'huile de tournesol oléique"", 'quelques graines de tournesol 16%', 'une pincée de sel', 'un peu de levure']",[],?,518,2167 kj(518 kcal),30,"2,7",50,"1,4",11,"1,93","0,772",['Michel et Augustin'],,100 g,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",30 g,en quantité élevée,2.7 g,en quantité modérée,1.4 g,en faible quantité,1.93 g,en quantité élevée,,+12%,+11%,+51%,-50%,-16%,-64%,+11%,-3%,-3%,12,-22%,D,-22%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,"['Carton', 'Plastique']",,,,,,,,,,,
352,Rosé de Loire AOC Les Hauts Buis - U - 75cl,3256227446924,['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,['U'],,75 cl,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins rosés']",,,,,,,,,,,,,,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,"['Conditionné en France', 'Viticulture durable']",['Anhydride sulfureux et sulfites'],,3,,['Magasins U'],,,,['France'],,,,
353,"Coquelet jaune - U - 1pièce, 450g",3256220059213,['France'],[],[],666,159,666 kj(159 kcal),"8,6","2,6","0,4",0,"20,3","0,16","0,064",['U'],,"1 pièce, 450 g",,['Coquelets'],8.6 g,en quantité modérée,2.6 g,en quantité modérée,0 g,en faible quantité,0.16 g,en faible quantité,,,,,,,,,,,-2,,A,,,,,,,,,"['Viande Française', 'Volaille Française', 'Fabriqué en France']",,['Frais'],,,['Magasins U'],,,,['France'],,,,
354,"Côte de veau ***, avec os, à griller - U - 1pièce, 170g",2863512000009,['France'],['Carré de veau'],[],521,124,521 kj(124 kcal),"5,9",2,0,0,"17,8",0,0,['U'],,"1 pièce, 170 g",,"['Viandes', 'Viandes de veau']",5.9 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,-16%,-30%,-30%,-47%,-54%,-100%,-100%,+7%,-100%,-100%,-3,-161%,A,-161%,,,,,,,,"['Viande Française', 'Fabriqué en France', 'Viande de veau français']",,['Frais'],,,['Magasins U'],,,,['France'],,,,
355,"Tendron de veau **, à griller ou à mijoter - U - 3pièces, 390g",2863517000004,['France'],"['Poitrine de veau ', 'Tendrons']",[],521,124,521 kj(124 kcal),"5,9",2,0,0,"17,8",0,0,['U'],,"3 pièces, 390 g",,"['Viandes', 'Viandes de veau']",5.9 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,-16%,-30%,-30%,-47%,-54%,-100%,-100%,+7%,-100%,-100%,-3,-161%,A,-161%,,,,,,,,"['Viande Française', 'Fabriqué en France', 'Viande de veau français']",,['Frais'],,,['Magasins U'],,,,['France'],,,,
356,Vin rouge AOP Alsace Pinot noir Rosenhof - U - 75cl,3256220119429,['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,['U'],,75 cl,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"['Conditionné en France', 'Viticulture durable']",['Anhydride sulfureux et sulfites'],,3,,['Magasins U'],,,,['France'],,,,
357,"Rôti de filet de dinde - U - 1pièce, 750g",2865522000000,['France'],"['Filet de dinde 90% minimum', 'barde de porcnon concerné']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,['U'],,"1 pièce, 750 g",B,"['Viandes', 'Volailles', 'Dindes']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Viande Française', 'Fabriqué en France', 'Bleu Blanc Cœur', 'Volaille-francaise']",,['Frais'],1,,['Magasins U'],,,,['France'],,,,
358,"Assiette espagnole jambon serrano, lomo, chorizo - U - 200g",3256227465499,['France'],"['Jamón serrano stg* - 5 tranches : jambon de porc ', 'origine: espagne', 'sel', 'conservateur: nitrate de potassium', 'antioxydant: ascorbate de sodium', ' *produit certifié par certicar', 'sl: cp/etg js/001/13 lomo aromatisé - 10 tranches : longe de porc ', 'origine: ue', 'sel', 'sucre', 'piment', 'ail', 'sirop de glucose', ""huile d'olive"", 'antioxydant: ascorbate de sodium', 'arôme de fumée', 'conservateurs: nitrite de sodium', '- nitrate de potassium', 'épices', ' chorizo - 14 tranches : viande de porc ', 'origine: espagne', 'piment', 'sel', 'ail', ' 147 g de viande mise en oeuvre pour 100 g de produit fini', "" certains ingrédients de ces produits ne proviennent pas d'espagne"", ' lomo transformé en espagne à partir de viande de porc origine ue']","['Non végétalien', 'Non végétarien']",903,215,903 kj(215 kcal),"9,1","3,3","0,9","0,8",33,"5,7","2,28",['U'],,200 g,,"['Viandes', 'Charcuteries', 'Jambons', 'en:raw-cured-ham']",9.1 g,en quantité modérée,3.3 g,en quantité modérée,0.8 g,en faible quantité,5.7 g,en quantité élevée,-11%,-10%,-10%,-33%,-36%,+39%,+84%,+15%,+16%,+16%,15,-12%,D,-12%,,,,,,,,,"['CERTICAR', 'ETG', 'STG']","['Frais', 'Barquette', 'Film en plastique']",4,,['Magasins U'],"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,
359,Carvi - U - 19g,3256226398712,['France'],['Carvi Traces éventuelles de céleri et moutarde'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['U'],,19 g,,['Epicerie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Flacon'],1,,['Magasins U'],,,,,,,,
360,Guignolet kirsch 15° - U - 1l,3256225055210,['France'],"['Infusions de cerises 38,1% [infusion de cerises griottes 30,9 % ', 'cerises griottes', 'alcool', 'eau', 'infusion de cerises 7,2% ', 'cerises', 'alcool', 'eau', ']', 'eau', 'sucre', 'alcool', 'kirsch à 60 % vol ', "" 6% de l'alcool total""]",[],?,?,,?,,?,,?,,,['U'],,1 l,E,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",,,,,,,,,,,,,,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,['Conditionné en France'],,['Bouteille'],3,,['Magasins U'],,,,,,,,
361,Purée pomme pêche et purée pomme abricot sans sucres ajouté - U - 8x 100g,3256227206245,['France'],"['Purée pomme / pêche : Purée de pommes 64', '9%', 'purée de pêches 35%', 'antioxydant : acide ascorbique', ' Purée pomme / abricot : Purée de pommes 69,9%', ""purée d'abricots 30%"", 'antioxydant : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",234,55,234 kj(55 kcal),"0,5","0,2",12,10,"0,5","0,01","0,004",['U'],,8 x 100 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes']",0.5 g,en faible quantité,0.2 g,en faible quantité,10 g,en quantité modérée,0.01 g,en faible quantité,-13%,-18%,-16%,+53%,+136%,-18%,-25%,+20%,+1%,+1%,-4,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,"['Sans sucre ajouté', 'Transformé en France']",,['Frais'],1,,['Magasins U'],['E300 - Acide ascorbique'],,,,,,,
362,Irish Whiskey The Green Gabbler 40° - U - 70cl,3256225979431,['France'],['Whisky irlandais'],"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['U'],,70 cl,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys']",,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,['Conditionné en France'],,,3,,['Magasins U'],,,,,,,,
363,"Pays d'OC IGP Pinot Noir rouge 17 magnum Saveurs - U - 1,5l",3368952505309,['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,['U'],,"1,5 l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Conditionné en France'],['Anhydride sulfureux et sulfites'],,,,['Magasins U'],,,,,,,,
364,Rhum blanc agricole Sainte Espérance 40° - U - 70cl,3256223197196,['France'],['Rhum des antilles francaises'],[],?,?,,?,,?,,?,,,['U'],,70 cl,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums', 'Alcools blancs']",,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,['Conditionné en France'],,['Bouteille'],,,['Magasins U'],,,,,,,,
365,Blended Scotch Whisky Old Glenmore 40° - U - 1l,3256226085124,['France'],['Blended scotch whisky'],[],?,?,,?,,?,,?,,,['U'],,1 l,C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys', 'Whisky écossais']",,,,,,,,,,,,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,['Conditionné en France'],,['Bouteille'],,,['Magasins U'],,,,,,,,
366,"Faux filet boeuf ***, à griller - U - 1pièce, 180g",2850769000005,['France'],[],[],627,150,627 kj(150 kcal),"6,7","3,2",0,0,"22,3","0,15","0,06",['U'],,"1 pièce, 180 g",,"['Viandes', 'Bœuf']",6.7 g,en quantité modérée,3.2 g,en quantité modérée,0 g,en faible quantité,0.15 g,en faible quantité,-18%,-16%,-17%,-31%,-19%,-100%,-100%,+11%,-86%,-86%,-1,-119%,A,-119%,,,,,,,,"['Viande Française', 'Fabriqué en France', 'Viande-bovine-francaise']",,['Frais'],,,['Magasins U'],,,,,,,,
367,"Blended Scotch Whisky 3 ans d'âge Mas Gallagan 40° - U - 1, 5l",3256221676006,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,['U'],,"1, 5 l",C,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Whiskys']",,,,,,,,,,-100%,-100%,,,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,['Conditionné en France'],,['Bouteille'],,,['Magasins U'],,,,,,,,
368,"Café doux XL - U - x20dosettes, 250g",3256227094774,['France'],['100% café moulu'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['U'],,"x20 dosettes, 250 g",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,['Magasins U'],,,,,,,,
369,"Vin rosé ""nor"" - U - 75cl",3256227461828,['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,['U'],,75 cl,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",,,,,,,,,,,,,,,,,,,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,['Conditionné en France'],['Anhydride sulfureux et sulfites'],"[""d'Espagne bouteille""]",3,,['Magasins U'],,,,,,,,
370,Café grains corsé - U - 500g,3256227235191,['France'],['100% café en grains torréfié'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,0,0,['U'],,500 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,['Sachet'],1,,['Magasins U'],,,,,,,,
371,Filets de lieu jaune sans peau sans arêtes - U - 220g,3256227206771,['France'],"['LIEU jaune ', 'pollachius pollachius', ' pêché à la ligne et hameçon', 'ou au chalut', 'ou à la senne en Océan Atlantique Nord-Est ', 'zone FAO 27', '[sous zone mer de norvège ', 'zone FAO 27', ' Ii', 'sous zone Mer du Nord ', 'zone FAO 27', ' Iv', 'sous zone island et feroe ', 'zone FAO 27', ' V', 'sous zone Manche et Mers Celtiques ', 'zone FAO 27-vii', ""]** ** pour connaître la sous zone de pêche du produit se référer à l'indication écrite à la fin du numéro de lot""]",[],332,78,332 kj(78 kcal),"0,6","0,2",1,"0,5",17,"0,15","0,06",['U'],,220 g,,"['Produits de la mer', 'Poissons', 'Surgelés', 'Fruits de mer surgelés', 'Poissons surgelés']",0.6 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,0.15 g,en faible quantité,-29%,-32%,-31%,-84%,-73%,-58%,+28%,+2%,-66%,-66%,-5,,A,,,,,,,,,"['Pêché à la ligne', 'Conditionné en France']","['Poisson', 'JAUNE', 'VII']",['Surgelés'],,,['Magasins U'],,,,,,,,
372,Saucisse supérieure roulée gros grain - U - 500g,3256225037353,['France'],"['Viande de porc ', 'origine France', ' 86%', 'gras de porc ', 'origine France', 'eau', 'conservateurs : lactate de potassium et acétate de sodium', 'sel', 'dextrose', 'épices', 'antioxydant : ascorbate de sodium', 'arômes naturels', 'boyau de porc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1125,272,1125 kj(272 kcal),"23,5","8,2",1,1,"13,9","1,6","0,64",['U'],,500 g,,"['Viandes', 'Charcuteries', 'Saucisses']",23.5 g,en quantité élevée,8.2 g,en quantité élevée,1 g,en faible quantité,1.6 g,en quantité élevée,+5%,+7%,+5%,+13%,+4%,-30%,+33%,-8%,-18%,-18%,18,+3%,D,+3%,,,,,,,,"['Viande Française', 'Viande Porcine Française', 'Fabriqué en France', 'Nouvelle Agriculture', 'BBC Porc']",,"['Barquette', 'Frais']",4,,['Magasins U'],"['E326 - Lactate de potassium', 'E262i - Acétate de sodium', 'E301 - Ascorbate de sodium']",,,['France'],,,,
373,Peanut Butter - better choice - 500g,5902114011901,['France'],['arachides grillées 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,611,2556 kj(611 kcal),"48,7","9,2","8,6","4,6","30,8","0,04","0,016",['better choice'],,500g,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Pâtes à tartiner', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",48.7 g,en quantité élevée,9.2 g,en quantité élevée,4.6 g,en faible quantité,0.04 g,en faible quantité,,+2%,+2%,+1%,+11%,-40%,-28%,+25%,-92%,-92%,2,-82%,B,-82%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,['pot en verre'],1,,,,,,,,,,
374,Mini Trios Bites gout vanille - Paskesz,0025675013155,['France'],[],[],?,506,2117 kj(506 kcal),"24,1","8,8","68,5","34,1","4,5","0,54","0,216",['Paskesz'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,"2 barres chocolat noir, amandes & noisettes - Bovetti",3501940120409,['France'],[],[],?,612,2561 kj(612 kcal),49,22,29,26,"8,3","0,04","0,016",['Bovetti'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,
376,Terrine de faisan aux raisins secs,3760025080407,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de faisan']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Sanitarium Peanut Butter Crunchy,9300652800654,['France'],"['ntact our sugars ', 'o', ' dietary fibre ', 'g', ' sodium ', 'mg', ' potassium ', 'mg', ' 12 62 123 6', '0 310 615 freshly roasted peanuts ', '95%', 'vegetahile oils', 'salt', 'stabiliser ', 'mono and diglycerides', ' made in australia from imported and local ingredients', ' vi458', '04 1/19']","[""Pourrait contenir de l'huile de palme""]",?,605,2531 kj(605 kcal),50,"8,5","7,2","4,7",30,"0,31","0,124",,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes', 'Beurres de cacahuetes croustillants']",50 g,en quantité élevée,8.5 g,en quantité élevée,4.7 g,en faible quantité,0.31 g,en quantité modérée,,+7%,+7%,+10%,+8%,-45%,-21%,+30%,-43%,-43%,17,+25%,D,+25%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,['Fabriqué en Australie'],,,4,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,,,,
378,Toast nature declasses - 400g,3760178791663,['France'],[],[],?,370,1548 kj(370 kcal),"7,6","6,3",62,"9,4",11,"1,3","0,52",,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Guimauve,3760200920153,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Fraisier 8/10P,3523680401136,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Salami Alfredo,2111925003804,['France'],[],[],?,380,1590 kj(380 kcal),32,15,0,0,24,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Nos quetsches d'Antan - Maison Cassandrine - 330g,3760012030651,['France'],[],[],?,256,1071 kj(256 kcal),"0,4","0,2",63,61,"0,5",0,0,['Maison Cassandrine'],,330 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes']",0.4 g,en faible quantité,0.2 g,en faible quantité,61 g,en quantité élevée,0 g,en faible quantité,,+17%,+16%,+80%,+333%,+18%,+19%,+23%,-100%,-100%,12,+24%,D,+24%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,,,,
383,Confiture Goyave - 240g,3328382515248,['France'],[],[],?,228,954 kj(228 kcal),0,0,"53,7","45,5","0,35","0,12","0,048",,,240 g,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', 'Confitures de goyaves']",0 g,en faible quantité,0 g,en faible quantité,45.5 g,en quantité élevée,0.12 g,en faible quantité,,+2%,+2%,-100%,-100%,-1%,-12%,-4%,+78%,+78%,7,-29%,C,-29%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,
384,Tartinables maquereaux salicorne de Noirmoutier,3760012693337,['France'],[],[],?,209,874 kj(209 kcal),15,6,2,"0,2",13,1,"0,4",,,,D,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons']",15 g,en quantité modérée,6 g,en quantité élevée,0.2 g,en faible quantité,1 g,en quantité modérée,,-5%,-5%,-11%,+5%,-11%,-80%,-5%,-8%,-8%,11,+14%,D,+14%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,,,,,,,,,,,,,,
385,Bonbon d'antan au miel - La Mère Poulard,3472860502449,['France'],[],[],?,388,1623 kj(388 kcal),1,0,97,70,"0,5",0,0,['La Mère Poulard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
