,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,labels,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,origin_detail
10,Pièce en chocolat,8717677072729,['France'],[],[],?,524,2192 kj(524 kcal),"28,1","17,4","60,9","59,9","5,8","0,27","0,108",,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Hydrate & perform,3175681266971,['France'],[],[],?,88,368 kj(88 kcal),8,"2,8","0,58","0,43",0,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Zefirs,4750011849353,['France'],[],[],?,327,1368 kj(327 kcal),0,0,81,71,"0,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Huile d olive vierge extra -,3547130095973,['France'],[],[],3768,900,3768 kj(900 kcal),"99,8","15,1",0,0,0,0,0,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,,,,,99.8 g,en quantité élevée,15.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+6%,+6%,+6%,+5%,+10%,,,,,,6,-1%,C,-1%,,,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,
14,Fusilloni n°317 - La Molisana,8004690613177,['France'],[],[],?,353,1477 kj(353 kcal),2,"0,3",65,"3,3",15,,,,,['La Molisana'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur']",,,,,,2 g,en faible quantité,0.3 g,en faible quantité,3.3 g,en faible quantité,,,,0%,-0%,+12%,-21%,-7%,+4%,+21%,,,,,,,,,,,,,,,,,,,,,
15,Toffees,4250018912901,['France'],[],[],?,384,1607 kj(384 kcal),"5,6","3,8",80,68,"3,3","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jambon superieur,2600476038507,['France'],[],[],?,191,799 kj(191 kcal),11,"3,8","0,6","0,6",22,"1,8","0,72",,,,,,"['FR 71.076.001 CE', 'Chalon-sur-Saône (Saône-et-Loire, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Loch Lomond Single Grain,5016840050216,['France'],[],[],?,12,50 kj(12 kcal),0,0,0,0,5,0,0,,['Bottle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Cookies bio figues et noisettes,3571370621203,['France'],[],[],?,427,1787 kj(427 kcal),21,10,50,24,"6,3","0,23","0,092",,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Zolux self service,3336027048402,['France'],[],[],?,110,460 kj(110 kcal),0,0,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,L’instant gourmand,3770000535464,['France'],[],[],?,213,891 kj(213 kcal),7,"1,9",31,12,"5,3","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Dark chocolat,0060383222383,['France'],[],[],?,210,879 kj(210 kcal),40,7,25,19,2,0,0,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Avocats (Prêts à déguster),3700353611492,['France'],[],[],?,?,,?,,?,,?,,,,"['Barquette', 'Film en plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Fettuccini Aux œufs frais,3240931544564,['France'],[],[],?,270,1130 kj(270 kcal),"1,9","0,5",29,1,10,"0,8","0,32",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes fraîches', 'Fettucini']",,,,,,1.9 g,en faible quantité,0.5 g,en faible quantité,1 g,en faible quantité,0.8 g,en quantité modérée,,+5%,+5%,-4%,-4%,-35%,-30%,+6%,+87%,+87%,1,,B,,,,,,,,,,,,,,,,
24,P'tit brassé vanille,7613287053732,['France'],[],[],?,77,322 kj(77 kcal),"3,3","1,7","8,7","3,7","2,9",,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Power crunchy bar,8007640991394,['France'],[],[],?,381,1594 kj(381 kcal),"6,8",3,60,32,19,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Pur jus de pomme Bio,3423182962015,['France'],[],[],?,204,854 kj(204 kcal),"0,1",0,12,11,"0,1",0,0,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Granola,3770006003448,['France'],[],[],?,135,565 kj(135 kcal),"4,7","0,6","55,4","25,2","11,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Cappuccino mix,5060135538859,['France'],[],[],?,399,1669 kj(399 kcal),14,6,"60,2","60,2",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Spigol,3102870058178,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Pastis de Marseille,3328640121372,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Boissons', 'Boissons alcoolisées', 'Pastis']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,0.0%,41.3%,42.0%,11.2%,3.6%,2.0%,57,,,,
31,Steaks de thon germon tomates séchées parmesan - Carrefour - 420g,3523680439696,['France'],"['Thon germon MSC décongelé 88%', 'tomates mi-séchées 4% ', 'tomate', 'huile de colza', 'sel', 'ail', 'origan', 'parmesan 1%', 'tomate', 'petit pois', 'ail', 'oignon', 'huile de colza', "" Marinade :huile d'olive vierge extra"", 'huile de colza', 'arôme naturel de citron', 'sel', 'basilic', 'poivre', ' Traces éventuelles de mollusque', 'crustacé', 'gluten', 'œuf', 'céleri']",['Non végétalien'],?,161,674 kj(161 kcal),"6,2","1,2",0,0,25,"0,23","0,092",420g,,['Carrefour'],"['Produits de la mer', 'Poissons', 'Thons']","['Pêche durable', 'Pêche durable MSC']","['FR 85.047.012 CE', 'Challans (Vendée, France)', 'MSC-C-57634']",['Carrefour'],,4,6.2 g,en quantité modérée,1.2 g,en faible quantité,0 g,en faible quantité,0.23 g,en faible quantité,,-12%,-11%,-38%,-32%,-100%,-100%,+16%,-78%,-78%,-1,-133%,A,-133%,,,,D,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,['Lait'],,,
32,Cidre biologique,3571830000500,['France'],[],[],?,?,,?,0,?,,?,,,,,,"['Boissons', 'Boissons alcoolisées', 'Cidres']",['Bio'],,,,,,,,,,,,,,,,,-100%,,,,,,,,,,,,,D,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,
33,Ramona’s heavenly houmous,5060228323089,['France'],[],[],?,264,1105 kj(264 kcal),"20,7","1,7","10,3","0,7","6,2","1,1","0,44",,,['Ramona’s'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Quiche saumon épinards,3433700021636,['France'],[],[],?,211,883 kj(211 kcal),"17,9","5,7",17,"1,4",11,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Edam holland,3250392932015,['France'],[],[],?,325,1360 kj(325 kcal),"24,3","15,9","0,5","0,5","25,9","2,5",1,,,,,"['Nutriscore', 'Nutriscore E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
