,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,labels,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,ingredients_origins,link,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,palm_ingredients,origin_detail
168,Pruneaux d'Agen dénoyautés bio,3588731000096,['France'],[],[],?,189,791 kj(189 kcal),"0,5","0,1","42,4","32,61","1,4",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",['Bio'],,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,32.6 g,en quantité élevée,,,,-22%,-22%,+39%,-12%,-21%,-10%,-25%,,,,,,,,,,E,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,
169,55g,3664335002459,['France'],[],[],?,?,,?,,?,,?,,,55 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Splendente 7 - L'Or,8711000362532,['France'],[],[],?,?,,?,,?,,?,,,,,"[""L'Or""]","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']","['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Axoa de canard,3760003150696,['France'],[],[],?,196.1,820 kj(196 kcal),"11,3","3,6",5,"3,9","14,6","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Saucisse perche -,4209855019940,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Lungo Bio intensité 4 - Café Royal - 50g,7617014191742,['France'],[],[],?,?,,?,,?,,?,,,50 g,['Etui en carton'],['Café Royal'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']","['Bio', 'Bio européen', 'CH-BIO-006']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Riz au Lait,3353930555025,['France'],[],[],?,107,448 kj(107 kcal),"2,3","1,7",18,11,"3,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Fromage blanc aux myrtilles,3770007302243,['France'],[],[],?,?,,?,,?,,?,0,0,,,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs']","['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,,,B,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,
176,Aiguillettes de poulet,3531940165001,['France'],[],[],?,110,460 kj(110 kcal),"1,5","0,44",0,0,"23,4","0,1","0,04",,,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']","['Nutriscore', 'Nutriscore A']","['FR 89.069.001 CE', 'Chailley (Yonne, France)']",,,,1.5 g,en faible quantité,0.44 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,-13%,-12%,-19%,-8%,-100%,-100%,+3%,-77%,-77%,-4,,A,,,,,D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,
177,Cookies français pomme caramel au beurre,3760250173653,['France'],[],[],?,476,1992 kj(476 kcal),"20,4","14,6","67,3","29,5","5,8","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PiBooM étoiles croustillantes au chocolat au lait - 350g,3770013223006,['France'],"['Céréales** 78% ', 'riz**', 'maïs**', 'blé**', 'sucre de canne**', 'morceaux de chocolat au lait** 5,1%', 'sirop de maïs**', 'cacao** en poudre', 'émulsifiant ', 'lécithine de soja**', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",1668,394,1668 kj(394 kcal),4,2,80,15,8,"0,5","0,2",350g,,['PiBooM'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE', 'Sans arômes ajoutés', 'en:palm-oil-free']",,,['E322i - Lécithine'],4,4 g,en quantité modérée,2 g,en quantité modérée,15 g,en quantité élevée,0.5 g,en quantité modérée,-2%,-1%,-0%,-54%,-9%,+20%,-10%,-14%,+40%,+40%,3,-44%,C,-44%,céréales petit déjeuner,,http://www.piboom.fr,B,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Gluten', 'Lait', 'Soja']",['Italie'],,
179,Pulpe de tomate cuisinee oignon ail et basilic,3330720536969,['France'],[],[],?,135,565 kj(135 kcal),"0,1","0,1","5,7","3,8","1,2","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Bourguignon de canard au St-Emilion - Maison Monfort,3104544074019,['France'],[],[],?,111,464 kj(111 kcal),"5,4","1,8","6,9","1,2","8,2","1,1","0,44",,,"['Maison Monfort', 'Maison Montfort']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Tuiles Classique,3580282610564,['France'],[],[],?,503,2105 kj(503 kcal),26,"2,2",61,61,"4,4","1,4","0,56",,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Tuiles salées']",['Point Vert'],,,,,26 g,en quantité élevée,2.2 g,en quantité modérée,61 g,en quantité élevée,1.4 g,en quantité modérée,,-1%,-1%,-12%,-35%,+10%,+1658%,-0%,-7%,-7%,24,+79%,E,+79%,,,,B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,
182,Sables chocolat au lait - Bjorg,17894902,['France'],[],[],?,792,3314 kj(792 kcal),24,6,61,26,"8,3","1,12","0,448",,,['Bjorg'],,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Thym émincés - Metro Chef,4337182068181,['France'],[],[],?,?,,?,,?,,?,,,,,['Metro Chef'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Vin,3263280121347,['France'],[],[],?,?,,?,0,?,,?,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,-100%,,,,,,,,,,,,,,,,,,,,,,,,
185,Caldo de gallina ecológico,8437006162067,['France'],[],[],?,13,54 kj(13 kcal),"1,1","0,05","0,3",0,"0,5","0,3","0,12",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,4 steaks hachés - Thiriet,3292590864187,['France'],[],[],?,0,0 kj(0 kcal),5,"1,7",0,0,20,"0,15","0,06",,,['Thiriet'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,['Thiriet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Jus douceur agrumes - Caresse Guyanaise,3760091301888,['France'],[],[],?,39.099998474121,164 kj(39 kcal),0,0,"9,5","9,5","0,2",0,0,,,['Caresse Guyanaise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Crackers Tomate & Paprika,3175681264397,['France'],[],[],?,383,1602 kj(383 kcal),"7,6","0,9",68,"6,6",7,"2,1","0,84",,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,10 mini cheese burgers,3250392828868,['France'],[],[],?,278,1163 kj(278 kcal),"12,3","5,3","26,1","8,1","14,6","1,88","0,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Tableau d'honneur chocolat blanc - Chabrior,3250391575923,['France'],[],[],?,506,2117 kj(506 kcal),24,"15,8","65,9","39,8","6,2","0,66","0,264",,,['Chabrior'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits tablette de chocolat']",,,,,,24 g,en quantité élevée,15.8 g,en quantité élevée,39.8 g,en quantité élevée,0.66 g,en quantité modérée,,+1%,+1%,0%,+7%,+4%,+10%,-8%,+22%,+22%,26,+9%,E,+9%,,,,D,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,
191,Financier,3222477441293,['France'],[],[],?,466,1950 kj(466 kcal),28,13,45,32,"8,8","0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"Only Organic Apple, Peach and Apricot Pouch 120G",9403145302601,['France'],[],[],?,45.833333333333,192 kj(45 kcal),"0,167",0,"11,233","10,667","0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,4045787394955,4045787394955,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Confiture,23052581,['France'],[],[],?,249,1042 kj(249 kcal),"0,5","0,1",59,59,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,3269690180080,3269690180080,['France'],[],[],?,?,,?,,?,,?,,,,,,,,"['EMB 84044', 'Entrechaux (Vaucluse, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Miel de lavande,3770003343066,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,
197,maia salsa,3614911376368,['France'],[],[],?,500,2092 kj(500 kcal),99,0,0,0,0,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Forza intensité 9 - L'Or,8711000362570,['France'],[],[],?,?,,?,,?,,?,,,,,"[""L'Or""]","['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Nespresso']","['Agriculture durable', 'en:UTZ Certified']",['FSC-C021442'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Glycine - 2x 5ml,3760191460744,['France'],[],[],?,?,,?,,?,,?,,,2 x 5 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Houmous bio - Jean d'Audignac,3700238323304,['France'],[],[],?,207,866 kj(207 kcal),16,"2,2","9,2","0,5","4,9","1,1","0,44",,,"[""Jean d'Audignac""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']","['Bio', 'Sans colorants']",,,,,16 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,,-21%,-21%,-21%,-11%,-13%,-63%,-24%,+6%,+6%,5,+0%,C,+0%,,,,B,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,
201,Viande Hachée,3039050351890,['France'],[],[],?,129,540 kj(129 kcal),5,"2,2",5,"0,9",16,"0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Mini gache pur beurre,29001705,['France'],[],[],?,379,1586 kj(379 kcal),15,11,51,16,"0,84","0,84","0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Ptilo,3415306316484,['France'],[],[],?,376,1573 kj(376 kcal),0,0,88,36,"5,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,USN Winners Edge Isotonic,6009544926009,['France'],[],[],?,16,67 kj(16 kcal),0,0,"3,8","3,7",0,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Chips de lentilles à la pizza - Mr STEVE - 85g,8594042912220,['France'],[],"['Végétalien', 'Végétarien']",?,460,1925 kj(460 kcal),18,"1,7","58,4","2,7","12,5",2,"0,8",85g,,['Mr STEVE'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de lentilles']","['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,18 g,en quantité modérée,1.7 g,en quantité modérée,2.7 g,en faible quantité,2 g,en quantité élevée,,+10%,+12%,+46%,+21%,+5%,+38%,-2%,+14%,+14%,11,+20%,D,+20%,,,,,,,,,,,,,,,
206,Poket box,4061458021050,['France'],[],[],?,264,1105 kj(264 kcal),"4,5",3,"92,6","0,5","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Pain aux chocolats amandes,0202238020991,['France'],[],[],?,61,255 kj(61 kcal),26,14,61,32,"6,8","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Huile olive vierge extra - Le Moulin de mon père,3760047720312,['France'],[],[],3700,900,3700 kj(900 kcal),100,15,0,0,0,0,0,,,['Le Moulin de mon père'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,,,,,100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+4%,+6%,+4%,+5%,+9%,,,,,,6,-1%,C,-1%,,,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,
209,Mâconnais,3358605150000,['France'],[],[],?,308,1289 kj(308 kcal),25,18,5,1,20,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Melis Mischgemüse Eingelegt,8699073291204,['France'],[],[],?,16,67 kj(16 kcal),2,0,"2,9","0,5","0,7","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Le yaourt sur lit d'abricot - Auchan,3596710461509,['France'],[],[],?,113,473 kj(113 kcal),"5,5","2,9",13,13,"2,5","0,1","0,04",,,['Auchan'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', ""Yaourts à l'abricot"", 'Yaourts au lait de vache']",,,['Auchan'],,,5.5 g,en quantité modérée,2.9 g,en quantité modérée,13 g,en quantité élevée,0.1 g,en faible quantité,,+13%,+13%,+75%,+48%,-7%,0%,-28%,-12%,-12%,4,+28%,C,+28%,,,,C,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,
212,Purée de pruneaux,3770012358075,['France'],[],[],?,132,552 kj(132 kcal),"0,2","0,1",29,24,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,The fitvia wild berry,4260515896352,['France'],[],[],?,2,8 kj(2 kcal),"0,5","0,1","0,5","0,5","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Queues de cerise,3175681004283,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Farine t55,3111950182504,['France'],[],[],?,350,1464 kj(350 kcal),"1,5","0,2",73,2,"8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Lean gainer,9549389104691,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Oeuf bio,3760106580161,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Organic almond butter raw,,['France'],[],[],?,659,2757 kj(659 kcal),"55,8","6,5",14,"3,8","21,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"Chinchard - Cart - 1,078kg",0200781034632,['France'],[],[],?,?,,?,,?,,?,,,"1,078 kg",,['Cart'],"['Produits de la mer', 'Poissons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"Pesto, Basilikum - Il Viaggiator Goloso",8000633016852,['France'],[],[],?,571,2389 kj(571 kcal),54,"6,9",13,"5,3","5,9","3,1","1,24",,,['Il Viaggiator Goloso'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Gomme d'acacia vanillée,3366960000366,['France'],[],[],?,265.4,1110 kj(265 kcal),"0,1",0,"48,6","44,81","1,2",,,,,,,,"['EMB 08340', 'Poilcourt-Sydney (Ardennes, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Vin MAS OLIVIER FAUGÈRES,3270871057107,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,C,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,
223,Corntoz Hotz & Spicy,9557062402569,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Flexi collagène,3760152680044,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Choco Roxks,8713305811050,['France'],[],[],?,576,2410 kj(576 kcal),41,15,31,26,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Sangria,3250392922160,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Finger Marie,5000396015980,['France'],[],[],?,455,1904 kj(455 kcal),"14,4","6,7","72,7","20,8","7,2","0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,ACE Multivitaminen,8710624708603,['France'],[],[],?,44,184 kj(44 kcal),0,0,"10,4","10,4","0,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,4 nems poisson,3353820010924,['France'],[],[],?,184,770 kj(184 kcal),17,"4,4","5,3","1,7","1,5","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,lait cru - gaec du plat de la cote - 1l,3407983001104,['France'],['LAIT CRU'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,1 l,['Frais'],"['gaec du plat de la cote', 'La fromagerie du Marais']","['Produits laitiers', 'Laits', 'Laits non-homogénéisés', 'Laits cru']",,"['FR 44.133.024 CE', 'Port-Saint-Père (Loire-Atlantique, France)']",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,D,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['Lait'],,,
231,Espresso Monster salted caramel,5060639125647,['France'],[],[],?,61,255 kj(61 kcal),"1,9","1,3","0,4","0,4","1,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2431628018173,2431628018173,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Chocolat noir patissier - Monoprix Bio,997046,['France'],[],[],?,578,2418 kj(578 kcal),39,24,48,46,"5,1",0,0,,,['Monoprix Bio'],,"['Bio', 'Bio européen', 'Commerce équitable', 'FR-BIO-01', 'Max Havelaar', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Ananas morceaux - 400g,3760288130024,['France'],[],[],?,?,,?,,?,,?,,,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Miscela di Caffè decaffeinato tostato in grani - Caffè Mauro,8002530129123,['France'],"['Café arabica 25%', 'café robusta 75%']",[],?,295.08,1235 kj(295 kcal),"10,63","2,48","38,63","0,15","18,95","0,38","0,152",,,['Caffè Mauro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Café Arabica', 'Grains de café', 'Cafés décaféinés', 'Café Robusta', 'Grains de café arabica', 'Grains de café robusta']",,,,,1,,,,,,,,,,+1636%,+1463%,+2727%,+1350%,+2620%,-63%,+1244%,+537%,+537%,,,,,,,,E,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,['Italie'],,
236,0712035713168,0712035713168,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Pastis de Marseille - Larsand - 1l,8427201002039,"['Andorre', 'France']","['Eau', 'alcool', 'sucre', 'extraits naturels de réglisse', ""d'anis 2%"", 'colorant caramel E-150 ', 'd']",[],?,?,,?,,?,,?,,,1 l,"['Bouteille', 'Verre']",['Larsand'],"['Boissons', 'Boissons alcoolisées', 'Pastis']",['Déconseillé aux femmes enceintes'],,,['E150 - Caramel'],4,,,,,,,,,,,,,,,,,,,,,,,,,,C,0.0%,41.3%,42.0%,11.2%,3.6%,2.0%,57,,['Andorre'],,
238,Sommerlimo Gurke- zitrone,4001513001474,['France'],[],[],?,32,134 kj(32 kcal),0,0,"7,6","7,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Ceunchy's mélange de légume,3469980003086,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,8717418533373,8717418533373,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Pizza royale de 500g,,['France'],[],[],?,178,745 kj(178 kcal),"5,9","2,4",21,"2,9","9,8","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Les petitis sablés - Biscuiterie de l'Abbaye - 120g,3226219013137,['France'],[],[],?,502,2100 kj(502 kcal),28,15,54,29,"7,3","0,41","0,164",120 g,,"[""Biscuiterie de l'Abbaye""]","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,28 g,en quantité élevée,15 g,en quantité élevée,29 g,en quantité élevée,0.41 g,en quantité modérée,,+6%,+6%,+35%,+49%,-16%,-2%,+12%,-30%,-30%,21,+6%,E,+6%,,,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,
243,Porc viande de porc français,3266110700422,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Petit four de coco - Continente,5601312180487,['France'],[],[],?,466,1950 kj(466 kcal),29,23,46,23,"2,6","0,17","0,068",,,['Continente'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Pesto Ricotta e Peperoni,8003645306164,['France'],[],[],?,295,1234 kj(295 kcal),27,4,"9,3","5,1","3,7",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Beurre De Baratte Demi-sel Au Sarrazin - Bordier,3760191050334,['France'],[],[],?,707,2958 kj(707 kcal),75,49,7,0,1,"2,8","1,12",,,['Bordier'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres de baratte']",,,,,,75 g,en quantité élevée,49 g,en quantité élevée,0 g,en faible quantité,2.8 g,en quantité élevée,,-4%,-3%,-7%,-9%,+914%,-100%,+41%,+137%,+137%,28,+22%,E,+22%,,,,E,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,
247,Choucroute garnir,3442610002475,['France'],[],[],?,140,586 kj(140 kcal),12,"4,2","2,1","1,6","5,6","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Purée ďamande blanche - Le Bio pour Tous,3760295170440,['France'],[],[],?,631,2640 kj(631 kcal),"52,5","3,95","8,76","4,63","25,8","< 0,01","0,004",,,['Le Bio pour Tous'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande"", ""Purées d'amande blanche""]",['Bio'],,,,,52.5 g,en quantité élevée,3.95 g,en quantité modérée,4.63 g,en faible quantité,0.01 g,en faible quantité,,-4%,-3%,-8%,-17%,+54%,+3%,+10%,-43%,-43%,6,+32%,C,+32%,,,,,,,,,,,,,,,
249,Pavé de saumon,7624841105552,['France'],[],[],?,197,824 kj(197 kcal),13,"1,8",0,0,20,"0,1","0,04",,,,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,,,,,13 g,en quantité modérée,1.8 g,en quantité modérée,0 g,en faible quantité,0.1 g,en faible quantité,,+4%,+4%,+10%,-11%,-100%,-100%,-1%,-72%,-72%,-2,,A,,,,,E,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,
250,Barbapapa,3532090010395,['France'],[],[],?,404,1690 kj(404 kcal),0,0,"99,4","99,4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Sultan Green Tea Al Hiba 200G,6111069002752,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
