,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,nova_score,packaging,additives,allergens,manufacturing,traceability_code,ingredients_origins,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
190,Top forme multivitamines - Juvamine - 30Comprimés Effervescents,3160920651786,,['Juvamine'],['Compléments alimentaires'],,['Leclerc'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,30 Comprimés Effervescents,,['Tube'],,,,,,,,https://www.juvamine.com/produits/065178-top-forme-multivitamines/,,,
191,Yaourt  Myrtille - Ferme Collet,3413160013587,C,['Ferme Collet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la myrtille', 'Yaourts au lait de vache']",['Sans additifs'],,['France'],[],[],3.4 g,en quantité modérée,1.9 g,en quantité modérée,12 g,en quantité modérée,0.11 g,en faible quantité,?,,98,-2%,410 kj(98 kcal),-2%,"3,4",+4%,"1,9",-10%,13,-3%,12,-2%,"3,8",+4%,"0,11",+3%,"0,044",+3%,2,-27%,B,-27%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,,,,,,,,
192,DermatoCLEAN - Eucerin,4005800150135,,['Eucerin'],['Soin'],,,['France'],"['Aqua', 'Poloxamer 124', 'Glyceryl Glucoside', 'Glycerin', 'Sodium Hyaluronate', 'Decyl Glucoside', 'Arginine HCL', 'Sodium Cocoamphoacetate', 'Trisodium EDTA', 'Sodium Chloride', '1,2 - Hexanediol', 'Phenoxyethanol']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Feta aop - Casino - 150g,3222477370104,,['Casino'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'GR-BIO-03', 'Nutriscore', 'Nutriscore D']",['Casino'],['France'],[],[],,,,,,,,,?,,275,,1151 kj(275 kcal),,23,,16,,2,,"0,8",,15,,"2,3",,"0,92",,,,,,,,,,,,,150 g,,['Film en plastique'],,,,,,,,,,,
194,Filets de maquereaux grillés au légumes du soleil - Saupiquet,3165950221299,D,['Saupiquet'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux grillés']",,,['France'],[],[],15 g,en quantité modérée,3.5 g,en quantité modérée,1.7 g,en faible quantité,1.2 g,en quantité modérée,?,,205,-9%,858 kj(205 kcal),-10%,15,-10%,"3,5",-10%,"2,3",+282%,"1,7",+285%,15,-15%,"1,2",+22%,"0,48",+22%,5,-12%,C,-12%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,,,,,,,,,,,
195,Chocolat noir quinoa - Casino Bio,3222477364028,D,['Casino Bio'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['Bio', 'Bio européen', 'Commerce équitable', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Max Havelaar']",['Casino'],['France'],"['Pâte de cacao* - sucre* - beurre de cacao* - quinoa* 5% - riz*-avoine* - émulsifiant : lécithines de tournesol* - miel * - caramel* - extrait de vanille*', "" *Ingrédients issus de l'agriculture biologique"", ' Traces de fruits à coque et de lait', ' Cacao : 60% minimum dans le chocolat', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']",['Non végétalien'],34 g,en quantité élevée,23 g,en quantité élevée,38 g,en quantité élevée,0.02 g,en faible quantité,?,,538,-3%,2251 kj(538 kcal),-3%,34,-14%,23,-0%,46,+19%,38,+20%,"7,5",-2%,"0,02",-57%,"0,008",-57%,24,+13%,E,+13%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,4,,['E322i - Lécithine'],,,,,,,,,,
196,Flocon d'avoine germée - Monoprix Bio - 325g,3350033663398,B,"['Monoprix Bio', 'Monoprix']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Monoprix'],['France'],"[""100% flocons d'avoine germée issue de l'agriculture biologique"", ' Traces de fruits à coque']",[],11 g,en quantité modérée,1.8 g,en quantité modérée,1.2 g,en faible quantité,0 g,en faible quantité,?,,406,+10%,1699 kj(406 kcal),+10%,11,+55%,"1,8",+44%,59,-1%,"1,2",-27%,13,+6%,0,-100%,0,-100%,-2,,A,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,325 g,,,,,,"['EMB 18242C', 'Sancoins (Cher, France)']",,,,,,,
197,L'emmental rapé Engagé,3564706586352,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",,,['France'],[],[],29 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,0.8 g,en quantité modérée,?,,369,-1%,1544 kj(369 kcal),-1%,29,+0%,20,+2%,"0,5",-45%,"0,5",+24%,27,-1%,"0,8",+6%,"0,32",+6%,12,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
198,Pomme caramel - les deux vaches - 2x 115g,0204538007283,,['les deux vaches'],,,,['France'],[],[],,,,,,,,,?,,126,,527 kj(126 kcal),,7,,"4,8",,13,,"12,5",,"2,5",,"0,19",,"0,076",,,,,,,,,,,,,2 x 115 g,,,,,,,,,,,,,
199,Kiri 12p 216g perec - 216g,3073781131925,,['Kiri'],,,,"['Belgique', 'France', 'Luxembourg']","['LAIT frais pasteurisé 53% ', 'origine : France', 'CRÈME 32% ', 'origine : France', 'eau', 'protéines de LAIT', 'concentré des minéraux du LAIT', 'ferments LACTIQUES', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,1260,,305,,1260 kj(305 kcal),,29,,"19,4",,2,,2,,9,,"1,5",,"0,6",,,,,,,,,,,,,216 g,4,,,['Lait'],,,,Fromage fondu,,,,,
