,name,bar_code,eco_score,brand,categories,labels,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,nova_score,packaging,additives,allergens,manufacturing,traceability_code,ingredients_origins,generic_name,palm_ingredients,link,brand_owner,producer_info,origin_detail
0,Pur jus de citron - Monoprix Bio,3350033653474,D,"['Monoprix Bio', 'Monoprix']","['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",['Bio'],['Monoprix'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,0 g,en faible quantité,?,,27,0%,113 kj(27 kcal),+1%,0,-100%,0,-100%,"6,7",+88%,2,+20%,0,-100%,0,-100%,0,-100%,-4,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,
1,Pesto vert - Franprix,3263850665097,C,['Franprix'],"['Epicerie', 'Sauces', 'Sauces Pesto']",,['Franprix'],['France'],[],[],32 g,en quantité élevée,3.5 g,en quantité modérée,0.6 g,en faible quantité,1.2 g,en quantité modérée,?,,324,-24%,1356 kj(324 kcal),-23%,32,-22%,"3,5",-42%,"4,3",-35%,"0,6",-81%,"3,7",-17%,"1,2",-48%,"0,48",-48%,12,-34%,D,-34%,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,,,,,,
2,Bouteille cristalline - Cristaline,1274624005003,,['Cristaline'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,VInaigre de riz - Tanoshi,11112778,,['Tanoshi'],,['Sans additifs'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Galettes de riz nappées de chocolat - moulin des moines - 150g,13474393,B,['moulin des moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz au chocolat noir']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,['France'],"['Riz complet', 'chocolat 35 % ', ' sucre de canne', 'pâte de cacao', 'beurre de cacao', ' Cacao: 55% dans le chocolat mis en oeuvre']",[],16.5 g,en quantité modérée,9.83 g,en quantité élevée,12.6 g,en quantité élevée,0.02 g,en faible quantité,?,,473,-2%,1979 kj(473 kcal),-2%,"16,51",-24%,"9,83",-26%,"72,5",+18%,"12,62",-44%,7,+2%,"0,02",-66%,"0,008",-66%,13,-20%,D,-20%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,150g,3,,,,,,,,,,,,
5,Queso tierno en lonchas - El Ventero,8410633561021,D,['El Ventero'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'es:Queso tierno', 'es:Queso tierno en lonchas']",,,"['France', 'Espagne']",[],[],32 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,378,+15%,1582 kj(378 kcal),+15%,32,+20%,23,+29%,"1,5",+24%,"0,5",-33%,21,+3%,"1,4",+8%,"0,56",+8%,15,+9%,D,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
6,Crostini Classiques,3760077537379,,,,['en:palm-oil-free'],,['France'],[],['Sans huile de palme'],,,,,,,,,?,,451,,1887 kj(451 kcal),,16,,"2,5",,65,,"3,5",,11,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,
7,Mini espelta - florbu - 100g,8411414013784,,['Florbu'],['Biscuits sucrés bio'],"['Bio', ""À l'huile de tournesol""]",,['France'],"[""farine d'épeautre* "", '60%', 'sucre de canne*', 'huile de tournesol*', ""flocons d'épeautre* "", '9,6%', 'lait entier en poudre*', 'sel', ""poudre à lever : bicarbonate d'ammonium et bicarbonate de sodium"", 'émulsifiant : lécithine de tournesol* et arôme naturel', "" * Ingrédients issus de l'agriculture biologique""]",[],14 g,en quantité modérée,1.2 g,en faible quantité,20 g,en quantité élevée,0.85 g,en quantité modérée,?,,446,,1866 kj(446 kcal),,14,,"1,2",,67,,20,,11,,"0,85",,"0,34",,9,,C,,,,,,,,,100g,,,,,,,,,,,,,
8,Maxi club select&go,20296827,,,,,,['France'],[],[],,,,,,,,,?,,230,,962 kj(230 kcal),,"9,7",,"2,4",,24,,"3,3",,"9,9",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,
9,Semoule au lait - Milbona,20557348,B,['Milbona'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Semoules au lait']",,['Lidl'],['France'],[],[],3.4 g,en quantité modérée,2.2 g,en quantité modérée,14 g,en quantité élevée,0.09 g,en faible quantité,?,,495,+306%,2071 kj(495 kcal),+304%,"3,4",-14%,"2,2",-13%,19,+8%,14,+9%,"2,9",-14%,"0,09",-18%,"0,036",-18%,11,+180%,D,+180%,57.6%,19.3%,8.9%,7.9%,4.9%,1.3%,91,,,['Pot'],,,,,,,,,,,
10,Thé pêche infusé - Auchan,3596710471522,,['Auchan'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore D']",['Auchan'],['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,"0,5",,"0,1",,"4,8",,"4,8",,"0,5",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,
11,Compote de Pomme - Charles & Alice,3297760019008,B,['Charles & Alice'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme']",,,['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité modérée,0.01 g,en faible quantité,?,,55,-15%,230 kj(55 kcal),-16%,"0,5",+52%,"0,1",+15%,13,-9%,11,-15%,"0,5",+33%,"0,01",+18%,"0,004",+18%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,,,,,,,,,,,,
12,May Tea thé noir imfusé parfum pêche blanche,3124480199300,B,['May Tea'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",['Sans colorants'],,['France'],[],[],,,,,,,,,?,,20,+122%,84 kj(20 kcal),+127%,0,-100%,0,-100%,"4,8",+174%,"4,7",+256%,0,-100%,"0,03",+133%,"0,012",+133%,7,+77%,D,+77%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,
13,100% FRUTA pina - Granini,8431707076647,C,['Granini'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",,,"['France', 'Espagne']",[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,11.7 g,en quantité élevée,0 g,en faible quantité,?,,52,+16%,218 kj(52 kcal),+17%,"0,5",+216%,"0,1",+276%,"11,7",+12%,"11,7",+22%,"0,5",+48%,0,-100%,0,-100%,16,+137%,E,+137%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,['Producto'],,,,,,,,,,,
14,Gaufres chocolat noisettes - Marque Repère - 272g,3564706540194,,"['Marque Repère', ""P'tit Déli""]",,,['Leclerc'],['France'],"['Sucre', 'œufs de poules élevées au sol 23 %', 'huile végétale ', 'colza', 'farine de blé', 'graisse végétale ', 'coprah', 'chocolat en poudre 6,6 %', 'sucre', 'cacao en poudre', 'noisettes 2,9 %', 'farine de lupin', 'lait écrémé en poudre', 'beurre de cacao', 'sel', 'émulsifiant : lécithines ', 'tournesol', 'arômes naturels', 'arôme naturel de vanille', ""Traces d'autres fruits à coque""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,2071,,496,,2071 kj(496 kcal),,29,,9,,51,,38,,"6,7",,"0,6",,"0,24",,,,,,,,,,,,,272 g,4,,['E322i - Lécithine'],"['Gluten', 'Lupin', 'Fruits à coque']",,,,,,,,,
15,Pan bauletto - Tre Mulini - 400g,8017596008923,,['Tre Mulini'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['en:palm-oil-free'],,"['France', 'Italie']",[],['Sans huile de palme'],3.2 g,en quantité modérée,0.5 g,en faible quantité,4.5 g,en faible quantité,1.5 g,en quantité modérée,1101,-19%,260,-21%,1101 kj(260 kcal),-20%,"3,2",-48%,"0,5",-57%,51,-7%,"4,5",+15%,"5,1",-46%,"1,5",+17%,"0,6",+17%,3,-41%,C,-41%,,,,,,,,400 g,,['Plastica'],,,,,,,,,,,
16,Mozarella - Galbani,8000430136319,D,['Galbani'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,,['France'],[],[],18 g,en quantité modérée,12.5 g,en quantité élevée,1 g,en faible quantité,0.7 g,en quantité modérée,?,,238,-8%,996 kj(238 kcal),-8%,18,-13%,"12,5",-11%,2,+94%,1,+33%,17,+1%,"0,7",+4%,"0,28",+4%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
17,980ml,3760032832723,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco']",,,['France'],"['Water', 'sugar']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,980 ml,3,,,,,,,,,,,,
18,Café a grain,8711000898819,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Poitrine de porc,4056489114789,,,,,,['France'],[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,31,,10,,"0,5",,"0,5",,18,,"2,5",,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8715342027876,8715342027876,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ricoré au Lait - Nestlé - 400g,03170338,,['Nestlé'],"['Boissons', 'Petit-déjeuners', 'Boissons instantanées']",,['Carrefour'],['France'],"['Lait entier en poudre ', '45% lactosérum en poudre', 'café soluble ', '8,5%', 'fibres de chicorée ', 'oligofructose', ' ', '8%', 'chicorée soluble ', '7,5%', ',stabilisant: E331', ""correcteur d'acidité: E340"", 'sulfate de magnésium']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",17.1 g,en quantité élevée,10 g,en quantité élevée,40.7 g,en quantité élevée,1.07 g,en quantité élevée,1910,+39%,?,,1910 kj(457 kcal),+66%,"17,1",+354%,10,+310%,"54,3",+11%,"40,7",+11%,"15,7",+170%,"1,07",+249%,"0,429",+249%,,,,,,,,,,,,400 g,4,['Boîte'],"['E331 - Citrates de sodium', 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition']",,['France'],,,,,,,,
22,Chicken katsu curry - Tesco,03281178,,['Tesco'],"['Sandwichs', 'Wraps']",,,['France'],"['Cooked Vermicelli Rice Noodles [Wa Flour]', 'Water', 'Wheat Flour [Wheat Flour', 'Calcium Carbonate nen Niacin', 'Thiamin]', 'Chicken Breast ', '14% ', 'Spinach', 'Chinese Leaf', 'Apple', 'Carrot', 'Cabbage', 'Onion', 'Rice Wine Vinegar', 'Palm Oil', 'Sugar', 'Rapeseed Oil', 'Roast Onion', 'Brown Sugar', 'Salt', 'Honey', 'Cornflour', 'Lime Juice', 'Garlic Purée', 'Raising Agents ', 'Sodium Bicarbonate', 'Disodium Diphosphate', 'Ginger Purée', 'Chilli', 'Wheat Starch', 'Tomato Paste', 'Wheat Gluten', 'Spices', 'Spirit Vinegar', 'Concentrated Lemon Juice', 'White Wine Vinegar', 'Acidity Regulator ', 'Malic Acid', 'Milk Solids', 'Maize Flour', 'Lime Zest', 'Tapioca Starch', 'Black Pepper', 'Molasses', 'Stabiliser ', 'Sodium Carboxyme - thylcellulose', 'Sage Extract', 'Mustard Powder', 'Malt Vinegar ', 'Barley', 'Soya Beans', 'Onion Powder', 'Paprika Extract', 'Garlic Powder', 'Barley Malt Extract', 'Pepper Extract', 'Coriander', 'Cayenne Pepper', 'Yeast', 'Ground Ginger', 'Celery', 'White Pepper', 'Coriander Extract', 'Celery Seeds', 'Chilli Extract', 'Oregano']","['Huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,4,"['Boite', 'Carton']","['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E296 - Acide malique', 'E160c - Extrait de paprika']","['Céleri', 'Gluten', 'Soja']",,,,,,,,,
23,Pois chiches gros - Auchan - 250g,3596710463565,,['Auchan'],,,['Auchan'],['France'],[],[],,,,,,,,,?,,143,,598 kj(143 kcal),,"2,9",,"0,4",,19,,"0,5",,"8,1",,"0,42",,"0,168",,,,,,,,,,,,,250 g,,,,,,"['EMB 72090F', 'Connerré (Sarthe, France)']",,,,,,,
24,Bizcolate cocoa cake slices - Montes Lara - 210g,8410387002115,,['Montes Lara'],,,,['France'],[],[],,,,,,,,,?,,468,,1958 kj(468 kcal),,26,,"9,9",,53,,31,,"5,2",,"0,56",,"0,224",,,,,,,,,,,,,210 g,,,,,,,,,,,,,
25,Steak haché pur boeuf - Carrefour - 250g,3245415851442,,['Carrefour'],,"['Viande Française', 'Viande-bovine-francaise']",['Carrefour'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,250 g,,['Plastique'],,,,"['FR 42.094.002 CE', 'Feurs (Loire, France)']",,,,,,,
26,Oat cookies with milk - Sondey,20761912,D,['Sondey'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,,['France'],[],[],26 g,en quantité élevée,12 g,en quantité élevée,32 g,en quantité élevée,0.18 g,en faible quantité,?,,512,+4%,2142 kj(512 kcal),+4%,26,+11%,12,+2%,66,+6%,32,-2%,"5,1",-22%,"0,18",-67%,"0,072",-67%,23,+7%,E,+7%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,,,,,,
27,3017561550018,3017561550018,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Pavé céréales amandes noisettes - Carrefour - 300g,3523680426542,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains spéciaux']",,['Carrefour'],['France'],[],[],5.7 g,en quantité modérée,0.6 g,en faible quantité,1 g,en faible quantité,1.1 g,en quantité modérée,?,,300,+3%,1255 kj(300 kcal),+3%,"5,7",+12%,"0,6",-33%,49,+0%,1,-77%,"10,7",+15%,"1,1",-10%,"0,44",-10%,2,-47%,B,-47%,,,,,,,,300g,,['papier plastique'],,,,,,,,,,,
29,Gaufrettes arome vanille - 292g,14250095,,,,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,481,,2013 kj(481 kcal),,"22,3",,"14,1",,"32,2",,"14,3",,"37,1",,"0,55",,"0,22",,,,,,,,,,,,,292 g,,,,,,,,,,,,,
30,Piment d'Espelette AOP - Pays Gourmand,26028040,C,['Pays Gourmand'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Piments', ""Piments d'Espelette""]",['AOP'],,['France'],"[""piment d'espelette""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,0.0%,5.3%,5.5%,1.2%,70,,1,,,,,,,,,,,,
31,Reparation - Yves Rocher,3660005569604,,['Yves Rocher'],,,,"['France', 'Maroc']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Mulino bianco,8076809575607,,['Mulino Bianco'],,"['Bio', 'Bio européen', 'en:palm-oil-free']",,"['France', 'Italie']",[],['Sans huile de palme'],,,,,,,,,?,,384,,1607 kj(384 kcal),,4,,"0,5",,"71,5",,"4,4",,"12,5",,"1,275",,"0,51",,,,,,,,,,,,,,,,,,,,,,,,,,
33,Coulis de tomates - Monoprix,3350033594968,B,['Monoprix'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Coulis de tomates']",,['Monoprix'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,6.6 g,en quantité modérée,0.3 g,en quantité modérée,?,,40,+5%,167 kj(40 kcal),+8%,0,-100%,0,-100%,7,+15%,"6,6",+29%,"1,8",+13%,"0,3",-22%,"0,12",-22%,-4,,A,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,,,,,,,,,,,,
34,Miel bio d acacia - La Ruche aux Délices,3088541004968,B,"['La Ruche aux Délices', 'Famille Michaud']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,['France'],,,,,,
35,Captain Cook's - Smooth Spiced Original,20449131,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Biscuits petit-déjeuner graines et fruits rouges - Leader price - 12pièces,3263855402710,,['Leader price'],,['Bio'],['Leader Price'],['France'],[],[],,,,,,,,,?,,476,,1992 kj(476 kcal),,20,,"6,6",,64,,29,,"7,9",,"0,7",,"0,28",,,,,,,,,,,,,12 pièces,,,,,,"['EMB 61232A', ""Lonlay-l'Abbaye (Orne, France)""]",,,,,,,
37,4005900485083,4005900485083,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Noix de coco rapée - Auchan,8435177052439,,['Auchan'],,,['Auchan'],['France'],[],[],,,,,,,,,?,,679,,2841 kj(679 kcal),,66,,55,,"7,2",,"6,4",,7,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ginebra premium de fresa - Puerto de Indias,8437004142115,,['Puerto de Indias'],"['Boissons', 'Boissons alcoolisées']",,,"['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Chips nature - Belle France - 200g,3258561239767,,['Belle France'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",,,['France'],[],[],34 g,en quantité élevée,2.8 g,en quantité modérée,0.4 g,en faible quantité,1.1 g,en quantité modérée,2246,+4%,?,,2246 kj(537 kcal),+4%,34,+15%,"2,8",-9%,50,-8%,"0,4",-83%,"5,5",-4%,"1,1",-17%,"0,44",-17%,7,-40%,C,-40%,,,,,,,,200 g,,,,,,,,,,,,,
41,Anti-Age Q10 - Nivea - 75ml,42316022,,['Nivea'],,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,75ml,,,,,,,,,,,,,
42,Trésor,5053827199940,,"['Trésor', 'Kellogg-s']",,"['Sans arômes artificiels', 'Sans colorants']",,['France'],[],[],,,,,,,,,?,,441,,1845 kj(441 kcal),,14,,4,,70,,28,,"7,2",,"0,95",,"0,38",,,,,,,,,,,,,,,,,,,,,,,,,,
43,vodka sobieski - 1l,5902738884554,C,['Sobieski'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Vodkas', 'Vodkas polonaises']",,['Carrefour'],['France'],['100% seigle'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,1l,3,['bouteille verre'],,,['Pologne'],,,,,,,,
44,Mini crackers mozarella tomates - Franprix,3263851584717,,['Franprix'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Franprix'],['France'],[],[],,,,,,,,,?,,422,,1766 kj(422 kcal),,14,,"3,7",,53,,"3,4",,14,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
45,Multiseed batch - Tesco,5057545928899,B,['Tesco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']","['Végétarien', 'Végétalien']",,"['France', 'Royaume-Uni']","['Wheat Flour [Wheat Flour', 'Calcium Carbonate', 'Iron', 'Niacin', 'Thiamin]', 'Water', 'Mixed Seeds ', '13%', ' [Sunflower Seed', 'Millet', 'Golden Linseed', 'Brown Linseed', 'Poppy Seed', 'Pumpkin Seed]', 'Yeast', 'Barley Malt Flour', 'Salt', 'Wheat Gluten', 'Spirit Vinegar', 'Preservative ', 'Calcium Propionate', 'Emulsifier ', 'Mono - and Di-Acetyl Tartaric Acid Esters of Mono and Di-Glycerides of Fatty Acids', 'Rapeseed Oil', 'Flour Treatment Agent ', 'Ascorbic Acid']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",6.1 g,en quantité modérée,0.8 g,en faible quantité,3.9 g,en faible quantité,1.1 g,en quantité modérée,?,,267,+0%,1117 kj(267 kcal),-0%,"6,1",+36%,"0,8",+23%,"40,3",-12%,"3,9",-25%,"9,9",+18%,"1,1",-4%,"0,44",-4%,2,+38%,B,+38%,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,4,['mixed plastic-bag'],"['E282 - Propionate de calcium', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique']",['Gluten'],,,,,,,,,
46,Liquide vaisselle,5412533417098,,,,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Gnocchi aux lentilles,3380380087769,,,,['en:gluten-free'],,['France'],[],[],,,,,,,,,?,,76,,318 kj(76 kcal),,"3,8",,"0,7",,"6,9",,"2,5",,"2,2",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,
48,Mogettes - Auchan - 330g 370ml,3596710463466,A,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes secs', 'Haricots', 'Légumineuses en conserve', 'Haricots blancs', 'Légumes français', 'en:White kidney beans', 'Haricots en conserve', 'Haricots blancs en conserve', 'Mogette de Vendée']","['Fabriqué en France', 'Nutriscore', 'Nutriscore A', 'Triman']",['Auchan'],['France'],"['haricots blancs secs trempés', 'eau', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.7 g,en faible quantité,0.2 g,en faible quantité,0.6 g,en faible quantité,0.48 g,en quantité modérée,417,-45%,99,-35%,417 kj(99 kcal),-35%,"0,7",-34%,"0,2",-9%,14,-24%,"0,6",-50%,"6,3",-38%,"0,48",-6%,"0,192",-6%,-10,,A,,16.9%,36.6%,17.6%,8.0%,13.1%,7.8%,91,330 g 370 ml,3,"['Verre', 'Bocal']",,,,"['EMB 72090F', 'Connerré (Sarthe, France)']",,Haricots blancs,,,,,
49,Sucre de fleur de coco - Papilles du Monde,3760239182980,B,['Papilles du Monde'],"['Édulcorants', 'Sucres', 'Sucres de coco']",,,['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,88 g,en quantité élevée,0.1 g,en faible quantité,?,,360,-6%,1506 kj(360 kcal),-6%,"0,5",+22%,"0,1",-34%,93,-1%,88,+5%,"1,2",+3%,"0,1",-49%,"0,04",-49%,14,0%,D,0%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,,,,,,,
50,Levure de bière,3456300011357,C,,"['Additifs alimentaires', 'Levures de bière']",['Bio'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,,,,,,,,,,,,,,
51,Cerveja - Karlsquell,24005067,C,['Karlsquell'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières ambrées']",,,"['France', 'Espagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,
52,Chocotella - Eric Favre,3525722025546,,['Eric Favre'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",,,['France'],[],[],39 g,en quantité élevée,9 g,en quantité élevée,2.1 g,en faible quantité,0.1 g,en faible quantité,?,,524,+0%,2192 kj(524 kcal),+1%,39,+21%,9,+11%,33,-34%,"2,1",-95%,21,+238%,"0,1",-45%,"0,04",-45%,14,-32%,D,-32%,,,,,,,,,,,,,,,,,,,,,
53,Elseve - L’oréal - 250ml,3600523493449,,['L’oréal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",,,"['République tchèque', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,250 ml,,,,,,,,,,,,,
54,Pomme mangue - Franprix - 400g,3263859668914,,['Franprix'],,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans sucre ajouté']",['Franprix'],['France'],[],[],,,,,,,,,?,,55,,230 kj(55 kcal),,"0,3",,0,,12,,12,,"0,4",,0,,0,,,,,,,,,,,,,400 g,,,,,,,,,,,,,
