,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,additives,allergens,nova_score,quantity,packaging,manufacturing,traceability_code,ingredients_origins,generic_name,link,palm_ingredients,origin_detail
0,Fuet des Pyrénées,3701411000425,['France'],[],[],?,457,1912 kj(457 kcal),38,14,"2,8","2,8",26,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cuisse de poulet,0226996052025,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5400265001470,5400265001470,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chips de Yam,0019962888250,['France'],[],[],?,473.7,1982 kj(473 kcal),"47,4","36,8","10,5",0,0,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,cachir ben’s,3760307451130,['France'],[],[],?,187,782 kj(187 kcal),15,"4,5","1,1","0,8",12,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Läkerol Läkerol Special 25G,7310350118571,['France'],[],[],?,198,828 kj(198 kcal),"0,3","0,3",53,52,"1,1","0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2 escalopes fines de dinde fermier - Loué,0217714022048,['France'],[],[],?,137,573 kj(137 kcal),"5,9","1,4",0,0,20,"0,19","0,076",D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,+13%,+347%,-100%,-13%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Loué'],5.9 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.19 g,en faible quantité,+14%,+247%,-100%,-66%,-66%,-3,,A,,,,,,,,,,,,,,,
7,4260024451103,4260024451103,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Vegetarian meat with pickled soup,6952395705029,['France'],[],[],?,227.8,953 kj(227 kcal),"7,3",0,26,10,14,"4,11","1,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Alpenschinken, Italienische Art",8004225040843,['France'],[],[],?,266,1113 kj(266 kcal),16,"6,2","0,5","0,5",30,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bolero Drinks Raspberry 12er,3800048225987,['France'],[],[],?,2,8 kj(2 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tartelettes à la framboise - Carrefour Bio,3560071266684,['France'],"['Farine de blé* 36,7%', 'sucre de canne*', 'sucre mi-blanc de canne*', 'purée de framboises 9,8%', 'beurre concentré* 8,7%', 'eufs*', 'huile de colza*', 'purée de pommes*', 'acidifiant : acide citrique', 'arôme naturel de framboise', 'gélifiant : pectines de fruits', ""correcteur d'acidité : carbonates de potassium"", 'jus de sureau concentré*', 'sel', ' ""bio', ' Peut contenir des traces de soja et de fruits à coque', ' Conservation :']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,413,1728 kj(413 kcal),12,"5,3",73,44,"3,8","0,35","0,14",C,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la framboise']",,+16%,-8%,+33%,-3%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,['Carrefour Bio'],12 g,en quantité modérée,5.3 g,en quantité élevée,44 g,en quantité élevée,0.35 g,en quantité modérée,+14%,-23%,+49%,+53%,+53%,20,+27%,E,+27%,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Carrefour'],"['E330 - Acide citrique', 'E440 - Pectines', 'E501 - Carbonates de potassium']","['Gluten', 'Lait']",4,,,,,,,,,
12,Kansas City classic,0032458972981,['France'],[],[],?,60,251 kj(60 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Saucisse de Strasbourg fumé supérieure,0245855023815,['France'],[],[],?,291,1218 kj(291 kcal),"25,9",10,"10,9","1,06","12,4","2,21","0,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Brochettes terre & mer aux poivres.,2416893034448,['France'],[],[],?,158,661 kj(158 kcal),"9,5","2,6",0,0,18,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2 Filet Poulet,0217247045132,['France'],[],[],?,138,577 kj(138 kcal),"5,9","1,7",0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jus de fruits,12047,['France'],[],[],?,32,134 kj(32 kcal),"0,1",0,"7,4","7,1","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Beignet,0231053019354,['France'],[],[],?,323.1,1352 kj(323 kcal),"6,2","3,6",56,"6,7","9,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Chou chantilly,0204278015029,['France'],[],[],?,366,1531 kj(366 kcal),32,14,18,"8,5","2,6","0,49","0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ma ruche bio,3760115099036,['France'],[],[],?,304,1272 kj(304 kcal),0,0,"82,4","82,12","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Foie gras de canard entier du Sud Ouest délicat - Labeyrie - 10parts,3033610030799,['France'],[],[],?,?,,?,,?,,?,,,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,,,,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Labeyrie'],,,,,,,,,,,,,,,,,,"['Viande Française', 'Canard Français', 'IGP']",,,,,10 parts,['Torchon'],['France'],"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,
21,Fisch Snack - Octopus - 36g,4251727401618,['France'],[],[],1178,278,1178 kj(278 kcal),"3,2","1,9","10,5","4,4","51,8","11,5","4,6",,['Poisson séché'],,,,,,,,,,,,,['Octopus'],3.2 g,en quantité modérée,1.9 g,en quantité modérée,4.4 g,en faible quantité,11.5 g,en quantité élevée,,,,,,14,,D,,['en:Seafood'],,,,,36 g,['Plstique'],,,['Viêt Nam'],,,,
22,confiture de quetsches - La saivagine - 325g,3770001619606,['France'],"['Quetsches', 'pectine des fruits', 'sucre55%']",[],?,?,,?,,?,,?,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['La saivagine'],,,,,,,,,,,,,,,,,,,['Super U'],['E440 - Pectines'],,4,325 g,['Verre'],['St Georges de Levejac'],,['Union européenne'],,,,
23,Tenders de poulet,3700091902388,['France'],[],[],?,195,816 kj(195 kcal),"9,1","1,4","12,6","1,3","15,2","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Nutriscore'],,,,,,,,,,,,,
24,Jambon,3760244981301,['France'],[],[],?,105.9,443 kj(105 kcal),3,"1,5","1,5","1,5",18,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,terrines aux Cèpes,3700422261290,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2000000171036,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Dark chocolate,5364630301728,['France'],[],[],?,590,2469 kj(590 kcal),"44,9","26,6","30,7","26,4",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Doony’s assortiment,2403353012146,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Brioche 400 g,0208325020998,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fromage raclette,3060921505272,['France'],[],[],?,339,1418 kj(339 kcal),27,18,18,"0,5",23,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Croissant pur beurre,0200775029859,['France'],[],[],?,394,1648 kj(394 kcal),23,15,39,"6,8","6,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Gurana brules graisses,7001375007819,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Mini beignets,0264103016409,['France'],[],[],?,428,1791 kj(428 kcal),24,"8,5",45,19,"6,8","0,72","0,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3218956501275,3218956501275,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Muesli sans sucre,3229820801278,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
36,Baguette,3250393012068,['France'],[],[],?,257,1075 kj(257 kcal),"1,2","0,3","50,4","2,7","9,6","1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Energy bar,5027492002737,['France'],[],[],?,382,1598 kj(382 kcal),9,7,69,19,"3,7","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,St morêt leger - 180g (9*20g),6222710093590,['France'],[],[],?,132,552 kj(132 kcal),80,"5,5",5,5,10,1,"0,4",D,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,-43%,+283%,+48%,+19%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['St Môret', 'Fromarsac', 'Savencia']",80 g,en quantité élevée,5.5 g,en quantité élevée,5 g,en quantité modérée,1 g,en quantité modérée,-44%,-61%,+69%,-15%,-15%,6,-50%,C,-50%,,,,,,180g (9*20g),['Fresh'],,"['FR 24.256.002 CE', ""Marsac-sur-l'Isle (Dordogne, France)""]",,,,,
39,Prefou de vendee,3608737778871,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cantal jeune,2251652024533,['France'],[],[],?,372,1556 kj(372 kcal),30,22,2,"0,5",24,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Colin d'Alaska,04787022,['France'],[],[],?,208,870 kj(208 kcal),16,2,5,5,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
42,Protein pancakes,4061289002136,['France'],[],[],?,379,1586 kj(379 kcal),"6,1","0,7",23,3,58,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Turkish delight,8697436523399,['France'],[],[],?,359,1502 kj(359 kcal),2,"1,9",85,74,0,0,0,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",,+1%,+2%,+4%,-100%,,,,,,,,,2 g,en faible quantité,1.9 g,en quantité modérée,74 g,en quantité élevée,0 g,en faible quantité,+1%,+282%,+18%,-100%,-100%,15,+12%,D,+12%,,,,,,,,,,,,,,
44,Compote de pommes,3770012305215,['France'],[],[],?,56,234 kj(56 kcal),0,0,14,"0,1","0,5","0,025","0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Pur jus de pomme - 20cl,65950593,['France'],[],[],?,50,209 kj(50 kcal),0,0,"11,5","10,5","0,1",0,0,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,+9%,-100%,+5%,-54%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,0 g,en faible quantité,0 g,en faible quantité,10.5 g,en quantité élevée,0 g,en faible quantité,+9%,-100%,+1%,-100%,-100%,4,-4%,C,-4%,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,,,,20 cl,,,,,,,,
46,Chocolat,3662376062555,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Raquette,3608399932628,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Museau de porc à la Lyonnaise,04804673,['France'],[],[],?,201,841 kj(201 kcal),18,"4,1","0,7","0,5","8,6","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Coconut spread with coconut flakes,5901752120778,['France'],[],[],?,524,2192 kj(524 kcal),41,19,46,10,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Baguettes Constance - Intermarché - 1kg  (4x 250g),3250393012082,['France'],"['Farine de blé 55,5%', 'eau', 'levain de seigle', 'gluten de blé', 'sel', 'levure', ""farine d'orge malté"", ""extrait de malt d'orge"", 'levure désactivée']",['Sans huile de palme'],1088,257,1088 kj(257 kcal),"1,2","0,3","50,4","2,7","9,6","1,55","0,62",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",-3%,-0%,-49%,+3%,+16%,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,['Intermarché'],1.2 g,en faible quantité,0.3 g,en faible quantité,2.7 g,en faible quantité,1.55 g,en quantité élevée,+1%,-33%,+20%,+27%,+27%,1,-67%,B,-67%,"['Haute Valeur Environnementale', 'Filière CRC']",['Intermarché'],,['Gluten'],4,1 kg  (4 x 250g),['Sachet'],['Sur place'],,['France'],Baguettes Constance,,,
51,231038320104200199002075,231038320104200199002075,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pesto alla Genovese,8007650600118,['France'],[],[],?,?,,?,,?,,?,,,C,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",,,,,,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Abondance,2489518023752,['France'],[],[],?,401,1678 kj(401 kcal),33,23,1,"0,5",25,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,
54,Nectar de Pêche Blanche,3760227110759,['France'],[],[],?,62,259 kj(62 kcal),"0,1","0,1","14,8","14,7","0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Salade de fruit,2868733024933,['France'],[],[],?,41.59,174 kj(41 kcal),"0,38","0,02","8,04","6,35","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Chorizo fort,7410092184602,['France'],[],[],?,297,1243 kj(297 kcal),21,"7,3","3,8","2,6",24,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Combo rainbow,3760299918703,['France'],[],[],?,0,0 kj(0 kcal),"4,2","0,6",31,"2,6","5,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Preparado natillas caseras,8433329067423,['France'],[],[],?,475,1987 kj(475 kcal),"3,2","1,9",19,16,"2,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5420051400249,5420051400249,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Roses des sables au chocolat, aux cornflakes et riz soufflé",4043651162068,['France'],[],[],?,479,2004 kj(479 kcal),"20,8","12,6",65,41,"6,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Dâu phông xôp,8935005391292,['France'],[],[],?,485,2029 kj(485 kcal),23,"3,1",57,"40,1","12,7","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bagette,4002271914792,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sigol roasted seaweed with olive oil,8801654006521,['France'],[],[],?,11,46 kj(11 kcal),1,0,0,0,0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Mirabelles,3595120023437,['France'],[],[],?,232,971 kj(232 kcal),"0,5","0,1",54,35,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,P. poiatti Lasagna Giallo 500GR,8007066005958,['France'],[],[],?,373,1561 kj(373 kcal),"3,5",1,"69,5","3,2",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Brioche Nanterre,0206285016402,['France'],[],[],?,210,879 kj(210 kcal),"6,4","3,4",43,"9,3","8,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Paperika,5998578701120,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0055823087776,0055823087776,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Gache,0205239013054,['France'],[],[],?,416,1741 kj(416 kcal),15,10,60,17,"8,9",13,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Saucisses Francfort bio x4,2443810029065,['France'],[],[],?,187,782 kj(187 kcal),13,"5,2","0,6","0,6",17,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Falafels,2016979010696,['France'],[],[],?,237,992 kj(237 kcal),14,"1,6",17,"2,4","7,7",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,
72,Le petit guillaume,2453509079639,['France'],[],[],?,358,1498 kj(358 kcal),23,"6,9","8,19","1,1",33,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Palets,3472864090003,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Fanta limonata,5449000289438,['France'],[],[],?,16,67 kj(16 kcal),4,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Dona benta bolo milho,7896005272121,['France'],[],[],?,204,854 kj(204 kcal),60,"0,6",30,6,2,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,L’authentique Palette à la Diable Rôtie dAlsace,0298218041063,['France'],[],[],?,136,569 kj(136 kcal),"8,4","3,6","1,1","0,5",14,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Compote de pommes,3760151820052,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"pain complet E. Leclerc - 0,736kg",0258245021520,['France'],[],[],?,?,,?,,?,,?,,,,['Boulangerie francaise'],,,,,,,,,,,,,['Pain'],,,,,,,,,,,,,,,,,,['Farine de blé français'],['E. Leclerc'],,,,"0,736 kg",['Plastique'],['France'],['00000'],['France'],,ooooo,,
79,Pâtes Alimentaires (macaroni Court),0064200117302,['France'],[],[],?,352.9412,1477 kj(352 kcal),"1,765","0,353","74,118","3,529","14,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Volcano rice,8997014630076,['France'],[],[],?,350,1464 kj(350 kcal),"1,5",0,76,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
81,3660918135293,3660918135293,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Pruneaux dénoyautées,3482410102883,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Samra Arome Strawberry ( Fraise Essence ),5410350003050,['France'],[],[],?,2,8 kj(2 kcal),"26,1","0,18","0,1",0,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Découpe de poulet fermier,2871718044741,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,
85,Streussel aux pepites de chocolat,2030508077394,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Filet de poulet sans peau cuit,2149949010645,['France'],[],[],?,102,427 kj(102 kcal),1,"0,5","1,3","1,3",22,"1,7","0,68",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,-22%,-65%,+171%,-4%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,1 g,en faible quantité,0.5 g,en faible quantité,1.3 g,en faible quantité,1.7 g,en quantité élevée,-21%,-33%,+435%,+127%,+127%,3,,C,,,,,,,,,,,,,,,
87,Ravioles à la brousse des Hautes-Alpes,3760072090879,['France'],[],[],?,248,1038 kj(248 kcal),"6,9","3,5",38,"1,4","5,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Riz aux légumes,7290016492408,['France'],[],[],?,120,502 kj(120 kcal),"3,1","0,5",30,3,3,"0,828","0,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Knack bio,0201530027882,['France'],[],[],?,292,1222 kj(292 kcal),"27,8","9,9","2,8","0,9","9,6",17,"6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,3700440040075,3700440040075,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Provola affumicata a fette - Selex,8003100861238,['France'],[],[],?,346,1448 kj(346 kcal),28,19,"0,6",0,23,"1,2","0,48",,,,,,,,,,,,,,,['Selex'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Pop corn -,0745114650269,['France'],[],[],?,450,1883 kj(450 kcal),13,"1,3",79,53,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans OGM', 'Sans conservateurs']",,,,,,,,,,,,,
93,Le baiser volé,3760286630601,['France'],[],[],?,236,987 kj(236 kcal),0,0,57,56,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Rewe Pulled Pork Mit Jim Beam,5391511052967,['France'],[],[],?,144,602 kj(144 kcal),"4,6","1,6",9,"8,9","16,5","0,88","0,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Saucisse de toulouse,175804300151,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Saucisson au poivre,2268346024342,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Riz au lait à la confiture de lait,3460778803963,['France'],[],[],?,142,594 kj(142 kcal),"3,5","2,2",24,"16,2","3,6","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Lait de coco nature,3760311990380,['France'],[],[],?,170,711 kj(170 kcal),17,16,"2,8","2,3","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2600239040679,2600239040679,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Brie,2488914019550,['France'],[],[],?,347,1452 kj(347 kcal),31,22,0,0,17,14,"5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Oignon,3420629700056,['France'],[],[],?,43,180 kj(43 kcal),"0,6","0,04","5,3","1,2","0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Sables aux eclats de chocolat,79549684,['France'],[],[],?,486,2033 kj(486 kcal),20,13,"68,1","25,6","7,1","0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
