,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,markets,additives,allergens,nova_score,quantity,packaging,manufacturing,traceability_code,ingredients_origins,generic_name,link,palm_ingredients,origin_detail
925,S. PELLEGRINO,9782081486362,['France'],[],[],?,0,0 kj(0 kcal),"23,7","12,5","62,4","26,6","7,7","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,
926,Emmental français Est-Central - Itinéraires des Saveurs,0211831014962,['France'],"['Lait cru de vache ', 'origine France', 'sel', 'ferments lactiques ', 'lait', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Itinéraires des Saveurs'],,,,,,,,,,,,,,,,,,,,,['Lait'],3,,,,,,,,,
927,Quinoa Tomates Olives - Bjorg - 1,56018189,['France'],"['Quinoa blond précuit* 72,6%', 'quinoa rouge précuit* 13,5%', 'concentré de tomates* 4,3%', 'oignons*', 'olives noires* 2%', 'tomates séchées* 2%', ""huile d'olive*"", 'sel marin', 'herbes de Provence* 0,3%', 'ai poudre*', 'chlorure de potassi poivre noir*', ' *Ingrédients biologiques', ' Pour votre santé', 'associez une alimentation variée et équilibrée', 'à un mode de vie sain']",[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Bjorg'],,,,,,,,,,,,,,,,,,,,,,,1,['Plastique'],,,,,,,
928,Chapuis,2465310018301,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,['Chapuis'],,,,,,,,,,,,,,,,,,,,,,,,['Schrumpffolie'],,,,,,,
929,Roquefort,0297045018569,['France'],[],[],?,336,1406 kj(336 kcal),32,24,"0,5",0,19,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Miel du pays Roannais,3770002751053,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Escalope extra fine de dinde -,2614156028276,['France'],[],[],?,110,460 kj(110 kcal),"1,1","0,4",25,"0,001",25,"0,16","0,064",D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,-9%,-17%,+725%,+9%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,1.1 g,en faible quantité,0.4 g,en faible quantité,0.001 g,en faible quantité,0.16 g,en faible quantité,-9%,-1%,-100%,-71%,-71%,-4,,A,,"['Nutriscore', 'Nutriscore A']",,,,,,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,
932,Petit chinois     Brioche Crème Pâtissière,58625446,['France'],[],[],?,277,1159 kj(277 kcal),"7,7","1,7",44,16,"6,8","0,71","0,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,Le grand livre animé de la terre,9791027603527,['France'],[],[],?,1,4 kj(1 kcal),0,0,10,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Jambon à l'ancienne,2232419042373,['France'],[],[],?,135,565 kj(135 kcal),"4,5","1,6","0,7","0,7",23,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,"['EMB 29004', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)', 'EMB 29004D', 'Bannalec (Finistère, France)']",,,,,
935,Thé bonne annee,3760295260004,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,British cacao grower,5055365667868,['France'],[],[],?,546,2284 kj(546 kcal),"38,4","20,7","41,9","35,3","7,11","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,Cervelas de cheval et de porc féculé,2670233019889,['France'],[],[],?,0,0 kj(0 kcal),21,"7,7",21,"1,2","9,8","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Les tablettes de chocolat au lait,3602800715947,['France'],[],[],?,22.3,93 kj(22 kcal),"36,9","22,3","3,7",1,"47,4","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Delisse crème pâtissière,3564706634473,['France'],[],[],?,142,594 kj(142 kcal),6,"3,7",18,15,4,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore C']",,,,,,['Brique en carton'],,,,,,,
940,Maasdam,2885788017840,['France'],[],[],?,356,1490 kj(356 kcal),27,19,0,0,32,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
