,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,allergens,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
1048,Cake the vert amandes - Sushi Shop,3701035400977,,,,['Sushi Shop'],,,,['France'],"['Cake thé vert arnandes Sucre', 'farine de BLE ', 'GLUTEN', 'OEUF', 'huile de tournesol et/ou de colza', 'AMANDE ', 'FRUIT A COQUE', ' ', '7,02%', 'thé vert ', 'eaua thé vert agent levant [poudre a lever ', 'E450-E500', 'a amidon de frornent', 'farine de BLE sel', 'arotmea colorants ', 'El 00-EI 33-EI 20', ' nutritionnelles']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",['Non végétalien'],4,,,,,,,,,?,,428,,1791 kj(428 kcal),,21,,"4,3",,52,,36,,"5,9",,"0,02",,"0,008",,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Fruits à coque']",,,,,
1049,Yaourt de chèvre a la châtaigne - Trait Bio,3701052300182,,,,['Trait Bio'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la châtaigne', 'Yaourts au lait de chèvre']",['Bio'],['Magasins U'],['France'],[],,[],,3.6 g,en quantité modérée,2.4 g,en quantité modérée,15 g,en quantité élevée,0.1 g,en faible quantité,?,,122,+2%,510 kj(122 kcal),+1%,"3,6",-20%,"2,4",-18%,"18,6",+18%,15,+12%,"3,7",-2%,"0,1",-2%,"0,04",-2%,4,-2%,C,-2%,C,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['FR 85.302.001 CE', 'Verrie (Vendée, France)']",,,,,,
1050,Yaourt de chèvre brassé vanille - Trait Bio,3701052305262,,,,['Trait Bio'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts brassés', 'Yaourts au lait de chèvre', 'Yaourts vanille']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Magasins U'],['France'],[],,[],,4.1 g,en quantité modérée,2.8 g,en quantité modérée,9.7 g,en quantité modérée,0.08 g,en faible quantité,?,,101,+13%,423 kj(101 kcal),+12%,"4,1",-3%,"2,8",-2%,"9,7",+19%,"9,7",+32%,4,-1%,"0,08",-16%,"0,032",-16%,3,+44%,C,+44%,,,,,,,,,,,,,,,
1051,Yaourt brassé de pêche de vigne - Biocoop,3701052321521,,,,['Biocoop'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de chèvre', 'Yaourts à la pêche']","['Bio', 'Fabriqué en France', 'en:Lait-francais-french-milk']",['Biocoop'],['France'],[],,[],,3.6 g,en quantité modérée,2.4 g,en quantité modérée,14 g,en quantité élevée,0.06 g,en faible quantité,?,,115,+25%,481 kj(115 kcal),+23%,"3,6",+41%,"2,4",+49%,17,+28%,14,+15%,"3,6",+2%,"0,06",-44%,"0,024",-44%,4,+104%,C,+104%,C,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,,,
1052,Gel buvable Aloe Vera,3701063802989,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-001']",,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
1053,Ma confiture de fraises à l'ancienne - Natureo - 300g,3701091700288,,300 g,"['Bocal', 'Verre', 'Couvercle', 'Métal']",['Natureo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['Bio', 'Bio européen', 'FR-BIO-07', 'AB Agriculture Biologique']",,['France'],"['Fraises* 52%*', 'sucre de canne non raffiné 47', 'agar-agar*', "" *Ingrédients issus de l'agriculture biologique""]",['E406 - Agar-agar'],[],4,0.1 g,en faible quantité,0 g,en faible quantité,55.7 g,en quantité élevée,0 g,en faible quantité,"971,5",+5%,?,,"971,5 kj(232 kcal)",+7%,"0,1",-59%,0,-100%,"55,7",+5%,"55,7",+10%,"0,3",-32%,0,-100%,0,-100%,11,+26%,D,+26%,C,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
1054,Lait pour nourrisson - Biostime,3701095000018,,,,['Biostime'],"['Aliments pour bébé', 'Laits pour bébé']",['Bio'],,['France'],[],,[],,,,,,,,,,?,,64,-73%,268 kj(64 kcal),-72%,"3,2",-68%,"1,2",-63%,"7,3",-73%,"6,1",-65%,"1,4",-71%,"0,2",+12%,"0,08",+12%,,,,,B,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,,,,,,,
1055,Lait de croissance bio - Biostime,3701095000032,,,,['Biostime'],"['Aliments pour bébé', 'Laits pour bébé', 'Laits de croissance']",['Bio'],,['France'],[],,[],,,,,,,,,,?,,65,-53%,272 kj(65 kcal),-51%,3,-50%,"1,1",-34%,"7,9",-53%,"6,7",-40%,"1,6",-51%,"2,6",+2031%,"1,04",+2031%,,,,,B,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,,,,,,,
1056,La française eau minérale naturelle,3701125001121,,,,,,,,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
1057,Saumon roti - Par Ici Cuisine - 280g,3701138133154,,280 g,,['Par Ici Cuisine'],,,,['France'],[],,[],,,,,,,,,,?,,140,,586 kj(140 kcal),,"5,8",,"1,9",,14,,"0,7",,"7,1",,1,,"0,4",,,,,,,,,,,,,,,,,,,,
