,name,eco_score,packaging,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,additives,allergens,nova_score,generic_name,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,ingredients_origins,traceability_code,link,palm_ingredients,bar_code
0,Rillettes du Mans pur porc - Taboy-Leblanc,D,"['Pot', 'Plastique']",['Taboy-Leblanc'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']",['Pur porc'],['Le Mans'],['France'],[],[],?,,?,,?,,?,,?,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Panaché - Bien Vu - 25cl,C,"['Bouteille', 'Verre', 'Bouteille:verre verte']",['Bien Vu'],"['Boissons', 'Boissons alcoolisées', 'Boissons sans alcool', 'Panaché']","['Point Vert', 'Déconseillé aux femmes enceintes']",,['France'],"['limonade ', 'eau gazéifié', 'sucre', 'acidifiant ', 'acide citrique', 'antioxygène ', 'acide ascorbique', 'arôme', 'bière ', 'eau', ""malt d'orge"", 'maïs', 'houblon', 'antioxygène ', 'acide ascorbique', 'colorant ', 'E150c']",['Sans huile de palme'],?,,?,,?,,?,,?,,16.9%,14.1%,42.2%,17.6%,7.2%,2.0%,57,25 cl,['Super U'],"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",['Gluten'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bière flavoured Tequila - Ranchero - 330ml,C,"['Bouteille', 'Verre', 'Bouteille:verre transparante']","['Ranchero', 'Dia']","['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières aromatisées']","['Déconseillé aux femmes enceintes', 'Recycle', 'Tidyman Wastebasket']",['European Union'],['France'],"['bière', 'sucre', 'acidifiant ', 'acide citrique', 'arômes ', '80% de Tequila', 'antioxygène ', 'acide ascorbique']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,330 ml,['Dia'],"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,4,Bière aromatisée à la tequila,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bière blonde de Caractère - U - 25cl,C,"['Bouteille', 'Verre', 'Capsule', 'Bouteille:verre brune']",['U'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']","['Point Vert', 'Déconseillé aux femmes enceintes']",,['France'],"[""malt d'orge et du blé""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,25 cl,"['Super U', 'Magasins U']",,['Gluten'],3,bière blonde,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tropical Vitaminé - Sun - 33cl,C,['Cannette alu'],['Sun'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']","['Sans conservateurs', 'Eco emballage']","['Refresco France 2885 Route des Pangons 26260 Margès', 'France']",['France'],"['Eau', 'jus de fruits à base de concentrés 12 % ', 'orange 5,5 %', 'pomme 5,3 %', 'ananas 1 % mangue 0,1 %', 'fruits de la passion 0,1 %', 'acidifiant : acide citrique', 'arômes', 'vitamines C', 'colorant : bêta carotène']","[""Pourrait contenir de l'huile de palme""]",153,-16%,?,,"< 0,1",-37%,"8,8",-15%,"< 0,1",-70%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,33 cl,['Auchan'],"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E160ai - Bêta-carotène']",,4,Boisson aux fruits 12% à base de concentrés aromatisée,0.1 g,en faible quantité,0 g,en faible quantité,7.9 g,en quantité élevée,0.025 g,en faible quantité,153 kj(37 kcal),-18%,0,-100%,"7,9",-18%,"< 0,025",+138%,"0,01",+138%,12,+78%,E,+78%,,,,,
5,Bière blonde de luxe - Bien Vu! - 25cl,C,"['Bouteille', 'Verre', 'Capsule', 'Bouteille:verre verte', 'Capsule:twist off']","['Bien Vu!', 'U']","['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",['Déconseillé aux femmes enceintes'],,['France'],[],[],?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,25 cl,"['Super U', 'Magasins U']",,,,Bière blonde,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Poêlée gourmande Family tartiflette - Carrefour - 900g,,"['Surgelé', 'Sachet', 'Plastique']",['Carrefour'],"['Surgelés', 'Plats préparés', 'Poêlées', 'Plats préparés surgelés']",['Reblochon AOP'],['France'],['France'],"['Pommes de terre préfrites 50% ', 'pomme de terre', 'huile de tournesol', 'dextrose', 'eau', 'lardons cuits fumés 10% ', 'poitrine de porc 9%', 'sel', 'dextrose', 'conservateurs : érythorbate de sodium et nitrite de sodium', 'crème fraîche 9%', 'oignons 5%', 'oignons préfrits 5% ', 'oignons', 'huile de colza ou de tournesol', 'reblochon AOP* 5%', 'farine de blé', 'vin blanc', 'poudre de lait entier', 'amidon modifié de maïs', 'de manioc ou de riz', 'sel', 'huile de tournesol', 'arôme', 'arôme naturel', 'épaississants : gomme xanthane - gomme guar - glucose', 'muscade', 'extrait de poivre', ""\r* Appellation d'Origine Protégée""]","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",581,+45%,139,+45%,"7,1",+71%,14,+44%,4,+27%,,,,,,,,900 g,['Carrefour'],"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E412 - Gomme de guar']","['Gluten', 'Lait']",4,"Mélange de pommes de terre préfrites, d'oignons et de lardons cuits fumés, accompagné de sauce à la crème et au reblochon - surgelé",7.1 g,en quantité modérée,3.6 g,en quantité modérée,1.9 g,en faible quantité,0.58 g,en quantité modérée,581 kj(139 kcal),+42%,"3,6",+216%,"1,9",+1%,"0,58",+1%,"0,232",+1%,3,,C,,['Porc origine France'],"['EMB 14630A', 'Saint-Martin-des-Entrées (Calvados, France)']",http://carrefour.fr.eu,,
7,La Réserve 8.5° - Grimbergen - 25cl,C,"['Bouteille', 'Verre', 'Capsule', 'Bouteille:verre brune', 'Bouteille:relief']","['Grimbergen', 'BK']","['Boissons', 'Boissons alcoolisées', 'Bières', ""Bières d'abbayes"", 'Bières blondes', 'Bières de fermentation haute']","['Déconseillé aux femmes enceintes', '2340.fr']",,['France'],"[""malt d'orge"", 'malt de blé']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,25 cl,,,['Gluten'],3,Bière blonde de fermentation haute,,,,,,,,,,,,,,,,,,,,,,,,,http://grimbergen.fr,,
8,Soupe de Poissons & Langoustines - Atlantic - 950ml,,['Bouteille de verre'],['Atlantic'],"['Plats préparés', 'Soupes']",,['France'],['France'],"['eau', 'poissons', 'langoustines', 'oignons', 'carottes', 'poireaux', 'concentré de tomates', 'sel de guérande', 'vin blanc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,,36,-37%,"1,1",-43%,"0,5",-91%,"5,3",+141%,,,,,,,,950 ml,['Lidl'],,"['Crustacés', 'Poisson']",3,Soupe de poissons,1.1 g,en faible quantité,0.3 g,en faible quantité,,,1 g,en quantité modérée,151 kj(36 kcal),-36%,"0,3",-50%,,,1,+16%,"0,4",+16%,,,,,,"['FR 22.182.005 CE', ""Plélo (Côtes-d'Armor, France)""]",http://www.groupelegraet.fr/fr/conserves-maritimes-de-legumes-et-sauces.aspx,,
9,Lager -  - 25cl,C,"['Bouteille', 'Verre', 'Bouteille:verre verte', 'Capsule:twist off']",,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']","['Point Vert', 'Déconseillé aux femmes enceintes', 'Témoin fraîcheur']",,['France'],[],[],?,,?,,?,,?,,?,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,25 cl,,,,,Bière blonde,,,,,,,,,,,,,,,,,,,,,,,,,,,
