,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,palm_ingredients,allergens,nova_score,generic_name,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,brand_owner
0,Sunflower oil - Metro Chef - 1000ml,4337182010326,D,1000 ml,"['Bottle', 'bouteille']",['Metro Chef'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",['Produits destinés aux professionnels'],"['France', 'Suisse']",[],[],92 g,en quantité élevée,10 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,827,-6%,3460 kj(827 kcal),-5%,92,-5%,10,-6%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,,,,
1,Radish chips - Muji,4550002874438,,,,['Muji'],,,['France'],[],[],,,,,,,,,?,,483,,2021 kj(483 kcal),,17,,"8,5",,73,,46,,4,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,
2,"Salatmayonnaise Rjaba , 67% Fettr",4600528347838,,,,,,,['France'],[],[],,,,,,,,,?,,615,,2573 kj(615 kcal),,67,,8,,"2,5",,"2,3",,"0,4",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
3,Semitscki - NoName,4607054451718,,,,['NoName'],,,['France'],[],[],,,,,,,,,?,,695,,2908 kj(695 kcal),,"60,7",,"7,6",,31,,31,,"2,8",,"0,025",,"0,01",,,,,,,,,,,,,,,,,,,,,,,,
4,Biscuits WaNt want,4710144001110,,,,['WANT WANT'],,,['France'],"['Singapore 238875 REF', ' 135951 : RIZ 59,6%', 'HUILE DE PALME', 'SUCRE', 'AMIDON GLUCOSE', 'SAUCESOJA EN POUDRE BLE', 'MALT00EkTRfN9 SEL', 'GOUT ', 'E621']",['Huile de palme'],,,,,,,,,?,,497,,2079 kj(497 kcal),,"21,7",,"9,5",,"71,2",,"9,1",,"4,3",,"1,9",,"0,76",,,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Huile de palme'],['Gluten'],4,,,,,,,,
5,Pousse de bambou au piment,4710373101100,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pousses', 'Pousses de bambou']",['Sans conservateurs'],['France'],[],[],26.2 g,en quantité élevée,4.1 g,en quantité modérée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,268,+893%,1121 kj(268 kcal),+938%,"26,2",+6450%,"4,1",+6556%,6,+146%,0,-100%,"2,1",+43%,"1,1",+310%,"0,44",+310%,11,+2721%,D,+2721%,87.9%,0.0%,0.0%,4.8%,5.7%,1.5%,80,,,,,,,,,,,,
6,Nice choice- crips broad bean - 160g,4711202220726,,160 g,"['Plastic', 'Bag']",['Nice Choice'],"['Snacks', 'Snacks salés', 'en:Roasted broad beans']",,['France'],[],[],6 g,en quantité modérée,3 g,en quantité modérée,16 g,en quantité élevée,10 g,en quantité élevée,?,,50,-89%,209 kj(50 kcal),-89%,6,-75%,3,-29%,16,-66%,16,+389%,6,-29%,10,+549%,4,+549%,15,+23%,D,+23%,,,,,,,,,,,,,,,,,,,
7,Sweet cured prune - Shun Tai,4711288025307,,,,['Shun Tai'],,['Fabriqué en France'],['France'],"['pruneau', 'sucre', 'sel', 'acide benzoïque', ' Poids net : 40g Produit de Taiwan']",[],,,,,,,,,?,,212,,887 kj(212 kcal),,0,,0,,47,,"7,1",,6,,"8,85",,"3,54",,,,,,,,,,,,,"['E210 - Acide benzoïque', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,
8,Mochi roll à la cacahuète - Yuki & Love - 300g,4713072174956,,300 g,"['Carton', 'Plastique']",['Yuki & Love'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Mochi']",,['France'],"['Maltose', 'pâte de cacahuètes 22 % ', 'cacahuètes', 'sucre', 'huile de soja', 'sel', 'arôme', 'riz gluant en poudre', 'sucre', 'pâte crémeuse non laitière 8 % [crème végétale ', 'huile de palme', 'sucre', 'huile de colza', 'huile de noix de coco', 'arôme', 'émulsifiant ', 'E471', 'sucre', 'arôme lait', 'émulsifiant ', 'E471', 'pomme de terre en poudre', 'eau', 'fructose', 'conservateur ', 'E202', 'épaississant ', 'E415']",['Huile de palme'],11.8 g,en quantité modérée,5.1 g,en quantité élevée,30.3 g,en quantité élevée,0.14 g,en faible quantité,?,,400,+32%,1674 kj(400 kcal),+30%,"11,8",+194%,"5,1",+262%,"68,3",+4%,"30,3",+2%,5,+97%,"0,14",-22%,"0,056",-22%,15,+47%,D,+47%,,,,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",['Huile de palme'],"['Arachides', 'Soja']",4,Mochi long à la cacahuète - Mochi Roll Peanut,['Taïwan'],,,,,,
9,Perle de la mer - Vici,4770190115995,,,,['Vici'],,"['Pêche durable', 'Pêche durable MSC']",['France'],[],[],,,,,,,,,?,,105,,439 kj(105 kcal),,"1,9",,"0,2",,15,,"4,2",,"6,9",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,['MSC-C-53520'],,,,,
10,Sticks de pain - Riduto,4771218200068,,,,['Riduto'],,['Bio'],['France'],"['farine de blé complète', 'farine de seigle complète', 'farine de blé', 'graines de sésame ', '63', 'graines de lin ', '2', '8h', 'raines de pavot bleu ', '276', 'sel de mer', 'miel', 'evure', 'sirop de sucre noir', ' Allergie: Kann Spuren Mil', 'hproteinen', 'Eiern', 'Nussen ', 'Haselnusse und l/?ìndeln', ' enthalten', ' Allergie: Peut contenir des traces de protéines de lait', 'œufs', 'noix ', 'noisettes et amandes', 'Nâhrwerteund Ener ie 100g', ':']",['Non végétalien'],,,,,,,,,?,,395,,1653 kj(395 kcal),,7,,"1,2",,70,,4,,14,,"2,5",,1,,,,,,,,,,,,,,,"['Gluten', 'Lait', 'Graines de sésame']",,,,,,,,,
11,Sauce d'huîtres,4892936116049,,,,,"['Epicerie', 'Sauces', ""Sauces à l'huitre""]",,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,10.1 g,en quantité modérée,9.2 g,en quantité élevée,?,,61,-36%,255 kj(61 kcal),-36%,0,-100%,0,-100%,"12,4",-40%,"10,1",-34%,"2,8",+50%,"9,2",+3%,"3,68",+3%,12,-9%,D,-9%,,,,,,,,,,,,,,,,,,,
12,Powdered Black Sesam Dessert - Torto,4897026930017,,,,['Torto'],,['Halal'],['France'],"['SESAME NOIR 35%', 'SUCRE', 'DEXTROSE', 'AMIDON MODIFIE DE MAIS', 'SEL', ' PEUT CONTENIR DES TRACES DE', ' ARACHIDES ET FRUITS A COQUE']",[],,,,,,,,,?,,465,,1946 kj(465 kcal),,"20,2",,"2,9",,"66,4",,40,,"7,5",,"0,47",,"0,188",,,,,,,,,,,,,['E14XX - Amidons modifiés'],,,4,,,,,,,,
13,Nissin Cup Noodles Seafood Flavour,4897878100057,,,,['Nissin'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",['Entrepreneurs + Engagés'],['France'],"['Nouilles ', '82', '5%', ' [Farine dé Blé', 'Huile de Palme', '\rE627', 'E631', ""Régulateurs d'Acidité "", 'E170', 'E501', 'E451', 'E500', 'E330', 'Oignon en Poudre', 'Sauce Soja ', 'Graines de Soja', '\rBlé', 'Sel', 'Protéines de Soja Hydrolysées', 'Épaississant ', 'E412', 'Antioxydants ', 'E306', 'E304', 'Légumes Déshydratés [Chou \r', 'Contient du Lactose', 'Mais', 'Oignon Vert', 'Carottes]', 'Seiche Déshydratée ', '2', '2%', 'Sirop de Glucose', 'Maltodextrine', 'Huile \rde Palme', 'Bâton de Fruits de Mer Déshydratés ', 'Lieu Jaune 0', '3%', 'Amidon de Mais', 'Sel', 'Amidon de Blé', 'Extrait de \rCrabe 0', '1%', 'Sauce Soja en Poudre ', 'Graines de Soja', 'Blé', 'Sel', 'Ail en Poudre ', 'contient du Blé', 'Protéines de Soja \rHydrolysées', 'Exhausteur de Goût ', 'E621', 'E627', 'E631', 'Arômes ', '0', '5%', 'contient Anchois', 'Bonite', 'Crevette', 'Palourde', '\rSoja', 'Extraits de Levure', 'Épices', 'Sel', 'Carotte en Poudre', 'Protéines de Lait', 'Épaississant ', 'E415', 'Antiagglomérant \r', 'E551', ""Régulateur d'Acidité "", 'E330']","['Huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,445,+49%,1862 kj(445 kcal),+48%,17,+47%,11,+109%,61,+51%,"3,1",+28%,12,+89%,"5,2",+99%,"2,08",+99%,,,,,,,,,,,,"['E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E170 - Carbonates de calcium', 'E501 - Carbonates de potassium', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E330 - Acide citrique', 'E412 - Gomme de guar', 'E306 - Extrait riche en tocophérols', 'E304 - Acide palmityle-6-L-ascorbique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E551 - Dioxyde de silicium']","['Huile de palme', ""E304 - Palmitate d'ascorbyle""]","['Crustacés', 'Poisson', 'Gluten', 'Lait', 'Aucun', 'Soja']",4,,,,,,,,
14,Nouille Instantanee,4897878800056,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Nouilles']",,"['Australie', 'France']",[],[],59 g,en quantité élevée,2.3 g,en quantité modérée,4.8 g,en faible quantité,10 g,en quantité élevée,?,,420,+40%,1757 kj(420 kcal),+39%,59,+758%,"2,3",-22%,10,-80%,"4,8",+132%,16,+111%,10,+558%,4,+558%,18,+3573%,D,+3573%,,,,,,,,,,,,,,,['Woolworths'],,,,
15,Eiwa Blueberry Marshmallow 80GX12 Bags - 80g,4901088011475,,80 g,,['Eiwa'],,,['France'],[],[],,,,,,,,,?,,330,,1381 kj(330 kcal),,0,,0,,"79,8",,"79,8",,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"""hinode"" mukashi nagara no honmirin - 400ml",4901309005764,,400 ml,"['Bottle', 'bouteille']",,,,"['France', 'Japon']",[],[],,,,,,,,,?,,42,,176 kj(42 kcal),,"0,1",,0,,"7,4",,"7,4",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
17,Wasabi,4901509906892,,,,,"['Epicerie', 'Sauces', 'Pâtes au wasabi']",,['France'],"['Wasabi', 'Fibre alimentaire', 'Amidon', 'Sel', 'Huile végetale', 'Sorbitol', 'Cyclodextrine', 'Aromates', 'Acidifiant Colorant ', 'E102', 'E133', ' ', 'certains IL ingredients contiennent du soja', ' / Wasabi', 'Dietary fiber', 'Starch', 'Salt', 'Vegetable Oi Sorbitol', 'Cyclodextrin', 'Flavor', 'Acidulant', 'Coloring Agents ', 'E102', 'E133', ' ', 'certain ingredients contain soybean', "" Origine /Origin: Japon / Japan Code produit / Product code: 230 Poids / Weight: 42g - DLUO/BBD: voir emballage/ see pack aging Conserver à l'abri de la lumière"", ""de la chaleur et de l'humidité""]","[""Pourrait contenir de l'huile de palme""]",0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.212 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,"0,1",-99%,0,-100%,0,-100%,0,-100%,0,-100%,"0,212",-96%,"0,085",-96%,0,-100%,B,-100%,,,,,,,,"['E420 - Sorbitol', 'E102 - Tartrazine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",,,4,,,,,,,,
18,Sauce soja - Kikkoman,4901515120459,,,,['Kikkoman'],['Boissons'],,['France'],"['Eau,graines de soja ', 'blé,sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,2.1 g,en faible quantité,15.8 g,en quantité élevée,?,,94,+68%,393 kj(94 kcal),+63%,0,-100%,0,-100%,14,+24%,"2,1",-78%,"9,8",+1876%,"15,75",+37852%,"6,3",+37852%,22,+187%,E,+187%,,,,,,,,,,"['Gluten', 'Soja']",3,,,,,,,,
19,Creamy Sesame Dressing - Mizkan,4902106862710,D,,,['Mizkan'],"['Epicerie', 'Sauces', 'Sauces salades']",,['France'],[],[],31 g,en quantité élevée,2.5 g,en quantité modérée,5.2 g,en quantité modérée,4.3 g,en quantité élevée,?,,326,-3%,1364 kj(326 kcal),-2%,31,-7%,"2,5",-26%,"8,1",+46%,"5,2",+38%,"3,1",+370%,"4,3",+126%,"1,72",+126%,17,+18%,D,+18%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,,
20,Limonade Japonaise,4902179007292,,,"['aluminium-bottle', 'aluminium-lid', 'mixed plastic-bottle']",,,,['France'],[],[],,,,,,,,,?,,39,,163 kj(39 kcal),,0,,0,,10,,"9,4",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
21,Préparation Pour Flan Au Sésame Noir,4902402579718,,,,,"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour flans']",,['France'],[],[],,,,,,,,,?,,406.5,+36%,1701 kj(406 kcal),+28%,"5,5",+196%,"1,9",+171%,"84,7",+29%,31,-24%,"6,3",+204%,"0,5",+268%,"0,2",+268%,,,,,,,,,,,,,,,,,,,,,,,
22,Miso Koji - Hikari - 750g,4902663003007,B,750 g,['Plastic'],['Hikari'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Miso']",['Sans additifs'],['France'],"['Water', 'Soy', 'Rice', 'Salt']","['Sans huile de palme', 'Végétalien', 'Végétarien']",5.9 g,en quantité modérée,0.9 g,en faible quantité,13.6 g,en quantité élevée,11.6 g,en quantité élevée,?,,204,+27%,854 kj(204 kcal),+31%,"5,9",+18%,"0,9",+27%,23,+68%,"13,6",+66%,10,+5%,"11,6",+45%,"4,64",+45%,15,+36%,D,+36%,51.8%,21.5%,10.7%,9.6%,6.4%,0.0%,94,,,['Soja'],3,,['Japan'],,,['Japon'],,,
23,Furikake au shiso - Mishima,4902765302114,,,,['Mishima'],,['Point Vert'],['France'],[],[],,,,,,,,,?,,180,,753 kj(180 kcal),,"1,9",,"0,2",,28,,11,,"8,8",,"4,8",,"1,92",,,,,,,,,,,,,,,,,,,,,,,,
24,Mirin,4904670123891,,,,,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,0,,0,,"7,5",,"7,5",,"0,06",,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,
25,Gingembre Blanc Pour Sushi En Pot - Gari,4939826660654,,,,['Gari'],,,['France'],"['FB', 'Gingembre mariné blanc avec édulcorants E621', ""contient de l'aspartame "", 'source de phénylalanine', "" À conserver à l'abri du soleil dans un endroit frais Une fois ouvert"", 'garder au réfrigérateur et consommer Àconsommer de préférence avant le/ LOT:voirembaIIage Distribué part JFC FRANCE SARL Peripark 101 avenue Louis Rœhe', '92230 Gennevilliers', ""France Fabri ué en Chine Net weightl Nutrition information/ 1100g 340G Nâhrwerte/ Valeur nutritive Ener /Ener ie/ Ener ie poids Net'"", ' Fat/ Fett/ Matières rasses <0', '5g Drained weightl ofwhich saturatesldavon gesàttigte <O', '1g Abtropfgewicht! Felsàurenldontaodes ras saturés Poids netégoutel I O', '5g Protejn/EiweiB/ Protéines <0', '5g 4 939826190654 Salt/ Salz] Sel 2', '4g']",[],,,,,,,,,?,,6,,25 kj(6 kcal),,"0,5",,"0,1",,"0,5",,0,,"0,5",,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,
26,Sésame Goût Prune Ume Toho 80G Japon,4967105333401,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines']",,"['France', 'Espagne']",[],[],45.9 g,en quantité élevée,3.3 g,en quantité modérée,11.5 g,en quantité modérée,5.5 g,en quantité élevée,?,,565,+86%,2364 kj(565 kcal),+88%,"45,9",+583%,"3,3",+279%,"20,5",-49%,"11,5",+785%,"17,4",+45%,"5,5",+2145%,"2,2",+2145%,22,,E,,,,,,,,,,,,,,,,,,,,
27,Fusilli - Tesco - 1kg,5000119532305,B,1kg,['mixed plastic-bag'],['Tesco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Torsades']",['Fabriqué en Italie'],"['France', 'Irlande', 'Royaume-Uni']",['Durum Wheat Semolina'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.7 g,en faible quantité,0.2 g,en faible quantité,1.1 g,en faible quantité,0.1 g,en faible quantité,748,-50%,176,-50%,748 kj(176 kcal),-49%,"0,7",-64%,"0,2",-52%,"35,7",-48%,"1,1",-61%,"5,8",-53%,"0,1",+280%,"0,04",+280%,-3,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,['Gluten'],1,Dried fusilli pasta made from durum wheat semolina,['Italy'],,['Tesco'],['Italie'],https://www.tesco.com/groceries/en-GB/products/254878499,,
28,"All Bran375G.Kellog, - Kellogg's",5000127064447,,,,"[""Kellogg's""]",,,['France'],"[""fabrique des céréales uniquement pour NOTRE RECETTE • ONS RECEPT INGRÉDIENTS'"", ' Blé son de blé ', '21%', 'sucre', 'Farine dtavoine', '696', 'Sirop de glucose', ""Arôme de malt d'orge"", 'Sel', 'Arôme naturel', ' Vitamines et Minéraux:Vitamines ', 'Niacine', '86', 'BI BI', 'Acide folique', 'D', 'BI', ' et Fer', ' Allergènes: voir les ingrédients en gras', ' Zout', 'Natuurlijk aroma', ' Vitaminen en Mineralen:Vitaminen ', 'Niacine', 'B6', 'B2', 'BI', 'Foliumzuur', 'D', 'BI', 'IJzer', ' Voor altergenen: zie ingrediëntenlijst', 'in vet gemarkeerd']",[],,,,,,,,,?,,356,,1490 kj(356 kcal),,"2,5",,"0,5",,66,,20,,11,,1,,"0,4",,,,,,,,,,,,,,,,4,,,,,,,,
29,Heinz Beans Triple Pack - 200g,5000157025746,,200 g,"['Can', 'steel-can']",['Heinz'],,,['France'],"['beans ', '51 %', 'tomatoes ', '34%', 'water', 'sugarspirjtv', 'negat', 'modified cornflour', 'salt', 'spice extracts', 'herb extract 10% protein contributes to a growth in muscle niàis:eataspart ofavaried and balanced diet and a healthy lifestyle,']",[],,,,,,,,,?,,78,,326 kj(78 kcal),,"0,2",,0,,"12,5",,"4,7",,"4,7",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,
30,Beef broth - Heinz - 400g,5000157063243,,400g,,['Heinz'],,,['France'],"['water', 'pearl barley ', '9%', 'potatoes ', '7%', 'carrots ', '7%', 'beef ', '6%', 'concentrated tomato puree', 'haricot beans', 'cornflour', 'modified cornflour', 'sugar', 'salt', 'flavourings', 'contain milk', 'yeast extracts ', 'contain barley', 'colour - plain caramel', 'herb extracts', 'herb', 'citric acid', 'spice extracts']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,44,,184 kj(44 kcal),,"0,5",,"0,2",,"7,6",,"1,4",,"1,9",,"0,6",,"0,24",,,,,,,,,,,,,"['E150a - Caramel E150a', 'E330 - Acide citrique']",,,4,,,,,,,,
31,Sauce Gherkin Relish - Heinz,5000157076663,,,,['Heinz'],"['Epicerie', 'Sauces']",,['France'],"['Cornichons 37 un affermissant - chlorure de calcium', 'vinaigre dlalcool', 'sucre', 'eau', 'petits oignons blancs ', 'contient des sulfites', 'amidcn sel/ graines de moutarde', 'piment', 'ail', 'conservateur ', 'sorbate de potassium', 'aneth', 'plante aromatique', 'arôme', 'Bien secouer ayant utilisation', ' O Ingrediënten: Augurken ', 'bevatten verstevigingsmiddel - calciumchlcìde! water', 'zilveruitiec']",[],0.2 g,en faible quantité,0.1 g,en faible quantité,16.4 g,en quantité élevée,0.9 g,en quantité modérée,?,,90,-62%,377 kj(90 kcal),-62%,"0,2",-99%,"0,1",-95%,"20,3",+105%,"16,4",+154%,"0,8",-70%,"0,9",-63%,"0,36",-63%,7,-40%,C,-40%,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,['Anhydride sulfureux et sulfites'],4,,,,,,,,
32,Maltesers Chocolate Bucket,5000159335737,,,,['Maltesers'],,,['France'],"['sucre', 'lait écrémé en poudre', 'beurre de cacao', 'sirop de glucose', ""extrait de malt d'orge"", 'pâte de cacao', 'matière grasse de palme', 'lactose', 'petit-lait en poudre', 'beurre concentré ', 'lait', 'farine de blé', 'émulsifiants ', 'lécithine de soja', 'E492', 'huile de palme', 'poudres à lever ', 'E341', 'E500', 'E501', 'sel', ""agent d'enrobage "", 'pectine', 'extrait naturel de vanille', ' Palline di malto e latte ', '23%', ' ricoperte di cioccolato al latte ? Ingredienti: zucchero', 'latte scremato in po/vere', ' burro di cacao', 'sciroppo di glucosio', ""estratto di malto d'orzo"", 'pasta di cacao', 'grasso di palma', ""'attosio"", 'siero di latte in polvere', ' grassi del latte', ' farina di frumento', 'emu/sionanti ', '/ecitina scia', 'E492', 'olio di palma', 'agenti lievitanti ', 'E341', 'E500', 'E501', 'sale', 'agente dl rivestimento ', 'pectinaò', 'estratto naturale di vaniglia', ' EÀact»ptÉq 00KOÀatÉV', 'CÇ LITtaAir-oeq tpavav» Kcu ', '2', '3%', ' ? C', 'cixaon', ' govnc']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,505,,2113 kj(505 kcal),,"24,8",,"15,2",,"61,7",,"51,9",,"8,1",,"0,4",,"0,16",,,,,,,,,,,,,"['E322i - Lécithine', 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E501 - Carbonates de potassium', 'E440 - Pectines']",['Huile de palme'],"['Gluten', 'Lait', 'Soja']",4,,,,,,,,
33,M &M'S Dispenser 2X Chocolate Beans,5000159386708,,,,,,,['France'],[],[],,,,,,,,,?,,480,,2008 kj(480 kcal),,19,,"11,7",,"70,3",,"67,3",,5,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
34,McVitie's Hobnobs Milk Choc Jumbo Pack,5000168188713,,,,,,,['France'],[],[],,,,,,,,,?,,491,,2054 kj(491 kcal),,"23,3",,"11,5",,"60,8",,33,,"7,1",,"0,74",,"0,296",,,,,,,,,,,,,,,,,,,,,,,,
35,English Mustard - Waitrose,5000169012499,,,,['Waitrose'],,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,?,,190,,795 kj(190 kcal),,"10,7",,"0,6",,"15,5",,"13,3",,"6,5",,"8,5",,"3,4",,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,
36,Waitrose Essential Pure Set Honey,5000169042960,B,,"['glass-jar', 'lid']",['Waitrose'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,"['France', 'Royaume-Uni']",[],[],0 g,en faible quantité,0 g,en faible quantité,76.4 g,en quantité élevée,0.03 g,en faible quantité,?,,307,+6%,1284 kj(307 kcal),+5%,0,-100%,0,-100%,"76,4",-1%,"76,4",+10%,"0,4",+23%,"0,03",+85%,"0,012",+85%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,['Waitrose'],,,,
37,Beurre de Cacahuète,5000189749320,C,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,['France'],[],[],48.7 g,en quantité élevée,9.2 g,en quantité élevée,6.7 g,en quantité modérée,1.6 g,en quantité élevée,?,,611,+2%,2556 kj(611 kcal),+2%,"48,7",+1%,"9,2",+11%,"14,5",+1%,"6,7",+6%,"24,8",+1%,"1,6",+200%,"0,64",+200%,24,+118%,E,+118%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,,
38,Duerr's Beurre Cacahuètes Smooth - 340g,5000214017691,D,340g,['Plastic'],"[""Duerr's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']","['Végétarien', 'en:gluten-free', 'Végétalien']","['France', 'Royaume-Uni']","['Roasted Peanuts 94%', 'Palm Oil', 'Brown Cane Sugar', 'Salt', 'Peanut Oil']","['Huile de palme', 'Végétalien', 'Végétarien']",47.1 g,en quantité élevée,10.6 g,en quantité élevée,6.6 g,en quantité modérée,0.69 g,en quantité modérée,?,,600,0%,2510 kj(600 kcal),+0%,"47,1",-2%,"10,6",+28%,12,-17%,"6,6",+4%,"28,1",+14%,"0,69",+29%,"0,276",+29%,6,-45%,C,-45%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,['Arachides'],3,Smooth peanut butter,,,,,,,
39,Chocolate Brownie Pie -,5000227508704,,,,,"['Tartes', 'Tartes sucrées', 'Tartes au chocolat']",,['France'],[],[],18 g,en quantité modérée,5.1 g,en quantité élevée,26 g,en quantité élevée,0.42 g,en quantité modérée,?,,386,+2%,1615 kj(386 kcal),+1%,18,-13%,"5,1",-56%,54,+29%,26,+5%,"4,3",-19%,"0,42",+44%,"0,168",+44%,15,-18%,D,-18%,,,,,,,,,,,,,,,,,,,
40,Extra mature cheddar - Cathedral City - 350g,5000295141599,D,350 g,"['Plastique', 'mixed plastic-unknown']",['Cathedral City'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars', 'Cheddar extra-mature']",['Végétarien'],"['France', 'Royaume-Uni']",['Cheddar'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",34.9 g,en quantité élevée,21.7 g,en quantité élevée,0.1 g,en faible quantité,0.739 g,en quantité modérée,?,,416,+5%,1741 kj(416 kcal),+5%,"34,9",+5%,"21,7",+3%,"0,1",-93%,"0,1",-80%,"25,4",+8%,"0,739",-58%,"0,296",-58%,13,-23%,D,-23%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,3,,,,,,,,
