,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,palm_ingredients,allergens,nova_score,generic_name,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,brand_owner
1047,Pois chiches - aneco - 560g,8412151550013,A,560 g,['pot verre'],['Aneco'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Graines', 'Aliments à base de plantes en conserve', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches', 'Légumineuses en conserve', 'Pois chiches en conserve']",,['France'],"['Pois chiches', 'eau', 'sel et antioxydant E-223']",[],1.9 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.69 g,en quantité modérée,?,,88,-24%,368 kj(88 kcal),-24%,"1,9",-7%,"0,2",-26%,"4,7",-69%,0,-100%,"4,9",-24%,"0,69",+13%,"0,276",+13%,-3,,A,,28.6%,33.2%,14.9%,14.4%,4.2%,4.8%,88,,,,1,,,,,['Espagne'],,,
1048,El de caldes - 420g,8412166100180,D,420 g,['Plastique'],['El de Caldes'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']","['Point Vert', 'Fabriqué en Espagne', 'en:palm-oil-free']",['France'],"['Farine de blé', 'huile de tourmessol', 'sucre', 'ceufs liquides pasteurisés', 'pépites de chocolat pate de cacac', 'sUcre emusifiant E-322', 'cacao', 'lait écrémée en poudre', 'levure gesifients E-450 et E-500i', 'régulateur de PH E-516', 'antiagiomerant E-170 et amicon de maisl', 'conservateur E-202', 'gomme de xanthane et ardme de chocolet']",['Sans huile de palme'],25.3 g,en quantité élevée,2.5 g,en quantité modérée,28 g,en quantité élevée,0.8 g,en quantité modérée,1900,+4%,454,+4%,1900 kj(454 kcal),+4%,"25,3",+7%,"2,5",-69%,"50,9",+3%,28,-9%,"5,3",-8%,"0,8",+54%,"0,32",+54%,16,-14%,D,-14%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,"['E500i - Carbonate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,"['Œufs', 'Gluten', 'Lait']",4,Madeleines aux pépites de chocolat - Madalenas con Pepitas de Chocolate,['Espagne'],,,,https://www.producteseldecaldes.com/web/fr/tupper-magdalenas-pepita-de-chocolate/,,
1049,Noglut galletas con pepitas de chocolate sin gluten - Santiveri,8412170030671,,,,['Santiveri'],,"['en:gluten-free', 'Fabriqué en Espagne']",['France'],[],[],,,,,,,,,?,,449,,1879 kj(449 kcal),,"16,5",,"3,6",,68,,"22,5",,5,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,
1050,Sucrine - Nadal,8412276324476,B,,,['Nadal'],"['Laitues', 'Sucrines', 'en:Laitue', 'en:Sucrines']",,['France'],"['tmal PRODUCIDO EN ESPANA www', 'anecoop', 'com COEVOESVCRINE A LAVER SOIGNEUSEMENT 3 PIECES ORIGINE ESPAGNE CAT', 'I III Il I I I Il II I I I I I I I I e 412276 324476 COOP StOOP I E flo', '46010 Valencia SP R 2103230 L-1126044 000 _ necoop']",[],1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,?,,1,-90%,4 kj(1 kcal),-91%,1,+273%,1,+835%,1,+128%,1,+307%,1,+31%,1,+1221%,"0,4",+1221%,3,,C,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,,,,,,,,
1051,Confiture extra de fraise allegee en sucre - Mocitos - 450g,8412318011272,D,450 g,,['Mocitos'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,42 g,en quantité élevée,0.1 g,en faible quantité,?,,181,-17%,757 kj(181 kcal),-17%,"0,2",-17%,0,-100%,48,-10%,42,-17%,"0,4",-10%,"0,1",+341%,"0,04",+341%,6,-31%,C,-31%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
1052,ajo negro las pedroñeras - Jr,8412346000507,,,,['Jr'],,,['France'],"['*El Potasio contribuye al mantenimiento de la tensiôn arterial normal', ' El Fôsforo contibuye al mantenimiento de los huesos en condiciones normales', ' El Zinc contribuye al funcionamiento normal del sistema inmunitario', ' **EI contenido de Sal obedece exclusivamente al sodio presente de forma natural en el alimento', ' ** *Ingesta de referencia de un adulto medio ', '8400ki / 2000 recomendable seguir una dieta variada', 'moderada y JR Suérez Monedero S', 'L']",[],,,,,,,,,?,,161,,674 kj(161 kcal),,"0,6",,0,,"29,4",,"24,2",,"9,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
1053,Calamares en salsa americana - Orbe - 110g,8412370110050,,110 g,['Nixe'],['Orbe'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve']",,"['France', 'Espagne']","['calamares', 'aceite de girasol', 'tomate', 'cebolla', 'especias y sal']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",6.3 g,en quantité modérée,0.7 g,en faible quantité,0 g,en faible quantité,0.5 g,en quantité modérée,?,,132,-38%,552 kj(132 kcal),-37%,"6,3",-55%,"0,7",-75%,0,-100%,0,-100%,19,-5%,"0,5",-50%,"0,2",-50%,-2,-146%,A,-146%,,,,,,,,,,,3,Calamares en salsa americana,,,,,,,
1054,Huevos ecológicos - Coren,8412406015465,C,,,['Coren'],"[""Produits d'élevages"", 'Œufs', 'Œufs frais']","['Bio', 'Bio européen', 'ES-ECO-022-GA']","['France', 'Espagne']",[],[],9.7 g,en quantité modérée,2.8 g,en quantité modérée,0.7 g,en faible quantité,0.3 g,en quantité modérée,?,,141,+1%,590 kj(141 kcal),+1%,"9,7",+7%,"2,8",+30%,"0,7",+9%,"0,7",+60%,13,+6%,"0,3",+33%,"0,12",+33%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,,
1055,Crema de morcilla con cebolla y manzana - La Piara,8412500483542,,,,['La Piara'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc']",['en:gluten-free'],"['France', 'Espagne']","['Ingredientes: Morcilla de cebolla 75% tocino', 'cebolla', 'carne magra y sangre de cerdo', 'agua', 'manzana 8,3%', 'fécula de patata', 'sal', 'fibra vegetal', 'especias', 'aromas', 'estabilizante ', 'carragenano', 'conservador ', 'nitrito sódico']",[],17 g,en quantité modérée,6 g,en quantité élevée,1.8 g,en faible quantité,1.8 g,en quantité élevée,?,,203,+12%,849 kj(203 kcal),+11%,17,+87%,6,+101%,"4,7",-68%,"1,8",-4%,"6,4",-23%,"1,8",+55%,"0,72",+55%,11,+86%,D,+86%,,,,,,,,,,,,,,,,,,,
1056,MEJILLONES - Txalupa,8412540900092,D,,"['Caja', 'Cartón', 'Lata', 'En conserva']",['Txalupa'],"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve']",,['France'],"['Mejillones', 'aceite de girasol', 'vinagre de vino', 'especias y sal']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",9.2 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.9 g,en quantité modérée,?,,170,-10%,711 kj(170 kcal),-10%,"9,2",-25%,"1,4",-27%,"3,9",+26%,0,-100%,18,+15%,"0,9",-32%,"0,36",-32%,1,-79%,B,-79%,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,,['Mollusques'],3,,,,,,,,
