,name,bar_code,eco_score,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,manufacturing,additives,allergens,nova_score,ingredients_origins,brand_owner,generic_name,link,palm_ingredients
1945,Terrine végétale aux tomates séchées,3432770044194,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', 'Pâtés végétaux']","['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,,152,-39%,"9,3",+61%,"9,5",-78%,"7,6",+498%,,,,,,,,636 kj(152 kcal),"1,2","2,9","1,9","0,76",,9.3 g,en quantité modérée,1.2 g,en faible quantité,2.9 g,en faible quantité,1.9 g,en quantité élevée,-38%,+18%,-93%,+1167%,+1167%,6,-36%,C,-36%,,,,,,,,,,,
1946,Sablés Créoles Saveur Coco,3770006473067,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés à la noix de coco', 'en:Sablés à la noix de coco']",,,['France'],[],[],?,,489,-3%,21,-20%,75,+27%,"6,9",+11%,78.6%,11.5%,4.0%,3.5%,2.4%,0.0%,62,2046 kj(489 kcal),"14,9","29,6","0,1","0,04",,21 g,en quantité élevée,14.9 g,en quantité élevée,29.6 g,en quantité élevée,0.1 g,en faible quantité,-3%,-4%,+30%,-81%,-81%,22,+13%,E,+13%,,,,,,,,,,,
1947,Pâte à Sucre Funcakes Rose Pastel,8718531938274,,,,,,['France'],[],[],?,,392,,"5,4",,"86,4",,0,,,,,,,,,1640 kj(392 kcal),4,"83,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,Saucisson cuit au jambon,0209861006231,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949,Biere grisette triple,5412138485010,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,I Morbidelli - 200g,8033247740349,,,,,,"['France', 'Italie']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,
1951,Sablés Créoles Gingembre,3770006473074,,,,,,['France'],[],[],?,,461,,"17,7",,"76,7",,"6,7",,,,,,,,,1929 kj(461 kcal),"11,8","29,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,Steaks haches - les éleveurs de Bretagne - 400gr,3361114019744,E,['les éleveurs de Bretagne'],"['Viandes', 'Bœuf', 'Steaks', 'Steaks de bœuf', 'Viandes fraîches', 'Steaks hachés', 'Steaks de bœuf hachés', 'Steaks hachés frais', 'Steaks hachés de bœuf frais']","['Bio', 'Bio européen', 'AB Agriculture Biologique']","['FR 56.057.003 CE', 'Faouët (Morbihan, France)']",['France'],['Pur bœuf Bio 15 % de matière grasse'],[],?,,?,,?,,?,,?,,98.0%,0.5%,0.6%,0.6%,0.3%,0.1%,3,,,,,,,,,,,,,,,,,,,,,,,,400 gr,['Barquette'],,,,,,,,,
1953,Pizza a la grecque - Carte nature - 370g,3700477661205,,['Carte nature'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']","['Bio', 'Bio européen', 'AB Agriculture Biologique']","['FR 32.426.037 CE', 'Seissan (Gers, France)']",['France'],"['Garniture* 58% : Houmous de pois chiches 26% ', 'pois chiches* hydratés 14 % ', 'eau', 'pois chiches""', 'sel', ""huile d'olive* vierge extra"", 'eau', 'purée de citron*', 'cumin*', 'sel', 'MOZZARELLA*', 'poivrons* 10% ', 'FETA* AOP 4,7%', 'oignons* rouges 2,4%', 'olives* 1,4% Pâte à pizza aux graines* 42% : farine de BLE*', 'eau', 'graines de pavot* 0,7%', ""huile d'olive* vierge extra"", 'graines de lin* 0,6% ', 'graines de millet* 0,6%', 'graines de tournesol* 0,5%', 'sel', 'levure bou langère*', ' Pourcentage exprimé sur le produit total', ' ""Ingrédients issus de l\'Agriculture Biologique', ' Fabriqué dans un atelier qui utilise des crustacés', 'oeufs', 'poissons', 'soja', 'fruits à coque', 'céleri', 'moutarde', 'sulfites', ' Source de fibres et de protéines']",['Non végétalien'],?,,250,+9%,13,+55%,23,-14%,9,-13%,,,,,,,,1046 kj(250 kcal),"5,7","2,3","1,2","0,48",,13 g,en quantité modérée,5.7 g,en quantité élevée,2.3 g,en faible quantité,1.2 g,en quantité modérée,+9%,+45%,-22%,-4%,-4%,10,+29%,C,+29%,370g,,,,"['Gluten', 'Lait']",3,,,,,
1954,Sablés Créoles Cannelle,3770006473050,,,,,,['France'],[],[],?,,459,,17,,"79,4",,"6,6",,,,,,,,,1920 kj(459 kcal),"11,8","29,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,Cheddar Cheese Spread - Kraft,7622210050502,D,['Kraft'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages du Royaume-Uni', ""Fromages d'Angleterre"", 'Cheddars']",,,['France'],"['BUTTER', 'CHEDDAR CHEESE ', ""MADE FROM COW'S MILK"", 'NON FAT MILK SO EMULSIFIER ', 'E339', 'MINERAL SALT ', 'E341', 'SUGAR', 'ACIDITY REGULATOR ', 'E270 MA FLAVOR', 'SALT', 'THICKENERS ', 'E410', 'E466', 'PRESERVATIVES ', 'E200', 'E234', 'RENNET WATER ADDED', ' MINIMUM FAT DB 55%', ' DAILY AMOUNT OF CALCIUM', ' Mode in Kingdam CONTAINS MILK', ' SOURCE OF CALCIUM EACH SERVING 25g CONTAINS 22', '0% OF her Rahrain Inte']",['Non végétalien'],?,,292,-26%,28,-15%,"1,9",+38%,"7,8",-67%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1222 kj(292 kcal),19,"1,9","1,12","0,448",,28 g,en quantité élevée,19 g,en quantité élevée,1.9 g,en faible quantité,1.12 g,en quantité modérée,-26%,-10%,+278%,-37%,-37%,13,-23%,D,-23%,,,,"['E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E270 - Acide lactique', 'E410 - Gomme de caroube', 'E466 - Carboxyméthylcellulose', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E234 - Nisine']",['Lait'],4,,,,,
1956,Nu Cao hemp seeds & cacao,4260500650136,,,,"['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",?,,586,,"49,4",,"18,7",,"13,7",,,,,,,,,2452 kj(586 kcal),"21,8","14,7","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,Shortbread - Campbells,5010909005544,C,['Campbells'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread', 'es:Galletas mantequilla']",,,"['France', 'Espagne']",[],[],?,,515,-0%,"27,5",-2%,"61,7",+2%,"5,8",+5%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,2155 kj(515 kcal),17,"21,6","0,9","0,36",,27.5 g,en quantité élevée,17 g,en quantité élevée,21.6 g,en quantité élevée,0.9 g,en quantité modérée,-1%,+2%,+13%,+36%,+36%,23,+8%,E,+8%,,,,,,,,,,,
1958,"Crunchy Müsli,Quinoa Nuss - Real Quality",4334011191621,,['Real Quality'],,,,['France'],[],[],?,,454,,17,,62,,"9,6",,,,,,,,,1900 kj(454 kcal),"5,4",20,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,Buho,7500326680489,,,,,,['France'],[],[],?,,17,,0,,"4,3",,0,,,,,,,,,71 kj(17 kcal),0,"4,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,3700389711982,3700389711982,,,,['Fabriqué en France'],,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,super Spirulina - 100g,10294208,E,,"['Compléments alimentaires', 'Spiruline']",,,['France'],[],[],?,,1,-100%,1,-73%,1,-90%,60,+21%,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,4 kj(1 kcal),1,1,1,"0,4",,1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,-100%,-22%,+43%,-13%,-13%,-1,-120%,A,-120%,100 g,,,,,,,,,,
1962,Crozes-Hermitage A.O.C. 2017 - Marque Repère - 75cl,3564700783528,,"['Marque Repère', 'Rives et Terrasses']",,,,['France'],['Contient des sulfites'],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,75 cl,,,,['Anhydride sulfureux et sulfites'],,,,,,
1963,Vin renucci,3545212011255,,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,Andouille de guemene,2618733033912,E,,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Guémené']",,,['France'],[],[],?,,230,-8%,19,-6%,0,-100%,14,-15%,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,962 kj(230 kcal),11,0,"2,1","0,84",,19 g,en quantité modérée,11 g,en quantité élevée,0 g,en faible quantité,2.1 g,en quantité élevée,-8%,+9%,-100%,-12%,-12%,21,-3%,E,-3%,,,,,,,,,,,
1965,Maquereaux grillés - Le Trésor des Dieux,3188720004397,C,['Le Trésor des Dieux'],"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']","['Pêche durable', 'Pêche durable MSC']",,['France'],[],[],?,,245,+10%,"18,8",+15%,"0,9",-17%,"17,9",+9%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,1025 kj(245 kcal),"3,7","0,5","0,5","0,2",,18.8 g,en quantité modérée,3.7 g,en quantité modérée,0.5 g,en faible quantité,0.5 g,en quantité modérée,+11%,+0%,-6%,-55%,-55%,3,-52%,C,-52%,,,,,,,,,,,
1966,Piment Habanero rouge - Sainte Lucie - 22g,3162050010440,,['Sainte Lucie'],,,"['EMB 60282A', 'Gouvieux (Oise, France)']",['France'],['Piment Habanero Rouge'],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 g,['Flacon verre'],,,,,,,,,
1967,Saucisson sec - Galibier,3375220503080,D,['Galibier'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']","['en:gluten-free', 'Point Vert']",,['France'],[],[],?,,277,-31%,13,-59%,4,+79%,36,+30%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,1159 kj(277 kcal),"4,5","2,5","5,5","2,2",,13 g,en quantité modérée,4.5 g,en quantité modérée,2.5 g,en faible quantité,5.5 g,en quantité élevée,-31%,-63%,+82%,+18%,+18%,17,-29%,D,-29%,,,,,,,,,,,
1968,Fenugrec moulu - Sultan - 170g,4260000931926,,['Sultan'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170 g,,,,,,,,,,
1969,Pinky Banana,5425021588569,,,,,,['France'],[],[],?,,42,,0,,10,,"0,2",,,,,,,,,176 kj(42 kcal),0,"9,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,Filet dorade - Carrefour,2412461018377,,['Carrefour'],,,['MSC-C-55248'],['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,Miel fruité - Lune de Miel,3088542755517,B,['Lune de Miel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,['France'],[],[],?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Pain azyme d'épeautre bio - La finestra sul cielo - 200g,8017977018206,,['La finestra sul cielo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', ""Pain à l'épeautre""]",['Bio'],,['France'],[],[],?,,378,+41%,"1,3",-44%,78,+60%,12,+24%,,,,,,,,1582 kj(378 kcal),"0,4","1,1","0,01","0,004",,1.3 g,en faible quantité,0.4 g,en faible quantité,1.1 g,en faible quantité,0.01 g,en faible quantité,+41%,+8%,-47%,-99%,-99%,-1,-133%,A,-133%,200 g,,,,,,,,,,
1973,Baguette Campagnarde - Carrefour,0202023006568,,['Carrefour'],,,,['France'],"['Farine de blé* 59%', 'eau', 'farine de seigle 6%', 'levure', 'sel', 'levain de seigle* dévitalisé 0', '8%', ""extrait de malt d'orge"", 'sirop de sucre', ""farine d'orge malté"", 'antioxydant acide ascorbique,levure désactivée']",['Sans huile de palme'],?,,?,,?,,?,,?,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,['E300 - Acide ascorbique'],['Gluten'],,,,,,
1974,Terrine de chevreuil à la menthe poivrée,3760133673041,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de chevreuil']",,,['France'],[],[],?,,372,+20%,"35,2",+34%,"0,2",-86%,"13,5",-8%,,,,,,,,1556 kj(372 kcal),"12,4","0,2","1,68","0,672",,35.2 g,en quantité élevée,12.4 g,en quantité élevée,0.2 g,en faible quantité,1.68 g,en quantité élevée,+20%,+28%,-51%,+8%,+8%,21,+15%,E,+15%,,,,,,,,,,,
