,name,bar_code,eco_score,brand,categories,labels,traceability_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,manufacturing,additives,allergens,nova_score,ingredients_origins,brand_owner,generic_name,link,palm_ingredients
0,2 Filets poulet fermier - Les Fermiers de Loué,0217247041462,D,['Les Fermiers de Loué'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']","['IGP', 'Label Rouge']","['FR 72.168.001 CE', 'Loué (Sarthe, France)']",['France'],[],[],?,,?,,?,,?,,?,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dafyna,3770012996000,,,,,,['France'],[],[],?,,450,,24,,49,,"6,8",,,,,,,,,1883 kj(450 kcal),11,49,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Preparé Martino - Carrefour,5400101035041,,['Carrefour'],,,,['France'],[],[],?,,251,,20,,1,,16,,,,,,,,,1050 kj(251 kcal),"2,5","0,5","1,4","0,56",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Yahourt fermier citron,3760186690361,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,La bière du Vexin Blanche,3760210300150,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jambon à l'ancienne,2252519000004,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",,,['France'],[],[],?,,123,-19%,"3,1",-50%,"0,5",+1%,23,+3%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,515 kj(123 kcal),"1,4","0,5",2,"0,8",,3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,-19%,-42%,+3%,+3%,+3%,5,-49%,C,-49%,,,,,,,,,,,
6,Pain aux noix -,3700517403376,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains aux noix']",,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Marshmallow,0200030142026,,,,,,['France'],[],[],?,,360,,9,,66,,"3,1",,,,,,,,,1506 kj(360 kcal),5,59,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Panda au chocolat au lait,3421371523832,,,,,,['France'],[],[],?,,573,,38,,51,,"6,5",,,,,,,,,2397 kj(573 kcal),24,50,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Rillette de truite,3770011036011,D,,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de truite']",,,['France'],[],[],?,,134,-38%,"7,9",-50%,"7,3",+226%,"7,8",-45%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,561 kj(134 kcal),3,"2,3","1,5","0,6",,7.9 g,en quantité modérée,3 g,en quantité modérée,2.3 g,en faible quantité,1.5 g,en quantité modérée,-37%,-46%,+167%,+44%,+44%,5,-44%,C,-44%,,,,,,,,,,,
10,Aloe vera juice,92210042,,,,,,['France'],[],[],?,,34,,0,,"8,5",,0,,,,,,,,,142 kj(34 kcal),0,"8,5","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Calissons de Provence - Les Ruchers du Luberon - 220g,3760009396951,A,['Les Ruchers du Luberon'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons']","['Fabriqué en France', 'Fabrication artisanale']",,['France'],"['AMANDES sucre', 'sucre glace', 'miel de lavande 11 % ,melon confit', 'sirop de glucose', ""blanc d'OEUF"", ""écorces d'orange confites "", ""correcteur d'acidité E330"", 'pain azyme ', 'fécule de pomme de terre,eau', ' ,extrait de Grand-Marnier', 'jus de citron']",['Non végétalien'],1850,+1%,441,-0%,"17,4",-3%,"61,9",+2%,"7,7",+0%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,1850 kj(441 kcal),"1,5","50,2","0,013","0,005",,17.4 g,en quantité modérée,1.5 g,en quantité modérée,50.2 g,en quantité élevée,0.013 g,en faible quantité,0%,-7%,+1%,-75%,-75%,16,+10%,D,+10%,220 g,"['Boite', 'Métal']",['France'],['E330 - Acide citrique'],"['Œufs', 'Fruits à coque']",4,,,,,
12,Apimix,3760023951112,,,,"['Sans colorants', 'Sans conservateurs']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Perle de cidre - Val de Rance,3271471000746,D,['Val de Rance'],"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,['France'],[],[],?,,?,,?,,?,,?,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sucette - vidal,84198518,E,['Vidal'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,"['France', 'Espagne']",[],[],?,,?,,?,,?,,?,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Filet de poulet rôti - Le Gaulois,2431628020336,D,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,['France'],[],[],?,,151,+15%,"5,81",+102%,"0,1",-79%,24,+5%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,632 kj(151 kcal),"1,4","0,1","1,4","0,56",,5.81 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,+16%,+88%,-59%,+87%,+87%,3,,C,,,,,,,,,,,,
16,Plateau pique nique - Saveurs des mauges,3340584105904,,['Saveurs des mauges'],,,,['France'],[],[],?,,213,,13,,1,,23,,,,,,,,,891 kj(213 kcal),"5,7","0,7",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tomate de chez E ECLERS,0245150019742,,,,,,['France'],[],[],?,,0,,30,,10,,0,,,,,,,,,0 kj(0 kcal),20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Benamiel,8437007167771,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Riso Basmati drink - Alce nero,8009004811140,E,['Alce nero'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz']",['Sans sucre ajouté'],,['France'],"['eau', 'riz basmati à grains* ', '17%', 'huile de tournesol*', 'algue marine Lithothamnium calcareum ', '0,4%', 'sel marin', ' *Biologique']",[],?,,58,0%,"0,6",-51%,13,+17%,"0,2",-41%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,243 kj(58 kcal),"0,1","6,6","0,1","0,04",,0.6 g,en faible quantité,0.1 g,en faible quantité,6.6 g,en quantité élevée,0.1 g,en faible quantité,-0%,-58%,+16%,+6%,+6%,1,+23%,B,+23%,,,,,,3,,,,,
20,Raspberry marshmallows,5060374400153,,,,,,['France'],[],[],?,,393,,"15,6",,57,,"5,1",,,,,,,,,1644 kj(393 kcal),"9,3","48,5","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Farine d'épeautre T80 - Monoprix - 500g,3350033613195,A,"['Monoprix', 'Monoprix Bio']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', ""Farines d'épeautre"", ""Farines d'épeautre T80""]","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Agriculture France']",,['France'],"[""FARINE D'ÉPEAUTRE""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,334,-3%,3,+46%,64,-4%,13,+5%,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,1397 kj(334 kcal),1,13,"0,13","0,052",['Monoprix'],3 g,en quantité modérée,1 g,en faible quantité,13 g,en quantité élevée,0.13 g,en faible quantité,-4%,+240%,+665%,+870%,+870%,1,,B,,500 g,['Sachet'],,,['Gluten'],1,['France'],,,,
22,Touch of fruit - Volvic,3057640510533,,['Volvic'],,,,['France'],"['volvic natural mineral water', '99,8%', 'acid ', 'cit-ic acid', ' naturalstrawberry flavouring', 'with other natural flavourings', 'preservative ', 'potassium benzoate', 'sweeteners ', 'sucralose', 'acesulfame k']",[],?,,1,,0,,0,,0,,,,,,,,,4 kj(1 kcal),0,0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,['pet-bottle'],,"['E212 - Benzoate de potassium', '', 'Risque élevé de sur-exposition', 'E955 - Sucralose', 'E950 - Acésulfame K']",,4,,,,,
23,Rognons de Boeuf sauce au vin de Madèr(e,3780566703207,,,,"['Viande-francaise', 'Viande-bovine-francaise']",,['France'],[],[],?,,99,,"3,9",,"3,6",,12,,,,,,,,,414 kj(99 kcal),"1,5",1,"1,02","0,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sauté de porc,20806651,,,,,,['France'],[],[],?,,108,,"2,1",,"0,5",,22,,,,,,,,,452 kj(108 kcal),"1,5","0,5","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Pave de saumon asc fqc - Carrefour,0201322031493,E,['Carrefour'],"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",,['ASC-C-01102'],['France'],[],[],?,,?,,?,,?,,?,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Happy easter - 100g,8006423222601,,,,,,['France'],[],[],?,,527,,"28,3",,"61,5",,"5,3",,,,,,,,,2205 kj(527 kcal),"17,8","60,2","0,1","0,04",,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,
27,Haribo chamallow choco,3103221144601,,['Haribo'],,,,['France'],[],[],?,,423,,16,,64,,"5,6",,,,,,,,,1770 kj(423 kcal),"9,6",55,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tiparos Fish Sauce,8850545757578,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,La galope,0817339016301,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Wild Things Live - Rotkäppchen,4014741003813,,['Rotkäppchen'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins effervescents', 'Sekt']",,,"['France', 'Allemagne']",[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Snacking chocolate,0859686004495,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,,"['France', 'États-Unis']","['Dark chocolate [chocolate liquor*', 'sugar*', 'cocoa butter*', 'soy lecithin ', 'an emulsifier', 'vanilla]', 'dry roasted almonds', 'sea salt']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",?,,550,+31%,"32,5",+121%,55,-17%,10,+138%,,,,,,,,2301 kj(550 kcal),15,"27,5","0,345","0,138",,32.5 g,en quantité élevée,15 g,en quantité élevée,27.5 g,en quantité élevée,0.345 g,en quantité modérée,+31%,+132%,-45%,+135%,+135%,21,+15%,E,+15%,,,,['E322i - Lécithine'],['Soja'],4,,"Ripple Brand Collective, LLC",,,
32,Croissant pur beurre,3123456001654,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Quiche Lorraine 36 toasts,3394920379177,D,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",,,['France'],[],[],?,,266,+1%,14,-14%,24,+24%,11,+19%,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,1113 kj(266 kcal),"6,4","2,7","1,1","0,44",,14 g,en quantité modérée,6.4 g,en quantité élevée,2.7 g,en faible quantité,1.1 g,en quantité modérée,+1%,-27%,+17%,+6%,+6%,13,-8%,D,-8%,,,,,,,,,,,
34,Coffret sirops pour Virgin Cocktails - MONIN - 3x25cl,3052911111020,,['MONIN'],,,,['France'],"['eau', 'arôme naturel', 'jus concentré de citron', ""jus concentré d'orange"", ""arôme naturel d'orange"", 'arôme naturel de vanille avec autres arômes naturels', 'sel', 'conservateur : E202', 'colorants : E102', 'E129', ' Jus de fruits: 15%', ""dont 7% de jus d'orange"", ' E102', ""E129: peut avoir des effets indésirables sur l'activité et l'attention chez les enfants"", ' Saveur Rhum FR-Ingrédients Sucre', 'eau', 'jus concentré de citron', 'arôme naturel de rhum avec autres arômes naturels', 'Sucre', 'colorant: E150a', 'conservateur: E202']",[],?,,?,,?,,?,,?,,,,,,,,,,,,,,['TRUFFAUT'],,,,,,,,,,,,,,,,,,3x25cl,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E102 - Tartrazine', 'E129 - Rouge allura AC', 'E150a - Caramel E150a']",,4,,,,,
35,Kidi'fruits gourdes - Kidi fruit,3608580945239,,"['Kidi fruit', 'Andros']",,,,['France'],[],[],?,,49,,"0,2",,11,,"0,2",,,,,,,,,205 kj(49 kcal),0,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Terrine de campagne sel de guérande et andouille de guémené,3114680032583,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,,['France'],[],[],?,,286,-11%,24,-15%,"4,4",+92%,14,0%,,,,,,,,1197 kj(286 kcal),"8,8","1,3","1,5","0,6",,24 g,en quantité élevée,8.8 g,en quantité élevée,1.3 g,en faible quantité,1.5 g,en quantité modérée,-11%,-19%,+50%,-6%,-6%,17,-12%,D,-12%,,,,,,,,,,,
37,Pain multi céréales rustique - Soezie,5411866957851,,['Soezie'],,,,['France'],[],[],?,,266,,0,,"48,7",,9,,,,,,,,,1113 kj(266 kcal),0,"2,5","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Ginkgo - Naturland,7001375007437,,['Naturland'],,"['Bio', 'Bio européen', 'Fabriqué en France', 'AB Agriculture Biologique']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Macaron cafe,3276550565109,D,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,['France'],[],[],?,,?,,?,,?,,?,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Champignons cuisines a la grecque - Notre Jardin,01760569,,['Notre Jardin'],,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Trousse Chemise Rosé,3357730003625,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Gecchele Bouquet Assorted,8015854123586,,,,,,['France'],[],[],?,,356,,"10,9",,"60,4",,"3,4",,,,,,,,,1490 kj(356 kcal),"5,5",37,"0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Saumon fumé l'ecosse boisé et généreux - Labeyrie,3033610076483,E,['Labeyrie'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""en:Saumons fumés d'Ecosse""]","['Certifié par Certiconfiance', 'Fumé en France']","['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",['France'],[],[],?,,198,+4%,12,+8%,"0,6",+31%,22,+0%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,828 kj(198 kcal),"2,5","0,6","2,9","1,16",,12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,+4%,+0%,+108%,+20%,+20%,14,+15%,D,+15%,,"['Sous vide', 'Frais']",['France'],,,,['Ecosse'],,,,
44,Jambon de Vendée Bio 4 fines tranches,3275461006756,,,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-09']",,['France'],[],[],?,,215,,12,,"0,6",,25,,,,,,,,,900 kj(215 kcal),"4,4","0,5","4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Framboisier feuilles coupées plantes medecinales,3401545175562,,,,,"['EMB 01043D', 'Beynost (Ain, France)']",['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Sorbet citron,3515891002608,,,,"['Bio', 'Bio européen', 'Sans colorants', 'Agriculture UE/Non UE', 'FR-BIO-09', 'AB Agriculture Biologique']",,['France'],[],[],?,,132,,"0,1",,32,,"0,1",,,,,,,,,552 kj(132 kcal),0,"27,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Terrine de volaille gingembre et citron confit,3306111016136,,,,,,['France'],[],[],?,,160,,"6,3",,"0,5",,27,,,,,,,,,669 kj(160 kcal),"1,6","0,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Caillette - Limouches,3489660006015,,['Limouches'],['Caillettes'],,,['France'],[],[],?,,335,+28%,28,+37%,"2,8",-49%,18,+34%,,,,,,,,1402 kj(335 kcal),11,0,"2,1","0,84",,28 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,2.1 g,en quantité élevée,+29%,+40%,-100%,-3%,-3%,23,+22%,E,+22%,,,,,,,,,,,
49,Dattes d'Algérie,6132199200078,,,,,,['France'],[],[],?,,30,,0,,7,,0,,,,,,,,,126 kj(30 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Huile de pepin de raisin - Yari - 250ml,8717931604598,C,['Yari'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de pépins de raisins']",,,['France'],[],[],?,,0,-100%,?,,?,,?,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,0 kj(0 kcal),,,,,,,,,,,,,,-100%,,,,,,,,,250 ml,,,,,,,,,,
51,Tête de mort,5411633111110,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Nutrisante Infusion Bio Gourmande - 36g,3515450012055,,['Nutrisante'],,"['Bio', 'Fabriqué en France']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36 g,,,,,,,,,,
53,Ails des ours,3760118054339,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Café Tchanqué Lège Déca sans solvant,3770006952364,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Neuro'Force - 72 Gélules - Vecteur Santé,3165830001508,,['Vecteur sante'],,"['Fabriqué en France', 'Sans additifs']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Cascaval afumat Bradut - 400g,2010000870167,,,,['Point Vert'],,['France'],[],[],?,,252,,19,,"0,2",,20,,,,,,,,,1054 kj(252 kcal),12,"0,1","2,5",1,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,
57,Joyco,4850001397649,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Matsilli,3760006940041,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Tarte Framboise 6 parts,,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"AOC Muscadet sèvre et Maine sur Lie ""Mauguitonnières""",3489511197015,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Boule magique,5011061140319,,,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Club Turkey Bacon - Crous Languedoc Roussillon - 196g,00012317,,['Crous Languedoc Roussillon'],"['Sandwichs', 'en:raw-vegetable-sandwiches']",,,['France'],"['PAIN DE MIE COMPLET 43,9% : Farine complète de BLE 47%', 'eau', 'farine de BLE', 'huile de colza', 'dextrose', 'sucre', 'sel', 'GLUTEN DE BLE', 'arôme [contient alcool]', 'levure', 'vinaigre', 'conservateur : propionate de calcium', ""émulsifiant : mono et diglycérides d'acides gras"", 'antioxydant : acide ascorbique', ' Garniture 56,1%: Blanc de volaille 36,4% ', 'filet de dinde 86,5% [origine France]', 'salaison [eau', 'sel', 'arômes', 'dextrose et sirop de glucose', 'gélifiant', 'algues Euchémas transformées', 'poivre', 'extrait de levures ', 'dont ORGE', 'arôme naturel de romarin', 'conservateur : nitrite de sodium', 'colorant : de caramel E150a', 'tomate 18,2 %', 'salade batavia 13,6%', 'bacon fumé 13,6% ', 'carré de porc [origine France]', ' eau', 'sel acidifiant : acétate de sodium', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'CHEDDAR râpé 9', '1%% ', 'LAIT de vache pasteurisé 98%', 'sel', 'FERMENTS LACTIQUES', ' coagulant', 'E509', 'colorant : E160b', 'antiagglomérant : cellulose', 'SAUCE POMMES FRITES 9,1% ', 'huile de colza 30%', 'LAIT écrémé reconstitué', 'VINAIGRE', 'sucre', 'eau', 'amidon modifié', ""jaune d'OEUF"", 'sel', 'MOUTARDE de Dijon [eau', 'graine de MOUTARDE', 'VINAIGRE', 'sel', 'antioxydant : DISULFITE de potassium', 'acidifliant : acide citrique', 'oignon', 'persil', 'acidifiant : acide lactique', 'jus de citron concentré', 'conservateur : sorbate de potassium', 'épaississant comme xanthane', 'arômes', 'antioxydant : E385 ', '% exprimés sur la garniture']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,,190,-12%,"6,6",-18%,"19,9",-20%,"10,5",+14%,,,,,,,,795 kj(190 kcal),"1,9","3,1","1,3","0,52",,6.6 g,en quantité modérée,1.9 g,en quantité modérée,3.1 g,en faible quantité,1.3 g,en quantité modérée,-12%,+31%,-2%,+7%,+7%,-2,-193%,A,-193%,196 g,['Plastique'],,"['E282 - Propionate de calcium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique', 'E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a', 'E262i - Acétate de sodium', 'E316 - Érythorbate de sodium', 'E509 - Chlorure de calcium', '', 'Risque modéré de sur-exposition', 'E160b - Rocou', 'E460 - Cellulose', 'E14XX - Amidons modifiés', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']","['Œufs', 'Gluten', 'Lait', 'Moutarde', 'Anhydride sulfureux et sulfites']",4,,,,,
63,Jus de cerise,8690690172013,,,,,,['France'],[],[],?,,160,,0,,"9,5",,"0,57",,,,,,,,,669 kj(160 kcal),0,"9,5","0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Croquant bio au quinoa - 100g,5425034750823,,,,"['Bio', 'Bio européen', 'BE-BIO-01']",,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,
65,Gratin de choux-fleurs - Fleury Michon - 280g,3302740029486,B,['Fleury Michon'],"['Plats préparés', 'Gratins', 'Gratins de légumes', 'Gratins de choux-fleurs']","['Sans colorants', 'Nutriscore', 'Viande-francaise', 'Nutriscore B', 'Viande-porcine-francaise']",,['France'],[],[],?,,101,+12%,"6,2",+14%,"3,5",-33%,"7,2",+80%,53.7%,19.7%,8.9%,9.2%,5.0%,3.6%,91,423 kj(101 kcal),"3,4","1,9","0,79","0,316",,6.2 g,en quantité modérée,3.4 g,en quantité modérée,1.9 g,en faible quantité,0.79 g,en quantité modérée,+11%,+5%,-24%,+25%,+25%,3,+16%,C,+16%,280 g,,,,,,,,,,
66,Comté,0207301038705,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],,['France'],[],[],?,,417,+5%,34,+4%,0,-100%,28,+11%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1745 kj(417 kcal),19,0,"0,8","0,32",,34 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,+6%,-12%,-100%,-18%,-18%,13,-3%,D,-3%,,,,,,,,,,,
67,Têtes brûlées cake,5030765034977,,,,,,['France'],[],[],?,,399,,15,,"62,7",,3,,,,,,,,,1669 kj(399 kcal),"1,9","45,6","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
