,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,brand,packaging,ingredients_origins,markets,nova_score,traceability_code,generic_name,manufacturing,link,allergens,additives,brand_owner,palm_ingredients
1157,"Julhes, Tripoux d'Auvergne au Saint Pourcain, le bocal de 5",3303700000408,,,['France'],[],[],,,,,,,,,?,,72,,301 kj(72 kcal),,"2,8",,0,,"0,9",,0,,11,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Yaourt fermier vanille,3770004149209,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Aioli catalan,3700359215939,,,['France'],[],[],,,,,,,,,?,,481,,2013 kj(481 kcal),,47,,"3,4",,"9,6",,"0,9",,"3,1",,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,d huile d olive vierge extra aux extraits naturels d ail,3511442040020,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,
1161,Melon,3386381044459,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,Mont blanc praline,3700279302146,,,['France'],[],[],,,,,,,,,?,,125,,523 kj(125 kcal),,"3,9",,2,,"19,7",,"15,1",,3,,"0,08",,"0,032",,,,,,,,,,,,,,,['Mont Blanc'],,,,,,,,,,,,
1163,Domaine de la rencontre,3760207920880,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Yaourt,8680719154441,,,['France'],[],[],,,,,,,,,?,,147,,615 kj(147 kcal),,"4,6",,"2,5",,"20,7",,15,,"4,7",,"0,15",,"0,06",,,,,,,,,,,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,
1165,Sivi atao confiture de mûres,3760102100127,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de mûres']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,40.2 g,en quantité élevée,0.2 g,en faible quantité,?,,169,-27%,707 kj(169 kcal),-27%,0,-100%,0,-100%,"41,5",-25%,"40,2",-24%,"0,8",+34%,"0,2",+488%,"0,08",+488%,10,+1%,C,+1%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,
1166,Breakfast Boost - Linwoods,5016887003596,,,['France'],[],[],,,,,,,,,?,,494,,2067 kj(494 kcal),,36,,"5,3",,"9,6",,"7,4",,20,,"0,1",,"0,04",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['Linwoods'],,,,,,,,,,,,
1167,Manuka Honey,9414887000045,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Coconut,0666016018325,,,['France'],[],[],,,,,,,,,?,,509,,2130 kj(509 kcal),,32,,28,,"54,7",,"18,8",,"3,8",,0,,0,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,
1169,Booster - BiotechUSA,5999076224425,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['BiotechUSA'],,,,,,,,,,,,
1170,Pain d'épices d'Eugenia,3483130801162,,,['France'],[],[],,,,,,,,,?,,368,,1540 kj(368 kcal),,18,,12,,44,,21,,"6,7",,"0,45",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Lait de chèvre entier,3760300990124,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Share milk chocolate + hazelnuts,0200030100897,,,['France'],[],[],,,,,,,,,?,,560,,2343 kj(560 kcal),,36,,18,,50,,47,,"8,3",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,Frigolet - Sirop Caramel,3660668005570,,,['France'],[],[],,,,,,,,,?,,312,,1305 kj(312 kcal),,0,,0,,"78,1",,"78,1",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,La spiruline - 140g,3770014552006,E,"['Compléments alimentaires', 'Spiruline']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,['Sans additifs'],140 g,,,,,,,,,,,,,
1175,Saucisse fumée pimentée,2295419028600,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Jusré,8718096135293,,,['France'],[],[],,,,,,,,,?,,48,,201 kj(48 kcal),,"0,1",,0,,"10,9",,"9,3",,"0,6",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Himbeeren,20014599,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
