,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,brand,packaging,ingredients_origins,markets,nova_score,traceability_code,generic_name,manufacturing,link,allergens,additives,brand_owner,palm_ingredients
0,Fromage nature à tartiner,94355253,D,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",['France'],[],[],17.8 g,en quantité modérée,13.2 g,en quantité élevée,3 g,en faible quantité,1.3 g,en quantité modérée,?,,205,-12%,858 kj(205 kcal),-13%,"17,8",-15%,"13,2",-6%,3,-11%,3,+1%,"8,3",-1%,"1,3",+11%,"0,52",+11%,12,0%,D,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
1,Bresil noix,0200945015194,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix du Brésil']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.2%,1.7%,3.2%,10.8%,2.2%,0.0%,45,,,,,,,,,,,,,,,
2,Fan pop,8005533041898,,,['France'],[],[],,,,,,,,,?,,390,,1632 kj(390 kcal),,0,,0,,98,,65,,0,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Glace cointreau aux écorces d'oranges confites,3576370711374,,,['France'],[],[],,,,,,,,,?,,162,,678 kj(162 kcal),,"6,5",,"4,7",,"19,4",,"18,8",,"4,2",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,organic matcha green,0070734538230,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,
5,2 filets de poulet,2297320020070,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,
6,Moutarde miel romarin,3701233530070,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes au miel']",['France'],[],[],38.2 g,en quantité élevée,3.97 g,en quantité modérée,1.06 g,en faible quantité,4.34 g,en quantité élevée,?,,380,+77%,1590 kj(380 kcal),+78%,"38,171",+278%,"3,97",+445%,"4,16",-76%,"1,06",-93%,"4,87",-13%,"4,34",+20%,"1,736",+20%,17,+20%,D,+20%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,,
7,Le crabot,0201701033919,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,0,,0,,7,,0,,25,,92,,"36,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Boost,3583310000153,,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,"0,02",,"0,02",,"85,4",,"60,5",,"4,7",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Jus de pomme,3760201370155,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Mélange tandoori,3760116741583,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Apéritif noix,3435569915842,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sport gel,8054956340439,,,['France'],[],[],,,,,,,,,?,,280,,1172 kj(280 kcal),,0,,0,,70,,45,,0,,"0,26",,"0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Escalope de dinde,0212700013321,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,
14,Gaufrette fourrage chocolat noisette - 75g,3760166541034,,,['France'],[],[],,,,,,,,,?,,537,,2247 kj(537 kcal),,30,,16,,60,,35,,"5,4",,"0,23",,"0,092",,,,,,,,,,,,,,75 g,,,,,,,,,,,,,
15,Huile d'olive fruité mûr,3760178640176,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Le Farci Poitevin,0212454031428,,,['France'],[],[],,,,,,,,,?,,528,,2209 kj(528 kcal),,"9,3",,"3,48",,"5,8",,"3,7",,"3,95",,"1,62",,"0,648",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Émincé d'agneau provencal,0211111073474,,,['France'],[],[],,,,,,,,,?,,226,,946 kj(226 kcal),,18,,"6,3",,"1,1",,"0,9",,15,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Banane Cayendish BIOLOGIQUE,2228462010100,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
19,Chocolat,7443011340162,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",['France'],[],[],40 g,en quantité élevée,24 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,?,,560,+1%,2343 kj(560 kcal),+2%,40,+10%,24,+14%,44,-5%,20,-51%,12,+66%,0,-100%,0,-100%,20,-15%,E,-15%,,,,,,,,,,,,,,,,,,,,,,
20,Yogur,8437003152122,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BCAA ZERO - Biotechusa,5999076228973,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Acides aminés ramifiés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Biotechusa'],,,,,,,,,,,,
22,Sirop de coco - Comptoirs et compagnies,70831818,,,['France'],[],[],,,,,,,,,?,,290,,1213 kj(290 kcal),,"0,8",,"0,01",,"72,1",,"72,08",,"0,5",,"0,04",,"0,016",,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,['Comptoirs et compagnies'],,,,,,,,,,,,
23,20773120,20773120,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,
24,Ballantine's finest blended scotch whisky,3047100601147,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Karlsbader oblaten,8594014080070,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,"7,9",,"3,1",,71,,53,,"2,8",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Psyllium Bio Ab 200 Gélules Végétales 410 MG,3760192460736,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
27,Blanche,0634158719677,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Pastis de marseille,3256790824358,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Chorizo à griller à l'Andalouse,0209623032867,,,['France'],[],[],,,,,,,,,?,,231,,967 kj(231 kcal),,17,,"7,1",,2,,"1,4",,18,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Salade piemontaise au jambon - Jean Stalaven,3181580234027,C,"['Plats préparés', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Plats au porc', 'Plats à base de pommes de terre', 'Salades de pommes de terre', 'Salades piémontaises', 'Salades piémontaises au jambon']",['France'],[],[],12 g,en quantité modérée,1.1 g,en faible quantité,1 g,en faible quantité,1.2 g,en quantité modérée,?,,160,+7%,669 kj(160 kcal),+8%,12,+12%,"1,1",+7%,"9,4",+13%,1,+38%,"3,4",-17%,"1,2",+20%,"0,48",+20%,5,+49%,C,+49%,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,,,['Jean Stalaven'],,,,,,,,,,,,
31,160g,8437000199564,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,160 g,,,,,,,,,,,,,
32,Chateau Du Donjon Minervois,3338780000413,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,
33,Miel d'acacia - La Maison du Miel,3540869000034,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,['La Maison du Miel'],,,,,,,,,,,,
34,Melanzane Grigliate,8008500003288,,,['France'],[],[],,,,,,,,,?,,36,,151 kj(36 kcal),,"2,2",,"0,7",,"1,2",,"0,6",,"0,6",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Religieuse au chocolat Leclerc,0249559018375,,,['France'],[],[],,,,,,,,,?,,270,,1130 kj(270 kcal),,18,,"5,7",,23,,14,,"3,7",,"0,42",,"0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Pattes - Poiatti - 1kg,8007066010372,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches']",['France'],[],[],1.4 g,en faible quantité,0.3 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,?,,355,-0%,1485 kj(355 kcal),-1%,"1,4",-30%,"0,3",-32%,73,+5%,3,-4%,11,-12%,0,-100%,0,-100%,-1,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,1 kg,['Poiatti'],['Plastica'],,,,,,,,,,,
37,Maître Coq,0215243025325,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Maître Coq'],,,,,,,,,,,,
38,Makis avocats gusto,0291422028349,,,['France'],[],[],,,,,,,,,?,,122,,510 kj(122 kcal),,"2,96",,"1,42",,"10,66",,"3,7",,"3,97",,"0,49",,"0,196",,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Soufflé aux noisettes,3585730033650,,,['France'],[],[],,,,,,,,,?,,414,,1732 kj(414 kcal),,"15,2",,"1,3",,"60,6",,"50,5",,"6,9",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Rông vàng hoàng gia,8936110890311,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Chorizo de Bellota,3660071009332,,,['France'],[],[],,,,,,,,,?,,462,,1933 kj(462 kcal),,36,,15,,1,,"0,5",,32,,"2,9",,"1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,
42,8414606409792,8414606409792,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,77316981,77316981,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Galette au beurre,3178530416633,,,['France'],[],[],,,,,,,,,?,,513,,2146 kj(513 kcal),,27,,17,,61,,24,,6,,"1,27",,"0,508",,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Château De Brigues Cote De Provence Rosé,26009681,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Guimauves mirabelle - 130g,3760118052182,,,['France'],[],[],,,,,,,,,?,,318,,1331 kj(318 kcal),,"0,067",,"0,067",,"78,7",,"65,6",,"3,73",,0,,0,,,,,,,,,,,,,,130 g,,,,,,,,,,,,,
47,Bonbons,3770003246596,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Baguette farinée,3276558640730,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,75059538,75059538,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Creme de coco,0112656110016,,,['France'],[],[],,,,,,,,,?,,210,,879 kj(210 kcal),,20,,17,,5,,2,,2,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Elderflower & Lime sparkling drink,5060554230020,,,['France'],[],[],,,,,,,,,?,,2,,8 kj(2 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Saucisson,8436548931759,,,['France'],[],[],,,,,,,,,?,,478,,2000 kj(478 kcal),,38,,14,,"3,3",,"2,6",,30,,"4,3",,"1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Filet de canard traité en salaison cuit fumé bio,2448365083371,D,"['Viandes', 'Volailles', 'Canards', 'Filets de canard']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
54,Cassoulet au confit de canard,3512700002910,C,"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats à base de haricots', 'Plats préparés en conserve', 'Plats au canard', 'Cassoulets', 'Cassoulets au confit de canard']",['France'],[],[],15 g,en quantité modérée,4.8 g,en quantité modérée,2 g,en faible quantité,1.2 g,en quantité modérée,?,,175,+15%,732 kj(175 kcal),+15%,15,+94%,"4,8",+70%,"3,2",-59%,2,+179%,12,+14%,"1,2",+34%,"0,48",+34%,11,+571%,D,+571%,66.0%,17.7%,6.2%,5.5%,2.7%,2.0%,72,,,,,,,,,,,,,,,
55,Chabichou du poitou - 150g,3439495901788,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages à pâte molle à croûte naturelle', 'Chabichous du Poitou']",['France'],[],[],24 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,292,-2%,1222 kj(292 kcal),-2%,24,-2%,18,+1%,1,-19%,"0,5",-36%,18,-1%,"1,4",0%,"0,56",0%,14,+2%,D,+2%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,['AOP'],150 g,,,['France'],,,,,,,,,,
56,Rôti de porc cuit,2270495016208,E,"['Viandes', 'Porc', 'Rôtis de porc']",['France'],[],[],6 g,en quantité modérée,2.26 g,en quantité modérée,1.29 g,en faible quantité,1.98 g,en quantité élevée,?,,546,+279%,2284 kj(546 kcal),+283%,6,+19%,"2,26",+8%,"1,29",+58%,"1,29",+106%,"18,26",-18%,"1,98",+15%,"0,792",+15%,16,+124%,D,+124%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,,,
57,Mélange Tandoori - La Vie Claire - 35g,3266191021690,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', ""Mélanges d'épices""]",['France'],"['paprika doux*', 'coriandre*', 'tomate*', 'cumin*', 'ail*', 'cannelle*', 'citron*', 'fenugrec*', 'gigembre*', 'girofle*', 'macis*', 'paprika fort*', ""curcuma*\r*ingrédients agricoles issus de l'Agriculture Biologique""]",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.6%,0.0%,22.5%,15.7%,4.2%,0.0%,86,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'AB Agriculture Biologique']",35 g,['La Vie Claire'],"['Bocal', 'Plastique']",,['La Vie Claire'],1,,,,,,,,
58,Navettes de Provence,0654479230026,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,8033765230094,8033765230094,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,
60,"Fruits confits, pates de fruit - Cruzilles",3339900172485,,,['France'],[],[],,,,,,,,,?,,327,,1368 kj(327 kcal),,"0,2",,"0,2",,80,,71,,"0,8",,"0,15",,"0,06",,,,,,,,,,,,,,,['Cruzilles'],,,,,,,,,,,,
61,Assiette caesar,2023360000013,,,['France'],[],[],,,,,,,,,?,,213,,891 kj(213 kcal),,16,,"3,8",,"3,2",,"0,9",,13,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,
62,8 PETITS PAINS VEGAN,3587904446518,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,313,,1310 kj(313 kcal),,"7,4",,"1,3",,51,,12,,10,,"1,2",,"0,48",,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,
63,Waste not,8410171012986,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,48,,201 kj(48 kcal),,"0,1",,"0,1",,"11,3",,"10,3",,"0,4",,"0,1",,"0,04",,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,
64,Tisane Galactogène,3580255050700,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,
65,Paupiette pure dinde,0276214033725,D,"['Viandes', 'Volailles', 'Dindes']",['France'],[],[],8 g,en quantité modérée,0.3 g,en faible quantité,0.7 g,en faible quantité,1 g,en quantité modérée,?,,156,+16%,653 kj(156 kcal),+16%,8,+145%,"0,3",-68%,"0,7",-81%,"0,7",-18%,"20,9",0%,1,+11%,"0,4",+11%,0,-100%,B,-100%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Halal'],,,,,,,,,,,,,,
66,Triangle aux amandes,2601668010509,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4 brochettes au bœuf,20317461,,,['France'],[],[],,,,,,,,,?,,254,,1063 kj(254 kcal),,20,,"8,5",,"3,3",,1,,14,,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Japanese mochi -  - 152g,4711931012173,,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Mochi']",['France'],[],[],1 g,en faible quantité,1 g,en faible quantité,13 g,en quantité élevée,10 g,en quantité élevée,?,,129,-57%,540 kj(129 kcal),-58%,1,-75%,1,-29%,28,-57%,13,-56%,1,-61%,10,+5456%,4,+5456%,13,+27%,D,+27%,,,,,,,,,152 g,,,,,,,,,,,,,
69,Gummi candy - Trolli,8436036181451,,,['France'],[],[],,,,,,,,,?,,337,,1410 kj(337 kcal),,0,,0,,79,,54,,"3,8",,"0,2",,"0,08",,,,,,,,,,,,,"['en:gluten-free', 'Fabriqué en Espagne']",,['Trolli'],,,,,,,,,,,,
70,Piment fort moulu de cayenne,3352394006548,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Tanoshi crackers japonais,3229820787633,,,['France'],[],[],,,,,,,,,?,,382,,1598 kj(382 kcal),,"5,5",,"1,1",,74,,13,,"8,6",,"1,3",,"0,52",,,,,,,,,,,,,,,['Tanoshi'],,,,,,,,,,,,
72,Chips,2034634402228,,,['France'],[],[],,,,,,,,,?,,525,,2197 kj(525 kcal),,31,,"2,6",,53,,2,,6,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Thé Lester House Earl Grey,8017596051387,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Saint James,3322177301047,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Abricots secs,2600110037002,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",['France'],[],[],0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,0.02 g,en faible quantité,?,,283,+8%,1184 kj(283 kcal),+8%,"0,5",+3%,"0,02",-67%,"62,6",+8%,"53,4",+18%,"3,4",+10%,"0,02",-43%,"0,008",-43%,6,+73%,C,+73%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,,,
76,Spanico olives vertes dénoyautées,3760105568597,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Spanico'],,,,,,,,,,,,
77,Cordons bleus de poulet -,,D,"['Viandes', 'Préparations de viande', 'Volailles', 'Produits panés', 'Poulets', 'Préparations au poulet', 'Cordons bleus', 'Cordons bleus de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,76.4%,12.7%,2.3%,2.9%,1.2%,4.4%,39,,,,,,,,,,,,,,,
78,Chouquettes,2040000009984,,,['France'],[],[],,,,,,,,,?,,302,,1264 kj(302 kcal),,"13,6",,"7,4",,"39,2",,"25,6",,"5,8",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Rillettes artisanales Gorgonzola et noix,3760141325031,,,['France'],[],[],,,,,,,,,?,,451,,1887 kj(451 kcal),,42,,"17,6",,"1,2",,0,,"16,9",,"0,76",,"0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Noix,3367372600274,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Reglette 5 oursons guimauve,3371730028945,,,['France'],[],[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"9,4",,"5,7",,65,,53,,0,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Carrés Anis Pur Beurre,3378490014799,,,['France'],[],[],,,,,,,,,?,,449,,1879 kj(449 kcal),,15,,"9,6",,69,,25,,8,,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Figue bio glacée - 1x 84g,3770008444942,,,['France'],[],[],,,,,,,,,?,,125,,523 kj(125 kcal),,"0,09",,"0,09",,28,,22,,"0,2",,"0,02",,"0,008",,,,,,,,,,,,,['Bio'],1 x 84 g,,,,,,,,,,,,,
84,Bandol vin,3331362555561,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Smoothie framboise - kiwi,0205162019420,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Grenadine,35978565,B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de grenadine']",['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,"78,3",+29%,"77,6",+32%,0,-100%,"0,03",+23%,"0,012",+23%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,"['Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,,,,
87,Coteaux varois en provence,3760125942803,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Taralli  croccanti tradizionali,8026398001513,,,['France'],[],[],,,,,,,,,?,,453,,1895 kj(453 kcal),,"17,1",,3,,"65,2",,"1,2",,9,,"2,6",,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Brown rice rolls,3800233071689,,,['France'],[],[],,,,,,,,,?,,494,,2067 kj(494 kcal),,22,,14,,63,,29,,"7,1",,"0,68",,"0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Bitong original sliced beef,4251097407234,,"['Viandes', 'Bœuf']",['France'],['jack links tm meat snaks biltong original'],[],10 g,en quantité modérée,4 g,en quantité modérée,1.1 g,en faible quantité,5 g,en quantité élevée,?,,299,+67%,1251 kj(299 kcal),+67%,10,+3%,4,+1%,"2,2",+108%,"1,1",+152%,50,+149%,5,+350%,2,+350%,16,+205%,D,+205%,,,,,,,,,,,,,,,,,,,,,,
91,Pains raisins 3 meuniers - Leclerc,3316262000007,,,['France'],[],[],,,,,,,,,?,,292,,1222 kj(292 kcal),,11,,7,,44,,18,,"5,7",,"0,58",,"0,232",,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,
92,Prune Reine Claude Bio,3760002451275,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,
93,Filet de maquereaux fumés au poivre,2429646044281,D,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",['France'],[],[],23.7 g,en quantité élevée,5 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,?,,305,+37%,1276 kj(305 kcal),+38%,"23,7",+45%,5,+36%,2,+85%,"0,5",-6%,"21,1",+29%,"1,2",+8%,"0,48",+8%,12,+93%,D,+93%,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,,,,,,,,,,,,
94,Foie de Lotte au Naturel -,3391690000607,,"['Foies de poissons', 'Foies de lotte']",['France'],"['foie de lotte 99,5%', 'sel']",[],25 g,en quantité élevée,3.8 g,en quantité modérée,1 g,en faible quantité,0.6 g,en quantité modérée,?,,292,-6%,1222 kj(292 kcal),-7%,25,-23%,"3,8",-48%,2,-38%,1,+53%,"13,4",+51%,"0,6",-39%,"0,24",-39%,3,-76%,C,-76%,,,,,,,,,,,,,,3,,,,,,,,
