,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,producer_info
0,Noix de St Jacques - Connétable - 410g,3261950061016,Noix de St Jacques cuisinées en sauce,410 g,"['Conserve', 'Métal']",['Connétable'],"['Produits de la mer', 'Crustacés', 'Mollusques', 'Noix de Saint-Jacques']",['en:produced-in-bretagne'],"['France', 'Bretagne']","['FR 29.046.500 CE', 'Douarnenez (Finistère, France)']",['Carrefour'],['France'],"['Noix de St Jacques 40%', 'eau', 'vin blanc ', 'sulfites', 'beurre', 'farine de blé', 'oignons sel', 'ail', 'poivre', 'arôme naturel']","['Gluten', 'Lait', 'Mollusques', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,5.7 g,en quantité modérée,3.8 g,en quantité modérée,1.4 g,en faible quantité,1 g,en quantité modérée,499,+36%,?,,499 kj(119 kcal),+32%,"5,7",+235%,"3,8",+401%,"7,3",+155%,"1,4",+122%,"9,2",-41%,1,+82%,"0,4",+82%,3,,C,,,,,,,,,,,,,,
1,"Poulpes En Marinade Apéri-tapas Arok,",3261951161036,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,148,,619 kj(148 kcal),,"5,5",,1,,"0,5",,"0,14",,24,,,,,,,,,,,,,,,,,,,,,,
2,Moules à La Galicienne Apéri-tapas Arok,3261951163672,,,,,,['Fabriqué en Espagne'],,,,['France'],[],,[],,,,,,,,,,?,,153,,640 kj(153 kcal),,"6,9",,0,,"6,1",,"1,68",,16,,,,,,,,,,,,,,,,,,,,,,
3,Rillettes De Saumon - Connétable,3261951172063,,,,['Connétable'],"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de saumon', 'en:preparations-made-from-fish-meat']",,,,,['France'],"['saumon ', 'saumon rose du Pacifique et saumon Atlantique', ' ', '59%', 'eau', 'huile de tournesol,jus de citron concentré', 'concentré de tomates', 'protéinesde lait', ' fibres de canne à sucre', 'oignon', 'sel', 'épaississants: farine de graines de caroube et gomme xanthane']",['Poisson'],"['Non végétalien', 'Non végétarien']",4,13 g,en quantité modérée,1.8 g,en quantité modérée,0.8 g,en faible quantité,1 g,en quantité modérée,?,,173,-21%,724 kj(173 kcal),-21%,13,-24%,"1,8",-63%,1,-55%,"0,8",-12%,12,-11%,1,-12%,"0,4",-12%,1,-89%,B,-89%,E,"['E410 - Gomme de caroube', 'E415 - Gomme xanthane']",88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,,,,
4,Poudre de Cèpes Séchés - Cie du Mont-Lozère - 130g e,3262044602825,,130 g e,"['Bocal', 'Plastique']","['Cie du Mont-Lozère', 'Champiland']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Champignons et produits dérivés', 'Aliments à base de plantes séchées', 'Champignons séchés', 'Cèpes déshydratés', 'Champignons en poudre']","['Point Vert', 'Produits destinés aux professionnels']",,,,['France'],"['Poudre de cèpes séchés ', 'Boletus edulis', 'pinicola', 'aereus', 'reticulatus']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2.6 g,en faible quantité,0.4 g,en faible quantité,7.9 g,en quantité modérée,0.03 g,en faible quantité,1226,,?,,1226 kj(293 kcal),-0%,"2,6",-18%,"0,4",+14%,"28,9",+11%,"7,9",-16%,"27,4",-8%,"0,03",-46%,"0,012",-46%,-11,,A,,,,,,,,,,,"['Union européenne', 'Hors Union Européenne']",,,
5,Bordeaux baron Philippe de rothschild 1991,3262151018151,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux']",,,,,['France'],[],,[],,,,,,,,,,?,,1,-88%,4 kj(1 kcal),-88%,2,-9%,1,-6%,2,+83%,2,+184%,2,+111%,2,+501%,"0,8",+501%,,,,,C,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],,,
6,Mouton Cadet  -,3262151251756,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
7,Mouton Cadet,3262151833754,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,120,,502 kj(120 kcal),,1,,1,,1,,1,,15,,2,,"0,8",,,,,,,,,,,,,,,,,,
8,Rôti de Cerf au Vin Rouge - Damien De Jong,3262270001447,,,,['Damien De Jong'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de viande de cerf', 'Rôtis de Cerf']",,,,,['France'],"['• 37,3 % viande de cerf : 2,7 % marinade ', '1,5 % vin rouge de pays du Bérange ', 'sulfites', ""1,2 % mélange d'épices pour gibier "", 'épices', 'carottes', 'aromates ', 'protéine végétale hydrolysée', ' sel', 'huile de tournesol', 'sucre', 'sirop de glucose', 'dextrose', 'exhausteur de goût ', ' glutamate monosodique', 'arômes naturels ', 'ail', 'oignons']",['Anhydride sulfureux et sulfites'],"['Non végétalien', 'Non végétarien']",4,1.1 g,en faible quantité,0.32 g,en faible quantité,0 g,en faible quantité,0.14 g,en faible quantité,?,,103,-36%,431 kj(103 kcal),-35%,"1,1",-85%,"0,32",-87%,"0,1",-99%,0,-100%,"23,4",+148%,"0,14",-85%,"0,056",-85%,-4,-219%,A,-219%,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,
9,Paves de kangourou - Dam,3262270001799,,,,['Dam'],"['Viandes', 'Viandes fraîches', 'Viandes fraîches de kangourou', 'Viande de kangourou']",,,,,['France'],"['9570 viande de kangourou', ' 5% marinade ', 'eau', 'épices', 'sel non iodé', 'dextrose', 'huile végétale non hydrogénée ', 'tournesol', 'sucre', 'assaisonnement liquide ', 'eau', ""extraits d'épices"", 'farine de riz', 'fibre végétale', 'arômes naturels']",,[],4,0.8 g,en faible quantité,0.2 g,en faible quantité,0.3 g,en faible quantité,0.62 g,en quantité modérée,?,,96,+1%,402 kj(96 kcal),+1%,"0,8",-53%,"0,2",-49%,"0,4",-72%,"0,3",-58%,"21,7",+4%,"0,62",-40%,"0,248",-40%,-2,-1902%,A,-1902%,,,,,,,,,,,,,
10,Les Exotiques - DAM - 250g,3262270001812,,250 g,,['DAM'],,,,"['FR 67.084.002 CE', 'Dambach-la-Ville (Bas-Rhin, France)']",,['France'],"[""89% pavé d'autruche traité en salaison et pré-grillé "", ""87% viande d'autruche"", 'eau', 'sel', ""fibres d'agrumes"", 'stabilisant : citrate de sodium', ""correcteurs d'acidité : carbonates de sodium"", ' ', ' 11% marinade mangue agrume ', 'graisse végétale non hydrogénée ', 'colza', 'beurre de cacao', 'huile végétale ', 'colza', 'sel', 'épices', 'poivron', 'marquants de mangue ', 'mangue', 'sucre', 'sucre', 'ail', 'oignons', 'arôme', ""dés d'ananas "", 'ananas', 'sucre', 'extrait de levure', 'plantes aromatiques']",,[],4,,,,,,,,,?,,140,,586 kj(140 kcal),,"4,5",,"1,2",,"0,1",,"0,1",,"24,9",,"1,7",,"0,68",,,,,,,"['E331 - Citrates de sodium', 'E500 - Carbonates de sodium']",,,,,,,,,,,
11,"Rôti de Sanglier - DAM - 1,000kg",3262270465119,Rôti épaule de sanglier congelé,"1,000 kg","['Carton', 'Surgelé', 'Plastique']","['DAM', 'Damien de Jong']","['Viandes', 'Surgelés', 'Viandes surgelées', 'Gibiers', 'Sangliers']",,,"['FR 67.084.002 CE', 'Dambach-la-Ville (Bas-Rhin, France)']",['Intermarché'],['France'],['Rôti de sanglier'],,[],,2.8 g,en faible quantité,,,,,,,494,-1%,?,,494 kj(118 kcal),-15%,"2,8",-52%,,,"0,8",-23%,,,"22,3",+16%,,,,,,,,,,,,,,,,,,,,,
12,2 Pavés de Kangourou - DAM - 250g,3262272196042,2 Pavés de Kangourou surgelés,250 g,"['Carton', 'Plastique', 'boîte', 'surgelé']","['DAM', 'Damien de Jong']","['Viandes', 'Surgelés', 'Viandes surgelées', 'Kangourou']",,,,,['France'],['Kangourou'],,[],,0.8 g,en faible quantité,0.01 g,en faible quantité,0.8 g,en faible quantité,0.09 g,en faible quantité,?,,96,-52%,402 kj(96 kcal),-52%,"< 0,8",-94%,"< 0,01",-100%,"1,1",-30%,"0,8",+75%,"22,8",+31%,"0,09",-84%,"0,036",-84%,-4,-166%,A,-166%,,,,,,,,,,,https://www.damien-de-jong.com/boutique-viande-en-ligne/en/home/8-paves-de-kangourou.html,,
13,Des de Harengs Creme 400G - Simon - 400g,3262330011140,,400 g,,['Simon'],,,,,,['France'],[],,[],,,,,,,,,,?,,218,,912 kj(218 kcal),,18,,"5,5",,"5,7",,3,,"8,1",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,
14,350G Cake Fruit 5 Tranches Pur Beurre - Forchy patissier - 350g,3262350210325,,350 g,,['Forchy patissier'],,,,,,['France'],"['Ycces soia et de fruits à coque', ' ii ', "" ig dg l'embollogc,i"", ' Poids net', 'net weight: 350 g entre omis', 'le Coke fruits - forcllY pâtissier est pcuse idécle pour le dessert ou les petits ', 'toux', ' cl de ses sr', ""eurs souront ravir les p!'J5""]",['Fruits à coque'],[],,,,,,,,,,?,,386,,1615 kj(386 kcal),,14,,"8,3",,59,,38,,"4,7",,"0,29",,"0,116",,,,,,,,,,,,,,,,,,
15,Forchy Christmas Cake,3262350210349,,,,['Forchy'],,,,,,['France'],"['fruits 36,8 % [raisins secs 1 7,6% ', 'dont huie de colza ou tournesol', ' - cerises confites de Provence 1 % ', 'bigarreaux - sirop de glucose - sucre', "" correcteur d'acidité "", 'acide citrique', ' conservateur ', 'sorbote de potassium', ' colorarant ', 'érythrosine', "" - écorces d'oranges confites 3,1 % "", ""écorces d'oranges sirop de glucose-ftuctose - sucre correcteur d'acidité "", 'acide - farine de blé - sucre - œufs frais - beurre pâtissier 101 % - eau - rhum - stabilisant ', 'glycérol', ' - émulsifiants ', ""mono et diglycérides d'acides gros"", ""esters polyglycérol d'acide gros"", ' - lait écrémé en poudre poudfesì lever ', 'diphosphotes', 'carbonates de sodium', ' sel de Guérande - arôme épaississant ', 'gomme xanthane', ' - colorant ', 'carotènes végétaux', "" extrait naturel d'oronge""]","['Œufs', 'Gluten', 'Lait']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,381,,1594 kj(381 kcal),,14,,"8,2",,59,,41,,"4,5",,"0,25",,"0,1",,,,,,,"['E330 - Acide citrique', 'E127 - Érythrosine', 'E422 - Glycérol', 'E415 - Gomme xanthane', 'E160aii - Carotènes végétaux']",,,,,,,,,,,
16,Brownie Pur beurre et sucre de canne -,3262350210394,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,,,,['France'],[],,[],,26.4 g,en quantité élevée,16.7 g,en quantité élevée,37 g,en quantité élevée,0.15 g,en faible quantité,?,,472,+4%,1975 kj(472 kcal),+4%,"26,4",+3%,"16,7",+103%,"51,4",+7%,37,+8%,"7,1",+20%,"0,15",-61%,"0,06",-61%,23,+20%,E,+20%,D,,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,,
17,Cake aux pomme -,3262350210592,,,,,,['Fabriqué en France'],,,,['France'],[],,[],,,,,,,,,,?,,373,,1561 kj(373 kcal),,15,,"7,8",,53,,32,,"4,4",,"0,34",,"0,136",,,,,,,,,,,,,,,,,,
18,Forchy Brownie De Chocolate Con Speculoos,3262350210677,,,,['Forchy'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,,,,['France'],[],,[],,26.8 g,en quantité élevée,8.3 g,en quantité élevée,41.7 g,en quantité élevée,0.58 g,en quantité modérée,?,,480,+6%,2008 kj(480 kcal),+6%,"26,8",+5%,"8,3",+1%,52,+8%,"41,7",+22%,"6,9",+17%,"0,58",+52%,"0,232",+52%,24,+25%,E,+25%,D,,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,,
19,Christmas Brownie - Forchy - 185g,3262350210714,,185 g,"['boîte', 'Carton', 'Plastique']",['Forchy'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",['Fabriqué en France'],,,,['France'],"['Sucre de canne - œufs frais-  beurre pâtissier 15 % - pépites de chocolat 11 % [sucre', 'pâte de cacao', 'émulsifiant ', 'lécithine de soja', ']-chocolat de couverture [sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant ', 'lécithine de _soja', '_]-farine de blé - farine de soja - sirop de glucose - cacao en poudre - stabilisants ', 'sorbitol', 'glycérol', '-décors [sucre', 'matière grasse végétale ', 'huile de palme', 'eau', 'amidon de pomme de terre', 'farine de riz', 'arôme vanille', 'colorants ', 'E171', 'E172', ""gent d'enrobage "", 'E904', '] - poudres à lever ', 'diphosphates', 'carbonates de sodium', '- arôme - sel de Guérande 0,1 %']","['Œufs', 'Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,26 g,en quantité élevée,16.7 g,en quantité élevée,37 g,en quantité élevée,0.38 g,en quantité modérée,?,,472,+4%,1975 kj(472 kcal),+4%,26,+2%,"16,7",+103%,37,-23%,37,+8%,"7,1",+20%,"0,38",-1%,"0,152",-1%,24,+25%,E,+25%,E,"['E322i - Lécithine', 'E420 - Sorbitol', 'E422 - Glycérol', 'E171 - Oxyde de titane', 'E172 - Oxyde et hydroxyde de fer', 'E904 - Gomme-laque', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,http://www.forchy.com/produits/saisonnier/christmas-brownie.html,['Huile de palme'],
20,Brownie - Forchy,3262350210721,,,,['Forchy'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,,,,['France'],[],,[],,26 g,en quantité élevée,8.4 g,en quantité élevée,35 g,en quantité élevée,0.38 g,en quantité modérée,?,,472,+4%,1975 kj(472 kcal),+4%,26,+2%,"8,4",+2%,50,+4%,35,+2%,"7,6",+28%,"0,38",-1%,"0,152",-1%,21,+9%,E,+9%,D,,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,,
21,"Cake Pomme 5Tr 275G Forch, - Forchy",3262350511033,,,,['Forchy'],,['Fabriqué en France'],,,,['France'],"['farine de blé ? œufs frois 18 0% ? morgorine [huiles et graisses végétales ', 'palme colza', "" - émulsifiant : mono et diglycérides diacides gros - correcteur d'acidité : acide citrique] sucre - pommes semRonfites 1 5 % "", 'pommes', 'sirop de glucose - fructose', 'socchorose', ' pépites de pommes 5 % ', 'purée de pomme', 'humectant', 'glycérol', 'fibres de blé', ""réguloteur d'ocidité : ocide citrique"", 'ogent gélifiant : pectine', 'arôme', ' - stabilisants : sorbitol', 'glycérol - émulsifiants ', 'mono et dglycé', ""ides diacides gros ? esters polyglycérol d'acide gros"", ' - lait écrémé en poudre - poudres ù lever : diphosphotes', 'carbonates de soffiltm - sel - arôme noturel de pomme - arôme - époississont : gomme xanthone - colorant : carotènes 3 végétoux', ' Traces de fruits à coque et soja', ' Voleurs nutritionelles moyennes pour 100 g : Énergie 1601 kJ ']",['Gluten'],['Non végétalien'],4,,,,,,,,,?,,382,,1598 kj(382 kcal),,17,,"8,5",,51,,30,,5,,"0,41",,"0,164",,,,,,,"['E330 - Acide citrique', 'E422 - Glycérol', 'E440 - Pectines', 'E420 - Sorbitol', 'E502 - Carbonates', 'E160 - Caroténoïdes']",,,,,,,,,,,
22,Langoustines,3262420160253,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,201,,841 kj(201 kcal),,17,,"9,7",,"1,9",,"0,1",,10,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,
23,Emmental - Valmartin,3262470000707,,,,['Valmartin'],,,,,,['France'],"['Emmcntal râpé fin', ' Fromage a pé:e au pasteurise', ' 29% de dans le produit fu*ii', ' tNGREDtEUTS : lait de 97,371', ' lactiques', 'enzyme tfc CONSERVATION : à • OUVCttUte', ' St']",['Lait'],['Non végétalien'],,,,,,,,,,?,,387,,1619 kj(387 kcal),,29,,19,,2,,"0,5",,29,,"0,7",,"0,28",,,,,,,['E270 - Acide lactique'],,,,,,,,,,,
24,Miel pops,3262470050160,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,380,,1590 kj(380 kcal),,"1,1",,"0,2",,85,,28,,"5,4",,"0,83",,"0,332",,,,,,,,,,,,,,,,,,
25,Fromage Râpé Pizza Et Gratin - Valmartin,3262470051860,,,,['Valmartin'],,,,,,['France'],"[""Vabnartiu DEPUIS 1840 Fromage V,fondantv IId' et gratins""]",,[],,,,,,,,,,?,,279,,1167 kj(279 kcal),,23,,23,,"3,8",,"0,1",,24,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,
26,Lait écrémé -,3262470052225,,,,,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits UHT', 'Laits écrémés']",,,,,['France'],[],,[],,0.3 g,en faible quantité,0.2 g,en faible quantité,5.1 g,en quantité modérée,0.13 g,en faible quantité,?,,38,-44%,159 kj(38 kcal),-48%,"0,3",-25%,"0,2",+10%,"5,1",-49%,"5,1",-48%,"3,6",-42%,"0,13",-28%,"0,052",-28%,-1,,A,,D,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,
27,Fromage rape mix bio - Valmartin - 1kg,3262470053246,,1 kg,,['Valmartin'],,['Bio'],,"['FR 68.223.001 CE', 'Muhlbach-sur-Munster (Haut-Rhin, France)']",,['France'],[],,[],,,,,,,,,,?,,348,,1456 kj(348 kcal),,27,,18,,"1,4",,"0,2",,25,,"0,37",,"0,148",,,,,,,,,,,,,,,,,,
28,Nectar orange mangue - Leader Price,3262720381037,,,,['Leader Price'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mangue']",,,,['Leader Price'],['France'],[],,[],,0.5 g,en faible quantité,0.5 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,?,,46,-12%,192 kj(46 kcal),-12%,"0,5",+184%,"0,5",+2065%,11,-11%,11,-5%,"0,5",+85%,"0,01",-3%,"0,004",-3%,15,-4%,E,-4%,D,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,
29,Gelée extra groseille pays - Royal - 330g,3262720555124,,330g,,['Royal'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,['France'],[],,[],,,,,,,,,,?,,247,,1033 kj(247 kcal),,0,,0,,61,,50,,"0,5",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,
30,Sauce coco curry,3262720555179,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,194,,812 kj(194 kcal),,"8,6",,"4,7",,22,,18,,1,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,
31,Sauce Aubergine Tamarin,3262720555186,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,91,,381 kj(91 kcal),,"4,9",,"0,5",,11,,8,,"1,1",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,
32,Nectar cocktail de fruits - Leader Price,3262723001079,,,,['Leader Price'],,,,,['Leader Price'],['France'],[],,[],,,,,,,,,,?,,47,,197 kj(47 kcal),,"0,5",,"0,5",,11,,11,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
33,Confiture banane - Royal,3262728815091,,,,['Royal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', 'Confitures de bananes']",,,,,['France'],"['Purée de Banane 100% fruits ngrédients : banane sucres derivés de fruits', 'ridifjant : jus de citron :oncentre', 'antioxydant : ICide ascorbique ', 'E333']",,[],,0 g,en faible quantité,0 g,en faible quantité,37 g,en quantité élevée,0 g,en faible quantité,?,,168,-23%,703 kj(168 kcal),-24%,0,-100%,0,-100%,40,-24%,37,-27%,"1,3",+62%,0,-100%,0,-100%,2,-78%,B,-78%,D,['E333 - Citrates de calcium'],75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,
34,Nectar Mandarine - Royal,3262799380160,,,,['Royal'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de mandarine']",,,,,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,,,?,,50,+2%,209 kj(50 kcal),+3%,0,-100%,0,-100%,12,+5%,12,+12%,0,-100%,,,,,,,,,D,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,
35,Le Julo - Casino - 240g (4tranches),3262841055107,Jambon cuit supérieur avec couenne,240g (4 tranches),"['Frais', 'Sous atmosphère protectrice']",['Casino'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Viande Française', 'Viande Porcine Française', 'Point Vert', 'Qualité supérieure']",,"['FR 38.012.001 CE', 'Aoste (Isère, France)', 'EMB 38012', 'Aoste (Isère, France)']",['Casino'],['France'],['Jambon de porc français - sel - sucre - arômes naturels - anti-oxydant : érythorbate de sodium - conservateur : nitrite de sodium'],,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,4.2 g,en quantité modérée,1.5 g,en quantité modérée,0.8 g,en faible quantité,1.6 g,en quantité élevée,529,+5%,?,,529 kj(126 kcal),-3%,"4,2",-12%,"1,5",-18%,1,+49%,"0,8",+34%,21,-0%,"1,6",-14%,"0,64",-14%,4,-43%,C,-43%,C,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['France', 'Porc origine France', 'Viande de porc origine France']",,,
36,Côtes du Rhône - Eclat du Rhône - 3l,3262850030515,,3 l,,['Eclat du Rhône'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],,,
37,Moncigale -  - 75cl,3262850033028,,75 cl,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Provence']",,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,C,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['France'],,,
38,Coteaux d'Aix en Provence 2016 Rosé -,3262850039747,,,"['Bouteille', 'Verre']",,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins rosés', ""Coteaux d'Aix-en-Provence""]",['AOP'],,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,B,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,['France'],,,
39,Boisson à base de vin blanc pêche,3262850040088,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,87,,364 kj(87 kcal),,1,,1,,9,,9,,1,,0,,0,,,,,,,,,,,,,,,,,,
40,Crusti croc,3262850043409,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,547,,2289 kj(547 kcal),,"32,5",,"3,5",,"54,7",,"28,2",,"4,4",,1,,"0,4",,,,,,,,,,,,,,,,,,
41,Olives vertes - Le Brin d'Olivier - 500g,3262880102237,,500 g,,"[""Le Brin d'Olivier""]",,,,,,['France'],[],,[],,,,,,,,,,?,,172,,720 kj(172 kcal),,"17,5",,"2,61",,"4,3",,0,,"1,2",,"3,7",,"1,48",,,,,,,,,,,,,,,,,,
42,Brin O. Olive N.500G - Le Brin d'Olivier,3262880102244,,,,"[""Le Brin d'Olivier""]",,,,,,['France'],[],,[],,,,,,,,,,?,,330,,1381 kj(330 kcal),,"33,6",,"4,29",,"9,5",,1,,"1,8",,"3,75",,"1,5",,,,,,,,,,,,,,,,,,
43,Tapenade - Le Brin d'Olivier,3262880104897,,,,"[""Le Brin d'Olivier""]","['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades']",,,,,['France'],[],,[],,36.7 g,en quantité élevée,3.8 g,en quantité modérée,7 g,en quantité modérée,6 g,en quantité élevée,?,,387,+51%,1619 kj(387 kcal),+51%,"36,7",+48%,"3,8",+13%,"8,8",+190%,7,+1226%,"2,4",+39%,6,+100%,"2,4",+100%,18,+26%,D,+26%,C,,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,
44,Olives Vertes Picholine - Le Brin d'Olivier - 370g (égoutté : 220g),3262880105122,,370 g (égoutté : 220 g),"['Bocal', 'Verre', 'Couvercle', 'Métal']","[""Le Brin d'Olivier""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes']",,,,,['France'],"['Olives ', 'origine Maroc', 'eau', 'sel', 'acide citrique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,22 g,en quantité élevée,3 g,en quantité modérée,0 g,en faible quantité,3.5 g,en quantité élevée,909,+36%,?,,909 kj(217 kcal),+33%,22,+37%,3,+15%,0,-100%,0,-100%,"3,7",+187%,"3,5",+3%,"1,4",+3%,10,-17%,C,-17%,A,['E330 - Acide citrique'],33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,['Maroc'],,,
45,Filets D'anchois à L'huile D'olive Verre 130 g - Belmonte,3262960013019,,,,['Belmonte'],"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]",,,,,['France'],"['Filets sel', "" huile d'olive 40%"", ' ln redients: olive oil 40%']",,[],,10.1 g,en quantité modérée,1.9 g,en quantité modérée,0.3 g,en faible quantité,13.8 g,en quantité élevée,?,,201,-1%,841 kj(201 kcal),-3%,"10,1",-20%,"1,9",-21%,"2,6",+81%,"0,3",+13%,25,+20%,"13,8",+103%,"5,52",+103%,13,+4%,D,+4%,B,,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,
