,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,additives,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,palm_ingredients,producer_info
1901,Pate a tartiner choco noisettes - Perl'Amande,3267110002691,,,,"[""Perl'Amande""]",,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,['France'],[],,[],,,,,,,,,,?,,527,,2205 kj(527 kcal),,32,,"3,5",,"46,3",,"45,4",,"10,7",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
1902,Epicerie / Epicerie Sucrée / Pâtes à Tartiner Bio - Perlamande,3267110002783,,,,['Perlamande'],,"['Bio', 'en:gluten-free', 'Sans lactose']",,,,['France'],"['Matières grasses 42,6 g']",,"[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,,?,,580,,2427 kj(580 kcal),,"42,6",,"12,9",,"38,5",,37,,"6,6",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,
1903,"Pates de fruits abricot, poire, fraise, myrtille - Perlamande - 125g",3267110002882,,125 g,,['Perlamande'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'en:The Vegan Society', 'AB Agriculture Biologique']",,,,['France'],"['pulpe de fruits* 50% ', 'poire William des Hautes Alpes* 49', '5%', 'abricot Orangé de Provence* 25%', 'fraise* 12', '8 %', 'myrtille* 12', '8%', 'sucre*', 'sirop de glucose*', 'gélifiant : pectine', 'arômes naturels*', 'acidifiant : jus de citron*', "" *Ingrédients agricoles issus de l'agriculture biologique"", ' Convient au régime végétarien et végétalien', ' Traces éventuelles de gluten', ' A conserver entre 15 et 250C', ""à l'abri de l'humidité et de la lumière""]",,"['Végétalien', 'Végétarien']",4,0.1 g,en faible quantité,0 g,en faible quantité,72 g,en quantité élevée,0.075 g,en faible quantité,?,,307,-3%,1284 kj(307 kcal),-3%,"0,1",-71%,0,-100%,76,0%,72,+8%,"0,5",-23%,"0,075",-38%,"0,03",-38%,8,-3%,C,-3%,C,['E440 - Pectines'],82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,
1904,Pate De Fruits Myrtille - Perl'Amande,3267110002943,,,,"[""Perl'Amande""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,['France'],[],,[],,0.1 g,en faible quantité,0 g,en faible quantité,72 g,en quantité élevée,0.08 g,en faible quantité,?,,307,-3%,1284 kj(307 kcal),-3%,"0,1",-71%,0,-100%,76,0%,72,+8%,"0,5",-23%,"0,08",-33%,"0,032",-33%,8,-3%,C,-3%,C,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,
1905,Amandes - Vitenforme,3267110003001,,,,['Vitenforme'],,['Sans conservateurs'],,,,['France'],"['Sirop de maltitol', 'Amandes 33%', 'Sans conservateur']",['Fruits à coque'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,,,,,,,,,?,,329,,1377 kj(329 kcal),,"20,2",,"1,6",,"45,8",,2,,"7,6",,"0,01",,"0,004",,,,,,,['E965ii - Sirop de maltitol'],,,,,,,,,,,
1906,Noisettes Tartine douce et légère - Perl'Amande,3267110003018,,,,"[""Perl'Amande""]",,"['Point Vert', 'Sans conservateurs']",,,,['France'],[],,[],,,,,,,,,,?,,306,,1280 kj(306 kcal),,"20,2",,"1,9",,"42,5",,"0,2",,"5,2",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
1907,Sésame douce et légère,3267110003025,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,326,,1364 kj(326 kcal),,"18,9",,"2,5",,"47,8",,"1,5",,"7,6",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,
1908,"Epicerie / Epicerie Sucrée / Barres De Céréales, Fruits - Perl'Amande - 40g",3267110004022,,40 g,,"[""Perl'Amande""]",,"['Bio', 'Végétarien', 'Végétalien', 'Fabriqué en France']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,393,,1644 kj(393 kcal),,"16,6",,"2,6",,"47,9",,"39,1",,"9,2",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,
1909,Barre crue - Perl'Amande - 40g,3267110004046,,40 g,,"[""Perl'Amande""]",,"['Bio', 'Fabriqué en France']",,,,['France'],[],,[],,,,,,,,,,?,,355,,1485 kj(355 kcal),,"9,8",,"1,1",,"56,4",,"47,4",,"7,2",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,
1910,150G Nougat Noir Bio - Perl'Amande - 150g,3267110007993,,150 g,,"[""Perl'Amande""]",,,,,,['France'],[],,[],,,,,,,,,,?,,507,,2121 kj(507 kcal),,"26,5",,"2,1",,"57,2",,"55,2",,"10,1",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,
