,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,manufacturing,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,ingredients_origins,markets,nova_score,additives,link,allergens,generic_name,brand_owner,producer_info,palm_ingredients
465,Lien Ying Chutney à la mangue fruité-épicé - 250g,4013200881504,"['France', 'Allemagne', 'Suisse']","['Sucre', 'mangues ', '46%', 'piment', 'gingembre', 'ail', 'sel', 'acidifiant: acide acétique']",[],928,?,928 kj(222 kcal),"0,3",0,54,53,"0,7","1,7","0,68",250 g,['Lien Ying'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,['E260 - Acide acétique'],,,,,,
466,Cuillère au chocolat - Le Comptoir de Mathilde,3700961305264,['France'],[],[],?,530,2218 kj(530 kcal),31,19,54,47,"7,1","0,18","0,072",,['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Chalet Noel,3800500731094,['France'],[],[],?,337,1410 kj(337 kcal),"0,3","0,3",80,68,"3,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Müllermilch Kokos - Müller,4025500164713,"['République tchèque', 'France']",[],[],?,?,,?,,?,,?,,,,['Müller'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,,,,,,
469,SAUMON FUME BIO ORIGINE IRLANDE,5099305001503,['France'],[],[],?,77,322 kj(77 kcal),"9,8","2,8","0,2","0,1",22,"3,03","1,212",,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,E,9.8 g,en quantité modérée,2.8 g,en quantité modérée,0.1 g,en faible quantité,3.03 g,en quantité élevée,,-58%,-58%,-7%,+36%,-60%,-70%,-0%,+7%,+7%,12,-8%,D,-8%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,['Bio'],,,,,,,,,,,
470,Cardons Lyonnais,3443547268002,['France'],[],[],?,13,54 kj(13 kcal),"0,45","0,02","1,5","0,71","0,69","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Kapern in mediterranem Meersalz - Feinkost Dittmann - 90g,4002239310703,"['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,90 g,['Feinkost Dittmann'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Pickles d'origine végétale"", 'Capres au vinaigre']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",,,,,,,,,,,
472,Wintertraum Erdnuss berge,22119346,['France'],[],[],?,596,2494 kj(596 kcal),43,"13,4","32,5","30,1","17,7","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,
473,Chaource Rouzaire - Lincet - 250g,3423960002414,['France'],[],[],?,?,,?,,?,,?,,,250g,['Lincet'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Chaource']",,D,,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Fresh'],['AOP'],"['FR 89.373.001 CE', 'Saligny (Yonne, France)']",,,,,,,,,,
474,Baguette tradition,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes', 'Pains de tradition française', 'Baguettes de tradition française']",,B,,,,,,,,,,,,,,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,,,
475,Soft Nougat - Marks & Spencer,00519717,['France'],[],[],?,467,1954 kj(467 kcal),"14,7","3,2",76,"54,7","6,7","0,13","0,052",,['Marks & Spencer'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,E,14.7 g,en quantité modérée,3.2 g,en quantité modérée,54.7 g,en quantité élevée,0.13 g,en faible quantité,,+4%,+4%,-11%,+62%,+16%,+1%,-6%,+73%,+73%,18,+12%,D,+12%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
476,Rillettes de porc,3760183400161,['France'],[],[],?,411,1720 kj(411 kcal),"37,7","14,11",2,"0,4",16,"1,57","0,628",,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",,D,37.7 g,en quantité élevée,14.1 g,en quantité élevée,0.4 g,en faible quantité,1.57 g,en quantité élevée,,+4%,+4%,+2%,+0%,+295%,+18%,+1%,+23%,+23%,21,+8%,E,+8%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,
477,Paris,3398984212142,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Barquette'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,
478,Lenticchia dell'Umbria,8013799001778,['France'],[],[],?,280,1172 kj(280 kcal),"1,6",0,"42,6",0,"27,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Assortiment de dattes fourrées -  - 510g,3068230012832,['France'],"[""Dattes fourrées à la pâte d'amande "", 'dattes', ""pâte d'amande "", 'sucre', 'amandes 33%', 'sucre inverti', 'sirop de glucose', 'stabilisant : E420', 'conservateur E202', 'arôme', 'enzyme', 'colorants E120', 'E131', 'E160b', 'E161b', ""boules en pâte d'amandes à la noix de coco "", 'sucre', 'amandes 29%', 'noix de coco râpée', 'sirop de glucose', 'stabilisants E420', 'i', 'E422', 'E1103', 'amandes amères 1,2%', 'colorants : E141', 'i', 'E161b']","['Non végétalien', 'Non végétarien']",?,399,1669 kj(399 kcal),13,"1,2",73,71,"5,5",0,0,510 g,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries aux fruits', 'Dattes fourrées']",,,13 g,en quantité modérée,1.2 g,en faible quantité,71 g,en quantité élevée,0 g,en faible quantité,,-6%,-7%,-28%,-89%,+25%,+41%,+50%,-100%,-100%,13,-40%,D,-40%,,,,,,,,,,"['13208A', 'EMB 13208A', 'Marseille 8e  Arrondissement (Bouches-du-Rhône, France)']",,,4,"['E420 - Sorbitol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition', 'E160b - Rocou', 'E161b - Lutéine', 'E420i - D-glucitol', 'E422 - Glycérol', 'E1103 - Invertase', 'E141i - Complexes cuivriques de chlorophylles']",,['Fruits à coque'],,,,
