,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,categories,manufacturing,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,labels,traceability_code,ingredients_origins,markets,nova_score,additives,link,allergens,generic_name,brand_owner,producer_info,palm_ingredients
0,Abanicos De Chocolate Asinez,8411192081302,['France'],[],[],?,488,2042 kj(488 kcal),24,"20,3","61,1","29,6","5,5","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Beurre Centrale - 200g,6111032002819,"['France', 'Maroc']",[],[],?,?,,?,,?,,?,,,200 g,['Centrale'],['Beurre frais'],['Maroc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Epinards Artichaut pur soup’ - Liebig - 1L,112302617,['France'],[],[],?,?,,?,,?,,?,,,1L,['Liebig'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Silken Tofu - 300g,8888351500019,"['France', 'Allemagne']",[],[],?,46,192 kj(46 kcal),"1,9","0,4","1,5","1,2","5,3",0,0,300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Foie gras - Maison Montfort,3104544071025,['France'],[],[],?,528,2209 kj(528 kcal),54,23,"2,7","2,7","7,6","1,2","0,48",,['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras']",,B,54 g,en quantité élevée,23 g,en quantité élevée,2.7 g,en faible quantité,1.2 g,en quantité modérée,,+4%,+4%,+3%,+3%,+16%,+100%,+9%,-1%,-1%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
5,Saumon les émincés fondant bio - Labeyrie - 220g,3033610076445,['France'],[],[],?,?,,?,,?,,?,,,220 g,['Labeyrie'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],D,,,,,,,,,,,,,,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['Frais', 'Sous vide']","['Bio', 'Bio européen', 'AB Agriculture Biologique']","['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,,,,,,
6,Miel de fleurs des pays de l'ain - Gaec Prevost - 500g,3423570003023,['France'],['Miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,0,0,500g,['Gaec Prevost'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['Villieu'],B,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Pot verre'],,,['Rhône Alpes'],['Carrefour'],2,,,,,,,
7,Haricots blancs au naturel - Ederki,3277510006731,['France'],[],[],?,114,477 kj(114 kcal),"0,3",0,"16,4","0,3","7,3","0,05","0,02",,['Ederki'],['en:Haricots blancs'],,,0.3 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,0.05 g,en faible quantité,,+8%,+7%,-42%,-100%,+21%,-35%,+27%,-90%,-90%,-3,,A,,,,,,,,,,,,,,,,,,,,,
8,Museau de boeuf vinaigrette - Auchan,3254566709359,['France'],[],[],?,150,628 kj(150 kcal),11,"1,3","0,4","0,4",12,"1,8","0,72",,['Auchan'],"['Viandes', 'Préparations de viande']",,,11 g,en quantité modérée,1.3 g,en faible quantité,0.4 g,en faible quantité,1.8 g,en quantité élevée,,-26%,-27%,+4%,-59%,-95%,-67%,-24%,+14%,+14%,4,-48%,C,-48%,,,,,,,,,,,,['Auchan'],,,,,,,,
9,Les ApériGaufres saveur tomate/piment,3588570004828,['France'],[],[],?,486,2033 kj(486 kcal),25,16,52,"6,1",12,"3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Belgid'or,5413216130037,['France'],[],[],?,560,2343 kj(560 kcal),"34,6","20,8","56,7","55,9","4,6","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Salat Mit Surimi & King-krabbe / Salade Au Surim. ..,5413739125015,['France'],[],[],?,?,,?,,?,,?,,,,,['Salades au surimi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Lamelles de poisson fumé,5060374370104,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Milo - Nestlé,9556001255341,['France'],[],[],?,62,259 kj(62 kcal),"1,5","0,8","6,9",5,2,"3,5","1,4",,"['Nestlé', 'Milo']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Chocolat Noir - Tresors De Chefs,3663327001425,['France'],[],[],?,542,2268 kj(542 kcal),"34,5","21,2","47,8","44,9","5,1","0,01","0,004",,['Tresors De Chefs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Gâteaux mamie,0031784924541,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Cassolettes de ravioles aux noix de st-jacques bouillon parfumé - Thiriet,3292590818500,['France'],[],[],?,66,276 kj(66 kcal),"1,7","1,2","6,6","1,3","5,7","0,65","0,26",,['Thiriet'],"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioles', 'Plats aux fruits de mer', 'Plats aux noix de Saint-Jacques']",,,1.7 g,en faible quantité,1.2 g,en faible quantité,1.3 g,en faible quantité,0.65 g,en quantité modérée,,-58%,-56%,-78%,-72%,-48%,-27%,-12%,-18%,-18%,0,-100%,B,-100%,,,,,,,,,,,,['Thiriet'],,,,,,,,
17,Tsarevna - Kusmi Tea,3585810071169,['France'],[],[],?,?,,?,,?,,?,,,,['Kusmi Tea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Miel de Labouiches Chataigners - 500g,3760037020033,['France'],[],[],?,?,,?,,?,,?,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,
19,Sucre glace - Daddy,3165432570204,['France'],[],[],?,400,1674 kj(400 kcal),0,0,100,98,0,0,0,,['Daddy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],,,,,,,,,,,,
20,Boisson de riz - The Bridge - 1l,8019428007401,['France'],"['eau de source', 'riz biologique avec Calcium ', 'sans italien* ', '17%', 'huile de tournesol*', 'huile de carthame*', 'algues marines ', 'Lithothamnium calcareum 0,4%', 'sel marin', '*-biologique,**=sans sucres ajoutés', ' Contient des sucres naturellement présents']","['Végétalien', 'Végétarien']",?,59,247 kj(59 kcal),"1,2","0,2",12,"6,6","0,5","0,1","0,04",1l,['The Bridge'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', 'Boissons au riz', 'Boissons végétales de riz nature']",,E,1.2 g,en faible quantité,0.2 g,en faible quantité,6.6 g,en quantité élevée,0.1 g,en faible quantité,,-2%,+1%,+7%,-0%,+7%,+22%,+64%,+6%,+6%,1,+20%,B,+20%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,['Uht'],"['Végétarien', 'Végétalien', 'Sans sucre ajouté']",,,,3,,,,,,,
21,Girolles,3274612020054,['France'],[],[],?,16,67 kj(16 kcal),"0,8","0,2","0,1",0,0,"0,99","0,396",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Girolles']",,B,0.8 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.99 g,en quantité modérée,,,-77%,-67%,-48%,-98%,-100%,-100%,+314%,+314%,-1,,A,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,,,,,,,,,,,,
22,Huile d olive,5200101807514,['France'],[],[],?,0,0 kj(0 kcal),92,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Roti de porc,2428294048610,['France'],[],[],?,207,866 kj(207 kcal),14,"6,2",2,"0,7",18,"0,68","0,272",,,"['Viandes', 'Porc', 'Rôtis de porc']",,E,14 g,en quantité modérée,6.2 g,en quantité élevée,0.7 g,en faible quantité,0.68 g,en quantité modérée,,+44%,+45%,+178%,+197%,+145%,+12%,-20%,-60%,-60%,11,+54%,D,+54%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,,,,,,,,,,,
24,Bourrache Onagre,3700446419530,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,
25,"Salade, Coeur de Laitue, Cat.1",8424134003058,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Kuchen Meister Pastel De Frutaspq 400.00 GR,41015490,['France'],[],[],?,408,1707 kj(408 kcal),18,"8,5",56,36,"6,2","0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Biscuits - 150g,7112137069454,['France'],[],[],?,544,2276 kj(544 kcal),34,16,47,31,"9,9","0,5","0,2",150 g,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,C,34 g,en quantité élevée,16 g,en quantité élevée,31 g,en quantité élevée,0.5 g,en quantité modérée,,+15%,+14%,+63%,+58%,-27%,+5%,+52%,-15%,-15%,24,+21%,E,+21%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,,
28,Pur jus de pommes,3760101590738,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,C,,,,,,,,,,,,,,,,,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,,
29,Farine de seigle -,5450086135335,['France'],[],[],?,331,1385 kj(331 kcal),"1,2","0,2","67,9",1,"8,1","0,01","0,004",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de seigle']",,B,1.2 g,en faible quantité,0.2 g,en faible quantité,1 g,en faible quantité,0.01 g,en faible quantité,,+1%,+0%,-19%,-9%,+7%,-51%,-9%,-60%,-60%,-1,,A,,61.8%,2.4%,14.7%,15.3%,5.9%,0.0%,95,,,,,,,,,,,,,
30,Canette farcie,3222473354948,['France'],[],[],?,226,946 kj(226 kcal),17,6,"2,3","0,5",16,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3538394612013,3538394612013,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
32,Téguments de psyllium Bio,4260370999496,['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Sans gluten', 'Végétalien']",,,,,,,,,,,
33,Saucisson sec à l'ancienne - Henri Raffin,3375220501550,['France'],[],[],?,382,1598 kj(382 kcal),30,12,3,2,25,"4,5","1,8",,['Henri Raffin'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,D,30 g,en quantité élevée,12 g,en quantité élevée,2 g,en faible quantité,4.5 g,en quantité élevée,,-5%,-5%,-5%,-2%,+35%,+46%,-9%,-4%,-4%,24,0%,E,0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,"['en:gluten-free', 'Fabriqué en France']",,,,,,,,,,,
34,Jus pomme basilic,3770009509077,['France'],[],[],?,44,184 kj(44 kcal),"0,14","0,046",10,"9,6","0,17",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Tartelette fruits,0261041025586,['France'],[],[],?,676,2828 kj(676 kcal),"4,3","2,7",28,17,2,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Confiture Reine Claude - Carrefour - 370g,05532223,['France'],"['Reines-claudes', 'sucre', 'sucre de canne', 'gélifiant', 'pectine de fruits', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique', ' Préparé avec 50g de fruits pour 100g de produit fini', ' Teneur totale en sucre 60g pour 100g de produit fini']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,249,1042 kj(249 kcal),?,,60,,?,,,370 g,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,D,,,,,,,,,,+12%,+12%,,,+12%,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Pôt'],,"['19121', 'EMB 19121', 'Lubersac (Corrèze, France)']",,"['Carrefour Market', 'Carrefour']",4,"['E440 - Pectines', 'E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,,,
37,Panettone glassato uvetta e Mandorla gr900 T - Tre Marie,8004205043031,['France'],[],[],?,381,1594 kj(381 kcal),16,"7,7",52,25,"7,7","0,36","0,144",,['Tre Marie'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,C,16 g,en quantité modérée,7.7 g,en quantité élevée,25 g,en quantité élevée,0.36 g,en quantité modérée,,+2%,+2%,+7%,-14%,+1%,-3%,+13%,-18%,-18%,17,-9%,D,-9%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,
38,Kamut Farfalles demi complètes,8015197054868,['France'],[],[],?,349,1460 kj(349 kcal),"1,7","0,5",67,"4,4",14,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Boeuf bourguignon,2692508045591,['France'],[],[],?,91,381 kj(91 kcal),"2,8","0,9","3,2","1,8",13,"0,7","0,28",,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Ragoûts de boeuf', 'Bœufs bourguignons']",,E,2.8 g,en faible quantité,0.9 g,en faible quantité,1.8 g,en faible quantité,0.7 g,en quantité modérée,,-5%,-4%,-3%,-10%,-45%,+22%,+29%,-13%,-13%,-1,,A,,96.2%,1.8%,0.7%,0.7%,0.4%,0.3%,8,,,"['FR 14.752.010 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,
40,"Poulet d'ici - 0,480kg",3397970108834,['France'],[],[],?,?,,?,,?,,?,,,"0,480 kg",,"['Viandes', 'Volailles', 'Poulets']",,D,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
41,Émincés au naturel - Bonduelle,0335355133036,['France'],[],[],82,?,82 kj(20 kcal),4,1,9,3,22,,,,['Bonduelle'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons en conserve', 'Champignons de Paris en conserve', 'Champignons de Paris émincés en conserve']",,A,4 g,en quantité modérée,1 g,en faible quantité,3 g,en faible quantité,,,+4%,,0%,+1265%,+1773%,+1006%,+775%,+861%,,,,,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,['Conserve'],,,,,,,,,,,,
42,Chili con carne au bœuf,3021690025057,['France'],[],[],?,106,444 kj(106 kcal),"3,9","1,5","8,4","1,3","6,9","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Chocolat confiserie rieglein - Riegelein,4013900978856,['France'],[],[],?,545,2280 kj(545 kcal),32,20,57,57,"5,5","0,25","0,1",,['Riegelein'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Miel de corse,3348450000063,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Yaourt nature,3291330001172,['France'],[],[],?,66,276 kj(66 kcal),"2,7","1,6","4,8","4,8",66,"0,16","0,064",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",,B,2.7 g,en faible quantité,1.6 g,en quantité modérée,4.8 g,en faible quantité,0.16 g,en faible quantité,,-8%,-7%,-25%,-31%,-1%,+8%,+1498%,+33%,+33%,-3,-630%,A,-630%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,,,,,,,,,,
46,Vanille de madagascar en poudre,3234750030872,['France'],[],[],?,399,1669 kj(399 kcal),10,"0,6",71,26,"5,7","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Rilletes de maqueraux aux baies roses,3389090019442,['France'],[],[],?,216,904 kj(216 kcal),17,"8,3","2,6","1,2",13,"0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Fourme ambert fqc,0200499013783,['France'],[],[],?,?,,?,,?,,?,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",,D,,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
49,Complexe Vitalité - Famille Mary,3760115092471,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,['Famille Mary'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Airelles cuisinées,5410533448685,"['Belgique', 'France']",[],[],?,187,782 kj(187 kcal),0,0,"45,6",40,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,,,,
51,Briochette ronde x8 -,,['France'],[],[],?,387,1619 kj(387 kcal),16,"9,3",49,13,"9,5",1,"0,4",,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches']",,C,16 g,en quantité modérée,9.3 g,en quantité élevée,13 g,en quantité élevée,1 g,en quantité modérée,,+6%,+7%,+16%,+22%,-4%,-34%,+27%,+38%,+38%,19,+12%,E,+12%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,
52,Tapenade noire -,3760037520854,['France'],"['olives noires 85%', ""huile d'olive vierge 5%"", 'câpres 3,5%', 'sel', ""pâte d'anchois 2%"", 'acidifiant : acide citrique E330']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,1399,5853 kj(1399 kcal),36,"6,4","3,6","0,6","0,6","3,5","1,4",,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",,C,36 g,en quantité élevée,6.4 g,en quantité élevée,0.6 g,en faible quantité,3.5 g,en quantité élevée,,+409%,+409%,+34%,+82%,+15%,+28%,-66%,+12%,+12%,26,+76%,E,+76%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,3,['E330 - Acide citrique'],,,,,,
53,150g,0010181025051,['France'],[],[],?,?,,?,,?,,?,,,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Mirinda Portocale,5949000505250,['France'],[],[],?,31,130 kj(31 kcal),"0,5",0,"7,8","7,8","0,5","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Mini étoiles et sapins,3248481006440,['France'],[],[],?,308,1289 kj(308 kcal),18,"9,6",29,3,"6,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Consommé de poulet,5425600101554,['France'],[],[],?,38,159 kj(38 kcal),"2,7","0,8",2,"0,2","1,3","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Merguez d'agneau,3181682101357,['France'],[],[],?,132,552 kj(132 kcal),5,"1,6","2,3","1,6",18,"2,01","0,804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Oreo XXL Pack,7622210359711,['France'],[],[],?,474,1983 kj(474 kcal),19,"5,2",68,38,"5,4","0,74","0,296",,['Oreo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Fossier,10851173,['France'],[],[],?,?,,?,,?,,?,,,,['Fossier'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,
60,Maille Dijon Mustard 540G,8712566139385,['France'],[],[],?,150,628 kj(150 kcal),11,"0,6","3,5","1,9",7,"5,7","2,28",,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",,B,11 g,en quantité modérée,0.6 g,en faible quantité,1.9 g,en faible quantité,5.7 g,en quantité élevée,,-6%,-6%,-4%,-22%,-4%,-16%,-3%,-4%,-4%,11,+2%,D,+2%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,
61,Hershey's Milk Chocolate - 45g,0034000240456,['France'],[],[],?,547,2289 kj(547 kcal),"31,4","19,3","55,5","54,4","8,7","0,25","0,1",45 g,"[""Hershey's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Haribo le gelée,8691216094116,"['France', 'Espagne']",[],"['Végétalien', 'Végétarien']",?,341,1427 kj(341 kcal),"0,5","0,1",85,67,"0,5","0,1","0,04",,['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",,E,0.5 g,en faible quantité,0.1 g,en faible quantité,67 g,en quantité élevée,0.1 g,en faible quantité,,-1%,-1%,+25%,-40%,+6%,+16%,-86%,-13%,-13%,14,-1%,D,-1%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,"['Végétarien', 'Végétalien']",,,,,,,,,,,
63,Choco Quinoa,8412170039308,['France'],[],['Sans huile de palme'],?,417,1745 kj(417 kcal),"13,5",2,71,"1,3","7,4","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,
64,Asperge - 200g,3700516001481,['France'],[],[],?,?,,?,,?,,?,,,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Cacahuètes grillées - Cora,3257982142557,['France'],[],[],?,615,2573 kj(615 kcal),"50,4","7,8","10,1","5,6","26,1","1,02","0,408",,['Cora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Cacahuètes grillées']",,D,50.4 g,en quantité élevée,7.8 g,en quantité élevée,5.6 g,en quantité modérée,1.02 g,en quantité modérée,,+1%,+1%,+3%,+9%,-17%,+7%,+1%,+3%,+3%,9,+50%,C,+50%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,,['Cora'],,,,,,,,
66,3760189530060,3760189530060,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Saumon fumé -  - 140g,3760269351004,['France'],[],[],?,178,745 kj(178 kcal),"9,49","2,06","0,91","0,4",22,"3,51","1,404",140 g,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",,D,9.49 g,en quantité modérée,2.06 g,en quantité modérée,0.4 g,en faible quantité,3.51 g,en quantité élevée,,-7%,-6%,-15%,-4%,+84%,+12%,-0%,+21%,+21%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,"['France', 'Normandie']",,,,,,,,,
68,Pop-corn goût sucré - 17.0g,5051882198809,"['France', 'Suisse']",[],[],?,438,1833 kj(438 kcal),14,"1,2","63,4","10,3","8,3","0,03","0,012",17.0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,
69,Poularde Farcie,0208824226969,['France'],[],[],?,215,900 kj(215 kcal),15,"5,2",2,"0,5",17,"0,47","0,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Volaille-francaise']",,,,,,,,,,,
70,Pommes de terre entières épluchées,20930127,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Foie gras de canard entier mi-cuit - Larnaudie,3113010141407,['France'],[],[],?,553,2314 kj(553 kcal),"55,3","22,6",2,"1,9","7,5","1,32","0,528",,['Larnaudie'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,B,55.3 g,en quantité élevée,22.6 g,en quantité élevée,1.9 g,en faible quantité,1.32 g,en quantité modérée,,+5%,+5%,+2%,-3%,-16%,+44%,-0%,+10%,+10%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
72,Aiguillettes de poulet - La Nouvelle Agriculture,0213329015680,['France'],[],[],?,104,435 kj(104 kcal),"1,3","0,4",0,0,23,"0,11","0,044",,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,D,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-17%,-17%,-30%,-16%,-100%,-100%,+1%,-75%,-75%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
