,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,traceability_code,quantity,additives,nova_score,ingredients_origins,manufacturing,markets,packaging,allergens,link,generic_name,palm_ingredients,brand_owner
209,Cabernet Franc Moelleux - Pierre Chanau,3254569852625,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Pierre Chanau'],,,,,,['France'],,['Auchan'],,,,,,
210,Trooper 330ML,5015759004723,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,3538395475006,3538395475006,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,600g,6263078300012,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,600 g,,,,,,,,,,,
213,2 Bratwursts - Quorn - 180g,5019503036992,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande']","['France', 'Irlande']",[],['Végétarien'],15.6 g,en quantité modérée,5.2 g,en quantité élevée,0.8 g,en faible quantité,1.3 g,en quantité modérée,?,,222,+16%,929 kj(222 kcal),+16%,"15,6",+78%,"5,2",+285%,7,-33%,"0,8",-51%,"11,1",-22%,"1,3",+20%,"0,52",+20%,8,+662%,C,+662%,,,,,,,,['Quorn'],"['Végétarien', 'en:Vegetarian Society']",,180g,,,,,['Tesco'],"['Cardboard', 'Plastic']",,,,,
214,Rouge-gorge - Les brasseurs de la honte - 33cl,3770004761142,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières françaises']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Les brasseurs de la honte'],,,33cl,,,,,,,,,,,
215,Spiruline - 72g,7001375007406,E,"['Compléments alimentaires', 'Spiruline']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,['Fabriqué en France'],,72 g,,,,,,,,,,,
216,Poulet Caesar Salad - Betty Bossi - 230g,7610849534029,C,"['Plats préparés', 'Salades', 'Salades composées', 'Salades caesar']","['France', 'Suisse']","['Mélange de salades avec un produit à base de viande de poulet', 'du fromage à pâte dure et des croûtons 175g: mélange de salades 57% ', 'laitue iceberg', 'laitue romaine', 'produit à base de viande de poulet 20% ', 'blanc de poulet [Brésil]', ""préparation d'épices "", 'eau', 'amidons [pomme de terre', 'riz]', 'sel de cuisine iodé', 'miel', 'épices', 'sucre', 'dextrose', ""ex - trait d'épices"", 'fromage à pâte dure 14% ', 'France', 'croûtons 9% ', 'farine de froment', 'huile de colza', 'sel de cuisine', 'épices', 'levure', 'agent de traitement de la farine [E 300]', ' Sauce à salade «Caesar Dressing» 55g: séré maigre ', 'Suisse', 'huile de colza', 'eau', 'vinaigre de vin blanc', 'fromage ', 'grana padano DOP [Italie', ""avec conservateur [E 1105 de blanc d'œuf]]"", 'jus de citron', 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre de table', 'sel de cuisine', 'sucre', "" filets d'anchois à l'huile d'olive "", 'anchois [Engraulis encrasicolus]', ""huile d'olive"", 'sel de cuisine', ""jaune d'œuf "", ""œufs d'élevage en plein air"", 'ail', 'sel de cuisine iodé', 'sucre de canne brut', 'moutarde en poudre', 'condiment ', 'avec soja', 'épaississant ', 'E 415', 'sel de cuisine']","['Non végétalien', 'Non végétarien']",9 g,en quantité modérée,2.5 g,en quantité modérée,1.5 g,en faible quantité,0.9 g,en quantité modérée,614,+23%,147,-4%,614 kj(147 kcal),-1%,9,+7%,"2,5",+12%,"6,1",-32%,"1,5",-18%,10,+20%,"0,9",+22%,"0,36",+22%,0,-100%,B,-100%,78.6%,8.2%,4.8%,5.3%,2.4%,0.7%,67,['Betty Bossi'],['Entrepreneurs + Engagés'],,230 g,"['E300 - Acide ascorbique', 'E1105 - Lysozyme', 'E415 - Gomme xanthane']",4,,,['Coop'],['Barquette'],"['Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde']",,,,
217,Chips de Sarrasin Bio aux herbes de provence 100% blé noir,3244446016172,,['Chips de sarrasin'],['France'],[],[],3.5 g,en quantité modérée,0.8 g,en faible quantité,0.96 g,en faible quantité,1.31 g,en quantité modérée,?,,400,,1674 kj(400 kcal),,"3,5",,"0,8",,"74,1",,"0,96",,"13,6",,"1,309",,"0,524",,4,,C,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
218,Escalope de dinde,2600145011022,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],0.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,?,,105,-13%,439 kj(105 kcal),-13%,"0,5",-62%,"0,5",+24%,"0,5",-83%,"0,5",-35%,25,+9%,"0,1",-82%,"0,04",-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,
219,Iced tea freeway manga,20075118,,"['Boissons', 'Thés glacés']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,5.1 g,en quantité modérée,0.03 g,en faible quantité,?,,21,-5%,88 kj(21 kcal),-4%,0,-100%,0,-100%,"5,2",-1%,"5,1",+1%,0,-100%,"0,03",+7%,"0,012",+7%,7,-4%,D,-4%,,,,,,,,,,,,,,,,,,,,,,
220,Suprêmes,3276170027186,,,['France'],[],[],,,,,,,,,?,,88,,368 kj(88 kcal),,"1,4",,"0,3",,"9,3",,"3,4",,"9,3",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Rouge,3245415781169,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
222,3306380132131,3306380132131,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,beurre doux - La Barrattière - 250g,3278310004040,D,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres doux']",['France'],"['Beurre ', 'LAIT origine UE', ' 82% de Matière grasse']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,['La Barrattière'],['Fabriqué en France'],['F077'],250g,,2,['Union européenne'],['France'],,['Papier'],['Lait'],,,,
224,Almini cream - vincinni - 800,5310115007685,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",['France'],"['crème de cacao 50% ', 'sucre', 'huile de tounesoi e huile végétal hydrogéné ', 'huile de palme et huile de colza', 'poudre de lait écrémé et de poudre de lactosérum doux 9%', 'poudre de cacao 8%', 'émulsifiant: lécithine de soja', ' vaniline', 'arome: noisettes', ' crème de lait 50% ', 'sucre', 'huile de tournesol et huile végétal hydrogéné ', 'huile de palme et huile de colza', 'poudre de lait écrémé et de poudre de lactosérum doux 15 %', 'émulsifiant: lécithine de soja', ' vanilline', 'arôme: lait', ' Peut contenir de traces de noisette', ' Vateur nutritive sur 100g de produit: Calories: 2347kl/563kcai', ' Graisse: 34', '3g', 'Gras saturé: 30', '8g', 'Glucides: 59g', ' Sucres: 56g', ' Fibres: 1', '3g', ' Protéines: 3', '8g', 'Sel: 0', '00g', 'Conservez dans un endroit frais et sec']",[],34.3 g,en quantité élevée,30.8 g,en quantité élevée,56 g,en quantité élevée,0 g,en faible quantité,?,,563,+8%,2356 kj(563 kcal),+8%,"34,3",+7%,"30,8",+280%,59,+17%,56,+28%,"3,8",-39%,0,-100%,0,-100%,27,+32%,E,+32%,,,,,,,,['Vincinni'],,,800,,,,,['petit magasin'],['800g'],,,,,
225,3760036252992,3760036252992,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
