,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,traceability_code,quantity,additives,nova_score,ingredients_origins,manufacturing,markets,packaging,allergens,link,generic_name,palm_ingredients,brand_owner
0,Gazpacho original,3168930848998,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",['France'],[],[],2.6 g,en faible quantité,0.4 g,en faible quantité,3.1 g,en faible quantité,0.66 g,en quantité modérée,?,,46,+12%,192 kj(46 kcal),+11%,"2,6",+6%,"0,4",+4%,"3,9",+16%,"3,1",+22%,"0,9",+14%,"0,66",-1%,"0,264",-1%,2,+68%,B,+68%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,,,,,,,,,,,,,,
1,Oasis sorbet,3251513954008,,,['France'],[],[],,,,,,,,,?,,110,,460 kj(110 kcal),,"0,5",,"0,1",,"27,2",,"21,9",,"0,5",,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Echalotte longue,3000025044680,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Whole fuel - MyProtein,5055936868977,,,"['France', 'Espagne']",[],[],,,,,,,,,?,,425,,1778 kj(425 kcal),,13,,"1,9",,42,,"0,9",,30,,"0,7",,"0,28",,,,,,,,,,,,,['MyProtein'],,,,,,,,,,,,,,
4,"Eau Szentkiraly 1, 5l",5999881783650,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Les saucisses de poulet nourri aux graines de lin - Maître Coq,3230890002106,,,['France'],[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,"9,2",,"2,3",,"1,3",,0,,16,,"1,3",,"0,52",,,,,,,,,,,,,['Maître Coq'],,,,,,,,,,,,,,
6,Roule ma fraicheur! Taboulé libanais Menthe Concombre,3700365097826,,,['France'],[],[],,,,,,,,,?,,214,,895 kj(214 kcal),,"8,4",,"2,3",,"28,9",,3,,"4,9",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Farine de sarrasin,3422801000107,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de sarrasin']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,,,,,,,,,,,,,,
8,India 10 - Jacobs,8711000429969,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Jacobs'],['Fabriqué en France'],,,,,,,,,,,,,
9,Paté en croute richelieu supérieur,3287360736948,,,['France'],[],[],,,,,,,,,?,,268,,1121 kj(268 kcal),,17,,"6,8",,15,,"0,9",,13,,"1,7",,"0,68",,,,,,,,,,,,,,,"['FR 39.475.003 CE', 'Saint-Amour (Jura, France)']",,,,,,,,,,,,
10,Les Milanaises du Chef au poivre - Père Dodu,0227081025450,D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",['France'],[],[],1.8 g,en faible quantité,0.6 g,en faible quantité,1.9 g,en faible quantité,1.4 g,en quantité modérée,?,,123,-7%,515 kj(123 kcal),-6%,"1,8",+15%,"0,6",+13%,"5,1",-26%,"1,9",+3%,20,-6%,"1,4",+55%,"0,56",+55%,2,+191%,B,+191%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Père Dodu'],,,,,,,,,,,,,,
11,Bloc de fois gras de canard du Sud-Ouest mi-cuit - Larnaudie - 300g,3113010146792,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras', 'Foies gras mi-cuits']",['France'],"['Foie gras de canard', 'eau', 'sel', 'Armagnac', 'poivre', 'sucre', 'antioxydant: acide ascorbique ', 'E300', 'conservateur: nitrite de sodium ', 'E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",51.3 g,en quantité élevée,23 g,en quantité élevée,1.8 g,en faible quantité,1.2 g,en quantité modérée,2024,-7%,481,-8%,2024 kj(481 kcal),-8%,"51,3",-5%,23,-1%,2,-15%,"1,8",+13%,"5,4",-22%,"1,2",+3%,"0,48",+3%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Larnaudie'],,"['FR 46.102.004 CE', 'Figeac (Lot, France)']",300 g,"['E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",3,,,,,,,,,
12,Côtes du Rhône les aphillanthes,3770007531063,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,['France'],,,,,,,,
13,Ail blanc 3 têtes - Le Geste Saveur,3363297329542,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,['Le Geste Saveur'],,,3 têtes,,,['France'],['France'],['Auchan'],,,,,,
14,Ratatouille,3250392653682,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
15,"Toasted Sesame Woke Oil, 250ml",5400113012306,,,['France'],[],[],,,,,,,,,?,,828,,3464 kj(828 kcal),,82,,"13,4",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Topinap blond - Dawn - 1kg,3215450013457,,"['Aides culinaires', 'Nappages']",['France'],[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,24.9 g,en quantité élevée,0.17 g,en faible quantité,?,,228,-18%,954 kj(228 kcal),-20%,"0,1",-96%,"0,1",-93%,"56,6",-10%,"24,9",-51%,"0,1",-91%,"0,17",+35%,"0,068",+35%,7,-47%,C,-47%,,,,,,,,['Dawn'],,,1 kg,,,,,,,,,,,
17,Spectro Energy - 60 Capsules Végétales - Solaray,0076280890990,,"['Compléments alimentaires', 'Vitamines']",['France'],[],[],,,,,,,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,,,,,,['Solaray'],,,60 capsules,,,,,,,,,,,
18,"Açai, la baie prodigieuse",3770009487368,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,"1,2",,"0,9",,"6,5",,"5,8",,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Croissant au tournesol x5 - Auchan,2030500377768,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,['Auchan'],,,,,,
20,Mini palets amandes,3488433130278,,,['France'],[],[],,,,,,,,,?,,573,,2397 kj(573 kcal),,37,,17,,49,,30,,"10,6",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,pur arabica saveur choco vanille - cora - 70g,3257984144184,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Senseo']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Cora'],,['67482A'],70g,,,,['Marne-la-vallée'],['Cora'],['sous atmosphère protectrice'],,,,,
22,3L Sauce Barbecue Colona,5410803809116,B,"['Epicerie', 'Sauces', 'Sauces barbecue']",['France'],[],[],0.1 g,en faible quantité,0 g,en faible quantité,23.5 g,en quantité élevée,3.9 g,en quantité élevée,?,,111,-29%,464 kj(111 kcal),-30%,"0,1",-90%,0,-100%,24,-23%,"23,5",-10%,"1,1",+23%,"3,9",+93%,"1,56",+93%,16,+10%,D,+10%,42.3%,24.8%,16.7%,9.7%,5.1%,1.3%,92,['Colona'],,,,,,,,,,,,,,
23,Beaufort,2572471009953,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Beaufort']",['France'],[],[],32.2 g,en quantité élevée,21.4 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,396,-1%,1657 kj(396 kcal),-1%,"32,2",+0%,"21,4",+4%,0,-100%,0,-100%,"26,6",+0%,"1,1",-4%,"0,44",-4%,13,-6%,D,-6%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,"['FR 73.034.001 CE', 'Beaufort (Savoie, France)']",,,,,,,,,,,,
24,Gommes Bio Mességué,3563210016973,,,['France'],[],[],,,,,,,,,?,,302,,1264 kj(302 kcal),,"0,1",,"0,01",,"59,3",,"49,6",,"1,2",,"0,03",,"0,012",,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,
25,Ergymag - Nutergia,3664524000112,,,['France'],"['Citrate et bisglycinate de magnésium', 'magnésium marin ', 'oxyde de magnésium', 'carbonate de magnésium', 'gluconate de zinc', 'vitamines B1', '82', 'B3', 'B5', 'B6 et B8', 'antiagglomérants: stéarate de magnésium végétal et phosphate de calcium', ' Gélule: gélatine de poisson', ' 45 gélules']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Nutergia'],,,,"['E330 - Acide citrique', 'E572 - Stéarate de magnésium', 'E428 - Gélatine']",4,,,,,,,,,
26,Miel de fleurs de Provence - Miels Chailan,3226730002658,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français', 'Miels de Provence']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Miels Chailan'],['IGP'],,,,,"['France', 'Provence']",,,,,,,,
27,Dattes Deglet Nour Bio 250g-philia,3520831330734,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes', 'Dattes Deglet Nour']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,['Bio'],,,,,,,,,,,,,
28,Pain au lait aux pépites de chocolat - Ma Boule'Ange - 350g,3279840006177,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],"['Farine de blé', 'pépites de chocolat 15% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de tournesol', 'arôme', 'eau', 'sucre', 'œufs frais issus de poules élevées en plein air', 'huile de colza', 'fibre de blé', 'levure', 'poudre de lait entier 1,0%', 'sel', 'émulsifiants ', ""mono - et diglycérides d'acides gras"", 'agent de traitement de la farine acide ascorbique', 'gluten de blé', 'arômes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",12 g,en quantité modérée,3.7 g,en quantité modérée,16 g,en quantité élevée,0.77 g,en quantité modérée,?,,352,-11%,1473 kj(352 kcal),-11%,12,-45%,"3,7",-72%,57,+35%,16,+33%,"7,8",+9%,"0,77",-15%,"0,308",-15%,13,-34%,D,-34%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,"[""Ma Boule'Ange""]",,,350 g,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']",4,,,,['sachet plastique'],"['Œufs', 'Gluten']",,,,
29,Nestlé Baby Yogo Banane,4005500029489,,,['France'],[],[],,,,,,,,,?,,108,,452 kj(108 kcal),,"3,4",,"2,2",,16,,10,,3,,"0,09",,"0,036",,,,,,,,,,,,,['Nestlé'],"['en:gluten-free', 'Sans colorants']",,,,,,,,,,,,,
30,Volvic Grüntee & Minze,3057640451133,,,['France'],[],[],,,,,,,,,?,,21,,88 kj(21 kcal),,0,,0,,"4,9",,"4,9",,0,,"0,01",,"0,004",,,,,,,,,,,,,['Volvic'],,,,,,,,,,,,,,
31,Finest Bakery Speculaas Spiced Biscuits - 15.8oz,8710445017342,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Aperol,3908230130702,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Eau de source de montagne - 6 x 50 cl UNITÉ - Marque Repère - 3000g,3564700370957,,,['France'],"['Résidu sec à 180°C : 74mg/l - ph 7,5']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Marque Repère', 'Laqueuille']",,,3000 g,,,,,['Leclerc'],,,,,,
34,Eau de source de montagne - Marque Repère - 6x 1l,3564700463956,,,['France'],"['Résidu sec à 180°C : 74 mg/l - pH : 7,5']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Marque Repère', 'Laqueuille']",,,6 x 1 l,,,,,['Leclerc'],,,,,,
35,"Pomme de terre bio - FERME DE LA MOTTE - 1,5kg",3700444404095,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Pommes de terre', 'de:Cat. II']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,['FERME DE LA MOTTE'],"['Bio', 'de:AB Biologiwue']",['CNIPT:OP48949'],"1,5 kg",,,['Pays-Bas'],,,['Netz'],,,,,
36,Délices Soufflés BIO Nature - Ecochard - 4x80g,3153573000124,,"['Plats préparés', 'Quenelles']",['France'],"['ŒUFS*', 'farine de BLÉ*', 'eau', 'huile de colza*', 'blancs d’ŒUFS*', 'sel', 'arôme naturel ', ""*issues de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",13 g,en quantité modérée,3.4 g,en quantité modérée,1.4 g,en faible quantité,1 g,en quantité modérée,?,,219,+9%,916 kj(219 kcal),+10%,13,+2%,"3,4",-29%,17,+25%,"1,4",+76%,"7,4",+11%,1,-4%,"0,4",-4%,3,-64%,C,-64%,,,,,,,,['Ecochard'],"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']","['FR 69.273.004 CE', 'Corbas (Rhône, France)']",4x80g,,4,,['Corbas'],,['Frais'],"['Œufs', 'Gluten']",https://www.ecochard.com/,,,
37,Formule Eclat - Daco Bello,3270720017160,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",['France'],[],[],21 g,en quantité élevée,1.8 g,en quantité modérée,43 g,en quantité élevée,0.2 g,en faible quantité,?,,434,+29%,1816 kj(434 kcal),+29%,21,+204%,"1,8",-20%,46,-21%,43,-1%,"9,5",+131%,"0,2",+128%,"0,08",+128%,0,-100%,B,-100%,,,,,,,,['Daco Bello'],,,,,,,,,,,,,,
38,Porridge to go - Quaker,5000108763291,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['Autriche', 'France']",[],[],7.1 g,en quantité modérée,0.9 g,en faible quantité,20 g,en quantité élevée,0.7 g,en quantité modérée,?,,393,-2%,1644 kj(393 kcal),-2%,"7,1",-18%,"0,9",-59%,73,+9%,20,+20%,"5,9",-37%,"0,7",+96%,"0,28",+96%,11,+104%,D,+104%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['Quaker'],,,,,,,,,['stück'],,,,,
39,Mini fougasse aux olives,3276552897031,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses', 'Fougasses aux olives']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,,,,,,,,,,,,,
40,Meteor Printemps,3156140742151,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bière ambrée bio - Coreff - 25cl,3425230000878,,"['Boissons', 'Boissons alcoolisées']",['France'],"['Water', 'Organic barley malt', 'Organic hops', 'Yeast BRASSERIE COREFF - 2 place de la gare 29270 Carhaix 02 98 93 00 70 www', 'brasserie-coreff', ""com Produit issu de l'agriculture biologique"", ' Certifié par FR-BIO-10 Ta']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Coreff'],"['Bio', 'Bio européen', 'FR-BIO-10']",,25 cl,,,,,['Biocoop'],['6'],,,,,
42,Zitronen sablés - Alnatura,4104420209527,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,530,,2218 kj(530 kcal),,28,,14,,62,,19,,"6,5",,"0,26",,"0,104",,,,,,,,,,,,,['Alnatura'],"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,
43,Pâté croûte poulet chorizo,3287360760752,,,['France'],[],[],,,,,,,,,?,,253,,1059 kj(253 kcal),,13,,"6,6",,21,,"1,2",,13,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Yaourt crémeux,8034066301001,,,['France'],[],[],,,,,,,,,?,,73,,305 kj(73 kcal),,"4,2",,"2,5",,"4,1",,"4,1",,4,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Adianis,26011585,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Koh Thaï Satay curry to go,8717662261640,,,['France'],[],[],,,,,,,,,?,,212,,887 kj(212 kcal),,"10,4",,"3,6",,"26,9",,"6,2",,"3,4",,"0,5",,"0,2",,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,
47,Olive nere,20969820,,,['France'],[],[],,,,,,,,,?,,331,,1385 kj(331 kcal),,30,,"3,9",,"4,5",,1,,"2,1",,"6,5",,"2,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Istad 2.5L,50342237188689,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Sucre complet MUSCOVADO,3700252610480,,,['France'],[],[],,,,,,,,,?,,384,,1607 kj(384 kcal),,0,,0,,98,,85,,"0,5",,"0,07",,"0,028",,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
50,Bière,3770001887340,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,
51,Quality - Transgourmet,3554983014129,,,['France'],[],[],,,,,,,,,?,,25,,105 kj(25 kcal),,0,,0,,"6,2",,"4,9",,0,,0,,0,,,,,,,,,,,,,['Transgourmet'],,,,,,,,,,,,,,
52,Baguette ficelle céréales bio - Roger,3273670003283,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,429,,1795 kj(429 kcal),,10,,5,,70,,2,,12,,2,,"0,8",,,,,,,,,,,,,['Roger'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Fabriqué en France']",,,,,,,,,,,,,
53,Muesli crousti choco amande - Biocoop,0201189007877,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Biocoop'],['Bio'],,,,,,,,,,,,,
54,agar-agar - Lima - 20*2g,5411788047029,,,['France'],"['Agar-Agar* ', ""*=issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,188,,787 kj(188 kcal),,"0,1",,0,,"4,2",,,,1,,,,,,,,,,,,,,,,,['Lima'],"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'BE-BIO-01', 'AB Agriculture Biologique']",,20*2g,['E406 - Agar-agar'],4,,,,"['Carton', 'papier']",,,,,
55,Fît nés énergie nutritive - Nestlé - 375,38739132,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales au chocolat']",['France'],[],[],7.5 g,en quantité modérée,4.3 g,en quantité modérée,20 g,en quantité élevée,0.8 g,en quantité modérée,?,,399,-5%,1669 kj(399 kcal),-5%,"7,5",-26%,"4,3",+34%,71,+0%,20,-20%,"8,5",+7%,"0,8",+58%,"0,32",+58%,10,0%,C,0%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['Nestlé'],,,375,,,,,,,,,,,
56,The vert epices - La Vie Claire,3266191018188,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['La Vie Claire'],,,,,,,,,,,,,,
57,Sauce cuisinée trois fromages - Giraudet,3100080055048,,,['France'],[],[],,,,,,,,,?,,110,,460 kj(110 kcal),,"6,9",,"4,3",,"6,6",,"3,6",,"5,9",,"1,1",,"0,44",,,,,,,,,,,,,['Giraudet'],,,,,,,,,,,,,,
58,"Jean Bouchard, Chassagne",3296313122004,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Disolvant douceur nail - Byphase - 250ml,8436097092703,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Byphase'],,,250ml,,,,,,,,,,,
60,Gourmet Mostaza. - Hellmann's - 190g,8711200414864,,"['Epicerie', 'Condiments']",['France'],"['en 49 Grasas de las cuales saturadas 14 13 1,2 2,3 1', '8 de un adu Hidratos de carbono de los cuales azúcares Fibra alimentaria Proteinas Sal 0 de la ingesta de refere 1 ración = 15g Ro ración ', '12 raciones por envase 15 gl Ingredientes: aceite de nabNga,']",[],49 g,en quantité élevée,4 g,en quantité modérée,13 g,en quantité élevée,1.8 g,en quantité élevée,?,,506,+261%,2117 kj(506 kcal),+253%,49,+725%,4,+530%,14,+7%,13,+90%,"2,3",-46%,"1,8",-68%,"0,72",-68%,18,+78%,D,+78%,,,,,,,,"[""Hellmann's""]",,,190 g,,,,,['Noz'],,,,,,
61,Snakes - The Natural Confection Company,9310434004415,,,"['Australie', 'France']","['glucose syrup ', 'from wheat and corn', 'cane sugar', 'water', 'thickener ', 'acid modified wheat starch', 'resistant maltodextrin', 'gelatine', 'food acid ', 'citric', 'fruit juice concentrate', 'natural flavours', 'natural food colours ', 'grape skin extract', 'anthocyanins', 'black carrot', 'spirulina', 'paprika oleoresin', 'turmeric', 'glazing agentis ', 'vegetable oil', 'carnauba wax', ' allergen statement: contains wheat']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,334.609985,,1400 kj(334 kcal),,1,,1,,"75,9",,"31,5",,"3,6",,"0,033",,"0,013",,,,,,,,,,,,,['The Natural Confection Company'],,,,"['E428 - Gélatine', 'E163 - Anthocyanes', 'E160c - Extrait de paprika', 'E903 - Cire de carnauba']",4,,,['Woolworths'],,['Gluten'],,,,
62,Œufs de poules élevées en plein air,3540060000079,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Tavel rosé A.O.C. 2017 - Marque Repère - 75cl,3564700783481,,,['France'],['Contient des sulfites'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Marque Repère', 'Rives et Terrasses']",,,75 cl,,,,,['Leclerc'],,['Anhydride sulfureux et sulfites'],,,,
64,Le pigray - Tommette au lait cru bio - Fromagerie d'Entrammes - 250g,3760205423239,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Produits de montagne', 'Fromages de montagne', 'Tommes']",['France'],"[""Lait cru entier Bio d'origine FRANCE"", 'Poivre noir concassé bio', 'ferments', ' Présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",31.1 g,en quantité élevée,19.7 g,en quantité élevée,0.1 g,en faible quantité,1 g,en quantité modérée,?,,373,+3%,1561 kj(373 kcal),+3%,"31,1",+5%,"19,7",-2%,"2,5",+112%,"0,1",-67%,"20,8",-8%,1,-38%,"0,4",-38%,13,-16%,D,-16%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"[""Fromagerie d'Entrammes""]","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']","['FR 53.094.002 CE', 'Entrammes (Mayenne, France)']",250 g,,3,['France'],,,"['Plastique', 'Réfrigéré']",['Lait'],,,,
65,Plantus Thym Romarin Sauge -,3770012945015,,,['France'],[],[],,,,,,,,,0,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Pasta Di Gragnano I.G.P - Afeltra - 500g,8033140533628,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",['France'],[],[],1 g,en faible quantité,0.2 g,en faible quantité,3 g,en faible quantité,0.022 g,en faible quantité,?,,351,+6%,1469 kj(351 kcal),+6%,1,-61%,"0,2",-71%,71,+15%,3,+8%,13,+12%,"0,022",-90%,"0,009",-90%,-4,,A,,,,,,,,,['Afeltra'],,,500 g,,,,,,['Packet'],,,,,
