,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,brand,categories,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,packaging,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,traceability_code,brand_owner,generic_name,link,palm_ingredients
1616,Filet de hoki - 6x 100g,3492500035922,['France'],[],[],?,177,6,"13,9","16,5",6 x 100 g,,,,,,,,,,"0,56",,"0,224",,741 kj(177 kcal),"0,6","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.094.004 CE', 'Kervignac (Morbihan, France)']",,,,
1617,"Pacific Gold Original Beef Jerky,2-8oz Bags",0070411576937,['France'],[],[],?,70,"0,5",8,10,,,,,,,,,,,"0,51",,"0,204",,293 kj(70 kcal),0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,English breakfast tea,5013111001960,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,Pontiane,3770005144067,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,panisse provençale aux volets et cepes - bonini - 500g,56104448,['France'],['paniSSE PROVENCALE YBOLETS et CEPES Du Pire BONINI 08 30'],[],475,?,"2,1",15,"6,9",500g,['Bonini'],['8'],1.7 g,en quantité élevée,,,,,,"1,7",,"0,68",,475 kj(114 kcal),"0,3","1,2",['sous vide'],,,,,,2.1 g,en faible quantité,0.3 g,en faible quantité,1.2 g,en faible quantité,4,C,,,,,,,,,,,,,,,,,,,,
1621,Sushi Yedo Lidl,4056489139812,['France'],[],[],?,170,"6,1",23,"5,3",,,,,,,,,,,"1,8",,"0,72",,711 kj(170 kcal),"1,7","7,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,0217204055365,0217204055365,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,Rinder Fond - Escoffier Culinaire - 400ml,4058700731058,"['France', 'Allemagne']",[],[],?,7,"0,1","0,4",1,400ml,"['Escoffier Culinaire', 'Escoffier']","['Epicerie', 'Bouillons', 'Bouillons de bœuf']",,,,-94%,-98%,-97%,-79%,,,,,29 kj(7 kcal),,"0,1",['Glas'],,,,,,0.1 g,en faible quantité,,,0.1 g,en faible quantité,,,,,,,,,,,,,-94%,,-97%,,,,,,,
1624,8032595590958,8032595590958,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,Jambon à l'ancienne,2252519028534,['France'],[],[],?,123,"3,1","0,5",23,,,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",2 g,en quantité élevée,,-19%,-50%,+1%,+3%,2,+3%,"0,8",+3%,515 kj(123 kcal),"1,4","0,5",,,,,,,3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,5,C,E,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,-19%,-42%,+3%,-49%,-49%,,,,,
1626,Sirop d'érable biologique,0855414001040,['France'],[],[],?,210,0,53,0,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",0 g,en faible quantité,,-23%,-100%,-23%,-100%,0,-100%,0,-100%,879 kj(210 kcal),0,50,,,,,,,0 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,12,D,,,,,,,,,['Bio'],,-23%,-100%,-18%,-9%,-9%,,,,,
1627,Ajo-Perejil sazonador - Dani,8410721000661,['France'],[],[],?,0,?,?,?,,['Dani'],,,,,,,,,0,,0,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,La raiponce des Lanchettes - Gong - 400g,3770009397216,['France'],"['Semoule de blé dur demi-complet blé tendre* Farine de sarrasin*', 'Eau', ""Jus d'orties""]",[],?,?,?,?,?,400 g,['Gong'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de sarrasin']",,,,,,,,,,,,,,,['Paquet'],['Savoie'],['Biocoop'],,,1,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-15', 'AB Agriculture Biologique']",,,,,,,,,,,
1629,3760042920106,3760042920106,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,Crème brûlée - Altiflore,3598050000585,['France'],[],[],?,211,11,25,"3,6",,['Altiflore'],,,,,,,,,"0,17",,"0,068",,883 kj(211 kcal),7,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,Comté,2103797002467,['France'],[],[],?,412,34,"0,5",27,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",0.7 g,en quantité modérée,,-2%,-2%,+8%,+0%,"0,7",-16%,"0,28",-16%,1724 kj(412 kcal),22,0,,,,,,,34 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,13,D,C,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio', 'Bio européen', 'FR-BIO-01', 'AOP']",,-1%,-3%,-100%,0%,0%,,,,,
1632,Toro,7037610231411,['France'],[],[],?,?,?,?,?,,['Toro'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,Pommes frites,3539341500018,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,Reiswaffeln,4304218716194,['France'],[],[],?,387,3,81,"7,8",,,,,,,,,,,"0,3",,"0,12",,1619 kj(387 kcal),"0,6","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,"LIMDOR - 1,5kg",33466100055120,['France'],[],[],?,?,?,?,?,"1,5 kg",['LIMDOR'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Pommes', 'Fruits frais', 'Pommes fraîches']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,61.7%,0.0%,0.0%,19.0%,18.4%,0.9%,99,,,,,,,,,,,,
1636,Crème fraîche - Le petit Trôo - 50cl,13233358,['France'],"['crème issue de lait de vache collecté en France dans le canton de Montoire sur le Loir', 'ferments lactiques', ' Conservation à +6°C maxi']",[],?,?,?,?,?,50 cl,['Le petit Trôo'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches']",,,,,,,,,,,,,,,,['Loir et Cher'],,,['Lait'],,,,,,,,,,B,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,['France'],,,,,,,,,,
