,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,traceability_code,allergens,nova_score,generic_name,packaging,additives,palm_ingredients,manufacturing,brand_owner,ingredients_origins,link,producer_info
355,Weißes Trüffelöl - 250ml,8027355003434,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,250 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Flasche'],,,,,,,
356,Piment d espelette,3258156576819,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Rotweinessig - 250ml,8411211777025,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,250 ml,B,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",,,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,['Flasche'],,,,,,,
358,Orangettes - Max Vauché - 150g,3760268910196,['Max Vauché'],['France'],"[""70 % écorces d'oranges confites "", ""écorces d'oranges"", 'sirop de glucose-fructose', 'saccharose', 'dextrose', ""correcteur d'acidité : acide citrique E330"", '29% chocolat de couverture noir ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', 'vanille', '1% poudre de cacao alcalinisée']",[],1741,?,1741 kj(416 kcal),15,9,65,47,"3,5","0,07","0,028",150 g,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Confiseries aux fruits', 'Fruits enrobés de chocolat', 'Orangettes']",,15 g,en quantité modérée,9 g,en quantité élevée,47 g,en quantité élevée,0.07 g,en faible quantité,+1%,,-3%,-17%,-19%,+9%,-7%,-2%,+72%,+72%,21,-5%,E,-5%,,,,,,,,['Leclerc'],,['Soja'],4,,"['Sachet', 'Plastique']","['E330 - Acide citrique', 'E322i - Lécithine']",,"['41250', 'Bracieux', 'Loir-et-Cher', 'Centre-Val de Loire', 'France']",,,,
359,Bière de Noël - Coreff - 75cl,3425230000373,['Coreff'],['France'],"['Eau', ""malt d'orge"", 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,75 cl,C,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Leclerc'],,['Gluten'],3,,"['Bouteille', 'Verre']",,,['Carhaix'],,,,
360,"Greenorganics, Pinienkerne , 60g",4250085770251,,['France'],[],[],?,692,2895 kj(692 kcal),64,"2,2",11,"4,4",18,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Croquette de poulet,8410705023099,,['France'],[],[],?,200,837 kj(200 kcal),"9,4","3,6",20,"4,7","8,2",1,"0,4",,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,4 haut de cuisses de poulet,2600022023940,,['France'],[],[],?,253,1059 kj(253 kcal),21,"6,5","0,5","0,5",16,"0,2","0,08",,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,21 g,en quantité élevée,6.5 g,en quantité élevée,0.5 g,en faible quantité,0.2 g,en faible quantité,,+32%,+32%,+69%,+94%,+57%,+223%,-13%,-74%,-74%,4,+13%,C,+13%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
363,Selecao da horta - Blédina,3041090313608,['Blédina'],['France'],[],[],?,57,238 kj(57 kcal),"2,6","0,7","6,2","2,1","1,8","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,5099873765524,5099873765524,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Foie gras - La Maison du Foie Gras - 450g,3113010145412,['La Maison du Foie Gras'],['France'],[],[],?,536,2243 kj(536 kcal),"55,3","22,6",2,"1,9","7,5","1,32","0,528",450 g,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",,55.3 g,en quantité élevée,22.6 g,en quantité élevée,1.9 g,en faible quantité,1.32 g,en quantité modérée,,+4%,+5%,+5%,+0%,-14%,+41%,+8%,+9%,+9%,21,+2%,E,+2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
366,Brie de maux,2463318019740,,['France'],[],[],?,296,1238 kj(296 kcal),22,15,"0,6","0,6",22,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Pate de fruits Mandarine,3760190291394,,['France'],[],[],?,320,1339 kj(320 kcal),"0,1",0,79,75,"0,5","0,078","0,031",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,0.1 g,en faible quantité,0 g,en faible quantité,75 g,en quantité élevée,0.078 g,en faible quantité,,+2%,+1%,-71%,-100%,+4%,+13%,-23%,-35%,-35%,8,-3%,C,-3%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,,
368,Foie Gras De Canard Entier - Maison Dubernet,3365470008022,['Maison Dubernet'],['France'],[],[],?,443,1854 kj(443 kcal),"42,2",14,"2,2","1,8","9,9","1,3","0,52",,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,42.2 g,en quantité élevée,14 g,en quantité élevée,1.8 g,en faible quantité,1.3 g,en quantité modérée,,-16%,-16%,-22%,-40%,-8%,+36%,+32%,+8%,+8%,20,-4%,E,-4%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,"['FR 40.282.003 CE', 'Saint-Sever (Landes, France)']",,,,,,,,,,,
369,Spiruline - Algocorp - 200g,3950741438105,['Algocorp'],['France'],['Spiruline en paillettes'],"['Végétalien', 'Végétarien']",?,338,1414 kj(338 kcal),?,,"15,3",,"63,8",0,0,200 g,D,"['Compléments alimentaires', 'Spiruline']","['Végétarien', 'Végétalien']",,,,,,,0 g,en faible quantité,,+35%,+33%,,,+49%,,+29%,-100%,-100%,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,,,,,,['Sachet'],,,['France Nantes'],,['Maroc'],,
370,Chocolat au maltitol,,,['France'],[],[],?,478,2000 kj(478 kcal),36,23,46,0,5,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Suisse chocolat,,,['France'],[],[],?,467,1954 kj(467 kcal),20,13,62,25,"7,8","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Olivade verte citron confit - L'atelier Bernard Marot,3770004388936,"[""L'atelier Bernard Marot""]",['France'],[],[],?,212,887 kj(212 kcal),"20,7","2,5","3,2","2,2","1,6","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,16 mini bagels garnis tzatziki et saumon -,3450350038036,,['France'],[],[],?,262,1096 kj(262 kcal),"14,1","7,4","24,3","5,1","8,7","1,1","0,44",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Sandwichs', 'Sandwichs au poisson', 'Sandwichs au saumon']",,14.1 g,en quantité modérée,7.4 g,en quantité élevée,5.1 g,en quantité modérée,1.1 g,en quantité modérée,,+11%,+11%,+56%,+220%,-12%,+32%,-9%,-18%,-18%,15,+180%,D,+180%,68.6%,11.8%,7.2%,8.4%,3.1%,0.8%,78,,,,,,,,,,,,,
374,Gaufres - 380g,3368951148361,,['France'],[],[],?,498,2084 kj(498 kcal),27,18,58,21,5,"0,78","0,312",380 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Saucisson sec de montagne cendre - U Saveurs,2453599025981,['U Saveurs'],['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs de montagne']",,,,,,,,,,,,,,,,,,,,,,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,
376,Terrine de Noël façon pain d'épices - Prieuré de Coussac,3432770020174,['Prieuré de Coussac'],['France'],[],[],?,332,1389 kj(332 kcal),31,11,1,0,12,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Bio mezcla de semillas de girasol y calabaza peladas crudas y piñones pelados crudos ecológico bolsa 200 g - El Corte Inglés,8433329083706,['El Corte Inglés'],"['France', 'Allemagne', 'Espagne']",[],[],?,?,,?,,?,,?,,,200 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Bonjour Bun Crevettes et Agrumes,3760275625793,,['France'],[],[],?,250,1046 kj(250 kcal),20,"0,5",12,5,45,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Farci de saumon et saint-Jacques - Rolmer - 900g,3435020022508,['Rolmer'],['France'],"['saumon Atlantique 47 % ', 'chair de saumon 20,6 %', 'filet de saumon 15,7 %', 'pulpe de saumon 10,9 %', ""colin d'Alaska 28 %"", ""blanc d'œuf réhydraté"", 'noix de St Jacques 5 %', 'poireau', 'farine de riz', 'laurier', 'sel', 'arômes naturels', 'extrait de poisson', 'oignon']","['Non végétalien', 'Non végétarien']",?,168,703 kj(168 kcal),10,"1,5","2,3","0,4",16,"0,67","0,268",900 g,,"['Plats préparés', 'Plats préparés au poisson', 'Réfrigérés', 'Plats préparés réfrigérés']",,10 g,en quantité modérée,1.5 g,en quantité modérée,0.4 g,en faible quantité,0.67 g,en quantité modérée,,-8%,-7%,+9%,-47%,-84%,-82%,+114%,-35%,-35%,0,-100%,B,-100%,,,,,,,,['Casino'],"['FR 85.047.012 CE', 'Challans (Vendée, France)']","['Œufs', 'Poisson', 'Mollusques']",4,,"['Barquette', 'Plastique']",,,,,,,
380,Palet de Brebis,3700222105206,,['France'],[],[],?,304,1272 kj(304 kcal),26,16,"0,5","0,5",17,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Melange Tonus,2600285031812,,['France'],[],[],?,460,1925 kj(460 kcal),22,"2,1",42,26,20,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Pimientos secos - El Corte Inglés - 60g,8433329069595,['El Corte Inglés'],"['France', 'Allemagne']",[],[],?,0,0 kj(0 kcal),?,,?,,?,,,60 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Yaourt ananas,3484380090207,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pot'],,,,,,,
384,16 mini croustillants st jaques - Tipiak,3450350030276,['Tipiak'],['France'],[],[],?,392,1640 kj(392 kcal),28,17,27,"1,1",8,"0,95","0,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Beignet parfum chocolat noisette x6,2020001631506,,['France'],[],['Sans huile de palme'],?,385,1611 kj(385 kcal),18,2,47,19,"6,5","0,71","0,284",,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",['en:palm-oil-free'],18 g,en quantité modérée,2 g,en quantité modérée,19 g,en quantité élevée,0.71 g,en quantité modérée,,+8%,+8%,+14%,-42%,+4%,+17%,+3%,-4%,-4%,12,0%,D,0%,,,,,,,,,,,,,,,,,,,,
386,Pintade,2260102005299,,['France'],[],[],?,213,891 kj(213 kcal),"14,6",4,"0,5","0,5","19,7","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Domaine hersard,3660989150935,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Orange marmelade,4335896202549,,"['République tchèque', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bottle'],,,,,,,
389,Spetzle,2216075030172,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,
390,Madeland,8593803342603,,"['République tchèque', 'France']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Elite Sweet @ 7 Peanut Butter 4.2 Oz,0815871011631,,['France'],[],[],?,533,2230 kj(533 kcal),"33,3",15,50,"33,3",10,"0,08","0,032",4.2 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,FITOU - 75cl,3021891807131,['FITOU'],['France'],[],[],?,?,,?,,?,,?,,,75 cl,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",['AOP'],,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,['Norma'],['TA 7406 ET 2554'],,,,['Bouteille'],,,['Maureilhan'],,['France'],,
393,Ballotine de chapon aux pistaches,2244060029061,,['France'],[],[],?,309,1293 kj(309 kcal),28,"9,8","1,8","0,5",13,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Feuilletés d'escargots à la persillade,3760023292130,,['France'],[],[],?,427,1787 kj(427 kcal),32,21,24,"1,25","8,25","1,42","0,568",,B,"['Viandes', 'Escargots', 'Feuilleté aux escargots']",,32 g,en quantité élevée,21 g,en quantité élevée,1.25 g,en faible quantité,1.42 g,en quantité modérée,,-5%,-6%,+1%,+7%,-26%,-12%,-1%,-15%,-15%,21,-2%,E,-2%,57.1%,14.2%,5.9%,6.6%,3.4%,12.8%,82,,,,,,,,,,,,,
395,Cœur de crème - Les Croisés,3564708001846,"['Les Croisés', 'Marque Repère']",['France'],[],[],?,351,1469 kj(351 kcal),31,21,"0,5",0,18,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,
396,The pre workout,5056185786678,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Rosette tranchée - Transgourmet,3554983013979,['Transgourmet'],['France'],[],[],?,394,1648 kj(394 kcal),33,1,"1,7","0,99",22,"4,4","1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 11.262.047 CE', 'Narbonne (Aude, France)']",,,,,,,,,,,
398,Crema di Noci - 130g,8057093923275,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,130 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,
399,Twist,7610216560583,,['France'],[],[],?,507,2121 kj(507 kcal),25,16,58,4,11,"1,8","0,72",,,,"['Bio', 'Fabriqué en Suisse']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Crema di Noci - 130g,8057093923275,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,130 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,
401,Twist,7610216560583,,['France'],[],[],?,507,2121 kj(507 kcal),25,16,58,4,11,"1,8","0,72",,,,"['Bio', 'Fabriqué en Suisse']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Pate di Olive,8025966001573,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,
403,Jambon cuit fumé,4015236001116,,['France'],[],[],?,141,590 kj(141 kcal),5,2,1,1,22,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Chevreuil mariné - Saveurs forestières - 1,0217338046901,['Saveurs forestières'],['France'],[],[],?,?,,?,,?,,?,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 71.056.001 CE', 'Branges (Saône-et-Loire, France)']",,,,,,,,,,,
405,Schoko Party,8420241139338,,['France'],[],[],?,488,2042 kj(488 kcal),24,14,62,54,"5,2","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Rousse - Terre de Bières - 75cl,3770001890036,['Terre de Bières'],['France'],"['Eau', ""malts d'orge "", 'gluten', 'houblons', 'levures']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,75 cl,C,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières rousses']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,['Gluten'],4,,"['Bouteille', 'Verre']",,,['France'],,,,
407,Coquilles et vrai chedda vieilli - Annie's,0013562000395,"[""Annie's""]",['France'],[],[],?,210,879 kj(210 kcal),"3,5",2,37,3,8,"0,41","0,164",,,,['Sans arômes artificiels'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Primoline pralines,5941047829092,,['France'],[],[],?,518,2167 kj(518 kcal),29,16,58,55,"5,6","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Erzincan tulum peyniri,7002396003965,,['France'],[],[],?,260,1088 kj(260 kcal),21,14,"0,2","0,2","18,7","3,5","1,4",,,,['Fabriqué en Allemagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Carnaciori pentru bere,20529437,,['France'],[],[],?,428,1791 kj(428 kcal),"32,3","12,2","2,6","1,1","31,7","4,52","1,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,La soupe Potimarron - Castaing,3332277662573,['Castaing'],['France'],[],[],?,21,88 kj(21 kcal),"0,4",0,"3,4","1,1","0,7","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Bloc de foie gras de canard - Maison Montfort,3104544071896,['Maison Montfort'],['France'],[],[],?,488,2042 kj(488 kcal),50,21,"3,1","0,9",6,"1,1","0,44",,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,,-0%,+0%,-1%,-2%,+46%,-32%,-2%,-10%,-10%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
413,Le trefle du perche,2485060028801,,['France'],[],[],?,340,1423 kj(340 kcal),24,"18,5","1,06","1,06",21,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Joyeuses fêtes - Daco Bello,3270720013476,['Daco Bello'],['France'],[],[],?,343,1435 kj(343 kcal),"7,8","1,9","62,9","57,6","3,7","0,029","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Fraich' pasta salade,2208251029391,,['France'],[],[],?,298,1247 kj(298 kcal),"6,58","2,41","44,14","2,69","9,88","0,39","0,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Jambon cuit supérieur 1 kg - Madrange,3180940069675,['Madrange'],['France'],[],[],?,?,,?,,?,,?,,,,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['Qualité supérieure'],,,,,,,,,,,,,,,,,,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['FR 87.065.001 CE', 'Feytiat (Haute-Vienne, France)', 'EMB 87065', 'Feytiat (Haute-Vienne, France)']",,,,,,,,,,,
417,"Cervelas en salade - 0,379kg",0218000025453,,['France'],[],[],?,300,1255 kj(300 kcal),"27,7","4,6","1,1","1,1","11,3","2,3","0,92","0,379 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 69.027.063 CE', 'Brignais (Rhône, France)']",,,,,,,,,,,
418,Pizza Jurassienne,2625001040015,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Escargots de Bourgogne,3368280100092,,['France'],[],[],?,79,331 kj(79 kcal),"2,1","0,56","0,5","0,3","14,4","0,9","0,36",,C,"['Viandes', 'Escargots', 'Escargots de Bourgogne']",,2.1 g,en faible quantité,0.56 g,en faible quantité,0.3 g,en faible quantité,0.9 g,en quantité modérée,,-69%,-69%,-90%,-96%,-79%,-56%,+30%,-24%,-24%,-2,-117%,A,-117%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,,,,,,,,,,,
420,Ossau Iraty Aop,2210173036937,,['France'],[],[],?,392,1640 kj(392 kcal),33,24,2,0,23,2,"0,8",,E,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Fromages de brebis', 'Ossau-Iraty']",,33 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,-7%,-7%,-8%,-3%,+113%,-100%,-2%,+13%,+13%,17,-3%,D,-3%,89.1%,5.2%,2.2%,2.3%,1.0%,0.3%,34,,,,,,,,,,,,,
421,Knob'is,4250262708268,,['France'],[],[],?,34,142 kj(34 kcal),"0,1","0,1","5,8","4,3","1,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Epices korma,9900000001513,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Truffes fantaisies,5413121365982,,['France'],[],[],?,614,2569 kj(614 kcal),"47,8","39,1","38,8","37,3","4,2","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Boudin blanc,0206904021527,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,,,,,,,,,,,,,,,,,,,,,,,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,,,
425,Parmentier,3589620002160,,['France'],[],[],?,163,682 kj(163 kcal),"11,1","4,7","9,4","1,4","5,7","0,4","0,16",,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 80.751.001 CE', 'Thennes (Somme, France)']",,,,,,,,,,,
426,Panettone Classico 500GR - 500g,8001130409000,,['France'],[],[],?,336,1406 kj(336 kcal),"12,1","6,1","54,4","33,1","5,1","0,48","0,192",500 g,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",['IGP'],12.1 g,en quantité modérée,6.1 g,en quantité élevée,33.1 g,en quantité élevée,0.48 g,en quantité modérée,,-10%,-10%,-19%,-32%,+6%,+28%,-25%,+9%,+9%,19,+2%,E,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,
427,Calendrier de l'avent,5056086509093,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons de Noël', ""Calendriers de l'avent""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Pandoro Classico - Granducale,8002734001324,['Granducale'],['France'],[],[],?,413,1728 kj(413 kcal),22,14,45,20,8,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Haut de Grange - Montagne de Saint-émilion - 75cl,3295890057631,['Montagne de Saint-émilion'],['France'],[],[],?,?,,?,,?,,?,,,75 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Toast aux figues,3029330069775,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Assortiment de chocolats noirs et lait,3370077581700,,['France'],[],['Sans huile de palme'],?,504,2109 kj(504 kcal),"31,6","20,16","52,1","37,7",6,"0,062","0,025",,,,"['Bio', 'Fabriqué en France', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Mélange sportif,2600688025784,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Vins le Temps des Gitans -  - 750ml,02026459,,['France'],['Raisin'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,750 ml,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vin rouge bio']","['Bio', 'IGP']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,['Biocoop'],,,3,,['bouteille en verre'],,,['34230 St Bauzille de la Sylve FRANCE'],,,,
434,Galettes citron confits - gingembre,3476860000561,,['France'],[],[],?,489,2046 kj(489 kcal),"23,07","15,25","63,21","23,51","7,07","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 79.276.002 CE', 'Saint-Martin-de-Saint-Maixent (Deux-Sèvres, France)']",,,,,,,,,,,
435,Tisane à l'érable,0629098100036,,['France'],[],[],?,5,21 kj(5 kcal),0,0,1,1,"0,1",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
