,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,traceability_code,allergens,nova_score,generic_name,packaging,additives,palm_ingredients,manufacturing,brand_owner,ingredients_origins,link,producer_info
10,La superieur saucisse seche pur porc,2688491028215,,['France'],[],[],?,430,1799 kj(430 kcal),"33,5","14,1","6,7","2,63","25,4","4,47","1,788",,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Pâte à tartiner noisette, lait & feuillantine - Nature & Découverte - 220g",61163710,"['Nature & Découverte', 'Brémond Fils']",['France'],[],[],?,?,,?,,?,,?,,,220 g,D,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes']",['Bio'],,,,,,,,,,,,,,,,,,,,,,,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,,,,,,,,
12,Harira - Samia,3276650113187,['Samia'],['France'],[],[],?,30,126 kj(30 kcal),"0,9","0,09","3,9","0,8","1,5","0,7","0,28",,,"['Plats préparés', 'Soupes']","['Halal', 'Sans colorants', 'Sans conservateurs']",0.9 g,en faible quantité,0.09 g,en faible quantité,0.8 g,en faible quantité,0.7 g,en quantité modérée,,-47%,-47%,-54%,-85%,-32%,-54%,-32%,-19%,-19%,3,+83%,C,+83%,,,,,,,,,,,,,,,,,,,,
13,Aloe drink,8805957018687,,['France'],[],[],?,36,151 kj(36 kcal),0,0,"9,1","8,7",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Yaourt à Boire Danup Délice Vanille - Danone,6194003801550,['Danone'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Foie gras de canard entier du Sud Ouest - Delpeyrat,3067162250428,['Delpeyrat'],['France'],[],[],?,544,2276 kj(544 kcal),56,24,"2,2","0,9","7,5","1,3","0,52",,B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",,56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,,+3%,+3%,+3%,+3%,-8%,-32%,-0%,+8%,+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,,,
16,Foie gras réservé 1951 - Larnaudie,3113010143593,['Larnaudie'],['France'],[],[],?,536,2243 kj(536 kcal),"54,8",25,"2,9","2,8","7,3","1,03","0,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 46.102.004 CE', 'Figeac (Lot, France)']",,,,,,,,,,,
17,Rosette supérieur pur porc,2688496055438,,['France'],[],[],?,373,1561 kj(373 kcal),"28,3",12,"2,4","1,38","27,2","4,65","1,86",,,,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,The Belgian Pralines Tiramisu Giftbox 12X200G - 12x 200g,5413121360826,,['France'],[],[],?,559,2339 kj(559 kcal),"35,8","23,1","52,5","51,9","5,9","0,18","0,072",12 x 200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Armagnac - Clés des Ducs,3049160440711,['Clés des Ducs'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Tarte aux pommes,0262098044285,,['France'],[],[],?,210,879 kj(210 kcal),"8,1","5,5",32,17,"1,6","0,3","0,12",,B,"['Tartes', 'Tartes sucrées', 'Tartes aux pommes']",,8.1 g,en quantité modérée,5.5 g,en quantité élevée,17 g,en quantité élevée,0.3 g,en quantité modérée,,-15%,-15%,-13%,+2%,-11%,-17%,-34%,+18%,+18%,11,0%,D,0%,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,,,,,,,,,,
21,Terrine de lapin,3700238369388,,['France'],[],[],?,268,1121 kj(268 kcal),"23,4","9,2","0,3",0,13,"1,83","0,732",,D,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de lapin']",,23.4 g,en quantité élevée,9.2 g,en quantité élevée,0 g,en faible quantité,1.83 g,en quantité élevée,,-3%,-3%,+4%,+9%,-82%,-100%,-16%,+22%,+22%,20,+18%,E,+18%,77.1%,15.8%,3.3%,2.4%,1.1%,0.3%,38,,,,,,,,,,,,,
22,Rosette au jambon,2910133023143,,['France'],[],[],?,384,1607 kj(384 kcal),31,13,"3,3","2,8",23,"4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Pesto artisanal poivrons ricotta - Bahadourian,3500680032881,['Bahadourian'],['France'],[],[],?,145,607 kj(145 kcal),"8,4","2,3",13,11,"3,9",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Casino,29016167,['Casino'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],,,,,,,,,,,,
