,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,traceability_code,eco_score,quantity,packaging,brand,categories,manufacturing,link,markets,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,allergens,ingredients_origins,brand_owner,palm_ingredients,producer_info
1913,Hakao (Ravioli aux Crevettes),3399150070764,['France'],[],[],?,228,954 kj(228 kcal),"10,3","3,69","29,2","0,2",4,"0,97","0,388",,,,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli chinois', 'Ravioli à la crevette']",,,,,,+27%,+75%,+25%,-53%,,,,,,,,10.3 g,en quantité modérée,3.69 g,en quantité modérée,0.2 g,en faible quantité,0.97 g,en quantité modérée,+28%,+162%,-90%,0%,0%,7,+182%,C,+182%,,,,,,,
1914,Yaourt lit de pomme - Baiko,3463340005017,['France'],"['lait entier partiellement concentré ', 'origine : France', ' : 81% - sucre : 7,4% - pomme et purée de pomme ', 'origine : France', ' : 6,6% - amidon de maïs - jus concentré de citron - arôme naturel - ferments lactiques ', 'dont lait']",['Non végétalien'],382,91,382 kj(91 kcal),3,2,13,12,"3,3","0,08","0,032",,,B,,,['Baiko'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la pomme', 'Yaourts au lait de vache']",,,,4,,-8%,-8%,-4%,+4%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,3 g,en quantité modérée,2 g,en quantité modérée,12 g,en quantité modérée,0.08 g,en faible quantité,-8%,-5%,-2%,-28%,-28%,2,-36%,B,-36%,,,['Lait'],,,,
1915,Pain pita traditionnel - 420g,3760255190013,['France'],[],[],?,218,912 kj(218 kcal),"0,9","0,3",48,"0,4","5,8","0,5","0,2",['Sans conservateurs'],,B,420 g,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains spéciaux', 'Pains Pita']",,,,,,-13%,-40%,-3%,-30%,49.6%,26.4%,15.7%,7.2%,1.0%,0.0%,95,0.9 g,en faible quantité,0.3 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en quantité modérée,-14%,+32%,-85%,-54%,-54%,1,+9%,B,+9%,,,,,,,
1916,Fruit mixes,3033491605048,['France'],[],[],?,91,381 kj(91 kcal),3,"2,1","12,2","11,8","3,8","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,"Soupe de poissons sauvages d'eau douce ""recette du Chablais""",3770004133697,['France'],[],[],?,68,285 kj(68 kcal),"4,9","2,5","1,9","0,2","3,8","0,7","0,28","['Pêche durable', 'Pêche durable MSC']",['MSC-C-57040'],D,,,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,,,,+42%,+158%,+4%,-26%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,4.9 g,en quantité modérée,2.5 g,en quantité modérée,0.2 g,en faible quantité,0.7 g,en quantité modérée,+43%,+457%,-69%,-21%,-21%,3,+244%,C,+244%,,,,,,,
1918,Lait frais pasteurisé entier -,3359791201361,['France'],[],[],?,64,268 kj(64 kcal),"3,6","2,2","4,8","4,8","3,2","0,1","0,04",,"['FR 61.135.001 CE', 'Couterne (Orne, France)']",D,,,,"['Produits laitiers', 'Laits', 'Laits entiers']",,,,,,-3%,-3%,+0%,-3%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,3.6 g,en quantité modérée,2.2 g,en quantité modérée,4.8 g,en faible quantité,0.1 g,en faible quantité,-4%,-7%,+1%,-15%,-15%,2,+27%,B,+27%,,,,,,,
1919,saucisse sèche aux noisettes - Monique Ranou - 250g,04764465,['France'],[],[],?,456,1908 kj(456 kcal),"37,2",13,"4,7","3,3","25,3","4,02","1,608",,,D,250g,['Plastique'],['Monique Ranou'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",,,['Intermarché'],,,+11%,+14%,+102%,-7%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,37.2 g,en quantité élevée,13 g,en quantité élevée,3.3 g,en faible quantité,4.02 g,en quantité élevée,+11%,+2%,+116%,-14%,-14%,25,+3%,E,+3%,,,,,,,
1920,Pickles de légumes,8696801000145,['France'],[],[],?,12,50 kj(12 kcal),0,0,"2,32","0,62","0,53","3,12","1,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,CREVETTES ENTIERES CUITES REFRIGEREES,3760082432010,['France'],[],[],?,95,397 kj(95 kcal),"0,5","0,5","0,5",0,22,"2,1","0,84",['Point Vert'],"['FR 62.160.112 CE', 'Boulogne-sur-Mer (Pas-de-Calais, France)', 'ASC-C-01198']",D,,,,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Crevettes cuites', 'Crevettes entières', 'Crevettes entières cuites', 'Crevettes entières cuites réfrigérées']",,,,,,-25%,-23%,+16%,-0%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,0.5 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,2.1 g,en quantité élevée,-25%,+14%,-100%,+8%,+8%,5,+1%,C,+1%,,,,,,,
1922,arôme fleur d'oranger - Sainte Lucie - 1l,78191778,['France'],[],[],?,?,,?,,?,,?,,,,,,1l,['Plastique'],"['Sainte Lucie', 'Plantation']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
