,name,bar_code,eco_score,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,labels,markets,generic_name,quantity,palm_ingredients,manufacturing,traceability_code,link,ingredients_origins,producer_info,origin_detail
0,Moules de corde,3000121297973,C,['Barquette'],"['Produits de la mer', 'Mollusques', 'Moules', 'Moules de corde']",['France'],[],[],1 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.4 g,en quantité modérée,?,,103,-32%,431 kj(103 kcal),-31%,1,-88%,"0,4",-74%,"6,2",+62%,0,-100%,"17,2",+19%,"0,4",-66%,"0,16",-66%,-3,-193%,A,-193%,50.0%,0.0%,15.2%,14.1%,7.7%,13.0%,56,,,,,,,,,,,,,,,
1,Boudin blanc forestier x3 - Morvan Charcuterie Salaisons,3004106906041,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",['France'],"['maigre et gras de porc', 'eau', 'gorge de sorc', 'assaisonnement ', ""amidon de blé' protéine de lait' dextrose"", 'poudre de lait reconstituée', 'épices et plantes aronatiqhles exhausteur de goût : E621', 'stabi I isants : EUI-à50', 'albumine viande de dinde', 'champignons noirs 3', '6X', 'mélange forestier 1', '5Z ', 'bolets jaunes', 'pleurotes', 'champignons noirs', 'sel fin', 'Porto', 'acidifiants :E325-F262', ' Boyau naturel de porc', ' ALLERGENES : BLE-LAIT-OEUF-SULFITES CONSERVER ENTRE O ET +40C PORC ET VOLAILLE : NES', 'ELEVES', 'ABATTUS EN FRANCE']","['Non végétalien', 'Non végétarien']",23.4 g,en quantité élevée,8.2 g,en quantité élevée,0.1 g,en faible quantité,1.5 g,en quantité modérée,?,,287,+18%,1201 kj(287 kcal),+18%,"23,4",+16%,"8,2",+5%,"8,5",+98%,"0,1",-95%,"9,3",-10%,"1,5",+1%,"0,6",+1%,17,+6%,D,+6%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,"['Morvan Charcuterie Salaisons', 'Morvan Charcuterie Salaison']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E325 - Lactate de sodium']","['Œufs', 'Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",4,,,,,,,,,,,
2,Sucette Framboise - Casino,30086920,B,,['Pâtes à pizza'],['France'],"['Farine de blé', 'eau', 'huile de tournesol', 'sel', 'poudres à lever : phosphates de calcium', 'carbonates de sodium', 'alcool éthylique', 'gluten de blé', 'levure boulangère 0,01%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4.4 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en faible quantité,1.1 g,en quantité modérée,?,,184,-34%,770 kj(184 kcal),-35%,"4,4",-22%,"0,5",-55%,31,-34%,"1,4",-14%,"4,6",-36%,"1,1",-29%,"0,44",-29%,4,-44%,C,-44%,36.8%,19.3%,11.5%,8.6%,5.0%,18.8%,92,"['Casino', 'Casino bio']","['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E1510 - Éthanol']",['Gluten'],4,['Bio'],['Casino'],,,,,,,,,
3,Knorr Roux Blanc Instantané Déshydraté - 1kg (1000g),3011360006721,,['Pot'],,['France'],"['Farine de BLÉ', 'graisse de palme']","['Huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,582,,2435 kj(582 kcal),,40,,30,,46,,"0,5",,"6,4",,"0,01",,"0,004",,,,,,,,,,,,,['Knorr'],,['Gluten'],,,,Roux blanc instantané déshydraté,1 kg (1000 g),['Huile de palme'],,,,,,
4,Knorr Garde d'or Sauce Poivre - 1l (1000ml),3011360010650,B,"['Brique', 'Carton']","['Epicerie', 'Sauces', 'Sauces au poivre']",['France'],"['Eau', 'BEURRE', 'amidon modifié ', 'maïs', 'pomme de terre', 'CRÈME', 'tomate', 'sel', ""jaune d'OEUF"", 'poivres ', 'poivre vert ', '0,5%', 'poivre noir ', '0,2%', 'arômes ', 'dont CÉLERI', 'LAIT', 'BLÉ', 'ORGE', 'cognac', 'extrait de levure', 'échalote', ""extrait de malt d'ORGE"", 'colorant ', 'caramel E 150c', 'arôme naturel de poivre', 'épaississant ', 'gomme xanthane', 'sucre', 'acidifiant ', 'acide citrique']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",8 g,en quantité modérée,5 g,en quantité modérée,0.5 g,en faible quantité,1.2 g,en quantité modérée,390,-62%,95,-70%,390 kj(95 kcal),-70%,8,-71%,5,+29%,"5,2",-41%,"0,5",-84%,"0,8",-56%,"1,2",-48%,"0,48",-48%,10,-32%,C,-32%,51.5%,31.1%,7.1%,5.2%,3.0%,2.1%,76,"['Knorr', ""Garde d'Or"", 'Unilever Food Solutions']","['E14XX - Amidons modifiés', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E415 - Gomme xanthane', 'E330 - Acide citrique']","['Céleri', 'Œufs', 'Gluten', 'Lait']",4,,,Sauce au Poivre,1 l (1000 ml),,,,,,,
5,"Knorr Sauce Hollandaise déshydratée 825g jusqu'à - 8,5l (825g)",3011360040480,,['Wrapper'],"['Epicerie', 'Sauces']",['France'],"['LAIT écrémé', 'amidon modifié de maïs', 'sel', ""jaune d'OEUF : 4,2%"", 'maltodextrine', 'huile de maïs', 'oignon', 'acidifiant ', 'acide citrique', 'jus de citron : 0,7%', 'arômes ', 'dont CÉLERI', 'épaississant : gomme de guar', 'extrait de levure', 'poivre', 'colorant : caroténoïdes', 'Peut contenir: gluten']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",28 g,en quantité élevée,17 g,en quantité élevée,2.9 g,en faible quantité,0.85 g,en quantité modérée,1202,+36%,287,+21%,1202 kj(287 kcal),+22%,28,+55%,17,+687%,7,-29%,"2,9",-55%,2,-26%,"0,85",-65%,"0,34",-65%,16,+38%,D,+38%,,,,,,,,['Knorr'],"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E412 - Gomme de guar', 'E160 - Caroténoïdes']","['Céleri', 'Œufs', 'Lait']",4,,,Préparation déshydratée pour sauce hollandaise,"8,5 l (825 g)",,,,,,,
6,Knorr Bouillon de Volaille Déshydraté 1kg jusqu'à - 50l (1000g),3011360041906,,['Pot'],"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons en poudre', 'Bouillons de volaille']",['France'],"['Sel', 'maltodextrine', 'sirop de glucose', 'arômes', 'extrait de levure', 'volaille: 6,5% ', 'graisse de poule: 5,5%', 'viande de poule: 0,5%', 'extrait de poule: 0', '5%', 'ail', 'caramel', 'jus de légumes concentré ', 'CÉLERI', 'carotte', 'poireau', 'oignon', 'antioxydant: extrait de romarin', 'Peut contenir : gluten', 'lait', 'oeuf', 'moutarde']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.73 g,en quantité modérée,?,,5,-96%,21 kj(5 kcal),-96%,"0,4",-85%,"0,1",-89%,"0,9",-96%,"0,4",-94%,"0,4",-89%,"0,7",-97%,"0,28",-97%,3,,C,,,,,,,,,['Knorr'],['E392 - Extrait de romarin'],['Céleri'],4,,,Bouillon de Volaille,50 l (1000 g),,,,,,,
7,Truffes - Jacques,3015496414061,,,['Matières grasses'],['France'],"['graisses végétales ', 'palme', 'palmiste', 'coprah', 'sucre', 'cacao maigre en poudre ', '17%', 'lactose', 'Cognac ', '1%', 'arômes', 'émulsifiant : lécithine de tournesol']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",43 g,en quantité élevée,34 g,en quantité élevée,40 g,en quantité élevée,0 g,en faible quantité,?,,586,-27%,2452 kj(586 kcal),-27%,43,-51%,34,+49%,42,+18650%,40,+24591%,"3,9",+2103%,0,-100%,0,-100%,25,+121%,E,+121%,,,,,,,,['Jacques'],['E322i - Lécithine'],['Lait'],4,,,,,,,,,,,
8,Harictos rouges - D'aucy,3017800069561,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumineuses en conserve', 'Haricots en conserve', 'en:canned-kidney-common-beans']",['France'],[],[],0.6 g,en faible quantité,0.1 g,en faible quantité,1.9 g,en faible quantité,0.725 g,en quantité modérée,486,+11%,115,+13%,486 kj(115 kcal),+13%,"0,6",-1%,"0,1",-8%,17,+27%,"1,9",+67%,"7,9",+5%,"0,725",+18%,"0,29",+18%,-5,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,"[""D'aucy""]",,,,,,,,,,,,,,
9,Haricots verts fins - D'aucy  - 400g,3017800078716,,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,26,,109 kj(26 kcal),,2,,0,,3,,"0,8",,"1,6",,"0,75",,"0,3",,,,,,,,,,,,,"[""D'aucy""]",,,,,,,400g,,,,,,,
10,Petits poids - Jean Nicolas,3017800118184,B,"['Conserve', 'métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Carottes', 'Petits pois', 'Petits pois et carottes en conserve']",['France'],[],[],0.6 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.57 g,en quantité modérée,?,,63,+9%,264 kj(63 kcal),+10%,"0,6",+21%,"0,2",+59%,"8,8",+8%,"3,7",+9%,"3,4",+10%,"0,57",-3%,"0,228",-3%,-2,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,['Jean Nicolas'],,,,['en:produced-in-bretagne'],,,,,"['Bretagne', 'France']",,,,,
11,"Asperges Blanches grosses - D'Aucy - 2x 330g, 2x 205g égouté",3017800209455,C,"['Bocal', 'Verre', 'Lot conditionné sous plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumes tiges', 'Asperges', 'Asperges blanches', 'Asperges en conserve']",['France'],"['Asperges blanches 62%', 'eau', 'sel', 'acidifiant : acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,1.3 g,en faible quantité,0.72 g,en quantité modérée,68,-3%,16,-16%,68 kj(16 kcal),-11%,0,-100%,0,-100%,"1,9",+1%,"1,3",+7%,"1,6",+1%,"0,72",-11%,"0,288",-11%,-3,,A,,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,"[""D'Aucy""]",['E330 - Acide citrique'],,3,,,,"2 x 330 g, 2 x 205 g égouté",,,,,,,
12,Graisse de canard bocal Feyel - 320g,3018250237838,,,['Matières grasses'],"['France', 'Luxembourg']",[],[],100 g,en quantité élevée,30 g,en quantité élevée,0.5 g,en faible quantité,0 g,en faible quantité,?,,900,+12%,3766 kj(900 kcal),+12%,100,+13%,30,+32%,"0,5",+123%,"0,5",+209%,"0,5",+182%,0,-100%,0,-100%,14,+24%,D,+24%,,,,,,,,['FEYEL'],,,,,,,320g,,,,,,,
13,Copeaux de chocolat noir - 125g,3018940000339,,,,['France'],[],[],,,,,,,,,?,,634,,2653 kj(634 kcal),,29,,19,,53,,49,,"5,3",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,125 g,,,,,,,
14,Madeleines au beurre - 200g,3018940001732,D,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",['France'],[],[],23 g,en quantité élevée,20 g,en quantité élevée,52 g,en quantité élevée,0.1 g,en faible quantité,?,,477,+7%,1996 kj(477 kcal),+7%,23,-2%,20,+200%,64,+23%,52,+83%,3,-47%,"0,1",-87%,"0,04",-87%,25,+36%,E,+36%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,,200 g,,,,,,,
15,Preparation Sandwich Au Thon - Corentin Kermeur - 80g e,3019081239121,,['Conserve'],,['France'],[],[],,,,,,,,,?,,192,,803 kj(192 kcal),,13,,"1,1",,"5,2",,2,,12,,"0,7",,"0,28",,,,,,,,,,,,,['Corentin Kermeur'],,,,"['Fabriqué en France', 'en:produced-in-bretagne']",,,80 g e,,['France'],"['FR 29.046.514 CE', 'Douarnenez (Finistère, France)']",,,,
16,Saumon fume sauvage - Dom Petroff - 160g,3019898366379,E,,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']",['France'],[],[],7.6 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,2.8 g,en quantité élevée,?,,160,+20%,669 kj(160 kcal),+21%,"7,6",+104%,"1,9",+136%,"0,5",+1%,"0,5",+37%,23,-3%,"2,8",-5%,"1,12",-5%,12,+8%,D,+8%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Dom Petroff'],,,,['Fabriqué en France'],,,160 g,,,"['FR 49.267.007 CE', ""Saint-Barthélemy-d'Anjou (Maine-et-Loire, France)"", 'EMB 49267', ""Saint-Barthélemy-d'Anjou (Maine-et-Loire, France)""]",,,,
17,Granoléa,30170704,,,,['France'],[],[],,,,,,,,,?,,464,,1941 kj(464 kcal),,33,,14,,29,,16,,15,,12,,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Le Pâté Hénaff - 1Kg,3021210015001,,"['Conserve', 'Métal']","['Conserves', 'Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Charcuteries diverses', 'Pâté', 'Porc', 'Pâtés de porc']",['France'],"['Viande porc 91% dont jambon 20%', 'fumet', 'foie de porc 2', '5%', 'sel de mer', 'épices']","['Non végétalien', 'Non végétarien']",22.6 g,en quantité élevée,8.8 g,en quantité élevée,0.2 g,en faible quantité,1.5 g,en quantité modérée,1129,-7%,272,-12%,1129 kj(272 kcal),-12%,"22,6",-15%,"8,8",-13%,"0,2",-92%,"0,2",-78%,17,+20%,"1,5",-10%,"0,6",-10%,17,-10%,D,-10%,,,,,,,,['Hénaff'],,,3,"['Viande Française', 'Viande Porcine Française', 'Sans colorants', 'Sans conservateurs', 'Produit en Bretagne']","['Carrefour', 'Boutiques']",Pâté Hénaff avec filets et jambons,1 Kg,,"['France', 'Bretagne']","['FR 29.225.001 CE', 'Pouldreuzic (Finistère, France)']",http://www.henaff.com/fr/produits-et-recettes/les-produits/le-pate-henaff/1-le-pate-henaff?,,,
19,POM'POTES Pomme/Pomme Banane 16x90g - Materne - 1440g,3021762416318,,,,['France'],"['Pomme 96,2 %', 'sucre', 'jus de citron ', ""si nécessaire pour réguler l'acidité"", 'antioxydant : acide ascorbique', 'Pomme Banane :Ingrédients : pomme 77,9 %', 'banane 20,4 %', 'sucre', 'jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", 'antioxydant : acide ascorbique']",[],,,,,,,,,291,,69,,291 kj(69 kcal),,"0,5",,"0,2",,15,,13,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,"['Materne', ""Pom'potes""]",['E300 - Acide ascorbique'],,,"['Aquaculture responsable', 'Sans gluten', 'Aquaculture responsable ASC', 'Sans conservateurs', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,Compote de pomme allégée en sucres (30% de sucres en moins qu'une compote classique) Compote de pomme banane allégée en sucres (30% de sucres en moins qu'une compote classique),1440 g,,,,,,,
20,POM'POTES SSA Les Inédits Pomme/Pomme Mirabelle/Pomme Cerise/Pomme Banane 72x90g 48+24 Offertes - 6480g,3021762472109,,['Etui en carton'],,['France'],"['Pomme : pomme 99', '7% ', 'purée et purée concentrée', 'arôme naturel de pomme', 'jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", 'antioxydant : aide ascorbique', ' Pomme Cerise : pomme 83,7 % ', 'purée et purée concentrée', 'cerise 15,9 %', 'arôme naturel', 'antioxydant : acide ascorbique', '\rPomme Mirabelle : pomme 84', '6% ', 'purée et purée concentrée', 'mirabelle 15', '0%', 'arômes naturels', 'jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", 'antioxydant: acide ascorbique', ' \rPomme Banane: pomme 74,9 % ', 'purée et purée concentrée', 'banane 25,0 %', 'jus de citron concentré ', ""si nécessaire pour réguler l'acidité"", 'antioxydant : acide ascorbique']",[],,,,,,,,,257,,61,,257 kj(61 kcal),,"0,6",,"0,2",,13,,11,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,"[""Pom'potes""]",['E300 - Acide ascorbique'],,4,"['Sans sucre ajouté', 'Nutriscore', 'Nutriscore A']",,Spécialité de pomme sans sucres ajoutés (Contient des sucres naturellement présents) Spécialité de pomme mirabelle avec arômes naturels sans sucres ajoutés (Contient des sucres naturellement présents) Spécialité de pomme cerise avec arôme naturel sans sucres ajoutés (Contient des sucres naturellement présents) Purée de pomme banane sans sucres ajoutés (Contient des sucres naturellement présents),6480 g,,,,,,,
21,Huile d'olive - Huilerie Richard,3021885000319,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],99.9 g,en quantité élevée,13.8 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,899,+5%,3761 kj(899 kcal),+5%,"99,9",+5%,"13,8",-1%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,['Huilerie Richard'],,,,,,,,,,,,,,
22,Confit d'olives au gingembre - Huilerie Richard,3021885007448,,,,['France'],[],[],,,,,,,,,?,,296,,1238 kj(296 kcal),,18,,"2,42",,"30,1",,"28,3",,1,,0,,0,,,,,,,,,,,,,['Huilerie Richard'],,,,,,,,,,,,,,
23,Cornichon au vinaigre de cidre - Christ,3022820002160,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons', 'Cornichons au vinaigre']",['France'],['Cornichons ac cau BTO NUTRIFORM'],[],0.4 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,?,,18,-10%,75 kj(18 kcal),-5%,"0,4",+36%,0,-100%,1,-49%,"0,5",-59%,"1,2",+10%,"2,1",+17%,"0,84",+17%,2,-2%,B,-2%,,,,,,,,['Christ'],,,,['Bio'],,,,,,,,,,
24,Le mignon de brebis,3023260028406,,,,['France'],[],[],,,,,,,,,?,,305,,1276 kj(305 kcal),,"26,3",,"18,7",,"0,1",,"0,1",,18,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Camembert de Normandie (22% MG) - Jort - 250g,3023260028437,B,"['Bois', 'boîte', 'Frais']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts', 'Fromages de France', 'Fromages au lait cru', 'Camemberts au lait cru', 'Camemberts de Normandie']",['France'],['Au lait cru'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",21.9 g,en quantité élevée,15.5 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,277,-0%,1159 kj(277 kcal),-0%,"21,9",+2%,"15,5",+7%,0,-100%,0,-100%,20,-4%,"1,5",-12%,"0,6",-12%,14,-6%,D,-6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Jort'],,['Lait'],3,"['Concours général agricole', 'AOP', ""Médaille d'or du Concours général agricole"", ""Médaille d'or du concours général agricole 2015"", 'Moulé à la main']",['Magasins U'],Camembert de Normandie AOP,250 g,,"['France', 'Normandie']","['FR 14.064.001 CE', ""Bernières-d'Ailly (Calvados, France)""]",,['France'],,
26,Aero Finesse Milk Chocolate 4X57g - Thaeron - 4x 57g,3023290400784,,,,['France'],"['Chocolate Mousse 90', '3%', 'Milk', 'Sugar', 'Milk Chocolate 7', '2% ', 'Sugar', 'Milk Powder', 'Cocoa Butter', 'Cocoa Mass', 'Whey Powder ', 'from Milk', 'Emulsifier ', 'Sunflower Lecithin', 'Natural Flavouring', 'Cream ', 'from Milk', 'Fat Reduced Cocoa Powder', 'Caramel ', 'Sugar', 'Glucose Syrup', 'Water', 'Acidity Regulator E524', 'Cocoa Powder', 'Lactose ', 'from Milk', 'Skimmed Milk Powder', 'Beef Gelatine', 'Emulsifier E471 ', 'Salt', 'Chocolate Layers 9', '6% Cocoa Mass', 'Cocoa Butter', 'Water', 'Flavouring', 'Sweeteners ', 'Sucralose', 'Acesulfame K']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,228,,954 kj(228 kcal),,14,,"9,1",,"20,6",,"18,2",,5,,"0,1",,"0,04",,,,,,,,,,,,,['Thaeron'],"['E322i - Lécithine', 'E524 - Hydroxyde de sodium', 'E428 - Gélatine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E955 - Sucralose', 'E950 - Acésulfame K']",['Lait'],4,"['Sans sucre ajouté', 'Pur beurre de cacao']",,,4 x 57 g,,,,,,,
27,Nestle After Eight Mousse 4X57 G - 4x 57g,3023290798096,,['Karton'],,"['France', 'Allemagne']",[],[],,,,,,,,,?,,216,,904 kj(216 kcal),,"13,6",,9,,"18,5",,"18,1",,"4,4",,"0,16",,"0,064",,,,,,,,,,,,,['After eight'],,,,,,,4 x 57 g,,,,,,,
28,Rillette du Mans - Bordeau Chesnel,3024720020374,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']",['France'],"['viande de porc', 'sel', 'poivre', ' 115g de viande pour 100g de rillettes']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",28.7 g,en quantité élevée,11 g,en quantité élevée,0.2 g,en faible quantité,1.35 g,en quantité modérée,?,,333,-17%,1393 kj(333 kcal),-17%,"28,7",-23%,11,-23%,"0,5",+37%,"0,2",-28%,"18,2",+15%,"1,35",+8%,"0,54",+8%,19,-3%,E,-3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Bordeau Chesnel'],,,3,,,,,,,"['FR 72.054.002 CE', 'Champagné (Sarthe, France)']",,,,
29,Labeyrie Duck Liver Mousse,3033610019435,,,,['France'],[],[],,,,,,,,,?,,522,,2184 kj(522 kcal),,53,,24,,"3,3",,"2,3",,8,,"0,87",,"0,348",,,,,,,,,,,,,['Labeyrie'],,,,,['Magasins U'],,,,,,,,,
30,Bloc de foie gras de canard au poivre Sarawak - Labeyrie,3033610039662,B,['Sous vide'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",['France'],"['Foie gras de canard', 'eau', 'sel', 'Armagnac', 'poivre', 'épices', 'sucre', 'antioxydant: E301', 'conservateur: E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",53 g,en quantité élevée,23 g,en quantité élevée,1.6 g,en faible quantité,1.07 g,en quantité modérée,?,,511,+4%,2138 kj(511 kcal),+5%,53,+5%,23,+7%,2,-6%,"1,6",+20%,"6,4",+5%,"1,075",-12%,"0,43",-12%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Labeyrie'],"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,3,,,,,,['France'],"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,
31,Nesquik gourmand - Nestle - 400g,3033710024476,,['boîte en métal'],"['Boissons', 'Boissons chaudes', 'Boissons instantanées', 'Boissons avec sucre ajouté']",['France'],"['sucre', 'cacao maigre ', '20%', 'lait écrémé en poudre', 'sirop de glucose déshydraté', 'lactose', 'huile végétale hydrogénée', 'filtrat de petit lait', 'protéines de lait', 'vanilline', 'cannelle', 'sel', 'E340', 'E452', 'E331', 'E451']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4.6 g,en quantité modérée,1.4 g,en quantité modérée,68.9 g,en quantité élevée,0.55 g,en quantité modérée,1588,+16%,380,+44%,1588 kj(380 kcal),+38%,"4,6",+22%,"1,4",-43%,"75,1",+54%,"68,9",+87%,"8,1",+39%,"0,55",+79%,"0,22",+79%,,,,,,,,,,,,"['Nestle', 'Nesquik']","['E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition']",['Lait'],4,,['Super U'],Préparation en poudre pour boisson cacaotée,400g,,,,,,,
32,"MONT BLANC Crème Saveur Vanille 4,3kg - 4300g",3033710033508,B,['Boite'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert rayon frais', 'Crèmes dessert vanille']",['France'],"['LAIT* entier concentré et poudre de LAIT* écrémé ', '79 %', ' ', '*LAIT origine France', ' ', ' sucre ', ' cacao maigre en poudre ', ' 2 % de chocolat ', 'cacao en poudre', 'cacao maigre en poudre', 'pâte de cacao', 'sucre', ' ', ' amidon de maïs ', ' amidon transformé de maïs', ' épaississant : gomme xanthane', ' Contient du LAIT', 'Peut contenir des traces de FRUITS A COQUES ', 'NOISETTES et AMANDES']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3.6 g,en quantité modérée,2.2 g,en quantité modérée,17 g,en quantité élevée,0.12 g,en faible quantité,528,+9%,125,+10%,528 kj(125 kcal),+10%,"3,6",+1%,"2,2",0%,19,+9%,17,+20%,"3,5",+21%,"0,12",-17%,"0,048",-17%,3,-28%,C,-28%,75.1%,12.7%,4.2%,4.9%,2.4%,0.6%,65,['Mont blanc'],"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",['Lait'],4,"['Aquaculture responsable', 'Aquaculture responsable ASC', 'Pêche durable', 'Pêche durable MSC', 'EU_ECO_LABEL', 'FOREST_STEWARDSHIP_COUNCIL_100_PERCENT']",,Crème dessert saveur vanille,4300 g,,,,,,,
