,name,bar_code,eco_score,packaging,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,labels,markets,generic_name,quantity,palm_ingredients,manufacturing,traceability_code,link,ingredients_origins,producer_info,origin_detail
1054,Graines de lotus sucrées,3364699334646,,,,['France'],[],[],,,,,,,,,?,,297,,1243 kj(297 kcal),,"3,3",,0,,"66,7",,"3,3",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Confiserie au sésame - 300g,3364699334660,,,,['France'],[],[],,,,,,,,,?,,444,,1858 kj(444 kcal),,36,,0,,"13,3",,"3,3",,0,,0,,0,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,
1056,Graines de lotus sucrées - Tang Frere,3364699334851,,,,['France'],"['GRAINES DE LOTUS 70%', ' SUCRE 25%,', 'EAU']",[],,,,,,,,,?,,297,,1243 kj(297 kcal),,"3,3",,0,,"66,7",,"3,3",,0,,0,,0,,,,,,,,,,,,,['Tang Frere'],,,,,['Tang Frères'],,,,,,,,,
1057,Gingembre sucre - Cock Brand - 3g,3364699334899,,,,['France'],[],[],,,,,,,,,?,,93,,389 kj(93 kcal),,0,,0,,20,,"3,3",,"3,3",,0,,0,,,,,,,,,,,,,"['Cock Brand', 'Mut Gung Mon']",,,,,,,3 g,,,,,,,
1058,Jeunes épis De Maïs Coq -  - 425g,3364699420653,,,,['France'],[],[],,,,,,,,,?,,72,,301 kj(72 kcal),,0,,0,,"11,2",,4,,"3,2",,0,,0,,,,,,,,,,,,,,,,,,,,425 g,,,,,,,
1059,Bambou Pousse Filament 567G - Tang Frere - 340g,3364699427300,,,,['France'],"['TRADE DE BAMBOU AU NATUREL DE BAMBOU630/o,EAUI LES POUR G : G', ' DONT ACIDESGRASSATURESOG', ' IJCRES OG ', ' PROTEINES2G', 'SELOŒ ,IUN ENDROIT FRAIS EFERENCE AVANT LE : ITE']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,23,,96 kj(23 kcal),,"0,1",,0,,"2,6",,0,,2,,0,,0,,,,,,,,,,,,,['Tang Frere'],,,,,['Tang Frères'],,340 g,,,,,,,
1060,Croustilles la barquette de 24 192 g - Bourgogne Escargot,3365480001730,C,,"['Viandes', 'Escargots', 'Escargots de Bourgogne']",['France'],"['Farce à la bourguignonne : 54 0% ', 'Beurre 73% ', 'lait', 'persil', 'ail', 'échalote', 'sel et épices', "" Chairs d'escargots "", 'Mollusques', ' 26 0% cuites dans un court-bouillon', ' ', 'Helix spp', ' Croustilles : 20 0%', ' Farine de blé ', 'Gluten', 'farine de soja', 'huile de cola', 'émulsifiant : lécithine de soja', 'sel', 'piment']","['Non végétalien', 'Non végétarien']",39 g,en quantité élevée,28 g,en quantité élevée,2.1 g,en faible quantité,1.38 g,en quantité modérée,?,,421,+66%,1761 kj(421 kcal),+66%,39,+92%,28,+106%,10,+329%,"2,1",+205%,"7,5",-32%,"1,375",+16%,"0,55",+16%,20,+65%,E,+65%,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,['Bourgogne Escargot'],['E322i - Lécithine'],"['Gluten', 'Lait', 'Mollusques', 'Soja']",4,,,,192 g,,,,,,,
1061,Camembert - Leader Price - 240g,3365500000149,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts', 'Fromages pasteurisés', 'Camemberts pasteurisés']",['France'],"['lait de vache pasteurisé ', 'origine : France', 'sel', ""ferments lactiques et d'affinage "", 'dont lait', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",20 g,en quantité modérée,13 g,en quantité élevée,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,252,-8%,1054 kj(252 kcal),-8%,20,-7%,13,-14%,"0,1",-81%,"0,1",-62%,18,-7%,"1,4",-2%,"0,56",-2%,14,0%,D,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Leader Price'],,['Lait'],3,,['Leader Price'],,240 g,,,,,,,
1062,Sardines - Jacques Gonidec,3365620224012,,,,['France'],"[""SARDINES» ÀYHUILE dlTRON 10 Ingrédients Sardines d'Oliv vierge extra* 18%"", 'citron* 6%Jsel', ""*24% des produits d'origine agricole sont issus de l'agriculture biologique"", ' Certifié pat FR-BIO', 'IO']",[],,,,,,,,,?,,360,,1506 kj(360 kcal),,32,,"4,9",,"0,5",,"0,5",,19,,"0,975",,"0,39",,,,,,,,,,,,,['Jacques Gonidec'],,['Poisson'],,"['Bio', 'Bio européen', 'FR-BIO-10']",['Biocoop Caluire'],,,,,,,,,
1063,Foie de morue fumé - Jacques Gonidec - 120g,3365620604111,,['Conserve'],,['France'],[],[],,,,,,,,,?,,371,,1552 kj(371 kcal),,38,,11,,"1,7",,"0,4",,7,,"1,2",,"0,48",,,,,,,,,,,,,['Jacques Gonidec'],,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'Pêche durable', 'Pêche durable MSC']",['Biocoop Caluire'],,120 g,,,['MSC-C-55096'],,,,
1064,Sardine Au Beurre Persillade - Les Mouettes d'Arvor,3365622037665,,,,['France'],[],[],,,,,,,,,?,,307,,1284 kj(307 kcal),,25,,"12,8",,"1,6",,"0,1",,19,,"1,75",,"0,7",,,,,,,,,,,,,"[""Les Mouettes d'Arvor""]",,,,['Produit en Bretagne'],,,,,,"['FR 29.039.512 CE', 'Concarneau (Finistère, France)']",,,,
1065,Thon blanc germon - Les Mouettes D'arvor,3365624094000,D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", 'Thons blancs']",['France'],[],[],28 g,en quantité élevée,4.6 g,en quantité modérée,0.5 g,en faible quantité,0.4 g,en quantité modérée,?,,342,+60%,1431 kj(342 kcal),+59%,28,+111%,"4,6",+77%,"0,5",+24%,"0,5",+117%,21,-11%,"0,4",-56%,"0,16",-56%,4,-8%,C,-8%,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,"[""Les Mouettes D'arvor""]",,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'en:produced-in-bretagne']",,,,,"['Bretagne', 'France']",,,,,
1066,Rillettes de Truite Bio - Conserverie gonidec,3365624180079,C,,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Poissons', 'Plats préparés', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Plats préparés au poisson', 'Rillettes de poissons', 'Rillettes de truite', 'en:preparations-made-from-fish-meat']",['France'],"['Depuis 1959', ""à Concarneau Les mouettes d'Arvor Billettes de tuuiteauyalque8Ûi& huile de tournesol,oignonsréhydraté"", ' ', ' jus de citron', 'protéines de lait/ poudre de tomates réhydratée', 'stabilisants : farine de guar et graines de caroube', 'algues 0,5%']",['Non végétalien'],18 g,en quantité modérée,2.6 g,en quantité modérée,0.2 g,en faible quantité,1.1 g,en quantité modérée,?,,229,+7%,958 kj(229 kcal),+7%,18,+13%,"2,6",-53%,"2,2",-2%,"0,2",-77%,15,+6%,"1,1",+6%,"0,44",+6%,3,-66%,C,-66%,74.4%,12.5%,3.8%,7.2%,1.7%,0.5%,51,['Conserverie gonidec'],['E412 - Gomme de guar'],,4,"['Bio', 'Bio européen', 'FR-BIO-10', 'en:produced-in-bretagne']",,,,,,,,,,
1067,Mini nems porc + sauce nuoc mam - Traiteur à emporter - 200g,3366760029468,C,"['Barquette', 'Sachet', 'Plastique']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Nems', 'Nems au porc']",['France'],"['Nems ', '6x30g', ' : Galette de riz 41,7% ', 'eau', 'farine de riz', 'huile de tournesol', 'sel', 'viande de porc ', 'origine : UE', ' 20%', 'vermicelle de pois ', 'amidon de pois', 'eau', 'carottes', 'oignons', 'champignons noirs réhydratés', 'gras de porc', 'fécule de manioc', 'sel', 'gingembre', 'poivre', ' Pourcentages exprimés sur les nems', 'Sauce nuoc mam ', '20g', ' : eau', 'sucre', 'nuoc mam 14% ', 'poisson', 'sel', 'eau', ""vinaigre d'alcool"", 'sel', ' Pourcentage exprimé sur la sauce']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",16 g,en quantité modérée,3.5 g,en quantité modérée,2.7 g,en faible quantité,1.7 g,en quantité élevée,?,,246,+11%,1029 kj(246 kcal),+11%,16,+40%,"3,5",+31%,19,-12%,"2,7",-16%,"5,3",-25%,"1,7",+23%,"0,68",+23%,13,+82%,D,+82%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,"['Traiteur à emporter', 'Agis']",,['Poisson'],3,,['Carrefour'],,200 g,,['France'],"['FR 69.243.004 CE', 'Tarare (Rhône, France)', 'EMB 69243F', 'Tarare (Rhône, France)', 'FR 44.072.002 CE', 'Herbignac (Loire-Atlantique, France)', 'EMB 69243E', 'Tarare (Rhône, France)']",,['Porc origine UE'],,
1068,Jambon fromage - Daunat - 125g,3367651002218,D,,"['Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au fromage', 'Sandwichs au jambon', 'Sandwichs Jambon Fromage']",['France'],[],[],12.3 g,en quantité modérée,4.3 g,en quantité modérée,3.9 g,en faible quantité,2.1 g,en quantité élevée,?,,299,+19%,1251 kj(299 kcal),+18%,"12,3",+13%,"4,3",+4%,"30,9",+20%,"3,9",+21%,"14,1",+26%,"2,1",+40%,"0,84",+40%,16,+47%,D,+47%,75.0%,14.2%,6.0%,2.8%,1.5%,0.4%,47,['Daunat'],,['Lait'],,['Fabriqué en France'],,,125 g,,,,,,,
1069,Tomme De Brebis L Cru Port,3368137124011,C,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Produits de montagne', 'Fromages de montagne', 'Fromages de brebis', 'Tommes', 'Tomme de brebis']",['France'],[],[],32.3 g,en quantité élevée,21.3 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,?,,384,-2%,1607 kj(384 kcal),-2%,"32,3",-3%,"21,3",-1%,0,-100%,0,-100%,"23,9",+7%,"1,8",+5%,"0,72",+5%,16,-3%,D,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,
1070,Coulis de Cassis - U Saveurs - 220g,3368950500160,,"['Bocal', 'Verre', 'métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Aides culinaires', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de cassis', 'Aide culinaire sucrée']",['France'],"['Purée de cassis 75%', 'sucre de canne']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,32 g,en quantité élevée,0 g,en faible quantité,595,,140,+4%,595 kj(140 kcal),+5%,0,-100%,0,-100%,33,+8%,32,+10%,"0,9",+37%,0,-100%,0,-100%,4,-5%,C,-5%,,,,,,,,"['U Saveurs', 'U']",,,3,"['Fabriqué en France', 'Transformé en France']","['Super U', 'Magasins U']",,220 g,,"['Creuse', 'France']",,,,,
1071,Mini nems au porc - U Saveurs - x5soit 130g,3368954085793,B,"['Frais', 'Plastic']","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Réfrigérés', 'Nems', 'Plats préparés réfrigérés', 'Nems au porc']",['France'],"['Mini-nems porc et légumes 100g: eau', 'farine de riz 16% *', 'viande de porc ', 'origine France', ' 10% *', 'pousses de haricots mungo 9', '8% *', 'vermicelle de pois réhydraté', 'oignons 5', '8% *', 'carottes 5', '2% *', 'gras de porc ', 'origine France', ' 4', '1% *', 'protéines de SOJA', 'champignons noirs réhydratés 2', '3% *', 'sauce SOJA ', 'eau', 'graines de SOJA', 'sel', 'farine de BLE', 'huile de tournesol', 'sel', 'caramel ', 'sucre', 'eau', 'émulsifiant: lécithine de SOJA', 'arôme naturel', 'poivre', ' Friture : huile de tournesol', ' *pourcentages exprimés sur les mini-nems', ' Sauce au nuoc-mâm 30g: eau', 'sucre', 'sel', ""vinaigre d'alcool"", 'nuoc-mâm 3,5% ** ', 'ANCHOIS ', 'stolephorus spp', 'sel', 'eau', 'sauce SOJA ', 'eau', 'graines de SOJA', 'sel', 'farine de BLE', ' **pourcentage exprimé sur la sauce', ' Traces éventuelles de crustacés', 'oeufs', 'lait', 'fruits à coques', 'céleri', 'moutarde', 'graines de sésame', 'lupin et mollusques']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",9.5 g,en quantité modérée,2.3 g,en quantité modérée,4.3 g,en faible quantité,2 g,en quantité élevée,801,-11%,192,-13%,801 kj(192 kcal),-14%,"9,5",-17%,"2,3",-14%,21,-3%,"4,3",+34%,"4,7",-34%,2,+45%,"0,8",+45%,10,+40%,C,+40%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,"['U Saveurs', 'U']",['E322i - Lécithine'],"['Œufs', 'Poisson', 'Gluten', 'Lait', 'Soja']",4,"['Viande Française', 'Viande Porcine Française', 'Sans conservateurs', 'Transformé en France']","['Super U', 'Magasins U']",,x5 soit 130 g,,['France'],,,"['France', 'Hors France']",,
1072,Pâtés en Croûte Canard Richelieu - U Saveurs - 2tranches soit 200g,3368957962749,D,"['Frais', 'Plastic', 'tranches']","['Viandes', 'Plats préparés', 'Charcuteries', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Réfrigérés', 'Charcuteries cuites', 'Plats au canard', 'Plats préparés réfrigérés', 'Pâté en croûte']",['France'],"['Pâté 58% : viande de dinde ', 'France', 'viande de canard ', 'France', ' 7,4% *', 'gras de porc', 'viande de porc ', 'France', 'foie maigre de canard 6,3% *', 'foie de poulet', 'graisse de canard', 'OEUF entier', 'LAIT DEMI-ÉCRÉMÉ', 'champignons ', 'trompettes de la mort', 'champignons noirs', 'champignons de paris', 'vin blanc', 'aromates ', 'échalote', 'oignon', 'ail', 'thym', 'laurier', 'sel', 'farine de BLÉ', 'PISTACHES', 'fécule de pomme de terre', 'porto', 'brandy', 'conjonctif de porc', 'sirop de glucose', 'sucre', 'PROTÉINES DE LAIT', 'protéines de BLÉ', 'épices', 'antioxydants : acide ascorbique et ascorbate de sodium', 'huile de tournesol', 'conservateur : nitrite de sodium', 'arômes', 'sucre vanillé ', 'sucre', 'extrait naturel de vanille', ' *pourcentages exprimés sur la totalité du produit', ' Croûte 33% : farine de BLÉ ', 'France', 'BEURRE', 'eau', 'sel', 'colorant : caroténoïdes', ' Gelée 9% : bouillon ', 'eau', 'vin blanc', 'madère', 'sel', 'arômes ', 'dont CÉLERI', 'conservateur : nitrite de sodium', 'gélatine de porc', ' Traces éventuelles de moutarde', 'fruits à coques', 'mollusques', 'crustacés et poissons']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",18 g,en quantité modérée,7.1 g,en quantité élevée,1.2 g,en faible quantité,1.7 g,en quantité élevée,1159,-7%,278,-5%,1159 kj(278 kcal),-5%,18,-2%,"7,1",-10%,"15,1",-26%,"1,2",+9%,"13,3",+24%,"1,7",+1%,"0,68",+1%,16,-6%,D,-6%,84.3%,11.4%,2.7%,1.0%,0.5%,0.1%,17,"['U Saveurs', 'U']","['E300 - Acide ascorbique', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes', 'E428 - Gélatine']","['Céleri', 'Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,"['Point Vert', 'Transformé en France']","['Super U', 'Magasins U']",Pâtés en croûte à base de mousse de canard,2 tranches soit 200 g,,['France'],"['FR 39.475.003 CE', 'Saint-Amour (Jura, France)']",,"['France', 'Hors France']",,
1073,Petit munster AOP au lait pasteurisé 24% de matière grasse - U Saveurs - 220g,3368959008391,B,"['Frais', 'Papier plastifié']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Fromages pasteurisés', 'Fromages à pâte molle à croûte naturelle', 'Fromages à pâte molle à croûte lavée', 'Munsters', 'Munsters au lait pasteurisé', 'Petits Munsters']",['France'],"['LAIT de vache pasteurisé', 'sel', 'ferments ', 'dont LAIT', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",24 g,en quantité élevée,19 g,en quantité élevée,0.3 g,en faible quantité,2 g,en quantité élevée,1233,-7%,297,-8%,1233 kj(297 kcal),-9%,24,-10%,19,+2%,"0,3",-46%,"0,3",-43%,20,-0%,2,+11%,"0,8",+11%,16,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['U Saveurs', 'U']",,['Lait'],3,"['Lait Français', 'Fabriqué en France', 'AOP', 'en:lait-francais-french-milk']","['Super U', 'Magasins U']",Munster,220 g,,"['Alsace', 'France']",['FR 16.817.5004 CE'],,"['France', 'Hautes Vosges']",,
