,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,manufacturing,packaging,link,brand_owner,ingredients_origins,generic_name,palm_ingredients
621,Saucisson ail fume bio,2251062047696,,['France'],[],[],?,212,887 kj(212 kcal),15,"7,6","1,6","0,8",19,"2,7","1,08",,E,"['Viandes', 'Charcuteries', 'Saucissons', ""Saucissons à l'ail""]",['Biocoop'],,,,15 g,en quantité modérée,7.6 g,en quantité élevée,0.8 g,en faible quantité,2.7 g,en quantité élevée,,-22%,-23%,-33%,-11%,+45%,+12%,+19%,+28%,+28%,19,-2%,E,-2%,80.5%,12.7%,2.9%,1.1%,0.6%,2.3%,21,"['Bio', ""Saucisson à l'ail""]",,,,,,,,
622,RIESLING 2018,3245390248831,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Le clarence de Haut-Brion,3660989199415,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Citron confit - Favols,3469679231257,,['France'],[],[],?,456,1908 kj(456 kcal),"21,4","12,9","61,5","58,6","3,1","9,4","3,76",['Favols'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits confits', 'Citron confit']",,,,,21.4 g,en quantité élevée,12.9 g,en quantité élevée,58.6 g,en quantité élevée,9.4 g,en quantité élevée,,+525%,+545%,+8131%,+18596%,+342%,+529%,+296%,+86%,+86%,29,+469%,E,+469%,,,,,,,,,,,,,,,,
625,Boudin blanc de rethel forestier 10% -,3760039213631,,['France'],"['viande fraiche de porc', 'lait', 'oeufs', 'sel', '10% forestier', 'échalotes', 'poivres', 'épices', 'boyaux naturel de porc']","['Non végétalien', 'Non végétarien']",?,292,1222 kj(292 kcal),"26,9","11,4","0,9","0,9",0,"1,99","0,796",,D,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté', 'Boudin blanc de Rethel']",,,"['Œufs', 'Lait']",3,26.9 g,en quantité élevée,11.4 g,en quantité élevée,0.9 g,en faible quantité,1.99 g,en quantité élevée,,+7%,+6%,+12%,+12%,-15%,+7%,-100%,+33%,+33%,21,+14%,E,+14%,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,"['Sans colorants', 'Sans conservateurs']","['FR 08.362.078 CE', 'Rethel (Ardennes, France)']",,,,,,,
626,Escalope de veau,2051795054257,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Coconut milk drink - jus cool,3275760001155,,['France'],[],[],?,50,209 kj(50 kcal),"2,5","2,5",6,5,0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Miel,3411690004037,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Sauce soja salée,3700799300387,,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja', 'Sauces au soja salées']",,,,,,,,,,,,,,,,,,,,,,,,,,,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,,,,
630,Sacfriscain,0260950026240,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
