,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,manufacturing,packaging,link,brand_owner,ingredients_origins,generic_name,palm_ingredients
0,Coca cola - 5x 250ml,0204906017715,5 x 250 ml,['France'],[],[],?,42,176 kj(42 kcal),0,0,10,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,La gourmandise d'Aillant,3760206770073,,['France'],[],[],?,411,1720 kj(411 kcal),"18,4","9,07","52,6","24,7","7,8","0,759","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Dattes fourrées - Sun,3068230016564,,['France'],[],[],?,?,,?,,?,,?,,,['Sun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Shape body shake - Women's Best,9010128014972,,['France'],[],[],?,380,1590 kj(380 kcal),"9,3","3,4","26,5",9,"39,2","0,7","0,28","[""Women's Best""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,L'extraordinaire canard du Sud Ouest,0222624065795,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tisane Eveil Sensuel - 100g,3700525907699,100 g,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Galette des rois frangipane amande et orange confite - Monoprix Gourmet,3350033678347,,['France'],"[""Beurre 29% - farine de blé - poudre d'amande 9% - sucre glace "", 'sucre', 'amidon de blé', "" - lait entier - œufs-écorce d'orange confite 3% "", ""sirop d'amidon de mais"", ""écorce d'orange 0,8%"", 'sel de mer', "" - sucre - amidon de mais - jaunes d'oeufs zeste d'orange 1,6% - liqueur d'orange Grand Marnier 0,7% "", 'cognac', 'eau', 'sucre', 'alcool', ""arôme naturel d'oranges amères"", 'colorant: caramel ordinaire', ' - sel', "" Traces de soja et d'autres fruits à coque"", ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques', "" Contient de l'alcool""]",['Non végétalien'],?,465,1946 kj(465 kcal),32,18,36,16,"7,2",1,"0,4",['Monoprix Gourmet'],D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['Monoprix'],['E150a - Caramel E150a'],"['Gluten', 'Lait']",4,32 g,en quantité élevée,18 g,en quantité élevée,16 g,en quantité élevée,1 g,en quantité modérée,,+10%,+11%,+21%,+22%,-7%,+24%,+13%,+43%,+43%,22,+15%,E,+15%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,
7,Tomurcuk - 125g,8690719011071,125 g,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Miel d acacia,3502190012001,,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
9,Soupe asiatique - Légendes Gourmandes,3760155981438,,['France'],[],[],?,340,1423 kj(340 kcal),"1,44","1,05",69,"5,6",11,"0,08","0,032",['Légendes Gourmandes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Terrine de magret de canard fumé,3277160936525,,['France'],[],[],?,300,1255 kj(300 kcal),26,10,"2,9",2,13,"2,2","0,88",,E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,,26 g,en quantité élevée,10 g,en quantité élevée,2 g,en faible quantité,2.2 g,en quantité élevée,,-2%,-2%,-1%,+5%,+69%,+223%,-8%,+44%,+44%,21,+17%,E,+17%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,,,,,,,
11,Curcumine,3701145600274,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Point Vert', 'Fabriqué en France']",,,,,,,,
12,Galette frangipane,3276550576341,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,,,,,,,,,,,,,,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,
13,Verrines rouget - Auchan - 4x 45g,3596710455997,4 x 45 g,['France'],[],[],?,578,2418 kj(578 kcal),"8,8","2,1","7,3","4,5","7,3","1,07","0,428",['Auchan'],,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,
14,Pain au chocolat pur beurre,2030501580488,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Galette aux pommes pur beurre,,,['France'],[],[],?,245,1025 kj(245 kcal),"9,1","4,7",36,17,"3,9","0,27","0,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pediasure Vainilla Polvo 850G - Abbott,8427030012865,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,['Abbott'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Poulet élevé sans traitement antibiotique - La Nouvelle Agriculture,0213319050257,,['France'],[],[],?,179,749 kj(179 kcal),11,"2,8",0,0,20,"0,15","0,06",['La Nouvelle Agriculture'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 79.195.003 CE', 'Nueil-les-Aubiers (Deux-Sèvres, France)']",,,,,,,
18,Mini croissants,5201360571604,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pannetone - Sicilyum,8004920742011,,['France'],[],[],?,396,1657 kj(396 kcal),17,"9,9",51,25,8,"0,57","0,228",['Sicilyum'],C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,,,,17 g,en quantité modérée,9.9 g,en quantité élevée,25 g,en quantité élevée,0.57 g,en quantité modérée,,+6%,+6%,+13%,+10%,-1%,-3%,+17%,+29%,+29%,20,+8%,E,+8%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,
20,Planet Bio pomme,10856291,,['France'],[],[],?,53,222 kj(53 kcal),0,0,12,10,0,0,0,['Planet Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Sans sucre ajouté']",,,,,,,,
21,Découoe de poulet blanc,0263216065465,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Miel de fleurs d'été - Le rucher Saint-Gilles - 250g,3770003019152,250g,['France'],[],[],?,?,,?,,?,,?,0,0,['Le rucher Saint-Gilles'],B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
23,Chausson pomme,0208107020338,,['France'],[],[],?,300,1255 kj(300 kcal),18,12,30,10,"3,6","0,63","0,252",,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,,18 g,en quantité modérée,12 g,en quantité élevée,10 g,en quantité modérée,0.63 g,en quantité modérée,,-5%,-5%,0%,+4%,-9%,-6%,-8%,+5%,+5%,17,0%,D,0%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,,,,
24,Navettes aux olives noires,3364474464360,,['France'],[],[],?,472,1975 kj(472 kcal),22,9,59,5,"7,5","2,73","1,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Rocailleux gourmand,3760194260082,,['France'],[],[],?,309,1293 kj(309 kcal),"23,2","15,3","0,9","0,9","23,2","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Miel de Normandie,3770012856052,,['France'],[],[],?,?,,?,,?,,?,0,0,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
27,Cuisse de poulet - Auchan,2600006033989,,['France'],[],[],?,187,782 kj(187 kcal),12,"3,5","0,5","0,5",20,"0,2","0,08",['Auchan'],D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['Auchan'],,,,12 g,en quantité modérée,3.5 g,en quantité modérée,0.5 g,en faible quantité,0.2 g,en faible quantité,,-2%,-2%,-3%,+4%,+57%,+223%,+9%,-74%,-74%,0,-100%,B,-100%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Viande Française', 'Volaille-francaise']",,,,,,,,
28,Toastinade de canard cèpes persillade - 100g,3720020000237,100 g,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Les traditionnelles Abricot Bio - Les délices de Flo,3760264927013,,['France'],[],[],?,242,1013 kj(242 kcal),0,0,57,57,"0,6",0,0,['Les délices de Flo'],B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,,,,0 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,0 g,en faible quantité,,+11%,+10%,-100%,-100%,+7%,+13%,+20%,-100%,-100%,8,-11%,C,-11%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,['Bio'],,,,,,,,
30,Poulet rôti,2209551006709,,['France'],[],[],?,176,736 kj(176 kcal),"9,9",3,"0,6","0,6",21,"0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.017.001 CE', 'Bignan (Morbihan, France)']",,,,,,,
31,Tutti Frutti Holiday Mix - Fazer,6416453036116,,"['Finlande', 'France']",[],[],1521,363,1521 kj(363 kcal),"1,3","0,9",85,57,1,"0,5","0,2",['Fazer'],E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Bonbons', 'Bonbons gélifiés']",,,,,1.3 g,en faible quantité,0.9 g,en faible quantité,57 g,en quantité élevée,0.5 g,en quantité modérée,+5%,+6%,+6%,+226%,+436%,+6%,-1%,-73%,+335%,+335%,16,+13%,D,+13%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['fi:Avainlippu'],,['Finland'],,,,,,
32,greek authentic salad dressing,5200117550466,,['France'],[],[],?,647,2707 kj(647 kcal),64,9,17,15,0,0,0,,D,"['Epicerie', 'Sauces', 'Sauces salades']",,,,,64 g,en quantité élevée,9 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,,+93%,+95%,+92%,+165%,+207%,+299%,-100%,-100%,-100%,19,+32%,E,+32%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,
33,Radler,4750049000498,,['France'],[],[],?,32,134 kj(32 kcal),"0,1",0,"7,7","7,3","0,2","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Miel de fleurs «tilleul et fleurs d'été» - Les ruches du Berry,3770012074128,,['France'],[],[],?,?,,?,,?,,?,0,0,['Les ruches du Berry'],B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",,,,,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,
35,Montagne de Jade,3700286549848,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Confiture myrtille rafraîchie à la gentiane - 370g,3546940022339,370 g,['France'],[],[],?,237,992 kj(237 kcal),"0,1","0,01","57,1","50,2","0,3","0,022","0,009",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges']",,,,,0.1 g,en faible quantité,0.01 g,en faible quantité,50.2 g,en quantité élevée,0.022 g,en faible quantité,,+8%,+7%,-61%,-79%,+7%,-2%,-41%,+1%,+1%,7,-22%,C,-22%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,
37,2 filets de poulet fermier,2860294066124,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['Bio'],,,,,,,,
38,Jambon fumé cuit dans le Haut-Doubs,2291847061592,,['France'],[],[],?,148,619 kj(148 kcal),"5,5","1,9","0,4","0,4",24,"1,76","0,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,
39,Böreklik,5706792201018,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cuisse de Poulet - La Nouvelle Agriculture,0213402017518,,['France'],[],[],?,198,828 kj(198 kcal),14,"3,5",0,0,18,"0,18","0,072",['La Nouvelle Agriculture'],D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,14 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,+4%,+3%,+13%,+4%,-100%,-100%,-2%,-76%,-76%,0,-100%,B,-100%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['Viande Française', 'Volaille-francaise']",,,,,,,,
41,Perles de tapioca,03934692,,['France'],[],[],?,80,335 kj(80 kcal),0,0,19,0,0,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tuiles snack,3250790831484,,['France'],[],[],?,520,2176 kj(520 kcal),29,"3,2","59,8","5,6","3,8","1,58","0,632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Salame peperoni - 300g,8003948000431,300 g,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Fayrouz Biére pineapple,6191572143708,,['France'],[],[],?,177,741 kj(177 kcal),0,0,20,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Préparation pour sandwich,3660088144545,,['France'],[],[],?,162,678 kj(162 kcal),10,"1,2","4,9","0,9",12,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Ossau-iraty,2232070002198,,['France'],[],[],?,422,1766 kj(422 kcal),35,25,"1,2","0,5",25,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sauce aux fromages - Leader Price,8054383506583,,['France'],[],[],?,375,1569 kj(375 kcal),37,14,"2,2","1,8","8,4","1,4","0,56",['Leader Price'],,,['Leader Price'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Jardinière de legumes - 130g,8437014583335,130 g,['France'],[],[],?,40.9,171 kj(40 kcal),"1,5","0,3","5,9","1,3","0,3","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
49,Le Poulet du Rôtisseur - Maître Coq,0215231067047,,['France'],[],[],?,181,757 kj(181 kcal),9,"2,5",1,0,24,1,"0,4",['Maître Coq'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans arômes artificiels', 'Sans colorants', 'Sans conservateurs']",,,,,,,,
50,Theo,3502490231393,,['France'],[],[],?,675,2824 kj(675 kcal),63,6,5,4,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Galette goumeau,0215930042642,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Ventreche de thon a l'huile d'olive - Perrin,3760018711790,,['France'],[],[],?,339,1418 kj(339 kcal),29,"5,7",0,0,19,1,"0,4",['Perrin'],E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",,,,,29 g,en quantité élevée,5.7 g,en quantité élevée,0 g,en faible quantité,1 g,en quantité modérée,,+34%,+35%,+67%,+88%,-100%,-100%,-20%,+2%,+2%,13,+141%,D,+141%,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,,,,,
53,Biscuits salés aux poivrons et aux herbes de Provence - Franprix,3263855402116,,['France'],[],[],?,487,2038 kj(487 kcal),23,18,59,5,"7,5","1,6","0,64",['Franprix'],,,['Franprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Steaks hachés pur bœuf - 400g,4165256343564,400 g,['France'],[],[],?,121,506 kj(121 kcal),"4,7","1,6",0,0,20,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Sagiko boisson de carambolier - 320ml,8888443112632,320 ml,['France'],[],[],?,44,184 kj(44 kcal),0,0,11,"8,4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Galettes de riz sucrées - 420g,4710144202418,420 g,['France'],[],[],?,498,2084 kj(498 kcal),"21,1","9,7","72,7","20,6","4,4","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Galette pomme,0205049039039,,['France'],[],[],?,258,1079 kj(258 kcal),13,"9,1",31,"8,2","2,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Riz parfumé - Golden Tulip,3364699011066,,['France'],[],[],?,345,1443 kj(345 kcal),"0,5",0,"79,5",0,"6,8",0,0,['Golden Tulip'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz thaï', 'Riz blanc', 'Riz thaï blanc']",,,,,0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-2%,-2%,-33%,-100%,+2%,-100%,-6%,-100%,-100%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,
59,Café Kitché - Saldac,3760147070676,,['France'],[],[],?,?,,?,,?,,?,,,['Saldac'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
60,Longe d'espadon,2888894037139,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Maraş usulü peynir,4260193517280,,['France'],[],[],?,311,1301 kj(311 kcal),"28,4","19,8","1,3","1,3","12,8","2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Poulet cuit fumé,2410750032998,,['France'],[],[],?,166,695 kj(166 kcal),"9,5","2,8","1,1","0,8",19,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Galette Frangipane Bio - Carrefour Bio,0202665051827,,['France'],[],[],?,475,1987 kj(475 kcal),34,19,36,14,"6,4","0,9","0,36",['Carrefour Bio'],D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['Carrefour'],,,,34 g,en quantité élevée,19 g,en quantité élevée,14 g,en quantité élevée,0.9 g,en quantité modérée,,+13%,+13%,+29%,+28%,-7%,+9%,+1%,+29%,+29%,21,+9%,E,+9%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,['Bio'],,,,,,,,
64,Grog digestion bio,3760115095977,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,
65,Cramberries,0220029004098,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Buffalo Wings (8 pièces) - Domino's - 252g,,252 g,['France'],['Ailerons de poulet marinés grillés'],[],950,228,950 kj(228 kcal),"13,59","2,32","4,53","0,77","21,77","1,2","0,48","[""Domino's""]",D,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Poulets cuisinés', 'Ailes de poulet']","[""Domino's Pizza""]",,"['Céleri', 'Lait']",,13.6 g,en quantité modérée,2.32 g,en quantité modérée,0.77 g,en faible quantité,1.2 g,en quantité modérée,+20%,+16%,+16%,+13%,-30%,+74%,-10%,+15%,-10%,-10%,4,-44%,C,-44%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['France'],['Carton'],https://www.dominos.fr/la-carte-side/buffalo-wings-8-pices-ECBFWSF,,,,
67,Soupe strogonow,5901696010548,,['France'],[],[],?,61,255 kj(61 kcal),"3,8","0,5","4,4","0,5","1,8","1,1","0,44",,,"['Plats préparés', 'Soupes']",,,,,3.8 g,en quantité modérée,0.5 g,en faible quantité,0.5 g,en faible quantité,1.1 g,en quantité modérée,,+7%,+8%,+96%,-17%,-23%,-71%,-18%,+27%,+27%,3,+83%,C,+83%,,,,,,,,['Sans colorants'],,,,,,,,
68,Mix fruits confits - Dr. Oetker,5701073062692,,['France'],[],[],?,314,1314 kj(314 kcal),0,0,76,70,0,"0,6","0,24",['Dr. Oetker'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Fruits confits']",,,,,0 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,0.6 g,en quantité modérée,,+12%,+11%,-100%,-100%,+14%,+27%,-100%,-19%,-19%,10,+38%,C,+38%,,,,,,,,,,,,,,,,
69,Terrine de lapin,2470744020011,,['France'],[],[],?,282,1180 kj(282 kcal),23,"8,7","3,7","0,5",15,"1,5","0,6",,D,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de lapin']",,,,,23 g,en quantité élevée,8.7 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,,+3%,+3%,+2%,+3%,+126%,-32%,-3%,0%,0%,17,+1%,D,+1%,77.1%,15.8%,3.3%,2.4%,1.1%,0.3%,38,,"['FR 72.090.007 CE', 'Connerré (Sarthe, France)']",,,,,,,
70,Premium almond coconut spread,5901330062568,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Galettes , 6 pieces",3770001005003,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Osso bucco de veau,2424271034249,,['France'],[],[],?,109,456 kj(109 kcal),2,"0,5","6,4","2,6",16,"0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Vin rouge 3L,3760008800206,,['France'],[],[],?,?,,?,,?,,?,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,
74,Kurkuma chai kokos,8719956490910,,['France'],[],[],?,571,2389 kj(571 kcal),"36,9","20,5","43,8","41,4","5,6","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Ananas entier,0206400019356,,['France'],[],[],?,54,226 kj(54 kcal),0,0,11,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Calissons,3275510021884,,['France'],[],[],?,441,1845 kj(441 kcal),"17,4","1,5","61,9","50,2","7,7",13,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Mini-bouchées ail et fines herbes,3181580282295,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Filet de poulet blanc fermier d'Auvergne élevé en plein air,0215772031095,,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
79,Beau mes de Venise,3760302420100,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,
80,fleur de sel de Guérande,3760146531024,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Pechuga fileteada,2079510003311,,['France'],[],[],?,108,452 kj(108 kcal),"1,7","0,5","0,9","0,7","22,3","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
