,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,eco_score,manufacturing,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,ingredients_origins,palm_ingredients,traceability_code,link,brand_owner
343,Wheat crackers soy sauce ramen - CGE - 80g,4710199109595,['CGE'],['Sans conservateurs'],['France'],"['farine de blé tendre', 'huile de palme raffinée', 'amidon de maïs', 'sauce soja 3', '5% ', 'eau', 'soja', 'blé', 'sel', 'sucre', 'sel', 'levure en poudre', 'mélange émulsifiants ', 'huile de palme raffinée', 'E422', 'E475', 'lécithine de soja', 'exhausteurs de goût ', 'E640', 'E631', 'E627', 'huile de sésame', 'épices', 'protéines de soja hydrolysées', 'humectant ', 'E452', 'E451', 'E339', 'E450', 'arôme', 'glucose', 'antioxydant ', 'E306', ""correcteur d'acidité "", 'E501', 'colorant ', 'E160c']","['Gluten', 'Graines de sésame', 'Soja']",['Huile de palme'],2100,210,2100 kj(210 kcal),26,"12,2","59,4",2,"7,4","2,314","0,926",80 g,,"['Snacks', 'Snacks salés']",26 g,en quantité élevée,12.2 g,en quantité élevée,2 g,en faible quantité,2.31 g,en quantité élevée,+7%,-55%,+9%,+7%,+188%,+25%,-39%,-13%,+50%,+50%,26,+113%,E,+113%,"['E422 - Glycérol', ""E475 - Esters polyglycériques d'acides gras"", 'E322i - Lécithine', 'E640 - Glycines et son sel de sodium', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E306 - Extrait riche en tocophérols', 'E501 - Carbonates de potassium', 'E160c - Extrait de paprika']",4,,['Taïwan'],['Tang Frères'],,,,,,,,,,['Huile de palme'],,,
344,Rice Crackers Original Flavor - BinBin - 150g,4710247000478,['BinBin'],,"['Belgique', 'France']","['Riz 64,8%', 'huile de palmier ', 'contient antioxygène : E319', 'sucre', 'amidon de tapioca modifié', 'sauce de soja en poudre ', 'fève de soja', 'blé', 'sel', 'maltodextrine', 'exhausteurs de goût : E621', 'E627', 'E631']",['Gluten'],[],?,487,2038 kj(487 kcal),18,"8,3",75,"9,5","5,2","0,7","0,28",150 g,,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",18 g,en quantité modérée,8.3 g,en quantité élevée,9.5 g,en quantité modérée,0.7 g,en quantité modérée,,+5%,+4%,-10%,+53%,+26%,+142%,-47%,-65%,-65%,19,+23%,E,+23%,"['E319 - Butylhydroquinone tertiaire', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']",4,B,['Thailand'],,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,
345,Chin Chin Black Rice Congee 320G,4710487011043,,,['France'],[],,[],?,111,464 kj(111 kcal),1,"0,2","23,1","11,3","2,5","7,8","3,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Fruit tea - chin chin - 530ml,4710487017359,['chin chin'],,['France'],[],,[],?,38,159 kj(38 kcal),0,0,"9,6","9,2",0,0,0,530 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Gelée de l'herbe - Chin Chin - 540g,4710487018028,['Chin Chin'],,['France'],"[""Gelée d'herbe"", 'amidon de maïs', 'eau']",,[],"55,82",13.33,"55,82 kj(13 kcal)",0,0,3,0,0,"0,155","0,062",540 g,['Conserve'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.155 g,en faible quantité,-94%,-95%,-95%,-100%,-100%,-95%,-100%,-100%,+634%,+634%,0,-100%,B,-100%,,3,D,['Taiwan'],['Supermarché Asie'],75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,Gelée d'herbe,,,,,
348,Chin Chin Aloe Vera Mixed Fruits,4710487051551,['Chin chin'],,['France'],"['EAU', 'JUS DE FRUITS 18,1% ', 'ANANAS', ""ORANGE' GOYAVE"", 'POMME', 'MANGUE', 'BANANE', ""JUS D'ALOE VERA 15% 8,5% DE PULPE"", 'SUCRE DE CANNE', 'ACIDIFIANT ', 'E330', 'AROME', 'STABILISANT ', 'E466', 'COLORANT ', 'E160a', 'ii', 'ANTIOXYDANT ', 'E300']",['ORANGE'],"[""Pourrait contenir de l'huile de palme""]",?,46,192 kj(46 kcal),0,0,"11,3","10,4","0,1","0,03","0,012",,,"['Boissons', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,10.4 g,en quantité élevée,0.03 g,en faible quantité,,-46%,-48%,-100%,-100%,-43%,-43%,-81%,-20%,-20%,14,+18%,E,+18%,"['E330 - Acide citrique', 'E466 - Carboxyméthylcellulose', 'E160aii - Carotènes végétaux', 'E300 - Acide ascorbique']",4,,,,,,,,,,,,,,,,
349,Aloe Vera Juice Drink - Chin Chin,4710487054828,['Chin Chin'],,['France'],"['EAU', ""JUS D'ALOE VERA 15%"", 'JUS DE LITCHI 6,6% SUCRE DE CANNE', ""CORRECTEURS D'ACIDITE "", 'E330', 'E327', 'AROME']",,[],?,39,163 kj(39 kcal),0,0,"9,6","7,8",0,"0,03","0,012",,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,7.8 g,en quantité élevée,0.03 g,en faible quantité,,-30%,-32%,-100%,-100%,-15%,-17%,-100%,-28%,-28%,12,+57%,E,+57%,"['E330 - Acide citrique', 'E327 - Lactate de calcium']",4,,,,,,,,,,,,,,,,
350,Soupe pékinoise - 伍中 - 540g,4710597000142,"['伍中', 'Wu Chung']",,['France'],"['Eau 44 %', 'pousses de bambou 12 %', 'pleurote en huitre 12 %', 'tofu 9 %', 'vermicelle de haricot mungo 7 %', 'champignon 4 %', 'vinaigre 3 %', 'tomates 2 %', 'amidon 2 %', 'sucre 2 %', 'sel 1,5 %', 'piments rouges 1,3 %', 'épices 0,2 %']",['Soja'],[],?,32,134 kj(32 kcal),"0,8",0,"4,5","1,2","1,6","0,8","0,32",540 g,['Conserve'],"['Conserves', 'Plats préparés', 'Soupes', 'Plats préparés en conserve', 'Soupes en conserve']",0.8 g,en faible quantité,0 g,en faible quantité,1.2 g,en faible quantité,0.8 g,en quantité modérée,,-37%,-36%,-60%,-100%,+2%,-12%,-28%,-0%,-0%,3,+41%,C,+41%,,3,,"['Taïwan', 'République de Chine']",['Supermarché Asie'],,,,,,,,,,,,,
351,Red bean Paste -,4710597042722,,,['France'],[],,[],?,240,1004 kj(240 kcal),0,0,54,32,6,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Plat Végétarien Lo Han Chai 280G - Wu chung,4710597050406,['Wu chung'],,['France'],"['Gluten frit ', 'b é', 'huile de de paille ', 'Volvaire volvacée', ',Pousse de bamboo', 'Sauce de soja ', 'graine de soja', 'blé', 'eau', 'sel', 'Sucre,Carotte,Gluten ', 'blé', 'eau', ',Tofu frit ', 'soja', 'eau', 'sulfate de calcium,Huile de de soja', 'épis de maïs,Sel,Champignon noir ', 'Auricularia auricula-judae']","['Gluten', 'Soja']",[],?,75,314 kj(75 kcal),"3,6","0,6","5,9","3,8","4,6","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
