,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,labels,allergens,ingredients_origins,manufacturing,link,palm_ingredients,markets,generic_name,brand_owner,traceability_code
1823,Choux rouges cuits - Schöni - 500g,7610596010005,['Schöni'],"['France', 'Suisse']","['Chou rouge', 'sucre', 'purée de pommes 2', '7%', 'vin blanc', ""vinaigre d'alcool"", 'sel de cuisine', 'amidon de mais', 'épices']",[],199,?,199 kj(48 kcal),"0,2",0,"9,1","8,4","0,8","1,4","0,56",500 g,['Sachet'],B,"['Plats préparés', 'Choucroutes', 'Choucroutes sans garniture', 'Choucroute']",0.2 g,en faible quantité,0 g,en faible quantité,8.4 g,en quantité modérée,1.4 g,en quantité modérée,-41%,,-49%,-97%,-100%,+297%,+1109%,-82%,+8%,+8%,6,+27%,C,+27%,47.0%,23.5%,9.5%,11.0%,5.3%,3.8%,92,,3,,,['Schweiz'],['Oberbipp'],,,['Volg'],,,
1824,Soyananda frais omega 6 tomates séchées - 140g,7610612003554,['SOYANANDA'],"['France', 'Allemagne', 'Pays-Bas']","['Tofu 64 % ', 'eau', ""fèves de soja* de l'UE"", 'cultures de bactéries', 'des huiles végétales* 27 %', 'huile de noix de coco*', 'huile de lin pressé à froid', 'des tomates séchées au soleil* 6', '6 %', 'câpres*', 'herbes*', 'épices*', 'sel de mer']","['Végétalien', 'Végétarien']",?,317,1326 kj(317 kcal),"29,5","21,3","7,1",4,"4,8","0,9","0,36",140 g,"['Plastique', 'Frais']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts du fromage']",29.5 g,en quantité élevée,21.3 g,en quantité élevée,4 g,en faible quantité,0.9 g,en quantité modérée,,+15%,+15%,+35%,+30%,-57%,+579%,+83%,-48%,-48%,15,-18%,D,-18%,,,,,,,,,3,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'CH-BIO-006']",['Soja'],['de:Union Européenne'],['Suisse'],,,['Ekoplaza'],,,
1825,"Soyananda 'Grüner Pfeffer', Soyana",7610612003585,['Soyana'],['France'],"['Tofu 66,8%', 'huiles végétales 29%', 'poivre vert 3%', 'sel cristallin']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",?,315,1318 kj(315 kcal),"31,1","22,7",4,"1,6","4,1","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'CH-BIO-006']",['Soja'],,,,,,,,
1826,Kartoffeln festkochend,7610632998014,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,Lasagne Roberto - Roberto SA - 450g,7610695004189,"['Roberto SA', 'Meyrin']","['France', 'Suisse']","['Lait', 'pâtes aux œufs cuites 20% ', 'semoule de blé dur', 'œuf entier ', 'CH', 'FR', ""pasteurisié et salé 18% [d'élevage au sol]"", 'bolets 14%', 'farine de blé', 'Grana Padano AOP ', 'fromage', 'huile de tournesol', 'sel de cuisine iodé', 'épices']","['Sans huile de palme', 'Non végétalien']",620,153,620 kj(153 kcal),7,"4,5",15,"4,5",6,"1,3","0,52",450 g,"['Frais', 'barquette alu', 'barquette PS_PE']",,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagne frais aux bolets', 'Lasagnes frais']",7 g,en quantité modérée,4.5 g,en quantité modérée,4.5 g,en faible quantité,1.3 g,en quantité modérée,+15%,+14%,+11%,+16%,+76%,+20%,+71%,-4%,+66%,+66%,4,+69%,C,+69%,,,,,,,,,3,"['Point Vert', 'Sans additifs', 'Sans colorants', 'Sans exhausteur de goût', 'Sans conservateurs', 'en:palm-oil-free', 'ISO22000']","['Œufs', 'Gluten', 'Lait']","['France', 'Canada', 'Europe', 'Italie', 'Suisse']",['Meyrin Genève'],https://www.roberto.ch/fr/pates-fraiches/Lasagne-aux-bolets-32,,['Migros'],Lasagne frais aux bolets,,['CH326']
1828,Ricola Herb-caramel,7610700002544,['Ricola'],['France'],[],[],?,235,983 kj(235 kcal),"0,7",0,97,0,0,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,Infuselle Après-Repas - Ricola - 200g,7610700603673,['Ricola'],['France'],"['Sucre', 'dextrose', 'sucre caramélisé', 'extrait ', '1,06 %', ' de plantes ', 'menthe', 'camomille', 'verveine', 'sauge', 'acidifiant ', 'acide citrique', ""arôme naturel d'orange"", 'arôme naturel']",['Sans huile de palme'],1630,390,1630 kj(390 kcal),0,0,96,94,0,0,0,200 g,"['Métal', 'Boîte', 'Plastique']",B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,94 g,en quantité élevée,0 g,en faible quantité,+11543%,+5471%,+6692%,-100%,-100%,+12838%,+20882%,-100%,-100%,-100%,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,['E330 - Acide citrique'],4,"['Point Vert', 'Triman']",,,,,,,Préparation pour boisson instantanée,,
1830,Bonbons Suisses aux plantes - Ricola - 50g,7610700607091,['Ricola'],"['Belgique', 'France']","['Isomalt', 'sorbitol', 'menthol', 'extrait du mélange de 13 plantes Ricola 0,3%', 'édulcorants ', 'aspartame', 'acesulfame-K', 'arômes naturels', 'acidifiant ', 'acide citrique', 'arôme naturel de menthes', 'colorant ', 'chlorophylles']",[],?,0,0 kj(0 kcal),0,0,100,0,0,0,0,50 g,['Carton'],C,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,-100%,-100%,-100%,+20%,-100%,-100%,-100%,-100%,0,-100%,B,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,"['E953 - Isomalt', 'E420 - Sorbitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E330 - Acide citrique', 'E140i - Chlorophylles']",4,,,['Suisse'],,,,['Delhaize'],Bonbons aux plantes,,"['EMB 68056C', 'Brunstatt (Haut-Rhin, France)']"
1831,Bonbon au herbed - Ricola - 100g,7610700626054,['Ricola'],"['France', 'Suisse']",[],[],990,?,990 kj(237 kcal),0,0,97,0,0,0,0,100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,Sugar free Liquorice sweets - ricola - 45g,7610700626344,['Ricola'],"['France', 'Royaume-Uni']",[],[],?,235,983 kj(235 kcal),1,1,96,0,0,0,0,45 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
