,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,packaging,traceability_code,labels,markets,generic_name,ingredients_origins,palm_ingredients,manufacturing,link,brand_owner
0,Riz express basmati - Uncle Ben's - 400g,5010034002258,C,400 g,"[""Uncle Ben's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati', 'en:Microwave rice']",['France'],"['Riz basmati précuit à la vapeur ', '98%', 'huile de tournesol', 'sel']",[],3,1.8 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.45 g,en quantité modérée,656,-53%,155,-53%,656 kj(155 kcal),-53%,"1,8",+73%,"0,2",-17%,"30,9",-57%,0,-100%,"3,3",-56%,"0,45",+1157%,"0,18",+1157%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,
1,Saucisses de porc,3760019296081,,,,"['Viandes', 'Charcuteries', 'Saucisses']",['France'],[],[],,13.1 g,en quantité modérée,5.5 g,en quantité élevée,0.9 g,en faible quantité,1.8 g,en quantité élevée,?,,190.7,-25%,798 kj(190 kcal),-25%,"13,1",-37%,"5,5",-31%,"0,9",-37%,"0,9",+20%,"17,3",+15%,"1,8",-8%,"0,72",-8%,14,-20%,D,-20%,,,,,,,,,,,,,,,,,,,
2,Blanc de poulet,6065756194018,D,,,"['Viandes', 'Charcuteries', 'Volailles', 'Poulets', 'Charcuteries cuites', 'Blancs de volaille en tranches', 'Blancs de poulet en tranches']",['France'],[],[],,1.6 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,98,-8%,410 kj(98 kcal),-8%,"1,6",-22%,"0,4",-34%,"0,5",-54%,"0,5",-41%,21,+1%,"1,8",-3%,"0,72",-3%,3,-33%,C,-33%,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,
3,Brioche pepite chocolat lait - Les Delices Dauphinois - 400g,3760058621004,B,400 g,['Les Delices Dauphinois'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains briochés', 'en:Chocolate chip bread']",['France'],"['Farine de ble 42', '6% ', 'farine de ble', 'farine de ble malte', 'gluten', 'oeufs 18', '9%', ""beurre d'isigny 11"", '9%', 'pepites de chocolat 9', '8% ', 'sucre', 'pate de cacao', 'emulsifiant : lecithines de tournesol', 'arome vanille', 'sucre', ""creme d'isigny 4%"", 'levure fraiche de boulanger', 'lait entier 1', '7%', ""emulsifiants :mono et diglycerides d'acides gras "", ""100% d'origine vegetale"", 'pour maintenir le moelleux de vos brioches', 'sel', 'antioxydants : acide ascorbique', ' Traces possibles de fruits a coques']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,19 g,en quantité modérée,12 g,en quantité élevée,16 g,en quantité élevée,0.91 g,en quantité modérée,1668,+17%,398,+22%,1668 kj(398 kcal),+22%,19,+106%,12,+268%,49,-3%,16,+51%,"8,8",+4%,"0,91",-11%,"0,364",-11%,21,+125%,E,+125%,71.4%,16.0%,8.3%,3.7%,0.6%,0.0%,82,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait']",,,,,,,,,,
4,Vin de provence,3604894759715,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sofram,3396400000397,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Salade futee,2270776000308,,,,,['France'],[],[],,,,,,,,,,?,,674,,2820 kj(674 kcal),,59,,"6,1",,"1,7",,"1,7",,24,,0,,0,,,,,,,,,,,,,,,['Film en plastique'],,,,,,,,,
7,El falafel,4260174655963,,,,,['France'],[],[],,,,,,,,,,?,,148,,619 kj(148 kcal),,"3,7",,"0,5",,22,,"2,2",,11,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,
8,Paves marines 2poivres - Jean Rozé,0210734026768,,,['Jean Rozé'],,['France'],[],[],,,,,,,,,,?,,116,,485 kj(116 kcal),,"3,6",,1,,"0,5",,"0,5",,20,,"1,1",,"0,44",,,,,,,,,,,,,,,,"['FR 35.360.005 CE', 'Vitré (Ille-et-Vilaine, France)']",,,,,,,,
9,Tarama rose - Delicemer,3760036825028,,,['Delicemer'],,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
10,Supreme de Langoustines - 780g,3272641118513,,780 g,,,['France'],[],[],,,,,,,,,,?,,53,,222 kj(53 kcal),,"2,3",,"1,1",,"2,5",,"1,9",,"5,2",,"0,7",,"0,28",,,,,,,,,,,,,,,,,['Sans additifs'],,,,,,,
11,Cranberry And Raspberry Instant Tea 450 g (pack Of 2) - Whittard,5022032106760,,,['Whittard'],,['France'],[],[],,,,,,,,,,?,,38,,159 kj(38 kcal),,0,,0,,"9,3",,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
12,Cardon au naturel,00001022,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Norwegischer Gurkensalat - 330g,4009309622612,,330 g,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,
14,Fromage cheddar barre,2092381010691,,,,,['France'],[],[],,,,,,,,,,?,,415,,1736 kj(415 kcal),,35,,22,,"0,5",,"0,5",,25,,18,,"7,2",,,,,,,,,,,,,,,,,,['Auchan'],,,,,,
15,pickled onions - 220g,4260218310278,,220 g,,,['France'],[],[],,,,,,,,,,?,,52,,218 kj(52 kcal),,"0,1",,0,,"8,1",,"8,1",,"0,6",,"1,94",,"0,776",,,,,,,,,,,,,,,,,,,,,,,,
16,Thousand Island - Real Quality,4334011150185,D,,['Real Quality'],"['Epicerie', 'Sauces', 'Sauces salades']","['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,['Flasche'],,,,,,,,,
17,l'extra tendre de poulet - Maître Coq,0215787044219,,,['Maître Coq'],,['France'],[],[],,,,,,,,,,?,,108,,452 kj(108 kcal),,"2,2",,"0,7",,0,,0,,22,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
18,Hähnchenschnitzel Wiener-Art,4059699088604,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Kunststoff'],,,,,,,,,
19,Sauce Yaourt - Heinz,8715700112770,B,,['Heinz'],"['Epicerie', 'Sauces', 'Sauces au yaourt']",['France'],[],[],,11 g,en quantité modérée,1 g,en faible quantité,6.8 g,en quantité modérée,1.8 g,en quantité élevée,?,,143,-33%,598 kj(143 kcal),-33%,11,-44%,1,-53%,10,+49%,"6,8",+60%,1,-30%,"1,8",+15%,"0,72",+15%,9,-11%,C,-11%,58.6%,17.6%,9.9%,8.6%,4.2%,1.1%,88,,,,,['Sans arômes artificiels'],,,,,,,
20,Sucre brun - 500g,09491534,B,500 g,,"['Édulcorants', 'Sucres']",['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,97.6 g,en quantité élevée,0 g,en faible quantité,?,,397,+2%,1661 kj(397 kcal),+2%,0,-100%,0,-100%,"99,2",+2%,"97,6",+4%,0,-100%,0,-100%,0,-100%,14,-1%,D,-1%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,,,,,,,,,
21,Eismann Tagliatelle-Nester alla Pesto,4059699053602,,,['Eismann'],,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Eismann Schupfnudel-Wirsingpfanne mit Frikadellen - 1000g,4059699088222,,1000 g,['Eismann'],,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Eismann Stangenspargel,4059699053213,,,['Eismann'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais']","['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Eismann Prinzessbohnen - 600g,4059699088925,,600 g,['Eismann'],,"['Autriche', 'France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Aluminium'],,,,,,,,,
25,Edeka Pariser Karotten,4311501447796,,,['Edeka'],,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Glas'],,,,,,,,,
26,Sardinilla aceite de oliva picante,8410131040301,,,,,['France'],[],[],,,,,,,,,,?,,196,,820 kj(196 kcal),,12,,"2,3",,"1,1",,"0,5",,21,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,
27,Simply Squeezed Smoothie Berry,9417566043821,,,,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,1,,0,,30,,"29,3",,"1,9",,"0,43",,"0,172",,,,,,,,,,,,,,,,,,,,,,,,
28,Pistache - Meray,4251032602298,,,['Meray'],,['France'],[],[],,,,,,,,,,?,,657,,2749 kj(657 kcal),,"58,3",,"6,4",,"7,2",,"2,8",,"21,6",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,
29,Dragées : Galets Lorenzo,0404160701256,,,,,['France'],[],[],,,,,,,,,,?,,532,,2226 kj(532 kcal),,"29,2",,10,,"58,4",,"50,5",,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Excel Gomme Sans Sucre Menthe Forte,0064900424328,,,,,['France'],[],[],,,,,,,,,,?,,166.66666666667,,697 kj(166 kcal),,0,,0,,"66,667",,"66,667",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
31,Choco Boerinneke,5411146222419,,,,,['France'],[],[],,,,,,,,,,?,,443,,1854 kj(443 kcal),,27,,10,,"49,1",,"37,3",,"1,7",,0,,0,,,,,,,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,
32,Sel cristallin de l'himalaya,4013123450375,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['Sans additifs'],,,,,,,
33,Saucisson de cheval - 290g,2265141014301,,290 g,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bergkäse - Alpenmark,2707019003470,D,,['Alpenmark'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']","['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,['stück'],,,,Bergkäse,,,,,
35,Handl Schinkenspeck Streifen,9001745077037,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Portion'],,['en:gluten-free'],,,,,,,
36,SEAFOOD SEASONNING - Badia,0033844008055,,,['Badia'],,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,
37,Farine spéciale -  - 1kg,3760173811854,,1 kg,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Poulet fermier,2223060013874,D,,,"['Viandes', 'Volailles', 'Poulets']",['France'],[],[],,8.6 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,0.13 g,en faible quantité,?,,161,+7%,674 kj(161 kcal),+7%,"8,6",+48%,3,+100%,0,-100%,0,-100%,21,+3%,"0,13",-85%,"0,052",-85%,-1,-171%,A,-171%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
39,Confiture de fraise,3760255327051,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
40,Cacahuètes grillés salées - 100g,5604164000521,,100 g,,,['France'],[],[],,,,,,,,,,?,,625,,2615 kj(625 kcal),,"52,4",,"9,73",,"9,3",,"4,7",,"22,8",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,
41,Pains au chocolat AOP ×8 -,0255295026895,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries']",['France'],[],[],,27 g,en quantité élevée,18 g,en quantité élevée,12 g,en quantité modérée,0.82 g,en quantité modérée,?,,436,+19%,1824 kj(436 kcal),+19%,27,+73%,18,+105%,40,-17%,12,-25%,"7,9",+8%,"0,82",+3%,"0,328",+3%,20,+16%,E,+16%,,,,,,,,,,,,,,,,,,,
42,Confiture Myrtilles aux Cranberries,3770014555076,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pastra beef - Al Jadid,3760114530783,,,['Al Jadid'],"['Viandes', 'Bœuf']",['France'],[],[],,6.68 g,en quantité modérée,2.17 g,en quantité modérée,0.18 g,en faible quantité,2.5 g,en quantité élevée,?,,131,-27%,548 kj(131 kcal),-27%,"6,68",-31%,"2,17",-45%,"5,4",+409%,"0,18",-59%,12,-40%,"2,5",+125%,1,+125%,13,+148%,D,+148%,,,,,,,,,,,,,,,,,,,
44,Cardamin tea,4260466411703,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Les vergers de barousse,,,,,,['France'],[],[],,,,,,,,,,?,,45,,188 kj(45 kcal),,"0,8",,"0,1",,11,,"10,9",,"0,5",,,,,,,,,,,,,,,,,,,,"['EMB 82079', 'Labastide-Saint-Pierre (Tarn-et-Garonne, France)']",,,,,,,,
46,Biscuits des volcans,3760035330929,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Mûre Sauvage épépinée,3770000942149,,,,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,55,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
48,Filet de poulet - La Nouvelle Agriculture,0213400046312,D,,['La Nouvelle Agriculture'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,104,-21%,435 kj(104 kcal),-20%,"1,3",-55%,"0,4",-46%,0,-100%,0,-100%,23,+1%,"0,11",-85%,"0,044",-85%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
49,Filet de pouket jaune - Carrefour,0219966033391,,,['Carrefour'],,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
50,Digestion,3700695210131,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Figues séchées variété cuello dama,2600236018503,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Cassoulet perigourdin,3760027910429,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Huile d'olive,8437005705043,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],,91.4 g,en quantité élevée,13.2 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,826,-4%,3456 kj(826 kcal),-3%,"91,43",-4%,"13,2",-6%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
54,Les Pépites de Laguiole,3760148070378,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,spicy hot pot seasoning,6932760601019,,,,,['France'],[],[],,,,,,,,,,?,,443,,1854 kj(443 kcal),,39,,"21,6",,"18,5",,"3,1",,"7,3",,"12,1",,"4,84",,,,,,,,,,,,,,,,,,,,,,,,
56,Fraise dream -,3760028230021,C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Fruits frais', 'Fraises', 'Fraises fraîches']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,94.3%,0.0%,0.0%,3.0%,2.5%,0.1%,60,,,,,,,,,,,,
57,BOULETTES AU BŒUF - 800g,5901752323377,,800 g,,,['France'],[],[],,,,,,,,,,?,,188,,787 kj(188 kcal),,11,,"4,6",,"4,7",,2,,17,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,
58,Four purée potage,3471422300226,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Biere purple panther,4744175010438,C,,,"['Boissons', 'Boissons alcoolisées', 'Bières']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,0,-100%,?,,,,?,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,
60,Würzfleisch,4006276217452,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,
61,Thé compagnie coloniale (chocolat),3760166260867,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Confiture Fraise - 310g,3760053481467,,310 g,,,['France'],[],[],,,,,,,,,,?,,234,,979 kj(234 kcal),,"0,13",,"0,01",,"56,43",,"55,37",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Jaquet 6 petits pains - Jacquet,3029330062820,,,['Jacquet'],,"['France', 'Suisse']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Nếp,8852116710098,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Sachet'],,,,,,,,,
65,Filet mignon cuisiné aux 2 moutardes,0291500062050,,,,,['France'],[],[],,,,,,,,,,?,,111,,464 kj(111 kcal),,"3,6",,"1,3",,"0,6",,"0,5",,19,,"1,4",,"0,56",,,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,
66,Lait pasteurisé écrémé - 1l.,7612300001828,,1 l.,,,"['France', 'Suisse']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bouteille'],,,,,,,,,
67,Leimer Mutschelmehl,4000186012404,,,['Leimer'],,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Packung(en)'],,,,,,,,,
68,Desperado,8712000055806,,,,,"['France', 'Suisse']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bouteille'],,,,,,,,,
69,CONFITURE DE DATTE - Flora,6111259240384,D,,['Flora'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de dattes']",['France'],[],[],,10 g,en quantité modérée,0 g,en faible quantité,40 g,en quantité élevée,0 g,en faible quantité,?,,283,+27%,1184 kj(283 kcal),+28%,10,+3717%,0,-100%,"69,6",+30%,40,-22%,"1,05",+103%,0,-100%,0,-100%,6,-35%,C,-35%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,
70,Bio Weizenmehl Typ 1050 - Real Bio - 1000g,4334011213286,,1000 g,['Real Bio'],,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:EG-Öko-Verordnung']",,,,,,,
71,Confiture Rhubarbe Fraises,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Légumes tiges', 'Confitures et marmelades', 'Confitures', 'Rhubarbes', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,38.1 g,en quantité élevée,,,?,,160,-22%,669 kj(160 kcal),-23%,0,-100%,0,-100%,"38,1",-28%,"38,1",-25%,"0,4",-0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Miến Phú Gia,0851683004621,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Miến HQ,6957427661106,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Leimer flädle - 100g,4000186034109,,100 g,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Pollo entero limpio,2694385008010,,,,,['France'],[],[],,,,,,,,,,?,,210,,879 kj(210 kcal),,15,,"4,3",,0,,0,,19,,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,
76,Snapple,15002611,,,['Snapple'],,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Pudding Pulver Vanille - 37g,4009418124700,,37 g,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Ginger & Garlic Paste,5060302255251,,,,,['France'],[],[],,,,,,,,,,?,,526,,2201 kj(526 kcal),,5,,"0,1",,"20,5",,3,,"5,2",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,
79,Escalopes de dinde,0227578043295,D,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['Monoprix'],,,,,,
80,Tarte a l'oignon,2988798023051,,,,,['France'],[],[],,,,,,,,,,?,,251,,1050 kj(251 kcal),,18,,"9,4",,15,,15,,"7,8",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,
81,Pommes sarladaises,3496960001022,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Terrine à la royale - 90g,3701011402698,,90 g,,['Terrines'],['France'],[],[],,33.9 g,en quantité élevée,12.4 g,en quantité élevée,0.6 g,en faible quantité,1.5 g,en quantité modérée,?,,356,+18%,1490 kj(356 kcal),+19%,"33,9",+32%,"12,4",+31%,"0,9",-59%,"0,6",-23%,"11,7",-16%,"1,5",-2%,"0,6",-2%,20,+13%,E,+13%,,,,,,,,,,,,,,,,,,,
83,Dynamite Chili Con Carne,0071106061813,,,,,['France'],[],[],,,,,,,,,,?,,130,,544 kj(130 kcal),,5,,"2,6",,13,,3,,7,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,
84,Lapin cuisiné en gibelote,3496960000704,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Les apérisablés,3588570004224,,,,,['France'],[],[],,,,,,,,,,?,,437,,1828 kj(437 kcal),,"14,8",,"9,8",,"66,4",,"12,7",,"10,2",,"2,9",,"1,16",,,,,,,,,,,,,,,,,,,,,,,,
86,Shaker Spezie Smoky BBQ Braai Da Cucina Condimento BBQ 265GR,8717677175109,,,,,['France'],[],[],,,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Avèze Gentiane Fraîche,3014330000217,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Cointreau,3500870061592,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bouteille'],,,,,,,,,
89,Psyllium Blond,3760222091282,,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,28,,117 kj(28 kcal),,"0,5",,0,,"2,84",,0,,"1,42",,"0,12",,"0,048",,,,,,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,
