,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,packaging,traceability_code,labels,markets,generic_name,ingredients_origins,palm_ingredients,manufacturing,link,brand_owner
1783,Dijon mustard - Whole Foods,0099482477370,B,,['Whole Foods'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']","['France', 'États-Unis']","['Water', 'mustard seed', 'distilled white vinegar', 'salt']",[],3,10 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,6 g,en quantité élevée,?,,100,-37%,418 kj(100 kcal),-37%,10,-13%,0,-100%,0,-100%,0,-100%,0,-100%,6,+1%,"2,4",+1%,11,+2%,D,+2%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,"Whole Foods Market, Inc."
1784,Navettes  de Provence,6408552136316,,,,,['France'],[],[],,,,,,,,,,?,,422,,1766 kj(422 kcal),,"9,4",,"6,2",,76,,24,,"7,2",,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,
1785,Donuts -,0208856019355,B,,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['France'],[],[],,26 g,en quantité élevée,14 g,en quantité élevée,22 g,en quantité élevée,0.57 g,en quantité modérée,1903,+7%,456,+11%,1903 kj(456 kcal),+11%,26,+14%,14,+32%,49,+9%,22,+31%,"4,6",-22%,"0,57",-40%,"0,228",-40%,21,+8%,E,+8%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,
1786,50G Preparation Flan Citron A. coudre,3287180000038,,,,"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour flans']",['France'],[],[],,,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,Bonbons a La Rose - Leone,8005028127045,E,,['Leone'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
1788,Confiture de goyave - La Fruitière de Colpo,3438750000303,D,,['La Fruitière de Colpo'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', 'Confitures de goyaves']",['France'],"['Goyave ', '60 % ', 'sucre cristal ', '39 %', 'Acidifiant: acide citrique', 'gélifiant ', ' pectine de pomme']","['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.7 g,en faible quantité,0.2 g,en faible quantité,54 g,en quantité élevée,0.03 g,en faible quantité,?,,237,+6%,992 kj(237 kcal),+6%,"0,7",+134%,"0,2",+393%,54,-1%,54,+4%,"1,5",+313%,"0,03",-56%,"0,012",-56%,11,+12%,D,+12%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['E330 - Acide citrique', 'E440 - Pectines']",,,,,,,,,,,
1789,DATTES,133377000190,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,Eier,4041447000303,,,,,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,Jambon des Pyrénées DR,2836817019816,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,Saucisse Saveurs de Bain de Bretagne,2422918038117,,,,,['France'],[],[],,,,,,,,,,?,,219,,916 kj(219 kcal),,18,,"7,4",,"0,5",,"0,5",,14,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,
1793,Velours de fruits pomme coing,3760175590337,,,,,['France'],[],[],,,,,,,,,,?,,95,,397 kj(95 kcal),,"0,5",,"0,1",,23,,22,,"0,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,
1794,Bofrost Pfifferlinge - Plus,01721,,,"['Plus', 'Bofrost']",,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,Bofrost Zuckererbsen-Schoten,0015869017168,,,['Bofrost'],,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,Substitut repas saveur Cookie,5060594775550,,,,,['France'],[],[],,,,,,,,,,?,,333,,1393 kj(333 kcal),,"4,5",,1,,28,,"1,2",,40,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,
1797,Thé vert & blanc aromatisé : pomme figue coing cannelle - Baronny's,3700496322026,,,"[""Baronny's""]",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,Riso carnaroli,8032505850721,,,,,"['France', 'Italie']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Container'],,,,,,,,,
1799,Bofrost Knusper-Hasen,01330,,,['Bofrost'],,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,2797 Joghurt Eis - Eismann - 2l,4059699008008,,2l,['Eismann'],,"['France', 'Allemagne']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
