,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,additives,nova_score,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,producer_info,allergens,palm_ingredients,brand_owner,origin_detail
1493,Velouté de tomates et basilic,3760142950713,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,"Käfer Hugo Rosé,0,75 L -",4003301058103,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,"['Glas', 'Kunststoffkappe']",,,,,,,,,,,,,,,,,,
1495,Plein Air Label Rouge - Auchan,3596710479580,D,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']","['Nutriscore', 'Nutriscore A', 'Label Rouge']",['France'],[],[],9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,0.3 g,en quantité modérée,?,,140,+1%,586 kj(140 kcal),+1%,"9,8",-2%,"2,6",+6%,"0,5",-19%,"0,5",-0%,13,+4%,"0,3",+10%,"0,12",+10%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,['Auchan'],,,,,['Auchan'],,,-1,,A,,,,,,,
1496,samyang cheese,8801073114111,,,,['France'],[],[],,,,,,,,,?,,520,,2176 kj(520 kcal),,18,,9,,70,,5,,11,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,Spécialité végétal à base de soja au citron - Super U - 4x 100g,3256227751769,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']","['Bio', 'Bio européen', 'FR-BIO-01', 'Transformé en France', 'Soja-de-france']",['France'],"['Jus de SOJA* ', 'eau', 'SOJA dépellicullé ', 'origine France', ' 8,6%', 'sucre de canne*', 'eau ', 'pulpe de citron* 4,6%', 'zeste de citron*2% ', 'amidon de riz ', 'amidon de maïs*', 'gélifiant : pectines', 'arôme naturel de citron', 'ferments lactiques', "" *ingrédients issus de l'agriculture biologique""]",[],1.8 g,en faible quantité,0.2 g,en faible quantité,7.9 g,en quantité modérée,0 g,en faible quantité,?,,287,+212%,1201 kj(287 kcal),+213%,"1,8",-45%,"0,2",-90%,"9,1",-17%,"7,9",-22%,"3,6",-5%,0,-100%,0,-100%,,,,,,,,4 x 100 g,,"['Super U', 'U Bio', 'U']",,,"['FR 17.028.001 CE', 'Aytré (Charente-Maritime, France)']",,"['Magasins U', 'Super U']",['E440 - Pectines'],4,2,-35%,B,-35%,,,"['Lait', 'Soja']",,,
1498,Quiche Lorraine,0209560019020,D,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Quiches', 'Quiches lorraines']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,75.2%,13.0%,2.5%,2.6%,1.4%,5.3%,45,,,,,,,,,,,,,,,,,,,,
1499,Supe gjedhi,8690504649748,,,,['France'],[],[],,,,,,,,,?,,18,,75 kj(18 kcal),,"0,1",,"0,1",,"3,8",,"0,4",,0,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,Käsefondue - 500g,7640103588635,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,"['France', 'Allemagne']","['Schweizer Käse 50% ', 'Milch', 'Salz', 'Lab', 'Käsekulturen', 'Weisswein', 'Wasser', 'Maisstärke', 'Kirschwasser', 'Schmelzsalze ', 'E 339/ E 452', 'Kochsalz', 'Gewürze', ' Pasteurisiert', 'alkoholhaltig']",['Non végétalien'],16 g,en quantité modérée,10 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,1030,-18%,247,-25%,1030 kj(247 kcal),-25%,16,-40%,10,-44%,4,+231%,"< 0,5",-33%,16,-22%,"1,7",+31%,"0,68",+31%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,500 g,,,,,,,,"['E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",4,14,+2%,D,+2%,,,['Lait'],,,
1501,Foie gras de canard entier - 80g,3295080812927,,,,['France'],[],[],,,,,,,,,?,,510,,2134 kj(510 kcal),,52,,23,,"2,9",,"0,8",,"7,7",,"1,1",,"0,44",,,,,,,,,80 g,,,,,"['FR 56.109.001 CE', 'Lauzach (Morbihan, France)']",,,,,,,,,,,,,,
1502,Haricots verts extra fins Bio - Auchan,3596710480333,,,"['Bio', 'Bio européen']",['France'],[],[],,,,,,,,,?,,18,,75 kj(18 kcal),,0,,0,,"2,3",,"0,4",,"1,5",,"0,56",,"0,224",,,,,,,,,,"['Bocal en verre', 'Bocal en verre']",['Auchan'],,,,,['Auchan'],,,,,,,,,,,,
1503,Oeuf - Auchan - 18,3596710479474,C,"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']","['Plein air', 'Œufs de poules élevées en plein air', 'Oeufs de France', 'Nutriscore', 'Nutriscore A']",['France'],['18 cœufs de catégorie A de poules élevées en plein air'],[],9.8 g,en quantité modérée,9.8 g,en quantité élevée,0.5 g,en faible quantité,0 g,en faible quantité,584,-1%,140,+1%,584 kj(140 kcal),+1%,"9,8",-2%,"9,8",+298%,"2,6",+319%,"0,5",-0%,"0,5",-96%,0,-100%,0,-100%,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,18,['boîte'],['Auchan'],,['France'],"['FR 01.074.004 CE', 'Chalamont (Ain, France)']",,['Auchan'],,,10,,C,,,,['Œufs'],,,
