,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,link,markets,additives,nova_score,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,producer_info,allergens,palm_ingredients,brand_owner,origin_detail
0,Vinaigre de riz,8858960300010,B,"['Vinaigres', 'Vinaigres de riz']",['en:gluten-free'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,2 g,en faible quantité,11.3 g,en quantité élevée,?,,17,-41%,71 kj(17 kcal),-40%,0,-100%,0,-100%,2,-61%,2,+19%,1,+182%,"11,3",+2129%,"4,52",+2129%,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,,,,,,,
1,Pain 6 cereales,0231022010825,,,,['France'],[],[],,,,,,,,,?,,272,,1138 kj(272 kcal),,"4,3",,"0,7",,60,,"1,4",,14,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,fond de volaille - titok - 90g,3760103007180,,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Sauces', 'Bouillons', 'Marmites de bouillon', 'Sauces déshydratées', 'en:Poultry-stock-for-sauce-and-cooking-dehydrated']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['amidon de maïs', 'sel', 'extrait de levure,viande de volail 4 %', 'antioxydant:extrait de romarin', 'oignon', 'ail', 'huile de tournesol', ' poivre blanc romarin curcuma']",[],,,,,,,,,1300,,307,+339%,1300 kj(307 kcal),+255%,"3,1",-23%,"0,5",-75%,62,+520%,"1,3",-61%,"7,3",+162%,17,+39%,"6,8",+39%,,,,,,,,90 g,['Metal'],['Titok'],['France'],['olonne sur mer'],['BIO4022'],3760103007180,['Bio'],['E392 - Extrait de romarin'],3,,,,,,,,,,
3,Camomille - 25 Sachets,3250391370672,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Amaretto d'Italia - Matilde Vicenzi - 175g,8000350006105,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,"['France', 'Italie']",[],[],10.2 g,en quantité modérée,1 g,en faible quantité,76 g,en quantité élevée,0.13 g,en faible quantité,?,,433,-9%,1812 kj(433 kcal),-9%,"10,2",-51%,1,-90%,77,+20%,76,+158%,"6,9",+6%,"0,13",-78%,"0,052",-78%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,175 g,['Plastica'],['Matilde Vicenzi'],,['San Giovanni Lupatoto'],,,,,,12,-39%,D,-39%,,,,,,
5,Natural azucarado No lactosa! - Carrefour - 500g(4x 125g),3560071007928,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",['Sans lactose'],"['France', 'Espagne']",[],[],3.5 g,en quantité modérée,2.3 g,en quantité modérée,11 g,en quantité modérée,0.1 g,en faible quantité,378,+36%,?,,378 kj(90 kcal),+27%,"3,5",-3%,"2,3",-1%,11,+126%,11,+148%,"3,2",-23%,"0,1",-17%,"0,04",-17%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,500 g(4 x 125 g),,['Carrefour'],,,['ES 15.00008/S CE'],,['Carrefour'],,,4,+607%,C,+607%,"Leche fermentada natural azucarada, sin lactosa.",Fabricado por RGSEAA 15.00008/S para Interdis.,,,,
6,Véritables truffe,3173287325603,,,,['France'],[],[],,,,,,,,,?,,605,,2531 kj(605 kcal),,46,,28,,40,,38,,"4,7",,"0,001",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Thé earl grey - U - 100g,3256226397388,A,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,['France'],"['Thé noir Ceylan 95 %', 'huile essentielle de bergamote 3 %', 'pétales de bleuets 2 %']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,100 g,"['doypack vrac', 'sachet vrac']",['U'],,,,,['Magasins U'],,1,,,,,,,,,,
8,Panettone,3760077535818,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,['France'],[],[],14.9 g,en quantité modérée,10 g,en quantité élevée,22 g,en quantité élevée,0.7 g,en quantité modérée,?,,360,-4%,1506 kj(360 kcal),-3%,"14,9",-1%,10,+11%,"53,2",+3%,22,-15%,"8,4",+23%,"0,7",+59%,"0,28",+59%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,20,+8%,E,+8%,,,,,,
9,6 Samossas aux légumes sauce aigre douce -  - 170g,3222477062559,E,"['Plats préparés', 'Samoussas', 'Samoussas aux légumes']",,['France'],"['samossa aux légumes 6x25g 88% : chou pommé 22,8%* - farine de blé - eau - chair de tige noix de coco - carotte 8,3%* - échalote 8,3%* - poivron vert 5,2%* - huile de son de riz - sel - huile de noix de coco - sucre - poivre - curry en poudre 0,1% ', 'graine de moutarde - graine de coriandre - graine de fénugrec - piment - poivre - graine de fenouil - graine de cumin - farine de blé - curcuma - sel', ' *pourcentages exprimés sur le samossa aux légumes', ' sauce aigre douce 20g 12% : ketchup 23,9%*', 'tomate - sucre - vinaigre - sel - eau', ' - sucre - vinaigre - sauce soja 5,4%* [extrait de graine de soja ', 'eau - graine de soja dégraissée - sel - blé', ' - eau - sucre - sel] - ananas 4,6%* - oignon 3,4%* - eau - amidon transformé de tapioca - poivron vert 2,3%* - sel - huile de son de riz - ail', ' *pourcentages exprimés sur la sauce aigre douce', "" traces d'arachides"", 'sulfites', 'crustacés', 'graines de sésame', 'lait', 'mollusques', 'fruits à coque', 'oeufs et poissons']",[],6.9 g,en quantité modérée,2.5 g,en quantité modérée,8.1 g,en quantité modérée,1.6 g,en quantité élevée,824,,196,+8%,824 kj(196 kcal),+7%,"6,9",+4%,"2,5",+140%,29,+12%,"8,1",+100%,"3,3",-23%,"1,6",+108%,"0,64",+108%,94.1%,2.8%,0.7%,0.7%,0.4%,1.4%,7,170 g,,,,,,,,['E14XX - Amidons modifiés'],4,10,+196%,C,+196%,"6 galettes de blé (38,1%) préfrites garnies d'une farce aux légumes et au curry (61,9%), accompagnées d'un sachet de sauce aigre-douce à base de ketchup, légumes, sauce soja et ananas, surgelés",,"['Gluten', 'Moutarde', 'Soja', 'Samossa aux légumes 6x25g 88', 'Sauce aigre douce 20g 12', 'Samossa aux légumes 6x25g 88\xa0%', 'Sauce aigre douce 20g 12\xa0%']",,,
10,Confit de Canard,3800224142008,,,,['France'],[],[],,,,,,,,,?,,357,,1494 kj(357 kcal),,30,,"10,1",,"0,6",,"0,4",,"21,6",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Melange tonus,2600285020335,,,,['France'],[],[],,,,,,,,,?,,460,,1925 kj(460 kcal),,22,,"2,1",,42,,26,,20,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Riz au lait - Parsons - 430,9310047206909,B,"['Desserts', 'Puddings', 'Riz au lait']",,"['Australie', 'France']",[],[],1.6 g,en faible quantité,1.1 g,en faible quantité,10.1 g,en quantité modérée,0.45 g,en quantité modérée,900,+60%,420,+190%,900 kj(420 kcal),+50%,"1,6",-57%,"1,1",-52%,17,-25%,"10,1",-25%,"3,8",+11%,"0,45",+249%,"0,18",+249%,63.9%,15.4%,7.4%,8.1%,4.1%,1.1%,87,430,['Can'],['Parsons'],['Australie'],['Australia'],,,['Woolworths'],,,4,-1%,C,-1%,,,,,,
13,Petritegi -,8437001383108,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Confiture extra abricot,3515580000106,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,['France'],"['Abricot', 'pectine de fruits et sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.5 g,en faible quantité,60 g,en quantité élevée,0 g,en faible quantité,?,,280,+28%,1172 kj(280 kcal),+28%,"0,5",+121%,"0,5",+1071%,60,+13%,60,+19%,"0,5",-0%,0,-100%,0,-100%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,['E440 - Pectines'],4,8,-11%,C,-11%,,,,,,
15,Cassoulet pur porc,3467980180004,,,,['France'],[],[],,,,,,,,,?,,534,,2234 kj(534 kcal),,6,,"2,2",,"7,9",,"0,5",,10,,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Huile d'olive truffe - Oliveraie Jeanjean,3760143532734,,,,['France'],[],[],,,,,,,,,?,,823,,3443 kj(823 kcal),,"91,5",,"12,6",,0,,0,,0,,,,,,,,,,,,,,,['Oliveraie Jeanjean'],,,,,,,,,,,,,,,,,
17,Panzani coquillette bio qualite superieure 3kg - Panzani Food Services - 3000g,3038355203002,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Coquillettes']","['Bio', 'Ecocert', 'Bio européen', 'IT-BIO-009', 'Qualité supérieure', 'AB Agriculture Biologique']",['France'],"[""100% semoule de BLE dur issue de l'agriculture biologique"", ' Contient du gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0,-100%,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,3000 g,"['Sec', 'Sac']","['Panzani Food Services', 'Panzani +']",,['Italie'],,https://www.panzanifoodservice.com/categories/les-pates-bio-de-qualite-superieure/,,,1,0,,B,,pâtes alimentaires de qualité supérieure,,['Gluten'],,,
18,Sucette Fruits Tubo 18 Dessin Fleur,3263624961387,,,,['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,0,,0,,90,,73,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Confiture de fraises Bio - Les confitures de Haute Soule - 250g,3760101593708,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['Bio', 'Agriculture UE/Non UE']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,59 g,en quantité élevée,0 g,en faible quantité,?,,245,+13%,1025 kj(245 kcal),+12%,0,-100%,0,-100%,59,+11%,59,+16%,4,+803%,0,-100%,0,-100%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,250 g,,['Les confitures de Haute Soule'],,,,,,,,11,+26%,D,+26%,,,,,,
20,Conikos,6111242041448,,,,['France'],[],[],,,,,,,,,?,,502,,2100 kj(502 kcal),,26,,"11,6",,61,,"3,4",,"4,8",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Noix De Grenoble 1kg - 1Kg,3335101924052,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Noix françaises', 'Noix de Grenoble']",['AOP'],['France'],['Noix de Grenoble'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,1 Kg,['Plastique'],,,,,,,,1,,,,,,,,,,
22,Pizza margherita - U - 320g,3256227101977,B,"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas margherita']","['Transformé en France', 'Farine de blé français']",['France'],"['Farine de ble ', 'france', ' 34,1%', 'eau', 'mozzarella 23,4%', 'purée de tomates double concentré 4,3%', 'oignons pré frits 1,7% ', 'oignons', 'huile de tournesol', 'huile de colza', 'levure boulangère', 'sel', 'amidon transformé de pomme de terre', 'sucre', 'ail', 'poudre à lever ', 'diphosphates et carbonates de sodium', 'amidon de ble', 'origan', 'poivre', "" traces éventuelles d'oeuf"", 'poisson', 'mollusques', 'crustacés', 'moutarde et céleri']",['Non végétalien'],7.3 g,en quantité modérée,3.6 g,en quantité modérée,2.6 g,en faible quantité,1.1 g,en quantité modérée,993,+5%,236,+4%,993 kj(236 kcal),+4%,"7,3",-2%,"3,6",+2%,31,+7%,"2,6",-3%,11,+17%,"1,1",-13%,"0,44",-13%,52.9%,15.6%,6.3%,7.9%,3.6%,13.7%,84,320 g,['Surgelés'],['U'],,,,,['Magasins U'],"['E14XX - Amidons modifiés', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium']",4,4,-44%,C,-44%,,,"['Gluten', 'Lait']",,,
23,Drink happy,6111242104075,,,,['France'],[],[],,,,,,,,,?,,82,,343 kj(82 kcal),,2,,2,,"13,7",,0,,"2,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Filet de bacon fumé,2293164014961,,,,['France'],[],[],,,,,,,,,?,,120,,502 kj(120 kcal),,"2,8",,1,,"0,5",,"0,5",,23,,"3,2",,"1,28",,,,,,,,,,,,,,"['EMB 57032R', 'Ars-sur-Moselle (Moselle, France)', 'FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)']",,,,,,,,,,,,,,
25,Nature croustillants chips,0627843203056,,,,['France'],[],[],,,,,,,,,?,,500,,2092 kj(500 kcal),,25,,"3,5",,"64,2",,0,,"7,1",,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Jus pomme,3700490804641,,,,['France'],[],[],,,,,,,,,?,,41,,172 kj(41 kcal),,0,,0,,10,,9,,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Huile vierge de Colza,3760156550176,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",,['France'],[],[],100 g,en quantité élevée,7.5 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+3%,3766 kj(900 kcal),+4%,100,+3%,"7,5",+5%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,,,,,,,,,,,5,-1%,C,-1%,,,,,,
28,Filets de truite,6111243384063,E,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,['France'],[],[],11 g,en quantité modérée,1 g,en faible quantité,1 g,en faible quantité,2 g,en quantité élevée,?,,199,+21%,833 kj(199 kcal),+22%,11,+40%,1,-38%,1,+140%,1,+240%,24,+6%,2,-27%,"0,8",-27%,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,,,,,,5,-58%,C,-58%,,,,,,
29,Noix de coco râpée,3439495109740,,,,['France'],[],[],,,,,,,,,?,,683,,2858 kj(683 kcal),,"65,1",,"57,1",,"9,3",,"7,4",,"7,8",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Papaye ananas vanille,3452514941299,,,,['France'],[],[],,,,,,,,,?,,532,,2226 kj(532 kcal),,0,,0,,31,,25,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Chips à base de pomme de terre,3760259130503,,,,['France'],[],[],,,,,,,,,?,,413,,1728 kj(413 kcal),,10,,1,,70,,"0,8",,"7,4",,1,,"0,4",,,,,,,,,,,,,,,,['Biocoop Caluire'],,,,,,,,,,,,
32,Beignet Choco-noisette - Auchan,2030509002029,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,['France'],[],[],16.4 g,en quantité modérée,3.36 g,en quantité modérée,22.8 g,en quantité élevée,0.45 g,en quantité modérée,?,,385,+8%,1611 kj(385 kcal),+8%,"16,35",+3%,"3,36",-3%,"50,58",+12%,"22,84",+40%,"6,69",+6%,"0,45",-39%,"0,18",-39%,,,,,,,,,,['Auchan'],,,,,['Auchan'],,,13,+8%,D,+8%,,,,,,
33,La tourte saumon,3770007763600,,,,['France'],[],[],,,,,,,,,?,,283,,1184 kj(283 kcal),,15,,"3,5",,29,,"0,7",,"7,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Assortiment mignardise premium,26023922,,,,['France'],[],[],,,,,,,,,?,,483,,2021 kj(483 kcal),,29,,13,,43,,36,,10,,"0,21",,"0,084",,,,,,,,,,,,,,"['EMB 77270', 'Maisoncelles-en-Brie (Seine-et-Marne, France)']",,,,,,,,,,,,,,
35,Soupe aux champignons - Delhaize,5400119518611,B,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes aux champignons', 'en:Delhaize']",['Nutriscore'],"['Belgique', 'France']",[],[],2.9 g,en faible quantité,0.9 g,en faible quantité,2.1 g,en faible quantité,0.66 g,en quantité modérée,?,,47,-23%,197 kj(47 kcal),-27%,"2,9",+29%,"0,9",+19%,"2,9",-73%,"2,1",-36%,"1,9",-17%,"0,66",-67%,"0,264",-67%,59.8%,20.7%,7.6%,4.9%,4.9%,2.0%,90,,,['Delhaize'],,,,,['Delhaize'],,,1,-54%,B,-54%,,,,,,
36,olio extra vergine di oliva,8024358901248,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,['France'],[],[],92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,828,-3%,3464 kj(828 kcal),-3%,92,-4%,14,0%,0,,0,,0,,0,-100%,0,-100%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,6,-2%,C,-2%,,,,,,
37,Crema spalmabile nocciole - Selex - 400g,80674061,E,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,"['France', 'Italie']","['Sucre', 'huile végétale ', 'palme et colza', 'noisettes 13%', 'poudre de cacao maigre', 'lait écrémé en poudre', 'lactosérum en poudre', 'lactose', 'émulsifiant ', 'lécithine de tournesol', 'arôme naturel de vanille']","['Huile de palme', 'Non végétalien']",29.2 g,en quantité élevée,10 g,en quantité élevée,57 g,en quantité élevée,0.1 g,en faible quantité,2204,-3%,528,-4%,2204 kj(528 kcal),-4%,"29,2",-14%,10,+30%,"58,4",+14%,57,+19%,"6,1",-11%,"0,1",-3%,"0,04",-3%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,400 g,,['Selex'],,,,,['Elite'],,4,22,+6%,E,+6%,Pâte à tartiner aux noisettes,,"['Lait', 'Fruits à coque']",,,
38,Crème glacée crème brûlée,3665018045275,,,,['France'],[],[],,,,,,,,,?,,245,,1025 kj(245 kcal),,"12,53",,"2,85",,"30,73",,"30,72",,"2,16",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Mozarella tartufella di latte di bufala al tartufo nero (1,2%) - Ambrosi - 500g",8002503403120,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,['France'],[],[],24 g,en quantité élevée,16 g,en quantité élevée,0.6 g,en faible quantité,0.7 g,en quantité modérée,?,,271,+4%,1134 kj(271 kcal),+5%,24,+16%,16,+14%,"0,6",-42%,"0,6",-20%,14,-17%,"0,7",+4%,"0,28",+4%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,500 g,,['Ambrosi'],,,['IT 15-593 CE'],,,,,11,+8%,D,+8%,,,,,,
40,Jus de citron italien bio,20221324,,,"['Bio', 'en:EG-Öko-Verordnung']",['France'],[],[],,,,,,,,,?,,44,,184 kj(44 kcal),,"0,1",,0,,"6,5",,"1,8",,"0,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Mond Und Sterne Müsli (375G) - Rapunzel - 375g,4006040419976,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'DE-ÖKO-006', 'Agriculture UE', 'Agriculture UE/Non UE']",['France'],[],[],,,,,,,,,?,,387,,1619 kj(387 kcal),,"8,4",,"3,5",,62,,"9,4",,12,,"0,3",,"0,12",,,,,,,,,375 g,,['Rapunzel'],,,,,,,,,,,,,,,,,
42,Préparation culinaire huile olive aromatisée truffe - plaisir de la Truffe - 100ml,3392070011558,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles']",,['France'],"[""Huile extra vierge d'olive "", '99%', 'arôme ', '1%', ' Aponsommer de préférence avant: voir sur la bouteille']",[],99 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,894,+4%,3740 kj(894 kcal),+4%,99,+3%,18,+18%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,,,,,,,,100 ml,,['plaisir de la Truffe'],,,,,['Carrefour'],,4,7,-10%,C,-10%,,,,,,
43,Buble gum,8413178290555,,,,['France'],[],[],,,,,,,,,?,,336,,1406 kj(336 kcal),,1,,1,,82,,73,,0,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Mais croustillant,3569881141020,,,,['France'],[],[],,,,,,,,,?,,445,,1862 kj(445 kcal),,"2,9",,"1,1",,18,,"0,8",,"1,8",,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Suchard,7622210079657,,,,['France'],"['sugar', 'vegetable fats ', 'palm', 'shea', 'skimmed milk powder', 'whey powder', 'cocoa mass', 'cocoa butter', 'rice crisp', 'rice flour', 'salt', 'sugar', 'e471', 'fat reduced cocoa powder', 'milk fat', 'soya lecithin', 'e476', 'sunflower lecithin', 'flavourings']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",,,,,,,,,?,,535,,2238 kj(535 kcal),,30,,15,,57,,"53,5",,"6,6",,"0,5",,"0,2",,,,,,,,,,,['Suchard'],,,,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",4,,,,,,,['Soja'],,,
46,8 saucisses aux herbes -,3266110800863,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses-aux-herbes']","['Viande Française', 'Viande Porcine Française']",['France'],"['Viande de porc 88 %', 'eau', 'sel', 'dextrose', 'épices et plantes aromatiques ', 'dont herbes 0,25%', 'arômes naturels', 'saccharose', 'sirop de glucose', ' Boyau naturel de porc', ' Traces de lait', 'gluten', 'soja', ' CONSERVATION : A conserver entre 0°C et +4°C', ' A consommer après cuisson', ' A cuisiner dès ouverture', ' Conditionné sous atmosphère pre']","['Non végétalien', 'Non végétarien']",20 g,en quantité modérée,7.7 g,en quantité élevée,0.7 g,en faible quantité,1.8 g,en quantité élevée,?,,245,+7%,1025 kj(245 kcal),+7%,20,+17%,"7,7",+23%,"1,1",-28%,"0,7",+18%,15,-7%,"1,8",+2%,"0,72",+2%,,,,,,,,,"['Barquette', 'Film en plastique']",,,,"['FR 22.046.001 CE', ""Collinée (Côtes-d'Armor, France)""]",,,,4,17,+21%,D,+21%,,,,,,
47,Jambon sec,0210748015024,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'en:raw-cured-ham']",,['France'],[],[],18 g,en quantité modérée,7.5 g,en quantité élevée,0.5 g,en faible quantité,5.9 g,en quantité élevée,?,,274,+14%,1146 kj(274 kcal),+15%,18,+33%,"7,5",+45%,1,+54%,"0,5",+15%,27,-6%,"5,9",+20%,"2,36",+20%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,"['FR 38.012.001 CE', 'Aoste (Isère, France)']",,,,,20,+18%,E,+18%,,,,,,
48,Mmmh sandwich lyoner,7610029192780,,,,['France'],[],[],,,,,,,,,?,,290,,1213 kj(290 kcal),,16,,10,,25,,0,,11,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,pinot noir - becker - 750ml,3571551807006,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']","[""Vin d'Alsace""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,750ml,['bouteille verre'],['Becker'],,,,,,,,,,,,,,,,,
50,Surtido de fuets - carsodo - 340g,8414169830125,,"['Viandes', 'Charcuteries']",,"['France', 'Espagne']","['Varkensvlees en - vet - lactose', 'magere melkpoeder', 'zout', 'zwoerd', 'varkensproteinen', 'dextrose', 'kruiden stabilisatoren ', 'E451', 'E450', 'suikerbietextract', 'kruidenextract', 'antioxidant ', 'E301', 'conserveermiddelen ', 'E250', 'E252', 'kleurstof ', 'E120', ' Natuurlijke varkensdarm', ' Fuet Peper: Buitenkant: Peper ', '78%', 'gelatine', 'zout', 'glycerol', 'conserveermiddel ', 'E202', 'geleermiddelen ', 'E407', 'E417']","['Non végétalien', 'Non végétarien']",34.1 g,en quantité élevée,14 g,en quantité élevée,2.7 g,en faible quantité,4.6 g,en quantité élevée,?,,438,+68%,1833 kj(438 kcal),+70%,"34,1",+77%,14,+93%,"5,7",+288%,"2,7",+240%,"26,9",+44%,"4,6",+93%,"1,84",+93%,,,,,,,,340 g,['Plastic'],['Carsodo'],,,,,,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E428 - Gélatine', 'E422 - Glycérol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E417 - Gomme tara']",4,25,+56%,E,+56%,,,['Lait'],,,
51,Agent de demoulage,3441110285654,,,,['France'],[],[],,,,,,,,,?,,844,,3531 kj(844 kcal),,"7,3",,"7,3",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
