,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,ingredients_origins,brand_owner,traceability_code,palm_ingredients,origin_detail,producer_info
0,Tic Tac Citron Vert & Orange - 16g,80813101,E,Pastilles aromatisées au citron vert et à l'orange,16 g,"['Boîte', 'Plastique', 'Boîte en plastique']","['Tic Tac', 'Ferrero']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Pastilles']",['Point Vert'],https://www.tic-tac.fr/fr/les-gouts-tic-tac#tic-tac-gouts-citron-vert-et-orange,['Auchan'],['France'],"['Sucre', 'maltodextrine', 'acidifiant : acide tartrique', 'amidon de riz', 'épaississant ', 'gomme arabique', 'arômes concentré de spiruline et de pomme', 'colorants ', 'E160a', 'E100', 'E120', 'antioxydant :acide ascorbique', 'jus de citron en poudre', ""agent d'enrobage "", 'cire de carnauba']","['E334 - Acide L-tartrique', ""E414 - Gomme d'acacia"", 'E160a - Carotènes mélangés', 'E100 - Curcumine', 'E120 - Acide carminique', 'E300 - Acide ascorbique', 'E903 - Cire de carnauba']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,0.4 g,en faible quantité,0.4 g,en faible quantité,91.4 g,en quantité élevée,0.02 g,en faible quantité,?,,386,+21%,1615 kj(386 kcal),+19%,"0,4",+89%,"0,4",+117%,95,+12%,"91,4",+74%,"0,1",-54%,"0,02",-61%,"0,008",-61%,14,+48%,D,+48%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,
1,Chiquilin Galetes - Artiach,8410000000115,C,,,,['Artiach'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,"['France', 'Espagne']","['Harina de trigo', 'azúcar', 'aceite de girasol alto oleico', 'coco rallado', 'suero lácteo en polvo', 'almidón de trigo', 'miel', 'huevo en polvo', 'gasificante', 'sal', 'aromas', 'antioxidantes', 'extracto de malta de cebada', 'vitaminas y sales minerales: vitamina D', 'carbonato de calcio y hierro']",,['Non végétalien'],,16 g,en quantité modérée,3.2 g,en quantité modérée,23 g,en quantité élevée,0.2 g,en faible quantité,?,,464,-2%,1941 kj(464 kcal),-2%,16,-23%,"3,2",-68%,72,+12%,23,-22%,"6,7",+3%,"0,2",-66%,"0,08",-66%,13,-34%,D,-34%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,
2,Gelatina sabor morango - Royal - 170g,8410000812268,,,170g,['Carton'],['Royal'],"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour desserts gélifiés']",,,,"['France', 'Espagne', 'Suisse']","['Sucre', 'gélatine ', '11%', ""régulateurs d'acidité "", 'acide fumarique', 'cirate de sodium', 'arômes', 'colorants ', 'E-120', 'E-100', 'vitamine C']","['E428 - Gélatine', 'E297 - Acide fumarique', 'E331iii - Citrate trisodique', 'E120 - Acide carminique', 'E100 - Curcumine']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,0.1 g,en faible quantité,0.1 g,en faible quantité,12.5 g,en quantité modérée,0.12 g,en faible quantité,241,,?,,241 kj(58 kcal),-58%,"0,1",+66%,"0,1",+250%,"12,5",-57%,"12,5",-42%,"1,4",-60%,"0,12",-55%,"0,048",-55%,2,+39%,B,+39%,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,,,,,
3,"Aceite de oliva suave 0,4º botella 1 l - Carbonell",8410010000181,D,,1 L,"['Plastique', 'Bouteille', 'Plastico']",['Carbonell'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,,['Alimerka'],"['France', 'Espagne']","[""Huile d'olive""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,100 g,en quantité élevée,15 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,15,+7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,"['Cordoba', 'España']",,,,,,
4,Nocilla la autentica - 750g,8410014351159,D,,750 g,['Plástico'],['Nocilla'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['en:gluten-free', 'Source de calcium', 'en:palm-oil-free']",,,"['France', 'Espagne']","['Azúcar', 'aceite de girasol alto oleico', 'leche desnatada en polvo ', '6,90%', 'manteca de cacao', 'sólidos lácteos', 'cacao desgrasado en polvo ', '4,3%', 'avellanas ', '3,9%', 'emulgente ', 'lecitina de soja', 'aromas']",,['Sans huile de palme'],,32 g,en quantité élevée,10 g,en quantité élevée,58 g,en quantité élevée,0.18 g,en faible quantité,?,,546,-1%,2284 kj(546 kcal),-1%,32,-6%,10,+30%,59,+15%,58,+22%,"4,5",-34%,"0,18",+75%,"0,072",+75%,25,+21%,E,+21%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,"['Fruits à coque', 'Soja']",,,,,,,
5,Tomato frito - Heinz - 330ml e / 350g,8410066117826,A,,330 ml e / 350 g,"['Brique', 'Carton', 'Tetra Pak']",['Heinz'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates frites']","['Point Vert', 'Sans conservateurs']",,['Delhaize'],"['Belgique', 'France']","['Tomates ', '160g pour 100g Tomato Frito', 'huile de tournesol ', 'cuisson avec oignon et ail', 'sucre', 'sel', 'amidon modifié']",['E14XX - Amidons modifiés'],[],4,3.5 g,en quantité modérée,0.4 g,en faible quantité,7.4 g,en quantité modérée,1.5 g,en quantité modérée,?,,73,-16%,305 kj(73 kcal),-14%,"3,5",-12%,"0,4",-18%,"9,1",-1%,"7,4",+7%,"1,1",-13%,"1,5",+35%,"0,6",+35%,7,+34%,C,+34%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,,,,,,,,
6,Guacamole - Old El Paso - 195g,8410076420794,C,Purée à l'avocat finement épicée,195 g,"['Pot', 'Verre', 'Couvercle', 'Métal']",['Old El Paso'],"['Epicerie', 'Sauces', 'Guacamoles']",,,,['France'],"['Eau', 'avocat ', '14%', 'tomates ', '10%', 'oignons ', '7%', 'farine de blé', 'préparation fromagère', 'crème', 'amidon transformé de maïs ', 'contient des sulfites', 'huile de colza', 'flocons de pomme de terre déshydratés ', 'contient des sulfites', ""purée d'ail "", 'contient des sulfites', 'extrait de lactosérum ', 'lait', 'lactosérum en poudre ', 'lait', 'sel', 'épices ', '0,73 %', 'jus de citron vert concentré ', 'contient des sulfites', 'sucre ', 'contient des sulfites', 'sirop de glucose déshydraté', ""correcteurs d'acidité : glucono-delta-lactone"", 'acide citrique', ' piment jalapeno déshydraté', 'herbes', 'dextrose', 'antioxygène : acide ascorbique', 'colorants: complexes cuivre-chlorophyllines', 'lutéine', ' extrait de levure', 'caséinate ', 'lait', 'ail en poudre']","['E14XX - Amidons modifiés', 'E575 - Glucono-delta-lactone', 'E330 - Acide citrique', 'E300 - Acide ascorbique', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E161b - Lutéine']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,5.1 g,en quantité modérée,1.8 g,en quantité modérée,3.7 g,en faible quantité,0.75 g,en quantité modérée,415,-30%,99,-39%,415 kj(99 kcal),-38%,"5,1",-59%,"1,8",-31%,"10,3",+69%,"3,7",+80%,"1,8",+3%,"0,75",-32%,"0,3",-32%,2,-60%,B,-60%,75.9%,9.1%,4.3%,8.3%,1.9%,0.5%,56,"['Gluten', 'Lait', 'Anhydride sulfureux et sulfites', 'Fromagère']",['Espagne'],,,,,,
7,Salsa Dip - Old el paso - 190g,8410076423023,,Sauce Apéritif aux oignons et aux poivrons,190 g,"['Bocal', 'Verre']",['Old el paso'],"['Epicerie', 'Sauces']",,,['Hyper U'],['France'],"['Sauce Apéritif aux Oignons et aux Poivrons : tomates ', '52%', 'eau', 'oignons ', '10%', 'concentré de tomates', 'poivrons vert ', '7%', 'sel', 'vinaigre', 'épices', ""copeaux d'oignons déshydratés"", 'oignons en poudre', 'piment Guajillot', 'sucre', 'jus de citron concentré', 'épaississant : gomme xanthane', 'ail en poudre', 'colorant : extrait de paprika,']","['E415 - Gomme xanthane', 'E160c - Extrait de paprika']",[],4,0.5 g,en faible quantité,0 g,en faible quantité,3.9 g,en faible quantité,1.2 g,en quantité modérée,?,,40,-83%,167 kj(40 kcal),-83%,"0,5",-97%,0,-100%,"6,9",-30%,"3,9",-40%,"1,4",-48%,"1,2",-50%,"0,48",-50%,4,-66%,C,-66%,,,,,,,,,,,,,,,
8,Tortillas mexicanas de trigo - Old El Paso - 6,8410076470584,B,,6,['Plastic'],['Old El Paso'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats', 'Pains blancs', 'Pains de blé', 'Tortillas de blé']",['Sans conservateurs'],,,"['France', 'Espagne']","['Harina de trigo', 'agua', 'estabilizante: glicerina', ' aceite refinado de girasol', 'emulgente: monoglicéridos y digliceridos de ácidos grasos', ' dextrosa', 'gasificantes: carbonato ácido de sodio', 'difosfatos', ' sal', ' Envasado en atmósfera protectora', ' Alérgenos: ver Ingredientes en negrita', ' SIN CONSERVANTES']","['E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E500ii - Carbonate acide de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","[""Pourrait contenir de l'huile de palme""]",4,5.2 g,en quantité modérée,1.2 g,en faible quantité,2.1 g,en faible quantité,1 g,en quantité modérée,1264,-6%,299,-4%,1264 kj(299 kcal),-4%,"5,2",-26%,"1,2",-24%,"53,2",+3%,"2,1",+3%,"9,1",+8%,1,-25%,"0,4",-25%,2,-65%,B,-65%,58.3%,22.1%,12.8%,6.0%,0.9%,0.0%,93,['Gluten'],['Spain'],,,,,,
9,Leche Calcio Semidesnatada - Pascual - 1l,8410128010171,D,,1 l,,['Pascual'],"['Produits laitiers', 'Laits', 'Laits demi-écrémés', 'Laits de vache']",,,,"['France', 'Espagne']","['Leche semidesnatada', 'Proteinas de leche', 'Estabilizante ', 'E-452', 'Vitaminas A', 'D', 'E,K y Acido fólico']","['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien']",4,1.6 g,en faible quantité,1.1 g,en faible quantité,5.7 g,en quantité modérée,0.2 g,en faible quantité,?,,53,+6%,222 kj(53 kcal),+6%,"1,6",-19%,"1,1",-11%,"5,7",+19%,"5,7",+19%,"3,9",+21%,"0,2",+92%,"0,08",+92%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['Lait'],,,,,,,
10,Aceitunas La Española Anchoa - 350g,8410226011537,B,,350g,,['La Española'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', ""Olives vertes farcies à l'anchois""]",,,['Carrefour'],"['France', 'Espagne']","['INGREOIEUTES PASTADEANCHOA60/o* POTENCIADOR CONTENE PESCADO& PESO NEro ESCURRIDO', ' CONSUMO CONSUMIR DENTRO DE LOS7 DESPUÉs DE CONSUMER TAPAS', "" CONSERVAC!6'l UNA VEZ ABIERT"", 'CONSERVAR CERRADO EN coti']","['E401 - Alginate de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E300 - Acide ascorbique']","['Non végétalien', 'Non végétarien']",4,16 g,en quantité modérée,2.2 g,en quantité modérée,0.05 g,en faible quantité,2.6 g,en quantité élevée,?,,158,+5%,661 kj(158 kcal),+4%,16,+6%,"2,2",-20%,"0,05",-93%,"0,05",-53%,"1,5",+12%,"2,6",-16%,"1,04",-16%,13,+7%,D,+7%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,['Poisson'],,,,,,,
11,Elgovita - elgorriaga,8410255913307,C,,,,['Elgorriaga'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Sans sucre ajouté'],,,"['France', 'Espagne']","['Harina de trigo', 'edulcorante ', 'maltitol', 'aceite girasol alto oléico ', '13%', 'fbra vegetal ', '6', '5%', 'semillas de quinoa ', '4,6%', 'extracto natural de vainilla gasificantes ', 'bicartonatos amónico y sódico', 'sal', 'aroma', 'emulgente ', 'lecitina soja']",['E965 - Maltitol'],[],4,19 g,en quantité modérée,2.3 g,en quantité modérée,7.3 g,en quantité modérée,0.3 g,en quantité modérée,1919,-4%,458,-3%,1919 kj(458 kcal),-4%,19,-9%,"2,3",-77%,66,+3%,"7,3",-75%,"6,1",-6%,"0,3",-49%,"0,12",-49%,1,-95%,B,-95%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Gluten', 'Soja']",,,,,,,
12,Refresco Simon Life Mandarina 1 '5L - Don Simón,8410261641423,,,,,['Don Simón'],,['Sans conservateurs'],,,"['France', 'Maroc', 'Espagne']",[],,[],,,,,,,,,,?,,20,,84 kj(20 kcal),,"0,1",,0,,"4,8",,"4,8",,0,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,
13,Tallarines a la carbonara - Gallina Blanca,8410300101307,,,,['Sachet'],['Gallina Blanca'],['es:Grupo-3'],,,,"['France', 'Espagne']","['Pasta alimenticia ', 'tallarines', ' 75%: sémola de trigo duro', ' Salsa 25%: quesos fundidos 41% ', 'quesos 58,6%', 'parmigiano-reggiano 20,2%', 'sólidos lácteos', 'suero de leche', 'sales fundentes ', 'E-339', 'bacon 17,5% ', 'panceta de cerdo', 'agua', 'sal', 'dextrosa', 'aroma de carne y de humo', 'leche desnatada', 'sal', 'harina de arroz', 'yema de huevo', 'grasa vegetal de palma', 'fécula de patata', 'aromas ', 'contiene soja', 'aroma de humo', 'extracto de levadura', 'jamón ', 'carne de cerdo', 'sal', 'dextrosa', 'aroma de humo', 'aceite de oliva virgen extra', 'suero de leche', 'especias', 'proteina de leche']","['E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,6.3 g,en quantité modérée,2.6 g,en quantité modérée,3.4 g,en faible quantité,1 g,en quantité modérée,?,,210,,879 kj(210 kcal),,"6,3",,"2,6",,31,,"3,4",,"6,3",,1,,"0,4",,5,,C,,,,,,,,,"['Céleri', 'Lait', 'Soja']",,,,,,,
14,Gullon Sugar Free Digestive Cookies - 400g,8410376040913,C,,400 g,['Box'],['Gullon'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'en:Degestive biscuits']",,,,['France'],[],,[],,16 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,0.88 g,en quantité modérée,?,,430,-9%,1799 kj(430 kcal),-10%,16,-23%,"1,5",-85%,68,+6%,"0,5",-98%,"6,2",-5%,"0,88",+49%,"0,352",+49%,6,-70%,C,-70%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,
15,Yahourt sabor coco - Danone - 500g (125g x 4),8410500006150,B,Yaourt Parfum Coco,500 g (125 g x 4),"['Frais', 'Plastique', 'Yogures']",['Danone'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aromatisés', 'Yaourts au lait de vache']",['Point Vert'],,,"['France', 'Espagne']","['Leche fresca semidesnatada pasteurizada ', '89,9%', 'azúcar', 'leche en polvo desnatada', 'fermentos lácticos y aromas']",,"['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,1.9 g,en faible quantité,1.1 g,en faible quantité,11.9 g,en quantité modérée,0.11 g,en faible quantité,333,-10%,77,-15%,333 kj(77 kcal),-12%,"1,9",-31%,"1,1",-37%,"11,9",-4%,"11,9",+1%,3,-16%,"0,11",-4%,"0,044",-4%,2,-41%,B,-41%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,92,,,['Espagne'],,,,,
16,Risotto de hongos - Trevijano - 280g,8410770100022,B,Risotto de Hongos con vegetales deshidratados,280 g,"['Envase de plástico', 'Envase de cartón', 'Envasado en atmósfera protectora']",['Trevijano'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Plats préparés', 'Céréales en grains', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Plats à base de riz', 'Riz', 'Plats préparés déshydratés', ""Plats préparés d'origine végétale"", 'Risottos', 'Risottos aux légumes', 'Risottos aux champignons']","['Peu ou pas de sel', 'Végétarien', 'Sans gluten', 'Végétalien', '100% végétal', 'Point Vert']",http://www.trevijano.com/producto.php?producto=risoto_hongos,"['AhorraMas', 'El Corte Ingles', 'Carrefour', 'Alcampo', 'Dia', 'Simply', 'Eroski']","['Brésil', 'Danemark', 'France', 'Allemagne', 'Portugal', 'Espagne', 'États-Unis']","['Arroz', 'Boletus* ', '4,19%', 'cebolla', 'zanahoria y calabacín', ' ', '*spp Edulis', 'Reticulatus y Aestivalis en proporciones variables']",,"['Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,1458,+107%,353,+43%,1458 kj(353 kcal),+46%,"0,7",-78%,0,-100%,"81,1",+87%,"6,4",+378%,"7,6",+31%,"0,1",-89%,"0,04",-89%,-4,-191%,A,-191%,38.0%,25.7%,12.0%,12.8%,6.7%,4.8%,95,,"['Mendavia', 'Navarra', 'España']",,"PRODUCTOS TREVIJANO, S.L.","['ES 21.20991/NA CE', 'PRODUCTOS TREVIJANO S.L.']",,,
17,Eau minérale naturelle - Solan De Cabras - 1l 500,8411547211613,,,1 l 500,['Bouteille'],['Solan De Cabras'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Boissons sans alcool', 'Eaux minérales naturelles', 'Boissons sans sucre ajouté']",,,,['France'],"['Eau minérale naturelle ', 'mg/', ' Bicarbonate ', 'HCO3', ' 284 Potassium', 'K', ' 10 Calcium ', 'Ca', ' 60 Sodium', 'Na', ' 43 Magnésium ', 'Mg', ' 26', '7']",,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,0,-100%,A,-100%,,,,,,,,,,,,,,,
18,Bread - Zanuy Tortillas Wrap 8 Inch 8CT 12 325 GM,8411778600026,,,,,['Zanuy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains plats']",['Entrepreneurs + Engagés'],,,"['France', 'Espagne']","['Harina de trigo', 'agua', 'aceite de girasol', 'estabilizantes ', 'E-422', 'E-412', 'gluten', 'dextrosa', 'sal', 'emulgente ', 'E-471', 'acidulantes ', 'E-296', 'E-330', 'conservantes ', 'E-202', 'E-282', 'gasificante ', 'E-500i']","['E422 - Glycérol', 'E412 - Gomme de guar', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E296 - Acide malique', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E282 - Propionate de calcium', 'E500i - Carbonate de sodium']","[""Pourrait contenir de l'huile de palme"", 'Peut-être végétalien', 'Peut-être végétarien']",4,3.4 g,en quantité modérée,0.4 g,en faible quantité,2.2 g,en faible quantité,0.9 g,en quantité modérée,?,,282,-9%,1180 kj(282 kcal),-9%,"3,4",-41%,"0,4",-67%,53,+4%,"2,2",-2%,"6,4",-31%,"0,9",-39%,"0,36",-39%,3,-48%,C,-48%,,,,,,,,['Gluten'],,,,,,,
19,Galletas digestive con avena azúcares añadidos - Santiveri,8412170027107,C,,,,['Santiveri'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Sans lactose', 'en:palm-oil-free']",,,"['France', 'Espagne']",[],,['Sans huile de palme'],,15 g,en quantité modérée,2 g,en quantité modérée,1 g,en faible quantité,0.5 g,en quantité modérée,?,,429,-9%,1795 kj(429 kcal),-10%,15,-28%,2,-80%,66,+3%,1,-97%,"7,3",+12%,"0,5",-15%,"0,2",-15%,-1,-105%,A,-105%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,['Avoine'],,,,,,,
20,Grefutubo snacks de maíz - Grefusa,8413164009079,,,,,['Grefusa'],"['Snacks', 'Snacks salés']",['en:gluten-free'],,,"['France', 'Espagne']",[],,[],,12 g,en quantité modérée,1.4 g,en faible quantité,2.6 g,en faible quantité,2 g,en quantité élevée,?,,437,-5%,1828 kj(437 kcal),-5%,12,-50%,"1,4",-67%,74,+55%,"2,6",-20%,"7,3",-14%,2,+30%,"0,8",+30%,14,+15%,D,+15%,,,,,,,,,,,,,,,
21,El piponazo - grefusa,8413164013229,,,,,['Grefusa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']",,,,"['France', 'Espagne']",[],,[],,21 g,en quantité élevée,2.8 g,en quantité modérée,1.1 g,en faible quantité,10 g,en quantité élevée,?,,1068,+73%,4469 kj(1068 kcal),+74%,21,-58%,"2,8",-56%,"1,8",-89%,"1,1",-80%,14,-28%,10,+2005%,4,+2005%,22,+347%,E,+347%,,,,,,,,,,,,,,,
22,Vegan protein vanilla - Weider - 750g,8414192309254,,Protéines en poudre,750g,['Pot'],['Weider'],"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']","['Végétarien', 'Sans gluten', 'Végétalien']",,,['France'],"['91 % isolat de protéine de pois ', '100% Pisane C9', '3% isolat de protéine de riz', '2% ModCarb ', ""Son d'Avoine "", 'sans gluten', 'quinoa', 'amaranth', 'blé sarrasin ', 'sans gluten', 'millet', 'arôme naturel', 'colorant : curcuma ', ' 0,1% extrait fruit & greens ', 'paprika', 'gingembre', 'brocoli', 'épinard', 'chou', 'thé vert', 'framboise', 'banane', 'kiwi', 'mangue', 'prune', 'citron', 'canneberge', 'ananas', 'orange', 'pamplemousse', 'cerise', 'citron vert', 'chou-fleur', 'herbe de blé vert ', 'sans gluten', 'luzerne', 'spiruline', 'chiorelle', 'maltodextrine', 'gomme arabique', 'fécule de Maïs', 'édulcorant : glycosides de stévia ', 'extrait de stevia', 'chlorure de Sodium']","[""E414 - Gomme d'acacia"", 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']","['Végétalien', 'Végétarien']",4,1.2 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,2.9 g,en quantité élevée,?,,362,-3%,1515 kj(362 kcal),-2%,"1,2",-72%,"0,2",-89%,"5,1",-28%,"0,5",-84%,82,+16%,"2,9",+287%,"1,16",+287%,13,+194%,D,+194%,,,,,,,,,,,,,,,
23,Copos de avena - Ecocesta - 500g,8422584013122,B,Copos de avena ecológicos,500 g,['Bolsa de plástico'],['Ecocesta'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'avoine""]","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'ES-ECO-002-CM']",http://www.ecocesta.com/productos/cereales-copos/copos-de-avena-integrales,"['Carrefour', 'Alcampo']","['France', 'Espagne']","['Copos de avena integrales* ', '100%', ' ', '* Ingredientes procedentes de la agricultura ecológica']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,3.6 g,en quantité modérée,0.7 g,en faible quantité,14.7 g,en quantité élevée,0.01 g,en faible quantité,?,,343,-7%,1435 kj(343 kcal),-7%,"3,6",-49%,"0,7",-44%,"63,3",+7%,"14,7",+791%,"10,2",-17%,"0,01",-67%,"0,004",-67%,2,,B,,82.4%,1.1%,6.8%,7.0%,2.7%,0.0%,79,,"['Seseña Nuevo', 'Toledo (provincia)', 'Castilla-La Mancha', 'España']",['es:Agricultura UE'],,"['ENVASADOR:', 'BIOGRÁN S.L.']",,,
24,Queso fresco batido con yoghourt 0% M.G. - Pastoret,8424790021076,D,,,,['Pastoret'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fraîche']",,,,"['France', 'Espagne']",[],,[],,0.5 g,en faible quantité,0.3 g,en faible quantité,3.8 g,en faible quantité,0.2 g,en faible quantité,?,,60,-63%,251 kj(60 kcal),-63%,"0,5",-95%,"0,3",-96%,"6,2",+18%,"3,8",-17%,8,-7%,"0,2",-67%,"0,08",-67%,-4,-171%,A,-171%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,
25,Lait d'amande - Végémil,8428532192581,D,,,,['Végémil'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', ""Laits d'amande""]","['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'AB Agriculture Biologique', 'ES-ECO-020-CV', 'Agriculture UE/Non UE', 'Sans lactose']",,,['France'],"['Eau', 'sucre de canne*', 'amandes* ', '2%', 'maltodextrine de maïs', 'amidon de tapioca*', 'huile de tournesol*', 'épaississant: farine de graine de caroube*', 'arôme naturel', ""* issu de l'agriculture biologique""]",['E410 - Gomme de caroube'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,1.5 g,en quantité modérée,0.2 g,en faible quantité,2.4 g,en faible quantité,0.1 g,en faible quantité,?,,31,-18%,130 kj(31 kcal),-18%,"1,5",-30%,"0,2",-19%,"3,6",-3%,"2,4",-13%,"0,4",-54%,"0,1",+14%,"0,04",+14%,0,-100%,B,-100%,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,['Fruits à coque'],,,,,,,
