,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,manufacturing,ingredients_origins,brand_owner,traceability_code,palm_ingredients,origin_detail,producer_info
246,Sardine  tartare d'algues - connétable - 135g,3263670000801,D,,135 g,['Metal'],['connétable'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve']",['Pêche durable'],https://www.connetable.com/fr/produits/sardines-entieres/sardines-peche-responsable-aux-algues-bio-de-bretagne,['Leclerc'],['France'],"['Sardines', ""tartare d'algues* 10% "", 'dont algues 3% ', 'haricot* de mer', 'dulse*', 'laitue* de mer', 'wakamé*', ""huile d'olive* vierge extra"", ""cornichons* ét câpres'"", "" au vinaigre'"", 'oignons*', 'échalotes*', 'ail*', ""basilic'"", 'origan*', 'romarin*', 'thym*', ""huile d'olive* vierge extra 9%"", 'sel', ' Peut contenir des traces de mollusques et crustacés', "" *19% des ingrédients d'oriqine agricole sont issus de l'agriculture biologique"", ' Çertifié par FR - BIO 10']",,"['Non végétalien', 'Non végétarien']",3,29 g,en quantité élevée,4.9 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,1345,+37%,325,+41%,1345 kj(325 kcal),+40%,29,+81%,"4,9",+36%,0,-100%,0,-100%,16,-22%,1,+8%,"0,4",+8%,12,+134%,D,+134%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,['Poisson'],['Douarnenez'],,,"['FR 29.046.532 CE', 'Douarnenez (Finistère, France)']",,,
247,Quinoa et boulgour aux épices tandoori -,3038359009808,C,,,"['Sachet en plastique', 'Etui en carton']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Quinoa', 'en:raw-quinoa']","['Nutriscore', 'Nutriscore A']",,,['France'],[],,[],,2.9 g,en faible quantité,0.4 g,en faible quantité,2.6 g,en faible quantité,,,?,,170,-48%,711 kj(170 kcal),-48%,"2,9",-46%,"0,4",-39%,27,-51%,"2,6",+3%,7,-41%,,,,,,,,,80.5%,0.0%,5.8%,10.4%,3.3%,0.0%,70,,,,,,,,
248,Glace fraise bergamote - Picard - 2x80g,3270160822492,B,"Sorbet à la fraise 93,2% avec jus de bergamote 6,8%",2x80g,"['Pot carton', 'Couvercle carton', 'Etui carton', 'Surgelé', 'Etui en carton']",['Picard'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la fraise']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,['Picard'],['France'],"['Purée de fraise* 39,2%', 'eau', 'sucre*', 'jus de bergamote* 6,8%', 'sirop de glucose en poudre*', ""gélifiant : pectines *Issu de l'agriculture biologique""]",['E440 - Pectines'],[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,19 g,en quantité élevée,0.02 g,en faible quantité,415,-11%,98,-16%,415 kj(98 kcal),-15%,"0,5",+113%,"0,1",+48%,24,-12%,19,-18%,"0,5",+18%,"0,02",-11%,"0,008",-11%,5,+1%,C,+1%,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,"['FR 62.448.034 CE', ""Hesdin-l'Abbé (Pas-de-Calais, France)""]",,,
249,Flocons d'Epeautre - Bjorg - 500g,3229820800486,B,,500g,"['sachet plastique', 'Sachet en plastique']",['Bjorg'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales', 'Flocons laminés', ""Flocons d'épeautre""]","['Bio', 'Bio européen', 'DE-ÖKO-001', 'Agriculture UE', 'AB Agriculture Biologique']",,,['France'],[],,[],,2.5 g,en faible quantité,0.2 g,en faible quantité,1.7 g,en faible quantité,0 g,en faible quantité,?,,347,+5%,1452 kj(347 kcal),+5%,"2,5",+19%,"0,2",-47%,63,+3%,"1,7",+1%,14,+8%,0,-100%,0,-100%,-6,,A,,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Allemagne'],,,,,,
250,Fromage frais fouetté échalotte et ciboulette - l'atelier Blini - 140g,3292070009961,,,140g,['Opercule en plastique'],"[""l'atelier Blini""]",['Fromage frais fouetté'],,,['Super U'],['France'],"['fromage frais 91%', 'contient lait', ' échalote 2% - ciboulette 2% - huile de colza - fibre de blé - échalote déshydratée 0,2% - ciboulette déshydratée 0,1%  conservateur : E202 - épaississant : E416 - amidon de manioc']","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E416 - Gomme karaya']",['Non végétalien'],4,22.2 g,en quantité élevée,14.6 g,en quantité élevée,2.4 g,en faible quantité,0.8 g,en quantité modérée,?,,237,,992 kj(237 kcal),,"22,2",,"14,6",,"2,9",,"2,4",,"5,7",,"0,8",,"0,32",,14,,D,,,,,,,,,"['Gluten', 'Lait']",['France'],,,"['FR 14.712.042 CE', 'Troarn (Calvados, France)']",,,
251,Marsh Mallows - Lidl,4056489213949,,,,,['Lidl'],"['Snacks', 'Snacks sucrés', 'Confiseries']",,,,['France'],"['Sirop de glucose-fructose', 'sucre', 'eau dextrose', 'gélatine', 'arôme naturel', 'colorant: rouge de betterave', ' Traces éventuelles de soja et de lait']","['E428 - Gélatine', 'E162 - Rouge de betterave']","['Non végétalien', 'Non végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,67.6 g,en quantité élevée,0.07 g,en faible quantité,?,,336,-20%,1406 kj(336 kcal),-20%,0,-100%,0,-100%,"79,9",+20%,"67,6",+36%,4,-5%,"0,07",-52%,"0,028",-52%,14,-23%,D,-23%,,,,,,,,,,,,,,,
252,Choco duo - Mister Choc - 750g,4056489220572,,,750g,"['Glass', 'Plastic']",['Mister Choc'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés']","['Agriculture durable', 'en:UTZ Certified']",,,"['France', 'Allemagne']","['Magermilch-Schokocreme', ' Zutaten: Zucker', 'Rapsöl', 'Palmöl', 'Süßmolkenpulver', '5,5% Mager - milchpulver', '5,5% fettarmes Kakaopulver', '1% Haselnüsse', 'Emulgator: Lecithine ', 'Sonnenblume', ' Bei Raumtemperatur ', '18-22°C', ' lagern', ' Ungeöffnet mindestens haltbar bis: siehe oberer Etikettenrand']",['E322 - Lécithines'],"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,40.9 g,en quantité élevée,9.2 g,en quantité élevée,48.7 g,en quantité élevée,0.22 g,en faible quantité,2450,+104%,589,+111%,2450 kj(589 kcal),+111%,"40,9",+845%,"9,2",+785%,"49,4",-12%,"48,7",-7%,"4,3",+244%,"0,22",+345%,"0,088",+345%,26,+126%,E,+126%,,,,,,,,['Lait'],,,,,,,
253,Pur jus pomme sans sucres ajoutés - Solevita - 6x20cl,4056489276104,B,,6x20cl,['Briquettes'],['Solevita'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],[],,[],,0.5 g,en faible quantité,0 g,en faible quantité,9.8 g,en quantité élevée,,,?,,44,-4%,184 kj(44 kcal),-4%,"0,5",+178%,0,-100%,10,-9%,"9,8",-6%,"0,5",+128%,,,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,
254,huile d'olive bio - Leader Price - 75cl,3263850029462,C,,75 cl,"['Bouteille', 'Verre']",['Leader Price'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'IT-BIO-007']",,['Leader Price'],['France'],"[""Huile d'olive vierge extra issue de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,92 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,828,-3%,3464 kj(828 kcal),-3%,92,-4%,18,+29%,0,,0,,0,,0,-100%,0,-100%,7,+14%,C,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,['Union Européenne et Non Union Européenne'],,,,,
255,Danone a partager aux olives vertes et origan - 170g,3033491590580,D,,170 g,,['Danone'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte fondue', 'Fromages apéritif']",,,,['France'],"['LAIT ÉCRÉMÉ,OLIVES VERTES ', '6,6%', 'CRÈME ', 'LAIT', ',SEL', 'AMIDON DE MAIS', 'POIVRE BLANC', 'ORIGAN ', '0,02%', 'JUS DE CITRON CONCENTRÉ', 'FERMENTS LACTIQUES ', 'LAIT']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,2.7 g,en faible quantité,1.4 g,en faible quantité,3 g,en faible quantité,0.81 g,en quantité modérée,?,,71,-75%,297 kj(71 kcal),-75%,"2,7",-89%,"1,4",-91%,"3,3",-24%,3,-22%,"8,4",-21%,"0,81",-50%,"0,324",-50%,-1,-107%,A,-107%,78.1%,12.8%,3.1%,3.8%,1.7%,0.5%,52,['Lait'],,,,"['FR 76.260.001 CE', 'Ferrières-en-Bray (Seine-Maritime, France)']",,,
