,name,bar_code,eco_score,brand,categories,ingredients_origins,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,markets,allergens,traceability_code,palm_ingredients,manufacturing,generic_name,link,brand_owner
991,Maidele,3367270044057,,,,,['France'],[],,[],,,,,,,,,,?,,493,,2063 kj(493 kcal),,26,,11,,54,,51,,"7,6",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,
992,Bonne maman madeleine,3178530545432,B,['Bonne Maman'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,['France'],[],,[],,27 g,en quantité élevée,16 g,en quantité élevée,31 g,en quantité élevée,0.66 g,en quantité modérée,?,,458,+4%,1916 kj(458 kcal),+4%,27,+18%,16,+131%,47,-11%,31,+13%,"6,1",+7%,"0,66",-19%,"0,264",-19%,23,+25%,E,+25%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,,
993,Tulsi Green Tea - Organic India - 1,0801541509256,B,['Organic India'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,1,,['en:gluten-free'],,,,,,,,
994,Roobos des tropiques - Palais des Thés,3700256715334,,['Palais des Thés'],,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,Foie gras dégustation de canard - Labeyrie,3033610030904,,['Labeyrie'],,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,Levure chimique - La Pateliere,3278587482008,C,['La Pateliere'],"['Additifs alimentaires', 'Levure chimique']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,35.2%,53.8%,4.4%,2.6%,3.9%,0.0%,59,,,,,,,,,,,
997,Natural Candy Canes,5033904000512,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Galettes au beurre et au gout chocolat,5413638004534,,,,,['France'],[],,[],,,,,,,,,,?,,507,,2121 kj(507 kcal),,"26,8",,"17,9",,"58,5",,"30,8",,"6,77",,"0,51",,"0,204",,,,,,,,,,,,,,,,,,,,,,,
999,Plateau choucroute,3519530000079,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bleu Blanc Cœur'],,,,,,,,
1000,Vegan protein vanille - Foodspring,4260363480833,,['Foodspring'],,,['France'],[],,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,354,,1481 kj(354 kcal),,"4,1",,"0,6",,6,,"0,9",,71,,"3,2",,"1,28",,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,,,
1001,Terrine campagnarde au magret fumé,3700428466477,,,,,['France'],[],,[],,,,,,,,,,?,,373,,1561 kj(373 kcal),,35,,12,,"3,4",,"3,2",,11,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,
1002,Sauce puquante,3760131740004,,,,,['France'],[],,[],,,,,,,,,,?,,43,,180 kj(43 kcal),,"2,1",,"0,2",,"3,3",,"3,2",,"1,7",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,
1003,Rillettes de st Jacques,3200741000254,,,"['Viandes', 'Produits de la mer', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de Saint-Jacques']",,['France'],[],,[],,14 g,en quantité modérée,10 g,en quantité élevée,1.4 g,en faible quantité,0.8 g,en quantité modérée,?,,189,+13%,791 kj(189 kcal),+13%,14,+26%,10,+55%,"2,6",-28%,"1,4",+12%,12,-5%,"0,8",-25%,"0,32",-25%,14,+47%,D,+47%,,,,,,,,,,,,,,,,,,
1004,Rustico huile olive,8033196601364,,,,,['France'],[],,[],,,,,,,,,,?,,120,,502 kj(120 kcal),,14,,2,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
1005,En-K de caviar,3700189551924,,,,,['France'],[],,[],,,,,,,,,,?,,242,,1013 kj(242 kcal),,15,,"3,7",,"1,7",,0,,25,,"3,1",,"1,24",,,,,,,,,,,,,,,,,,"['FR 94.041.320 CE', 'Ivry-sur-Seine (Val-de-Marne, France)']",,,,,
1006,saucisson sec à la châtaigne,2646488036476,D,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
1007,Poulet au champagne,3563800001631,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,Gros sel marin,3558180031439,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Sans additifs'],,,,,,,,
1009,lait,3210790021056,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Entrecôtes - Charal,3181238961411,,['Charal'],,,['France'],[],,[],,,,,,,,,,?,,229,,958 kj(229 kcal),,17,,"7,8",,0,,0,,19,,"0,15",,"0,06",,,,,,,,,,,,,,,,,,"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",,,,,
1011,Pavé de cheval,2670219025125,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,Cotes de porc - 950g,2299375021194,E,,"['Viandes', 'Porc', 'Côtes de porc']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.5%,16.7%,3.3%,1.3%,0.8%,0.5%,21,950 g,,,,,,,,,,
1013,SiS Go Energy Gel Pink Grapefruit - 60g,5025324002450,,,,,"['France', 'Italie']",[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,60 g,,,,,,,,,,
1014,Preparation milkshake,3604071106042,,,,,['France'],[],,[],,,,,,,,,,?,,382,,1598 kj(382 kcal),,2,,"0,98",,12,,"8,8",,72,,"2,84",,"1,136",,,,,,,,,,,,,,,,,,,,,,,
1015,Café Henri,3380880016559,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,Terrine de campagne aux pommes,3760195250044,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Salicornes bretonnes au naturel,3309931000071,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,Must Cookies with P.D.O. Raisins,5201539014116,,,,,['France'],[],,[],,,,,,,,,,?,,462,,1933 kj(462 kcal),,"21,5",,"7,9",,"59,9",,"27,2",,"7,2",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,
