,name,bar_code,eco_score,brand,categories,ingredients_origins,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,labels,markets,allergens,traceability_code,palm_ingredients,manufacturing,generic_name,link,brand_owner
0,Bloc de fois gras de canard du Sud-Ouest avec 30% de morceaux - Maison Montfort,3104544072015,B,['Maison Montfort'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",['France'],['France'],"['Foie gras de canard ', 'origine France', 'morceaux de foie gras de canard 30% ', 'origine France', 'eau', 'Champagne 1,8%', 'sel', 'poivre de Malabar 0,18%', 'sucre', 'poivre blanc 0,09 %', 'gingembre', 'cardamome', 'antioxydant ascorbate de sodium', 'conservateur nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",3,50 g,en quantité élevée,21 g,en quantité élevée,0.9 g,en faible quantité,1.1 g,en quantité modérée,?,,488,-0%,2042 kj(488 kcal),+0%,50,-1%,21,-2%,"3,1",+46%,"0,9",-32%,6,-2%,"1,1",-10%,"0,44",-10%,20,-2%,E,-2%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,,
1,"Domaine St Michel - Suze La Rousse - Cotes du Rhône Villages (bio) - 0,75litre",3760267920042,B,['Cotes du Rhône Villages (bio)'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes du Rhône', 'Côtes du Rhône Villages']",['France'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"0,75 litre","['Bouteille', 'Verre']",['Bio'],,,,,,,,
2,5 minutes - Maggi,7613032292775,,['Maggi'],,,['France'],[],,[],,,,,,,,,,?,,359,,1502 kj(359 kcal),,"6,9",,"3,3",,65,,"26,9",,7,,"9,2",,"3,68",,,,,,,,,,,,,,,,,,,,,,,
3,1/2 épaule de porc fumée pumentée,2647512111121,,,,,['France'],[],,[],,,,,,,,,,?,,111,,464 kj(111 kcal),,14,,"5,3",,"0,1",,"0,1",,18,,"3,4",,"1,36",,,,,,,,,,,,,,,,,,,,,,,
4,œufs frais,3387710000139,,,,,"['France', 'Guadeloupe']",[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Coco bonbon - 200g,3701178700071,,,,,['France'],[],,[],,,,,,,,,,?,,374,,1565 kj(374 kcal),,"14,8",,"11,3",,"53,9",,"33,7",,"3,8",,"0,5",,"0,2",,,,,,,,,,,,,200 g,,,,,,,,,,
6,Huile d'olives,8009923700815,,,,,['France'],[],,[],,,,,,,,,,?,,822,,3439 kj(822 kcal),,"91,3",,14,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-006']",,,,,,,,
7,Cioccolata,8033650403565,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pâté de homard,0747319005028,,,"['Produits à tartiner', 'Produits à tartiner salés']",,['France'],[],,[],,36 g,en quantité élevée,12 g,en quantité élevée,2 g,en faible quantité,1 g,en quantité modérée,?,,440,+49%,1841 kj(440 kcal),+50%,36,+37%,12,+55%,8,+128%,2,+57%,20,+129%,1,-24%,"0,4",-24%,19,+52%,E,+52%,,,,,,,,,,,,,,,,,,
9,Mandarine,8436026945179,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,00966375,00966375,,,,,['France'],[],,['Sans huile de palme'],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,
11,Broche tressée au beurre - Auchan,2090000176223,,['Auchan'],,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,
12,Petits fours aux figues - Biscuiterie de Chambord,3555140004120,,['Biscuiterie de Chambord'],,,['France'],[],,[],,,,,,,,,,?,,518,,2167 kj(518 kcal),,27,,16,,61,,40,,"7,5",,"0,117",,"0,047",,,,,,,,,,,,,,,,,,,,,,,
13,Sucre de canne blond - L'Aliment Sain,3398240118041,,"[""L'Aliment Sain""]",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,
14,Start the original,6297000721873,,,,,['France'],[],,[],,,,,,,,,,?,,464,,1941 kj(464 kcal),,"21,5",,"10,4",,"56,3",,"14,5",,"7,3",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,
15,ButtaNutt pecan macadamia,0799439090569,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Purée de piments hot - 100g,3770009143028,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,
17,Ail noir,4562238290456,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Miel de printemps,3770003091042,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de Printemps']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
19,Blackcurrant conserve - Tesco,5000436288473,,['Tesco'],,,['France'],[],,[],,,,,,,,,,?,,253,,1059 kj(253 kcal),,"0,7",,"0,3",,"59,4",,"53,5",,"0,8",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,
20,Délic'O,12851683,,,,,['France'],[],,[],,,,,,,,,,?,,31,,130 kj(31 kcal),,1,,1,,7,,7,,1,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,
21,Pfefferminze -,9004432005092,,,,,"['France', 'Russie']",[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Papillotes lait etoilé - Révillon,3110844693140,,['Révillon'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Papillotes en chocolat']",,['France'],"['Chocolat au lait ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'lactose*', 'lactosérum* en poudre', 'émulsifiant: lécithine de soja', 'praliné 25% ', 'sucre', 'noisettes', 'amandes', 'sucre', 'éclats de nougatine 5% ', 'sucre', 'amandes', 'sirop de glucose', 'graisses végétales ', 'palme et palmiste', 'éclats de cookies 2% ', 'farine de blé', 'sucre', 'huile de tournesol', 'poudre de cacao maigre', 'sel', 'poudres à lever: E500i', 'E501', 'E503i', 'beurre de cacao', 'éclats de crêpe dentelle 1,5% ', 'farine de blé', 'sucre', 'beurre* concentré', 'huile de tournesol', 'lait écrémé en poudre', ""malt d'orge"", 'sel', 'chocolat noir ', 'pâte de cacao', 'sucre', 'beurre* concentré', 'beurre de cacao', 'émulsifiant lécithine de soja', 'lait entier en poudre', 'lait écrémé poudre', 'lactosérum en poudre', 'cacao maigre en poudre', 'pâte de cacao', 'huile de tournesol', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille avec autres arômes naturels', ' Contient lait', 'soja', 'amande', 'noisette', 'blé et orge', "" Présence possible d'arachide"", 'noix', 'noix de cajou', 'noix de pécan', 'pistache et oeuf']","['E322i - Lécithine', 'E500i - Carbonate de sodium', 'E501 - Carbonates de potassium', ""E503i - Carbonate d'ammonium""]","['Huile de palme', 'Non végétalien']",4,32 g,en quantité élevée,14 g,en quantité élevée,47 g,en quantité élevée,0.14 g,en faible quantité,?,,524,-2%,2192 kj(524 kcal),-2%,32,-2%,14,-16%,51,-1%,47,-3%,"6,4",+6%,"0,14",+41%,"0,056",+41%,26,+4%,E,+4%,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,,,,
23,Crème de châtaignes,3760060540089,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Velouté de chou fleur,3701138111381,,,,,['France'],[],,[],,,,,,,,,,?,,37,,155 kj(37 kcal),,"2,3",,"1,5",,"2,4",,"0,7",,"1,2",,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,
25,Pain Moulé aux multigraines bio - Franprix,3263856781517,,['Franprix'],,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['Franprix'],,,,,,,
26,Innocent smoothie,9038899610001,,['Innocent'],,,['France'],[],,[],,,,,,,,,,?,,55,,230 kj(55 kcal),,0,,0,,13,,11,,"0,7",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
27,5414874004579,5414874004579,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Miel de lavandes,2030000912865,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
29,Soda aux extraits vanille,6091034011524,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Osaka saumon,3700469191000,,,,,['France'],[],,[],,,,,,,,,,?,,156,,653 kj(156 kcal),,"6,1",,1,,"16,8",,"0,6",,"7,6",,"2,3",,"0,92",,,,,,,,,,,,,,,,,,"['FR 97.404.004 CE', 'Étang-Salé (La Réunion, France)']",,,,,
31,Ser Twarogowy,5902057001113,,,,,['France'],[],,[],,,,,,,,,,?,,110,,460 kj(110 kcal),,"3,5",,"1,6",,"3,6",,"3,1",,16,,"0,08",,"0,032",,,,,,,,,,,,,,,,,,,,,,,
32,More Gröt Nordic style porridge - Arla,7310865687777,,['Arla'],,,['France'],[],,[],,,,,,,,,,?,,140,,586 kj(140 kcal),,"5,1",,"2,4",,17,,"5,8",,"5,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,
33,Rochers chocolat,5410543196415,,,,,['France'],[],,[],,,,,,,,,,?,,455,,1904 kj(455 kcal),,"25,1",,"19,1",,"50,5",,39,,"4,5",,"0,1",,"0,04",,,,,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,,
34,Coq au vin,3397132209409,D,,"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats préparés en conserve', 'Coq au vin']",,['France'],[],,[],,2.4 g,en faible quantité,1 g,en faible quantité,0.1 g,en faible quantité,0.8 g,en quantité modérée,?,,102,-24%,427 kj(102 kcal),-24%,"2,4",-54%,1,-32%,"1,4",-65%,"0,1",-88%,18,+70%,"0,8",-16%,"0,32",-16%,-1,-170%,A,-170%,80.7%,12.7%,1.9%,2.8%,1.1%,0.8%,36,,,['Sans conservateurs'],,,,,,,,
35,Morbier aop - Le fromager des Halles - 1,2487999024206,D,['Le fromager des Halles'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Pain au chocolat,0204018009455,D,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,
38,Tomato Ketchup - Solimo - 570g,5400606005990,B,['Solimo'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,24 g,en quantité élevée,2.6 g,en quantité élevée,?,,116,+9%,485 kj(116 kcal),+10%,"0,5",+105%,"0,1",+57%,27,+19%,24,+22%,"0,8",-38%,"2,6",+31%,"1,04",+31%,16,+32%,D,+32%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,570 g,,,,,,,,,,
39,Miel Bio de fleurs - Moulin des Moines,3347433064320,B,['Moulin des Moines'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",['Espagne'],['France'],[],,[],,0.5 g,en faible quantité,0 g,en faible quantité,82 g,en quantité élevée,0.04 g,en faible quantité,335,-75%,?,,335 kj(80 kcal),-73%,"0,5",+355%,0,-100%,82,+6%,82,+18%,"0,5",+47%,"0,04",+71%,"0,016",+71%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture Espagne']",,,,,,,,
40,Saumon sauvage,2660996270108,,,,,['France'],[],,[],,,,,,,,,,?,,140,,586 kj(140 kcal),,"5,3",,"0,8",,0,,0,,23,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,
41,2 Filets de poulet fermier - Loué - 308g,0217230052413,D,['Loué'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,308 g,,,,,,,,,,
42,Viande bovine bourguignon,0204597032936,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Canard à foue gras du périgord,2404279280954,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,"['FR 24.439.004 CE', 'Saint-Laurent-sur-Manoire (Dordogne, France)']",,,,,
44,Pharmavie Nopal,3401559143540,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Lindor - Lindt - 225g,3046920008631,,['Lindt'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,['France'],"['sucre', 'matière grasse végétale ', 'coprah', 'palmiste', 'beurre de cacao', 'pâte de cacao', 'poudre de lait', 'poudre de lait écrémé', 'lactose', 'beurre laitier concentré', 'émulsifiant ', 'lécithine de soja', ""extrait de malt d'orge"", 'arômes', "" Peut noisettes et d'autres fruits à coque""]",['E322i - Lécithine'],"['Huile de palme', 'Non végétalien']",4,47 g,en quantité élevée,35 g,en quantité élevée,43 g,en quantité élevée,0.23 g,en faible quantité,?,,623,+18%,2607 kj(623 kcal),+18%,47,+47%,35,+101%,44,-16%,43,-9%,"4,9",-17%,"0,23",+50%,"0,092",+50%,27,+11%,E,+11%,,,,,,,,225 g,,,,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,['Huile de palme'],,,,
46,Jardin andalou - Palais des Thés,2700980002671,,['Palais des Thés'],,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,pain epeautre,3760025629774,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', ""Pain à l'épeautre""]",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Panettone poire et figues,8002033220068,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,
49,Roti longe charcutier,2802037011688,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Saumon fumé sauvage d'Alaska - Delpierre,3038680700719,E,['Delpierre'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,"['Pêche durable', 'Pêche durable MSC']",,,,,,,,
51,Petit farcis au porc,3760173303823,,,,,['France'],[],,[],,,,,,,,,,?,,127,,531 kj(127 kcal),,"7,2",,"2,7",,"6,8",,"1,9",,"7,9",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,"['FR 83.107.313 CE', 'Roquebrune-sur-Argens (Var, France)']",,,,,
52,Magret de canard du Sud-Ouest - Reflets de France,0219007047561,E,['Reflets de France'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard']",['GASCOGNE GERS LANDES'],['France'],['magret de canard cru'],,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,['IGP'],,,,,['St Laurent S/Manoire'],,,
53,Pain carré long,0209005004796,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Clusters crunchy choco - Nestlé,5900020032386,D,['Nestlé'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales', 'Barres de céréales au chocolat']",,['France'],"['Céréales 40,3% ', 'blé complet 17,5%', 'avoine complète 15,2%', 'farine de ble complet 4,8%', 'farine de mais complète 1,4%', 'semoule de mais', 'farine de riz', 'sirop de glucose', 'chocolat 12% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiants: lécithine de soja et polyricinoléate de polyglycérol', ' arôme naturel de vanille', 'pépites de chocolat 6% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de soja', 'arôme naturel de vanille', 'sucre', ""extrait de malt d'orge"", 'dextrose', 'huiles végétales ', 'palme', 'tournesol', 'son de ble', 'humectants: sorbitol', 'glycérof', ' sel', 'miel', 'amidon de mais', 'poudre de cação', 'sirop de sucre inverti', 'mélasse', 'arômes naturels', 'cacao maigre en poudre', ""correcteur d'acidité: phosphates de sodium"", ' émulsifiant: lécithine de tournesol', 'antioxydant: extraits riches en tocophérols', ' colorant bêta-carotène', ' Peut contenir du lait', ""des amandes et d'autres fruits à coque""]","['E322i - Lécithine', 'E420 - Sorbitol', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E306 - Extrait riche en tocophérols', 'E160ai - Bêta-carotène']","['Huile de palme', 'Non végétalien']",4,12.2 g,en quantité modérée,6.2 g,en quantité élevée,25.9 g,en quantité élevée,0.6 g,en quantité modérée,?,,410,-7%,1715 kj(410 kcal),-9%,"12,2",-37%,"6,2",-38%,"63,5",+8%,"25,9",-20%,"6,3",-12%,"0,6",+61%,"0,24",+61%,18,+4%,D,+4%,83.7%,9.1%,3.5%,2.1%,1.6%,0.0%,46,,,,,['Gluten'],,['Huile de palme'],,,,
55,Sauce Rouille - Enjolras Frères,0231529012599,D,['Enjolras Frères'],"['Epicerie', 'Sauces', 'Mayonnaises', 'Sauce rouille', 'Rouille']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,81.1%,9.7%,5.1%,2.2%,1.9%,0.0%,53,,['Conserve'],,,,"['FR 30.133.006 CE', 'Grau-du-Roi (Gard, France)']",,,,,
56,kriter - 20cl,72802267,,['Kriter'],['Boutelle'],,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,20cl,['3'],['Vin mousseux'],,,,,,,,
57,Confiture,3546940003420,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,['France'],[],,[],,0.1 g,en faible quantité,0.01 g,en faible quantité,52.6 g,en quantité élevée,0.0018 g,en faible quantité,?,,239,+8%,1000 kj(239 kcal),+8%,"0,1",-62%,"0,01",-80%,"58,4",+9%,"52,6",+3%,"0,4",-23%,"0,002",-92%,"0,001",-92%,11,+18%,D,+18%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
58,pavé saumon riz crémeux - Guyader - 1,3276770246307,,['Guyader'],"['Plats préparés', 'Plats préparés au poisson', 'Plats à base de riz']",,['France'],[],,[],,11 g,en quantité modérée,4.8 g,en quantité modérée,3.5 g,en faible quantité,0.73 g,en quantité modérée,?,,162,+5%,678 kj(162 kcal),+7%,11,+141%,"4,8",+214%,"9,3",-51%,"3,5",+136%,"5,7",-12%,"0,73",-9%,"0,292",-9%,6,+251%,C,+251%,,,,,,,,1,,,,,,,,,,
59,Foie gras -,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Trio de moutardes assorties : Bourgogne IGP, cassis, noix - U - 3pots de 105g, soit 315g",3368951163586,B,"['U', 'U Saveurs']","['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,['France'],"['Moutarde au cassis : eau', 'graines de moutarde', 'vin blanc 15', '6% ', 'contient des sulfites', ""vinaigre d'alcool"", 'crème de cassis de dijon 5', '2%', 'sel', 'arôme naturel de cassis', 'téguments de moutarde ', 'contient des sulfites', 'sucre', 'colorant : carmins moutarde aux noix : eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'téguments de moutarde ', 'contient de sulfites', 'noix du périgord aop* en poudre 1', '9%', 'arôme naturel de noix', 'antioxydant : disulfite de potassium', 'acidifiant : acide citrique', ""épice *aop appellation d'origine protégée moutarde de bourgogne igp : eau"", 'graines de moutarde de bourgogne', 'vin blanc de bourgogne aligoté aop* 15', '5%', 'contient des sulfites', 'sel', 'acidifiant : acide citrique', 'antioxydant : disulfite de potassium', ""épice *aop appellation d'origine protégée""]","['E120 - Acide carminique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",[],4,11 g,en quantité modérée,0.6 g,en faible quantité,4.6 g,en faible quantité,5.1 g,en quantité élevée,676,-3%,162,-5%,676 kj(162 kcal),-5%,11,+2%,"0,6",-27%,"4,6",-33%,"4,6",+19%,"7,4",+13%,"5,1",+8%,"2,04",+8%,8,-31%,C,-31%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,"3pots de 105 g, soit 315 g",,"['IGP', 'Transformé en France']",['Magasins U'],"['Moutarde', 'Anhydride sulfureux et sulfites']",,,,,,
61,Sucette en chocolat,8714786284661,,,,,['France'],[],,[],,,,,,,,,,?,,538,,2251 kj(538 kcal),,31,,"19,1",,"57,4",,"56,4",,"6,4",,"0,29",,"0,116",,,,,,,,,,,,,,,,,,,,,,,
62,Rilette de canard - 18g,2330000001850,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",,['France'],[],,[],,50 g,en quantité élevée,13.4 g,en quantité élevée,0.3 g,en faible quantité,1.41 g,en quantité modérée,?,,516,+29%,2159 kj(516 kcal),+29%,50,+36%,"13,4",+7%,"1,8",+211%,"0,3",+20%,"14,7",-9%,"1,41",+3%,"0,564",+3%,22,+14%,E,+14%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,18 g,,,,,,,,,,
63,Boudin blanc,4013832426647,D,,"['Viandes', 'Charcuteries', 'Poissons et viandes et oeufs', 'Abats', 'Boudins', 'Produits tripiers', 'Boudins blancs', 'Boudins noirs', 'Boudin noir sauté']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.1%,4.2%,2.1%,1.8%,1.0%,3.9%,35,,,,,,,,,,,
64,Pimenta negra -  - 50g,24025317,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Poivres noirs']",,"['France', 'Espagne']",[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,50 g,,,,,,,,,,
65,Glasreiniger,4334011169347,,,,,"['France', 'Allemagne']",[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Bœuf aux haricots blancs,5425036630307,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Mini beignets,2660259019024,,,"['Snacks', 'Snacks sucrés', 'Beignets sucrés']",,['France'],[],,[],,24 g,en quantité élevée,8.5 g,en quantité élevée,19 g,en quantité élevée,0.72 g,en quantité modérée,?,,428,+21%,1791 kj(428 kcal),+20%,24,+52%,"8,5",+145%,45,-0%,19,+17%,"6,8",+7%,"0,72",-2%,"0,288",-2%,20,+67%,E,+67%,,,,,,,,,,['Fabriqué en France'],,,,,,,,
68,Café saveur vanille - Maison Taillefer,3564884005843,,['Maison Taillefer'],,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Boeuf aux lentilles,5425036630314,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
