,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,packaging,categories,ingredients_origins,manufacturing,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,allergens,nova_score,labels,producer_info,traceability_code,additives,link,generic_name,palm_ingredients,origin_detail,brand_owner
510,Lipton Ice Tea Lemon - 250ml,76119019,['Lipton'],"['France', 'Suisse']",[],[],?,18,75 kj(18 kcal),"0,5","0,1","4,3","4,2","0,5","0,03","0,012",250 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Crème vanille,7613269462231,,"['France', 'Suisse']",[],[],?,121,506 kj(121 kcal),5,3,16,14,3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Bouillon de volaille -  - 56g,3760169640352,,['France'],[],[],?,339,1418 kj(339 kcal),"6,4","1,9","10,5","0,3","59,8",14,"5,6",56 g,,,"['Epicerie', 'Bouillons', 'Bouillons de volaille']",,,6.4 g,en quantité modérée,1.9 g,en quantité modérée,0.3 g,en faible quantité,14 g,en quantité élevée,,+126%,+113%,+36%,-12%,-46%,-95%,+951%,-44%,-44%,15,+59%,D,+59%,,,,,,,,,,,"['Bio', 'Bio européen', 'Fabriqué en France', 'Sans colorants', 'AB Agriculture Biologique']",,,,,,,,
513,Samoussas aux legumes,8934717570162,,['France'],[],[],?,151,632 kj(151 kcal),"3,4","0,6",25,"2,7","3,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Nems aux legumes -,8934717263507,,['France'],[],"['Végétalien', 'Végétarien']",?,158,661 kj(158 kcal),"3,6","1,3",24,4,"6,7",1,"0,4",,C,,"['Plats préparés', 'Nems']",,,3.6 g,en quantité modérée,1.3 g,en faible quantité,4 g,en faible quantité,1 g,en quantité modérée,,-22%,-22%,-60%,-21%,+6%,+42%,-3%,-24%,-24%,2,-62%,B,-62%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,,,,"['Végétarien', 'Végétalien']",,,,,,,,
515,Conchiglie tricolore - Bionaturae,8034063246367,['Bionaturae'],['France'],[],[],?,358,1498 kj(358 kcal),"1,5","0,3",73,"3,5","11,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,
516,Pavé aux noix 400g - 400g,3602826539268,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,400 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Purée d'Amande Framboise Thé Vert - Perl'Amande,3267110001328,"[""Perl'Amande""]",['France'],[],[],?,663,2774 kj(663 kcal),"58,9","4,8","6,6","6,3","22,3","0,01","0,004",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]",,,58.9 g,en quantité élevée,4.8 g,en quantité modérée,6.3 g,en quantité modérée,0.01 g,en faible quantité,,+5%,+5%,+9%,+7%,-22%,+28%,+2%,-40%,-40%,13,+238%,D,+238%,,,,,,,,,,,,,,,,,,,
518,Délices de lait Pomme Fraise Framboises - Hipp,4062300342965,['Hipp'],['France'],[],[],?,76,318 kj(76 kcal),"1,4","0,8","13,8","9,7","1,5","0,1","0,04",,,,"['Aliments pour bébé', 'Dès 6 mois']",,,,,,,,,,,,-21%,-12%,-12%,+25%,+2%,+29%,-30%,+69%,+69%,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,
519,Olio extra vergine di olivia - Esselunga,8002330028077,['Esselunga'],['France'],[],[],?,900,3766 kj(900 kcal),100,"15,4",0,0,0,0,0,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,100 g,en quantité élevée,15.4 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,+10%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
