,name,bar_code,quantity,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,additives,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,packaging,ingredients_origins,manufacturing,traceability_code,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,palm_ingredients,generic_name,link,brand_owner
53,Petits sablés Beaufort AOP - Michel et Augustin,3701239901102,,,['France'],[],[],?,508,28,51,9,"1,8","0,72",B,['Michel et Augustin'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,,+9%,+41%,-14%,-9%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,2125 kj(508 kcal),19,3,,,,,,28 g,en quantité élevée,19 g,en quantité élevée,3 g,en faible quantité,1.8 g,en quantité élevée,+8%,+251%,-23%,-10%,-10%,23,+49%,E,+49%,,,,
54,Frosty flan,6111180008824,,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Fagnes griottes,5425032453313,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Rillettes Fraîches,3435020041004,,,['France'],[],[],?,247,19,"3,1",15,"0,95","0,38",,,,,,,,,,,,,,,,,,,1033 kj(247 kcal),"7,9","0,8",,,,"['FR 86.047.012 CE', 'Cernay (Vienne, France)']",,,,,,,,,,,,,,,,,,,,,,
57,Petits pois - D'Aucy,3017800500064,,"['Bio', 'Nutriscore', 'Nutriscore A']",['France'],[],[],?,76,"0,8","8,9","5,5","0,55","0,22",B,"[""D'Aucy""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']",,,,,0%,+16%,-12%,+14%,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,318 kj(76 kcal),"0,2",2,,,,,,0.8 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,0.55 g,en quantité modérée,-1%,+32%,-40%,-1%,-1%,-11,,A,,,,,
58,Escalope de dinde,0289054020732,,['Point Vert'],['France'],[],[],?,?,?,?,?,0,0,D,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,
59,Poulet roti,8711533007924,,,['France'],[],[],?,205,"7,5",24,9,"0,84","0,336",,,,,,,,,,,,,,,,,,,858 kj(205 kcal),"0,7","2,8",,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sauce pomme frites -,3250392807207,,,['France'],"['Huile de colza', 'eau', ""vinaigre d'alcool"", 'sucre', 'sel', ""jaune d'oeuf"", 'poivre noir de Madagascar 2%', 'amidon modifié de maïs', 'moutarde de Dijon ', 'eau', 'graines de moutarde', ""vinaigre d'alcool"", 'sel', 'épaississant : gomme xanthane', 'arôme', 'Armagnac', 'colorant : caramel E150a']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,326,"31,1","10,6","0,7","2,3","0,92",,,"['Epicerie', 'Sauces']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E150a - Caramel E150a']","['Œufs', 'Moutarde']",4,,+37%,+72%,+7%,-74%,,,,,,,,1364 kj(326 kcal),"2,4","6,5",,,,,,31.1 g,en quantité élevée,2.4 g,en quantité modérée,6.5 g,en quantité modérée,2.3 g,en quantité élevée,+38%,+11%,+1%,-5%,-5%,17,+47%,D,+47%,,,,
61,Cake 4/4 - Carrefour - 800g,5400101220904,800 g,,['France'],[],[],?,436,24,48,6,"1,4","0,56",,['Carrefour'],,,,,,,,,,,,,,,,,1824 kj(436 kcal),15,29,,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,
62,Shaki Shaki Veggie Yuzu,3770013958076,,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,168,"2,5","33,5","2,9","0,82","0,328",,['Shaki Shaki'],,,,,,,,,,,,,,,,,703 kj(168 kcal),"0,4","4,1",,,,,,,,,,,,,,,,,,,,,,,,,,
63,Coffret découverte de fois gras,4056489136477,,,['France'],[],[],?,519,"51,8","5,4","7,2",0,0,,,,,,,,,,,,,,,,,,,2171 kj(519 kcal),"22,2","3,4",,,,,,,,,,,,,,,,,,,,,,,,,,
