,name,bar_code,quantity,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,additives,allergens,nova_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,packaging,ingredients_origins,manufacturing,traceability_code,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,palm_ingredients,generic_name,link,brand_owner
431,91595188,91595188,,['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,"Microwaveable Rice Egg Fried , Eierreis - Lidl",20568214,,,['France'],[],[],?,164,"3,6","27,4","3,8","0,3","0,12",,['Lidl'],,,,,,,,,,,,,,,,,686 kj(164 kcal),"1,5","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,
433,"Biskrem, Raspberry - 160g",5941664007767,160 g,,['France'],[],[],?,35,21,6,36,6,"2,4",,,,,,,,,,,,,,,,,,,146 kj(35 kcal),2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
434,10x 350mg,001493,10 x 350 mg,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Seasoned Salt - Lawry's,0021500013307,,,"['France', 'États-Unis']","['Salt', 'sugar', 'spices ', 'including paprika', 'turmeric', 'onion', 'corn starch', 'garlic', 'natural flavor', 'and extractives of paprika']",[],?,0,0,0,0,"79,168","31,667",,"[""Lawry's""]","['Epicerie', 'Condiments']",,,4,,-100%,-100%,-100%,-100%,,,,,,,,0 kj(0 kcal),,,,,,,,0 g,en faible quantité,,,,,79.2 g,en quantité élevée,-100%,,,+1316%,+1316%,,,,,,,,"McCormick & Company, Inc."
436,Apple crumble bar,0047495800203,,,['France'],[],[],?,350,"6,25","67,5",5,"0,469","0,188",,,,,,,,,,,,,,,,,,,1464 kj(350 kcal),0,"32,5",,,,,,,,,,,,,,,,,,,,,,,,,,
437,Thes - Terre d'Oc,3700324431548,,,['France'],[],[],?,?,?,?,?,,,,"[""Terre d'Oc""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Huile de lin,3760211820107,,,['France'],[],[],?,837,93,0,0,0,0,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de lin']",,,,,-2%,-1%,,,95.3%,1.2%,1.7%,0.9%,0.9%,0.0%,26,3502 kj(837 kcal),11,0,,,,,,93 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-1%,+10%,,-100%,-100%,11,+2%,D,+2%,,,,
439,Salade Wakame,8717677865734,,,['France'],[],[],?,90,"3,4",14,"1,1","1,9","0,76",,,,,,,,,,,,,,,,,,,377 kj(90 kcal),"0,6","3,2",,,,,,,,,,,,,,,,,,,,,,,,,,
440,Olives Vertes Entieres Hojiibl,8422767422895,,,['France'],[],[],?,157,"16,1",0,"0,9","0,008","0,003",,,,,,,,,,,,,,,,,,,657 kj(157 kcal),3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Chicken quesadillas,2685157009991,,,['France'],[],[],?,210,"10,6","17,5","11,1","1,7","0,68",,,,,,,,,,,,,,,,,,,879 kj(210 kcal),"6,3","2,9",,,,,,,,,,,,,,,,,,,,,,,,,,
442,Marbre blanc de poulet a l'estragon,3330180039512,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Patè De Campagne Aveyron,3420230000071,,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,364,"33,4","2,1","13,6","1,8","0,72",,,,,,,,,,,,,,,,,,,1523 kj(364 kcal),"13,6","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,
444,La terrine de campagne à l'ail - Monoprix Gourmet,3350033679979,,,['France'],[],[],?,291,27,"2,4","9,6","1,3","0,52",,['Monoprix Gourmet'],"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,,,,-10%,-5%,+5%,-31%,,,,,,,,1218 kj(291 kcal),"9,5","1,3",['Barquette'],,,,['Monoprix'],27 g,en quantité élevée,9.5 g,en quantité élevée,1.3 g,en faible quantité,1.3 g,en quantité modérée,-10%,-12%,+50%,-19%,-19%,17,-12%,D,-12%,,,,
445,couronne briochée fleur d'oranger - intermarché - 400g,2660289032147,400 g,,['France'],"[""10JILLJ A cons COURONNE BRIOCHEE FLEUR D'ORANGER tempe amb P de INCPEDIENTS : Farine "", ' BLE', 'BLE Ralte ', 'eau', 'sucre', 'OEUF', 'beurre LAIT', ' ', '6,5/D', 'leure', 'QUTEN DE BLE', 'sel,poudre de LAIT ecreme', 'emulsifiant ', 'E471,E481', 'aromes', 'agent de traiterent de la Farine acide ascorbique', ',enzynes ', 'BLE', 'colarant ', 'carotenaides', 'enzyres', 'levure desactives Peut contenir des traces de Fruits a coque', 'graines de sesame', ' FEVE MADAME MONSIEUR', ' DORURE CELF', ' Emballe a :07:08 le :05-01-2020']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,?,?,?,?,,,C,['intermarché'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",4,,,,,,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,['barquette en plastique'],,,,['intermarché'],,,,,,,,,,,,,,,,,,,,,
446,CORTADO -espresso macchiato - Nescafé,43903801,,,['France'],[],[],?,28,"1,4","1,9","1,5","0,08","0,032",,['Nescafé'],,,,,,,,,,,,,,,,,117 kj(28 kcal),"0,8","1,9",,,,,,,,,,,,,,,,,,,,,,,,,,
447,Jamon de bellota iberico - Monoprix Gourmet,3350033638266,,,['France'],[],[],?,387,29,"0,5",31,"4,1","1,64",,['Monoprix Gourmet'],,,,,,,,,,,,,,,,,1619 kj(387 kcal),"9,8","0,5",,,,,['Monoprix'],,,,,,,,,,,,,,,,,,,,,
448,Huile essentielle GENÉVRIER,00057,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Schlag Gut Tee,7610369416768,,,['France'],[],[],?,368,"0,1","91,7","0,1",0,0,,,,,,,,,,,,,,,,,,,1540 kj(368 kcal),"0,05","90,4",,,,,,,,,,,,,,,,,,,,,,,,,,
450,Montepalacio Vino Tinto,8420209007518,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Poudre pour preparer gelatine,0735257002889,,,['France'],[],[],?,56,0,"11,5","2,5","0,13","0,052",,,,,,,,,,,,,,,,,,,234 kj(56 kcal),0,"11,5",,,,,,,,,,,,,,,,,,,,,,,,,,
452,4901360315239,4901360315239,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Organic original crackers,0044000056421,,['Bio'],"['France', 'États-Unis']","['Organic whole grain wheat', 'organic expeller pressed sunflower oil', 'sea salt']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,429,"12,5","71,43","10,71","1,428","0,571",C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,3,,-9%,-40%,+12%,+65%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,1795 kj(429 kcal),0,0,,,,,,12.5 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,1.43 g,en quantité modérée,-10%,-100%,-100%,+142%,+142%,6,-70%,C,-70%,,,,Nabisco Biscuit Company
454,The Vert de Chine - 400g,3700607000126,400g,,['France'],[],[],?,?,?,?,?,,,B,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thé vert de Chine']",,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,['Chine'],,,,,,,,,,,,,,,,,,,,,,,,
455,Couronnes des rois - 350g,3760255300467,350 g,['Fabriqué en France'],['France'],[],[],?,362,18,40,"9,1","0,97","0,388",,,,,,,,,,,,,,,,,,,1515 kj(362 kcal),11,"8,3",,,,,,,,,,,,,,,,,,,,,,,,,,
456,Pur jus de raisin noir,3222477457461,,,['France'],[],[],?,64,0,16,0,0,0,,,,,,,,,,,,,,,,,,,268 kj(64 kcal),0,16,,,,,['Casino'],,,,,,,,,,,,,,,,,,,,,
457,Sake,4903636710007,,,['France'],[],[],?,37,0,"9,3",0,"4,5","1,8",,,,,,,,,,,,,,,,,,,155 kj(37 kcal),0,"8,2",,,,,,,,,,,,,,,,,,,,,,,,,,
458,Passata di pomodoro,8050327390164,,,['France'],[],[],?,27,"0,2","4,2","1,6","0,41","0,164",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés']",,,,,-60%,-89%,-44%,-19%,,,,,,,,113 kj(27 kcal),0,"4,2",,,,,,0.2 g,en faible quantité,0 g,en faible quantité,4.2 g,en faible quantité,0.41 g,en quantité modérée,-59%,-100%,-27%,-38%,-38%,-4,,A,,,,,
459,Sweetbird Banana,3276188402821,,,['France'],[],[],?,12,"0,1",43,1,"0,03","0,012",,,,,,,,,,,,,,,,,,,50 kj(12 kcal),0,43,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Fruit Bakes Apple - Lidl,20266097,,,['France'],[],[],?,387,8,"73,9","3,8","0,475","0,19",,['Lidl'],,,,,,,,,,,,,,,,,1619 kj(387 kcal),4,"38,6",,,,,,,,,,,,,,,,,,,,,,,,,,
461,Dossette dolce gusto Starbucks veranda bled grande,7613036943741,,,['France'],[],[],?,?,?,?,?,0,0,,['Starbucks'],['Dosettes Dolce Gusto'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 g,en faible quantité,,,,-100%,-100%,,,,,,,,
462,vin rouge,3193661251090,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,8710259011208,8710259011208,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,African spirit sauce - Naturata - 250ml,4024297017912,250ml,,"['France', 'Allemagne']",[],[],?,126,"1,2","24,5","3,5",2,"0,8",,['Naturata'],,,,,,,,,,,,,,,,,527 kj(126 kcal),"0,3",22,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Milka Joy Fills,7622210594532,,,['France'],[],[],?,448,15,71,"5,7","0,8","0,32",,['Milka'],,,,,,,,,,,,,,,,,1874 kj(448 kcal),"4,2",38,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Galette des Rois - Carrefour,0202318045593,,,['France'],[],[],?,442,28,40,"7,3","0,76","0,304",D,['Carrefour'],"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,+5%,+6%,+4%,+15%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,1849 kj(442 kcal),17,11,,,,,['Carrefour'],28 g,en quantité élevée,17 g,en quantité élevée,11 g,en quantité modérée,0.76 g,en quantité modérée,+5%,+15%,-15%,+9%,+9%,20,+4%,E,+4%,,,,
467,Fougasette bleu noix,0202599014769,,,['France'],[],[],?,418,24,34,15,"1,7","0,68",,,,,,,,,,,,,,,,,,,1749 kj(418 kcal),13,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,
468,Lomo espagnol,4056489163657,,,['France'],[],[],?,225,9,1,35,4,"1,6",,,,,,,,,,,,,,,,,,,941 kj(225 kcal),"4,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Potage instané épinards spiruline,3176800030077,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,12,"0,5","1,7","0,6","0,5","0,2",,,,,,,,,,,,,,,,,,,50 kj(12 kcal),"0,1","0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
470,Couronne brioche fleur,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Haselnüsse - 85g,4058172295010,85 g,,['France'],[],[],?,581,43,39,"7,5","0,12","0,048",,,,,,,,,,,,,,,,,,,2431 kj(581 kcal),20,38,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Eminces de Dinde -,2447173039235,,"['Nutriscore', 'Nutriscore B']",['France'],[],[],?,102,"0,9",1,22,1,"0,4",D,,"['Viandes', 'Volailles', 'Dindes']",,,,,-24%,-72%,-73%,+5%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,427 kj(102 kcal),"0,3",1,,,,,,0.9 g,en faible quantité,0.3 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,-24%,-68%,+18%,+11%,+11%,0,-100%,B,-100%,,,,
473,Merlot pays d'oc,3552657015342,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,"The noir ""Noël en Alsace""",3665206106306,,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Elephant pretzels pizza,5949040201891,,,['France'],[],[],?,430,12,70,"9,9",2,"0,8",,,,,,,,,,,,,,,,,,,1799 kj(430 kcal),"0,8","8,1",,,,,,,,,,,,,,,,,,,,,,,,,,
476,Sardine à l'huile végétale,6111003030971,,,['France'],[],[],?,229,15,4,22,0,0,D,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive""]",,,,,-7%,-15%,+1146%,+3%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,958 kj(229 kcal),"3,3",0,,,,,,15 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,-7%,-14%,-100%,-100%,-100%,0,-100%,B,-100%,,,,
477,Boules de soja au chocolat EFFEA,3701078921118,,,['France'],[],[],?,451,"17,6","28,9","42,9","0,9","0,36",,,,,,,,,,,,,,,,,,,1887 kj(451 kcal),"14,7","16,5",,,,,,,,,,,,,,,,,,,,,,,,,,
478,Kürbis-Kartoffel Suppe - Erasco - 390ml,4037300107715,390 ml,"['Végétarien', 'Végétalien']","['France', 'Allemagne']",[],"['Végétalien', 'Végétarien']",?,?,?,?,?,,,,['Erasco'],"['Conserves', 'Plats préparés', 'Soupes', 'Plats préparés en conserve', 'Soupes en conserve']",,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,,,,,,,,,,,,,,,,,
479,Chocolate chip cookies,5776879016552,,,['France'],[],[],?,476,23,61,5,"0,58","0,232",,,,,,,,,,,,,,,,,,,1992 kj(476 kcal),12,31,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Chimes orginal ginger bag chews,0051299111311,,,['France'],[],[],?,400,"2,5",95,"1,5",0,0,,,,,,,,,,,,,,,,,,,1674 kj(400 kcal),0,70,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Pain aux céréales,3339740001426,,,['France'],[],[],?,323,"4,7",57,10,"1,6","0,64",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,-2%,-23%,+4%,+5%,,,,,,,,1351 kj(323 kcal),"0,9","1,9",,,,,,4.7 g,en quantité modérée,0.9 g,en faible quantité,1.9 g,en faible quantité,1.6 g,en quantité élevée,-2%,-23%,-52%,+25%,+25%,11,+116%,D,+116%,,,,
482,Alcala oliva,8437000816379,,,['France'],[],[],?,8,"91,6",0,0,0,0,,,,,,,,,,,,,,,,,,,33 kj(8 kcal),"12,8",0,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Rillettes de Saumon fumé à l'aneth - 90g,3284570002047,90 g,,['France'],[],[],?,212,16,"1,9",15,"0,7","0,28",E,,"['Produits de la mer', 'Produits à tartiner', 'Poissons', 'Produits à tartiner salés', 'Rillettes', 'Préparations de poisson', 'Rillettes de poissons', 'Rillettes de saumon']",,,,,-4%,-7%,-14%,+11%,88.2%,4.1%,1.6%,5.2%,0.7%,0.2%,25,887 kj(212 kcal),"8,5","0,7",,,,,,16 g,en quantité modérée,8.5 g,en quantité élevée,0.7 g,en faible quantité,0.7 g,en quantité modérée,-4%,+76%,-23%,-39%,-39%,13,+48%,D,+48%,,,,
484,ALOO BHUJIA spicy patato Noodles - Haldiram's - 400g,8904063230119,400 g,,['France'],[],[],?,?,?,?,?,,,,"[""Haldiram's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Petit billy - 200g,,200 g,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Barilla,68780876,,,['France'],[],[],?,?,?,?,?,,,,['Barilla'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,K en chocolat au lait - Favorina,20190682,,,['France'],[],[],?,546,33,"54,3","6,7","0,18","0,072",,['Favorina'],,,,,,,,,,,,,,,,,2284 kj(546 kcal),"20,4","51,9",,,,,,,,,,,,,,,,,,,,,,,,,,
488,Cubes de potimarron - 747g,2868370019552,747 g,['Sans conservateurs'],['France'],[],[],?,18,"0,5","3,1","0,63","0,07","0,028",,,,,,,,,,,,,,,,,,,75 kj(18 kcal),"0,1",0,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Yaourt de brebis,3760225394953,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 83.052.104 CE', 'Esparron (Var, France)']",,,,,,,,,,,,,,,,,,,,,,
490,Chocolats blancs,3760059923411,,,['France'],[],[],?,561,35,54,7,"0,19","0,076",,,,,,,,,,,,,,,,,,,2347 kj(561 kcal),18,53,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Graines germées Betterave - 60g,3338140000213,60 g,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Garbure Royale aux Manchons de canard confits - Le Vieux Chêne,3563480001976,,,['France'],[],[],?,83,"3,6","6,2","5,3","0,68","0,272",,['Le Vieux Chêne'],,,,,,,,,,,,,,,,,347 kj(83 kcal),"1,2","1,4",,,,"['FR 64.139.002 CE', 'Bosdarros (Pyrénées-Atlantiques, France)']",,,,,,,,,,,,,,,,,,,,,,
493,Calissons D'aix BIO - Confiserie d'Entrecasteaux,3502793904321,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,431,"17,5","58,9","7,8","0,08","0,032",B,"[""Confiserie d'Entrecasteaux""]","['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons', ""Calissons d'Aix""]",,,,,-4%,-2%,-5%,+2%,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,1803 kj(431 kcal),"1,4",47,,,,,,17.5 g,en quantité modérée,1.4 g,en faible quantité,47 g,en quantité élevée,0.08 g,en faible quantité,-4%,-19%,-6%,+137%,+137%,16,+11%,D,+11%,,,,
494,Filet de poulet fumé Nature - Bahier - 120g,3180050140387,120g,['Fumé au bois de hêtre'],['France'],"['Pl FILET DE POULET CUIT CHOIX TRAITÉ EN SALAISON ET FUME AU BOIS DE HETRE - NATURE Inoridients: Filet de poulet', 'sel', 'arômes naturels', 'dextrose', 'sirop de glucose', 'antioxydant: E301', 'poireau', 'ail', 'oignon', 'carotte', 'conservateur: E250', 'persil', 'épice', 'plante aromatique', ' 110 g de viande de poulet utilisée pour fabriquer 100 g de produit fini', ' Fumage au bois de hêtre', ' Élaboré en France à partir de poulet origine France', ' ""Apport Quoticle']","['Non végétalien', 'Non végétarien']",?,120,"2,3","0,9",24,"2,2","0,88",D,['Bahier'],"['Viandes', 'Volailles', 'Dindes', 'Filets de dinde', 'Filets mignons de dinde']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,,+11%,+54%,-3%,+10%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,502 kj(120 kcal),"0,7","0,7",,,,,,2.3 g,en faible quantité,0.7 g,en faible quantité,0.7 g,en faible quantité,2.2 g,en quantité élevée,+9%,+29%,-5%,+68%,+68%,5,+127%,C,+127%,,,,
495,Foie gras de canard entier du Gers,3473024315011,,,['France'],[],[],?,485,"50,2","1,6","6,9","1,4","0,56",,,,,,,,,,,,,,,,,,,2029 kj(485 kcal),"22,9","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,
496,ISO Sport Whey Isolate,0627933028163,,,['France'],[],[],?,14,"1,5",2,30,"0,15","0,06",,,,,,,,,,,,,,,,,,,59 kj(14 kcal),"0,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Saveur des Truques - 120g,71877228,120g,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",['France'],['100% Petit Epautre BioEngrais Triticum Monococcum'],[],?,?,?,?,?,,,,['Saveur des Truques'],,,,,,,,,,,,,,,,,,,,['Sachet'],['Non mentionné'],['France'],['NON MENTIONNÉ'],['Casino'],,,,,,,,,,,,,,,,,,,,http://www.saveursdestruques.com,
498,Galette frangipane 6 parts,,,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Payé de canard au magret fumé,3760248020402,,,['France'],[],[],?,183,12,"4,1",14,"1,1","0,44",,,,,,,,,,,,,,,,,,,766 kj(183 kcal),"4,6","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,
500,Terrine de campagne - 90g,3700428492063,90 g,,['France'],[],[],?,323,29,"0,6",14,"1,4","0,56",,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,,,,0%,+2%,-74%,0%,,,,,,,,1351 kj(323 kcal),12,"0,5",,,,"['EMB 65375A', 'Rabastens-de-Bigorre (Hautes-Pyrénées, France)', 'FR 65.375.001 CE', 'Rabastens-de-Bigorre (Hautes-Pyrénées, France)']",,29 g,en quantité élevée,12 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,+0%,+11%,-42%,-12%,-12%,20,+3%,E,+3%,,,,
501,Huile d'olives vierge extra,8437000663812,,,['France'],[],[],?,900,"99,9",0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,+5%,+5%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,3766 kj(900 kcal),"16,6",0,,,,,,99.9 g,en quantité élevée,16.6 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,+19%,,-100%,-100%,7,+14%,C,+14%,,,,
502,Sauce tomate aux tomates séchées - Florelli,3760077537157,,['Sans conservateurs'],['France'],[],[],?,167,16,15,"3,3","1,7","0,68",B,['Florelli'],"['Epicerie', 'Sauces', 'Sauces tomate']",,,,,+90%,+641%,+26%,+112%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,699 kj(167 kcal),"1,7","9,8",,,,,,16 g,en quantité modérée,1.7 g,en quantité modérée,9.8 g,en quantité modérée,1.7 g,en quantité élevée,+96%,+386%,+1%,+32%,+32%,12,+133%,D,+133%,,,,
503,20 oeufs frais sol pondus en france,3760139470941,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Pure vegetable oil,0027000612866,,,['France'],[],[],?,800,"93,333",0,0,0,0,,,,,,,,,,,,,,,,,,,3347 kj(800 kcal),"13,333",0,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Chips Plantain,6171551984515,,,['France'],[],[],?,531,21,"63,8","2,3",0,0,,,,,,,,,,,,,,,,,,,2222 kj(531 kcal),5,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,
506,Gouda - La Vie Claire - 200g,3266191000176,200 g,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'DE-ÖKO-006', 'Sans lactose']",['France'],"['Lait écrémé pasteurisé ', '99%', 'sel', 'ferments lactiques', 'présure microbienne']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,336,"27,2","0,1","22,8",1,"0,4",C,['La Vie Claire'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Fromages sans lactose']",,['Lait'],3,,-10%,-11%,-47%,-5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1406 kj(336 kcal),"17,6","0,1",,,,['DE BY-7057 EG'],['La Vie Claire'],27.2 g,en quantité élevée,17.6 g,en quantité élevée,0.1 g,en faible quantité,1 g,en quantité modérée,-9%,-15%,-39%,-47%,-47%,13,-23%,D,-23%,,,,
507,Miel l'apiculteur,12482399,,,['France'],[],[],?,?,?,?,?,0,0,,"[""Miel l'Apiculteur""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Marrons glacés - Confiserie Azuréenne,3760008045409,,,['France'],[],[],?,318,"0,9",75,1,"0,06","0,024",,['Confiserie Azuréenne'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks sucrés', 'Confiseries', 'Fruits à coques et dérivés', 'Confiseries de fruits à coques', 'Marrons glacés']",,,,,+0%,+1%,+1%,-2%,,,,,,,,1331 kj(318 kcal),"0,2",46,,,,,,0.9 g,en faible quantité,0.2 g,en faible quantité,46 g,en quantité élevée,0.06 g,en faible quantité,+0%,+28%,-9%,+60%,+60%,13,+10%,D,+10%,,,,
509,Miel - 1kg,3760076770043,1 kg,,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Jambon Supérieur,3222477371590,,,['France'],[],[],?,109,"2,8",0,21,"1,8","0,72",,,,,,,,,,,,,,,,,,,456 kj(109 kcal),"1,1",0,,,,,['Casino'],,,,,,,,,,,,,,,,,,,,,
511,Guindillas  Bai,8420683101771,,,['France'],[],[],?,0,?,?,?,0,0,,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,
