,name,bar_code,eco_score,quantity,packaging,brand,categories,ingredients_origins,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,traceability_code,nova_score,additives,allergens,palm_ingredients,generic_name,origin_detail,producer_info,link,brand_owner
1486,Gateau basque -,3251515700009,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux']",,,['France'],[],[],12 g,en quantité modérée,5.6 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en quantité modérée,?,,307,-24%,1284 kj(307 kcal),-24%,12,-38%,"5,6",-27%,45,-9%,22,-21%,"4,2",-23%,"0,5",-18%,"0,2",-18%,14,-22%,D,-22%,,,,,,,,,,"['EMB 64134A', 'Bonloc (Pyrénées-Atlantiques, France)']",,,,,,,,,
1487,Pain polaire - Boncolac,3251515716000,,,"['Carton', 'surgelé']",['Boncolac'],['Surgelés'],,,['France'],[],[],5.6 g,en quantité modérée,2.9 g,en quantité modérée,5.2 g,en quantité modérée,1.1 g,en quantité modérée,?,,219,+27%,916 kj(219 kcal),+27%,"5,6",-25%,"2,9",-20%,"32,2",+66%,"5,2",-51%,"8,2",+64%,"1,1",+172%,"0,44",+172%,4,-30%,C,-30%,,,,,,,,,['France'],"['EMB 47091A', 'Estillac (Lot-et-Garonne, France)']",,,,,,,,,
1488,Tarte fruits rouges pistaches - Boncolac - 900g,3251515770002,,900g,"['Sous vide', 'surgelé']",['Boncolac'],"['Surgelés', 'Biscuits et gâteaux', 'Tartes', 'Tartes sucrées', 'Gâteaux et pâtisseries surgelés']",,,['France'],[],[],13 g,en quantité modérée,6.8 g,en quantité élevée,20 g,en quantité élevée,0.17 g,en faible quantité,?,,282,-16%,1180 kj(282 kcal),-16%,13,-24%,"6,8",-26%,36,-7%,20,-21%,"4,2",-17%,"0,17",-38%,"0,068",-38%,13,-17%,D,-17%,,,,,,,,,['France'],"['EMB 64134A', 'Bonloc (Pyrénées-Atlantiques, France)']",,,,,,,,,
1489,Focaccia X12 -,3251515775007,C,,,,"['Plats préparés', 'Focaccia']",,,['France'],[],[],12 g,en quantité modérée,7.4 g,en quantité élevée,3.6 g,en faible quantité,0.78 g,en quantité modérée,?,,274,+5%,1146 kj(274 kcal),+4%,12,+37%,"7,4",+354%,30,-20%,"3,6",+27%,11,+53%,"0,78",-48%,"0,312",-48%,13,+58%,D,+58%,64.6%,14.6%,6.8%,4.1%,2.1%,7.8%,59,,,,,,,,,,,,
1490,8 mises en bouche facon éclairs saumon et fois gras,3251515909006,,,,,,,,['France'],[],[],,,,,,,,,?,,214,,895 kj(214 kcal),,12,,"5,6",,19,,"6,8",,"6,5",,"0,62",,"0,248",,,,,,,,,,,,,,,,,,,,,,,,
1491,Boncolac Tarte aux Framboises,3251517100005,,,"['Surgelé', 'sous Vide']",['Boncolac'],"['Surgelés', 'Biscuits et gâteaux', 'Gâteaux et pâtisseries surgelés']",,,['France'],[],[],6.9 g,en quantité modérée,4.2 g,en quantité modérée,23.3 g,en quantité élevée,0.3 g,en quantité modérée,?,,236,-30%,987 kj(236 kcal),-30%,"6,9",-60%,"4,2",-54%,"38,7",0%,"23,3",-8%,"2,9",-43%,"0,3",+10%,"0,12",+10%,12,-24%,D,-24%,,,,,,,,,['France'],"['EMB 64134A', 'Bonloc (Pyrénées-Atlantiques, France)']",,,,,,,,,
1492,Sorbet Citron-Orange,3251519072003,,,,,,,,['France'],[],[],,,,,,,,,?,,110,,460 kj(110 kcal),,0,,0,,"26,8",,"22,6",,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,Chocolat noir gingembre sesame,3251550421167,,,,,,,,['France'],[],[],,,,,,,,,?,,546,,2284 kj(546 kcal),,43,,26,,33,,26,,9,,"0,9",,"0,36",,,,,,,,,,,,,['Bio'],,,,,,,,,,,
1494,Jambon de volaille,3251666198342,,,,,"['Viandes', 'Charcuteries', 'Charcuteries cuites', 'Blancs de volaille en tranches']",,,['France'],[],[],5.6 g,en quantité modérée,1.88 g,en quantité modérée,1.8 g,en faible quantité,3 g,en quantité élevée,?,,495,+358%,2071 kj(495 kcal),+362%,"5,6",+156%,"1,88",+188%,"3,3",+143%,"1,8",+105%,"13,7",-32%,3,+59%,"1,2",+59%,17,+253%,D,+253%,,,,,,,,,,,,,,,,,,,
1495,Elle & Vire (beurre) demi-sel - 250g,3251790947571,C,250g,"['Feuille', 'Frais']","['Elle & Vire', 'Savencia']","['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres demi-sel']","['France', 'Normandie', 'Condé-sur-Vire']",,['France'],[],[],60 g,en quantité élevée,,,,,,,?,,?,,,,60,-24%,,,?,,,,?,,,,,,,,,,91.5%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,,,,,,,beurre à teneur réduite en MG (60%),,,,
1496,Sardines à l'huile de tournesol - Lou Ferrignade,3251870001056,D,,,['Lou Ferrignade'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile de tournesol""]",,,['France'],"['Sardines ', 'Sardinapilchardus,fsh caughtinthe Atlantic Oceon Center East', 'sunflower oil salt Fabriqué en/Produce in Provence par/by FERRIGNO s', 'a', ' F-13230 Port St Louis du Rhône-Frcnce EMB', ' 13078 Poidsnetégouté/Drainedweight:81 g Poids net/Netweight : 115']","['Non végétalien', 'Non végétarien']",12.9 g,en quantité modérée,3.33 g,en quantité modérée,0.1 g,en faible quantité,0.85 g,en quantité modérée,?,,222,+2%,929 kj(222 kcal),+2%,"12,9",-7%,"3,33",+2%,"0,1",-84%,"0,1",-61%,"26,4",+23%,"0,85",-7%,"0,34",-7%,3,-19%,C,-19%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,['Poisson'],,,,,,
1497,Sardines,3251870001070,B,,,,"['Produits de la mer', 'Poissons', 'Sardines']",,,['France'],[],[],12.9 g,en quantité modérée,3.33 g,en quantité modérée,0.01 g,en faible quantité,0.8 g,en quantité modérée,?,,222,-3%,929 kj(222 kcal),-3%,"12,9",-19%,"3,33",-7%,"0,01",-98%,"0,01",-97%,"26,4",+28%,"0,8",-13%,"0,32",-13%,3,-41%,C,-41%,56.5%,0.0%,7.4%,31.3%,3.7%,1.0%,85,,,,,,,,,,,,
1498,3251870001285,3251870001285,,,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,Rouille - Lou Ferrigni,3251870001438,D,,,['Lou Ferrigni'],"['Epicerie', 'Sauces', 'Mayonnaises', 'Sauce rouille', 'Rouille']",,,['France'],[],[],33.3 g,en quantité élevée,3.7 g,en quantité modérée,1.1 g,en faible quantité,2.1 g,en quantité élevée,?,,338,-19%,1414 kj(338 kcal),-18%,"33,3",-26%,"3,7",-10%,"5,3",+31%,"1,1",-10%,"3,6",+35%,"2,1",+50%,"0,84",+50%,16,+16%,D,+16%,81.1%,9.7%,5.1%,2.2%,1.9%,0.0%,53,,,,,,,,,,,,
1500,Rouille - Lou Ferrigni,3251870001438,D,,,['Lou Ferrigni'],"['Epicerie', 'Sauces', 'Mayonnaises', 'Sauce rouille', 'Rouille']",,,['France'],[],[],33.3 g,en quantité élevée,3.7 g,en quantité modérée,1.1 g,en faible quantité,2.1 g,en quantité élevée,?,,338,-19%,1414 kj(338 kcal),-18%,"33,3",-26%,"3,7",-10%,"5,3",+31%,"1,1",-10%,"3,6",+35%,"2,1",+50%,"0,84",+50%,16,+16%,D,+16%,81.1%,9.7%,5.1%,2.2%,1.9%,0.0%,53,,,,,,,,,,,,
1501,Croutons grillés aux 7 céréales,3251870001490,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,['France'],[],[],10.8 g,en quantité modérée,4.6 g,en quantité modérée,3.6 g,en faible quantité,1.8 g,en quantité élevée,?,,433,+32%,1812 kj(433 kcal),+31%,"10,8",+76%,"4,6",+293%,"69,9",+28%,"3,6",-8%,"12,1",+27%,"1,8",+41%,"0,72",+41%,16,+214%,D,+214%,,,,,,,,,,,,,,,,,,,
1502,Poulpes à la provencale - Lou Ferrignade,3251870001599,,,,['Lou Ferrignade'],,,,['France'],[],[],,,,,,,,,?,,105,,439 kj(105 kcal),,?,,"0,3",,?,,"5,5",,"11,7",,"0,89",,"0,356",,,,,,,,,,,,,,,,,,,,,,,,
1503,Soupe Lou Ferrigno Poisson - Lou Ferrignade,3251870001896,,,,['Lou Ferrignade'],,,,['France'],"['Eau Poissons de roche 25% - Légumes ', 'oignons poireaux', "" - Concentré de tomate Amidon modifié de mat - Huile d'olive vierge - Plantes extra Huile de colza - aromatiques - Épices dont safran"", ' Valeurs éner éti ues et nutritionnelles !noyennes pour 1 oog : Energie : 153kJ/']",[],,,,,,,,,?,,37,,155 kj(37 kcal),,"2,6",,"0,4",,"0,5",,"0,5",,"3,1",,"0,83",,"0,332",,,,,,,,,,,,,['Point Vert'],,"['FR 13.078.002 CE', 'Port-Saint-Louis-du-Rhône (Bouches-du-Rhône, France)']",,,,,,,,,
1504,Rouille -,3251870002022,,,,,"['Epicerie', 'Sauces']",,,['France'],[],[],33 g,en quantité élevée,3.7 g,en quantité modérée,1.1 g,en faible quantité,2.09 g,en quantité élevée,?,,338,+42%,1414 kj(338 kcal),+43%,33,+82%,"3,7",+71%,"5,3",-47%,"1,1",-83%,"3,6",+34%,"2,09",-14%,"0,836",-14%,16,+38%,D,+38%,,,,,,,,,,,,,,,,,,,
