,name,bar_code,eco_score,quantity,packaging,brand,categories,ingredients_origins,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,manufacturing,traceability_code,nova_score,additives,allergens,palm_ingredients,generic_name,origin_detail,producer_info,link,brand_owner
0,Fromage blanc - Grand Jury - 1kg,3245391686830,B,1 kg,"['Pot', 'Plastique']",['Grand Jury'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages pasteurisés', 'Fromages blancs', 'Fromages à la crème']",['France'],"['Proxi', '8 à Huit']",['France'],[],[],3 g,en quantité modérée,1.9 g,en quantité modérée,3.3 g,en faible quantité,0.15 g,en faible quantité,?,,70,-23%,293 kj(70 kcal),-22%,3,-26%,"1,9",-27%,"3,3",-49%,"3,3",-45%,"7,5",+16%,"0,15",+40%,"0,06",+40%,-3,-1145%,A,-1145%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,,,,,
1,Bte 4 / 4 Ratatouille Fin Gourmet Grand Jury - 750g (850ml),3245391712744,B,750 g (850 ml),['Conserve'],['Grand Jury'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Plats préparés', ""Plats préparés d'origine végétale"", 'Légumes préparés', 'Plats préparés en conserve', 'Ratatouilles']",,"['Proxi', '8 à Huit']",['France'],[],[],1.3 g,en faible quantité,0.5 g,en faible quantité,4.7 g,en faible quantité,0.9 g,en quantité modérée,?,,46,-32%,192 kj(46 kcal),-31%,"1,3",-65%,"0,5",-7%,"6,3",+23%,"4,7",+21%,"1,4",+19%,"0,9",+26%,"0,36",+26%,3,+207%,C,+207%,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,['Fabriqué en France'],['France'],"['EMB 13108A', 'Tarascon (Bouches-du-Rhône, France)']",,,,,,,,,
2,Saucisses aux Lentilles - Grand Jury,3245391969674,C,,['Conserve'],['Grand Jury'],"['Conserves', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Plats préparés en conserve', 'Plats à base de lentilles', 'Saucisses aux lentilles']",,"['Proxi', '8 à Huit']",['France'],[],[],5 g,en quantité modérée,1.8 g,en quantité modérée,1.1 g,en faible quantité,1.1 g,en quantité modérée,?,,108,-22%,452 kj(108 kcal),-21%,5,-24%,"1,8",-27%,"7,6",-5%,"1,1",+36%,"6,9",-14%,"1,1",+17%,"0,44",+17%,0,-100%,B,-100%,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,,,,,,,,,,,,
3,Lait demi-écrémé UHT - Grand Jury - 1L,3245392130301,C,1 L,"['Brique', 'Carton']",['Grand Jury'],"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",,"['Proxi', '8 à Huit']",['France'],['Lait demi-écrémé stérilisé UHT'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1.6 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,?,,46,-2%,192 kj(46 kcal),-3%,"1,6",-5%,1,-3%,"4,8",0%,"4,8",+0%,"3,2",-1%,"0,1",-10%,"0,04",-10%,0,-100%,B,-100%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,1,,,,,,,,
4,Petits suisses - Grand Jury - 6 * 60g,3245392428460,B,6 * 60 g,"['Pot', 'Plastique']",['Grand Jury'],"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Petits suisses']",['France'],"['Proxi', '8 à Huit']",['France'],[],[],10.4 g,en quantité modérée,6.9 g,en quantité élevée,3.5 g,en faible quantité,0.1 g,en faible quantité,?,,141,+29%,590 kj(141 kcal),+31%,"10,4",+97%,"6,9",+99%,"3,5",-45%,"3,5",-41%,"8,3",+5%,"0,1",+2%,"0,04",+2%,2,+531%,B,+531%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['Fabriqué en France'],['France'],"['EMB 89263', 'Monéteau (Yonne, France)', 'FR 89.263.001 CE', 'Monéteau (Yonne, France)']",,,,,,,,,
5,Crème fraîche épaisse (30% mat. gr.) - Grand Jury - 20cl,3245393059397,B,20 cl,"['Plastique', 'Pot']",['Grand Jury'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches']",['France'],"['Proxi', '8 à Huit']",['France'],[],[],30 g,en quantité élevée,20 g,en quantité élevée,2.9 g,en faible quantité,0.08 g,en faible quantité,?,,291,-0%,1218 kj(291 kcal),+2%,30,+1%,20,+1%,"2,9",-11%,"2,9",+1%,"2,3",-3%,"0,08",-5%,"0,032",-5%,13,0%,D,0%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,['France'],"['FR 14.630.010 CE', 'Saint-Martin-des-Entrées (Calvados, France)']",,,,,,,,,
6,Galettes bretonnes pur beurre - Grand Jury - 125g,3245393092936,C,125 g,,['Grand Jury'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,"['Proxi', '8 à Huit']",['France'],"['Farine de blé', 'sucre', 'beurre 23%', 'œufs frais 3%', 'sel', ""poudre à lever carbonates d'ammonium - carbonates de sodium - diphosphates""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",20 g,en quantité modérée,13 g,en quantité élevée,27 g,en quantité élevée,0.9 g,en quantité modérée,?,,486,-1%,2033 kj(486 kcal),-1%,20,-14%,13,-6%,69,+10%,27,+6%,"6,5",+5%,"0,9",+32%,"0,36",+32%,22,+0%,E,+0%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,4,"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']",,,,,,
7,Haricots Verts Extra Fins - Grand Jury,3245393114485,B,,['Conserve'],['Grand Jury'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Haricots verts', 'Légumineuses en conserve', 'Haricots verts en conserve']",,"['Proxi', '8 à Huit']",['France'],"['Haricots verts extra-fins', 'eau', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,0.5 g,en faible quantité,0.63 g,en quantité modérée,?,,25,+4%,105 kj(25 kcal),+6%,0,-100%,0,-100%,"2,8",+5%,"0,5",-35%,"1,6",+8%,"0,63",-6%,"0,252",-6%,-6,,A,,40.4%,27.0%,12.4%,6.4%,8.7%,5.1%,79,,,,3,,,,,,,,
8,Beurre moulé de Bretagne Doux (82 % MG) - Grand Jury - 500g,3245393340259,E,500 g,"['Plastique', 'Frais']",['Grand Jury'],"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres moulés', 'Beurres de crème douce']",,"['Aux Délices Amplepuisiens', 'Proxi', '8 à Huit']",['France'],"['Beurre ', 'crème de lait pasteurisée', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",82 g,en quantité élevée,60 g,en quantité élevée,0.6 g,en faible quantité,0.05 g,en faible quantité,3058,+1%,?,,3058 kj(731 kcal),-0%,82,+1%,60,+6%,"0,6",-12%,"0,6",-2%,"0,8",+13%,"0,05",-95%,"0,02",-95%,19,-17%,E,-17%,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,,"['Bretagne', 'France']","['FR 29.156.090 CE', 'Pencran (Finistère, France)', 'EMB 29103A', 'Landerneau (Finistère, France)']",2,,['Lait'],,,,,,
9,Biscottes - Grand Jury - 300g (34tranches),3245393405279,B,300 g (34 tranches),"['boîte', 'Carton', 'Plastique']",['Grand Jury'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",,"['Proxi', '8 à Huit']",['France'],"['Farine de blé 86 %', 'sucre', 'huile végétale de colza', 'levure', 'sel', 'gluten de blé', 'agent de traitement de la farine : acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",5 g,en quantité modérée,0.7 g,en faible quantité,6.5 g,en quantité modérée,1.1 g,en quantité modérée,?,,391,-1%,1636 kj(391 kcal),-1%,5,-25%,"0,7",-62%,74,+8%,"6,5",+11%,11,-7%,"1,1",-5%,"0,44",-5%,0,-100%,B,-100%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,['Point Vert'],,,4,['E300 - Acide ascorbique'],['Gluten'],,,,,,
10,Pâte à tarte brisée - Grand Jury - 230g,3245393409918,,230 g,['Plastique'],['Grand Jury'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'en:baked-shortcrust-pastry']",,"['Proxi', '8 à Huit']",['France'],"['Farine de blé', 'matières grasses végétales non hydrogénées ', 'graisse de palme', 'huile de colza', 'colorant : caroténoïdes', 'eau', 'alcool éthylique', 'sucre', 'sel', 'jus de citron concentré', 'agent de traitement de la farine : L-cystéine']","['Huile de palme', 'Végétalien', 'Végétarien']",23 g,en quantité élevée,10.7 g,en quantité élevée,2.8 g,en faible quantité,0.93 g,en quantité modérée,?,,415,+10%,1736 kj(415 kcal),+10%,23,+19%,"10,7",+9%,41,-4%,"2,8",+22%,"6,3",+6%,"0,93",-10%,"0,372",-10%,18,+12%,D,+12%,,,,,,,,"['Végétarien', 'Végétalien', 'Fabriqué en France']",['France'],,4,"['E160 - Caroténoïdes', 'E1510 - Éthanol', 'E920 - L-Cystéine et ses chlorhydrates']",['Gluten'],['Huile de palme'],,,,,
11,Menthe à l'arôme naturel de menthe - Grand Jury - 165g,3245393456189,E,165 g,"['Sachet', 'Plastique']",['Grand Jury'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons à la menthe']",,"['Proxi', '8 à Huit']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,69 g,en quantité élevée,,,?,,380,+2%,1590 kj(380 kcal),+4%,0,-100%,0,-100%,95,-1%,69,+11%,0,-100%,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,
12,Grand Jury,3245393468144,B,,,['Grand Jury'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature']",['France'],"['Proxi', '8 à Huit']",['France'],[],[],1 g,en faible quantité,0.7 g,en faible quantité,5.2 g,en quantité modérée,0.13 g,en faible quantité,?,,46,-36%,192 kj(46 kcal),-36%,1,-72%,"0,7",-70%,"5,2",+7%,"5,2",+17%,4,-3%,"0,13",+8%,"0,052",+8%,-1,-277%,A,-277%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,,,,,,,,,
13,15% - Grand Jury - 20cl,3245394189093,B,20 cl,"['Pot', 'Plastique', 'Frais']",['Grand Jury'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes légères']",['France'],"['Proxi', '8 à Huit']",['France'],"['Crème légère pasteurisée ', 'origine France', ' 97 %', 'amidons transformés de pomme de terre et de tapioca', 'épaississant : pectines', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",15 g,en quantité modérée,10 g,en quantité élevée,3.5 g,en faible quantité,0.08 g,en faible quantité,?,,170,+6%,711 kj(170 kcal),+7%,15,+6%,10,+6%,"6,3",+16%,"3,5",-10%,"2,5",-9%,"0,08",-26%,"0,032",-26%,11,+12%,D,+12%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,"['Lait Français', 'Point Vert', 'Tidy man']",['France'],"['FR 14.630.010 CE', 'Saint-Martin-des-Entrées (Calvados, France)', 'EMB 14630', 'Saint-Martin-des-Entrées (Calvados, France)']",4,"['E14XX - Amidons modifiés', 'E440 - Pectines']",['Lait'],,,,,,
14,Chocolat au Lait - Carrefour,3245395096116,,,,['Carrefour'],,,['Carrefour'],['France'],"['Sucre', 'beurre de cacao', 'poudre de lait écrémé du pays alpin 17%', 'pâte de cacao', 'lactosérum en poudre', 'matière grasse de lait anhydre', 'pâte de noisettes', 'émulsifiant : lécithines ', 'tournesol', 'arôme naturel de vanille', ' Cacao : 30% minimum', "" Peut contenir des traces d'autres fruits à coque et de gluten"", ' Conservation :']",['Non végétalien'],,,,,,,,,?,,536,,2243 kj(536 kcal),,31,,18,,55,,55,,"8,3",,"0,33",,"0,132",,,,,,,,,,,,,"['Point Vert', 'Fabriqué en France']",,"['EMB 66136', 'Perpignan (Pyrénées-Orientales, France)']",4,['E322i - Lécithine'],,,,,,,
15,Petits pois carottes à l’étuvée extra fins - Grand Jury - 800g,3245396598169,B,800 g,['Conserve'],"['Grand Jury', 'Carrefour']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",,"['Carrefour', 'Proxi', '8 à Huit']",['France'],"['légumes ', 'carottes 33%', 'petits pois 32%', 'eau', 'sucre', 'sel', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,3.2 g,en faible quantité,0.59 g,en quantité modérée,237,-0%,56,-3%,237 kj(56 kcal),-2%,"0,5",+1%,"0,1",-21%,"8,4",+3%,"3,2",-6%,"2,8",-9%,"0,59",+0%,"0,236",+0%,-5,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,,,4,,,,Petits pois carottes à l’étuvée,,,,
16,1 / 6 Pate De Foie de porc Grand Jury,3245397892600,,,,['Grand Jury'],"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie']",,,['France'],[],[],31.8 g,en quantité élevée,12.7 g,en quantité élevée,1.1 g,en faible quantité,1.72 g,en quantité élevée,?,,346,-3%,1448 kj(346 kcal),-1%,"31,8",-2%,"12,7",+3%,"3,4",+67%,"1,1",+36%,"11,4",0%,"1,72",+6%,"0,688",+6%,21,+4%,E,+4%,,,,,,,,['Fabriqué en France'],,,,,,,,,,,
17,Sirop de citron - Grand Jury - 75cl,3245397899081,B,75 cl,['Bidon'],['Grand Jury'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de citron']",,"['Proxi', '8 à Huit']",['France'],[],[],,,,,,,,,?,,293,+39%,1226 kj(293 kcal),+37%,1,+706%,"0,1",+187%,70,+34%,70,+41%,"0,6",+372%,~ 0,-100%,0,-100%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,,,,
18,Petit beurre chocolat au lait - Grand Jury - 150g,3245398472450,D,150 g,"['Carton', 'Plastique']",['Grand Jury'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Petits beurres', 'Biscuits tablette de chocolat', 'Petit beurre au chocolat', 'Biscuits au chocolat au lait', 'Biscuits tablette de chocolat au lait']",,"['Proxi', '8 à Huit']",['France'],[],[],22 g,en quantité élevée,14 g,en quantité élevée,40 g,en quantité élevée,0.75 g,en quantité modérée,?,,506,+1%,2117 kj(506 kcal),+1%,22,-7%,14,-3%,69,+8%,40,+8%,"6,8",+0%,"0,75",+32%,"0,3",+32%,27,+11%,E,+11%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,,,,
19,Rillettes pur porc - Grand Jury - 125g,3245398900922,C,125 g,['Conserve'],['Grand Jury'],"['Conserves', 'Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande rouge', 'Rillettes de porc']",['France'],"['Proxi', '8 à Huit']",['France'],"['Viande de porc 75,9%', 'gras de porc', ' sel', ' poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",45.5 g,en quantité élevée,17.2 g,en quantité élevée,0.2 g,en faible quantité,1.01 g,en quantité modérée,?,,467,+18%,1954 kj(467 kcal),+18%,"45,5",+24%,"17,2",+22%,"0,3",-41%,"0,2",-41%,14,-11%,"1,01",-21%,"0,404",-21%,19,-3%,E,-3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,"['Viande Française', 'Viande Porcine Française', 'Fabriqué en France']",['France'],,3,,,,,,,,
20,Petits pois à l'étuvée très fins - Grand Jury,3245399354823,B,,,['Grand Jury'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']",,"['Proxi', '8 à Huit']",['France'],"['Petits pois très fins', 'eau', 'sucre', 'sel', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0.9 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.53 g,en quantité modérée,?,,88,+16%,368 kj(88 kcal),+15%,"0,9",+30%,"0,2",+32%,11,+9%,"3,7",+12%,"5,8",+20%,"0,53",-5%,"0,212",-5%,-5,,A,,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,,,,4,,,,,,,,
21,Nectar Multifruits,3245411265472,D,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']",,,['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0 g,en faible quantité,?,,46,+10%,192 kj(46 kcal),+9%,0,-100%,0,-100%,11,+10%,11,+16%,0,-100%,0,-100%,0,-100%,15,+40%,E,+40%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,
22,Jambon supérieur sans couenne ( 4 tranches) - Carrefour - 180g (4tranches),3245411509903,C,180 g (4 tranches),"['Frais', 'Barquette', 'Plastique', 'Sous atmosphère protectrice']",['Carrefour'],"['Viandes', 'Charcuteries', 'Frais', 'Jambons', 'Porc', 'Jambons blancs']",['France'],['Carrefour'],['France'],"['jambon de porc frais', 'sel', 'dextrose de blé', 'arômes naturels', 'antioxydant: érythorbate de sodium', 'conservateur: nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4 g,en quantité modérée,1.3 g,en faible quantité,0.8 g,en faible quantité,1.78 g,en quantité élevée,502,-35%,?,,502 kj(120 kcal),-37%,4,-64%,"1,3",-70%,"0,8",-10%,"0,8",+30%,20,+1%,"1,778",-7%,"0,711",-7%,4,-64%,C,-64%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['Labels de distributeurs', 'Qualité Carrefour', 'Nourri sans OGM', 'Point Vert', 'Qualité supérieure', 'Viande-francaise', 'Viande-porcine-francaise', 'Eco-Emballages']","['Paul Prédault - 1 Avenue Marcel Cerdan', '95190 Goussainville', ""Val-d'Oise"", 'Île-de-France', 'France']","['FR 95.280.001 CE', ""Goussainville (Val-d'Oise, France)"", 'EMB 95280', ""Goussainville (Val-d'Oise, France)""]",4,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,Jambon cuit supérieur découenné dégraissé,,,,
23,Jambon supérieur fumé au bois de hêtre 4 tranches - Carrefour - 180g,3245411572235,C,180 g,"['Frais', 'Plastique']",['Carrefour'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambons blancs fumés']",['France'],"['Carrefour City', 'Carrefour']",['France'],"['Jambon de porc', 'couenne et gras de porc', 'eau', 'sel', 'dextrose de blé', 'sirop de glucose de blé', 'arômes', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",8 g,en quantité modérée,3.5 g,en quantité modérée,0.8 g,en faible quantité,2.03 g,en quantité élevée,650,+18%,?,,650 kj(155 kcal),+15%,8,+51%,"3,5",+71%,"0,8",-5%,"0,8",+22%,20,-2%,"2,032",+3%,"0,813",+3%,13,+62%,D,+62%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['Labels de distributeurs', 'Qualité Carrefour', 'Qualité supérieure', 'Viande-francaise', 'Viande-porcine-francaise']",['France'],"['FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)', 'EMB 14752B', 'Villers-Bocage (Calvados, France)']",4,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,Jambon cuit supérieur fumé avec couenne,,,,
24,"Pommes de terre de consommation bio Française Bio - 2,5Kg",3245411603236,A,"2,5 Kg","['emballage plastique', 'filet plastique']",['Française Bio'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Pommes de terre', 'Légumes frais', 'Pommes de terre Coquine']",['France'],['Carrefour'],['France'],"['Pommes de terre de consommation bio Variété Coquine', 'Catégorie 2', 'Calibre 30-60 mm']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Catégorie II', 'FR-BIO-01', 'Agriculture France']",['France'],"['EMB 41047', 'Chaussée-Saint-Victor (Loir-et-Cher, France)']",,,,,Pommes de terre de consommation bio,,,,
25,La Brique - Carrefour,3245411692872,D,,,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,['Carrefour'],['France'],[],[],32 g,en quantité élevée,23 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,356,+8%,1490 kj(356 kcal),+9%,32,+20%,23,+29%,1,-17%,"0,5",-33%,16,-22%,"1,4",+8%,"0,56",+8%,15,+9%,D,+9%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
26,Beaumanoir - Les Celliers des Terres de France - 75cl,3245411703028,B,75 cl,"['Bouteille', 'Verre']",['Les Celliers des Terres de France'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français']",['France'],['Carrefour'],['France'],['Contient sulfites'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Déconseillé aux femmes enceintes'],['France'],,3,,['Anhydride sulfureux et sulfites'],,,,,,
27,Pâtes d'Alsace IGP Nids - Carrefour - 250g,3245411819668,B,250 g,"['Sachet plastique', 'Sachet plastique à jeter']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes aux œufs', 'Pâtes sèches aux œufs', ""Pâtes d'Alsace"", 'Labeled products', 'Nids', ""Nids d'Alsace""]",,"['Carrefour', 'Dia']","['Belgique', 'France']","['Semoule de blé dur de qualité supérieure', 'œufs frais de poules élevées en plein air 30% ', 'soit 320 g par kilo de semoule']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4.6 g,en quantité modérée,1.2 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,1537,,363,+47%,1537 kj(363 kcal),+42%,"4,6",-75%,"1,2",-89%,64,+8310%,3,+596%,15,-8%,"0,1",-91%,"0,04",-91%,-3,-144%,A,-144%,63.3%,21.1%,6.6%,5.4%,2.9%,0.8%,75,"['Labels de distributeurs', 'IGP', 'Qualité Carrefour', 'Certifié par Certipaq', 'Fabriqué en France']","['Valfleuri Pâtes Alimentaires (VPA) - 5 Rue de la Charente - Zone Industrielle - 68270 Wittenheim', 'Haut-Rhin', 'Alsace', 'France']","['EMB 68376A', 'Wittenheim (Haut-Rhin, France)']",1,,"['Œufs', 'Gluten']",,Pâtes d'Alsace IGP - Pâtes alimentaires aux 7 œufs frais au kilo de semoule de blé dur.,Ces pâtes sont fabriquées en France à partir de blé dur de diverses origines et d'œufs de poules élevées en plein air en Union Européenne.,Fabriqué en France par EMB 68376 A pour Interdis.,http://courses.carrefour.fr/drive/tous-les-rayons/pates-nids-d-alsace-carrefour/PID1/154005/158815,
28,Emmental - Carrefour - 350gr,3245411911188,D,350gr,,['Carrefour'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals']",,['Carrefour'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
