,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,markets,additives,ingredients_origins,manufacturing,link,allergens,nova_score,generic_name,origin_detail,brand_owner,palm_ingredients,producer_info
938,Le Sprits,3118470210328,['France'],[],[],?,536,2243 kj(536 kcal),"30,5","15,7","59,4","27,1",5,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,"Affligem carmin bière 6,7°",3119780260881,['France'],[],[],?,54,226 kj(54 kcal),"0,6",0,"6,5","2,6","0,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,P'tits parapluies - Agidra,3120479093604,['France'],"['Poids net ò4etto ', 'ìessncllt Net A avant 01-2019 Suctvs de cacao', 'lait ctltler en poudre', 'cacao', 'lactose', 'protéine de lait', 'étntll:sitinnt :léclthine dans le de soja', 'cle vanille', "" 'Veneur en cacao : 310 elxocolAt lait"", 'Ili!tedients cocon butteu svhole milk coeoapnste', 'lactoses \'""il/\' proteins', 'erntllsifier: 31 00 nulk sorgileeithin', 'vnnilla-extraef Cocon ntltiv eixoeoiatev 7 litaten : /ilick*ers Kakaobutter', ' rollttlicltptlleer', 'latktose', ""'l Sojalg•cithitte"", 'tuitt ', ""'c produit contient et Init 'lihis product totis t' pes 'h This ttuts""]",['Non végétalien'],?,545,2280 kj(545 kcal),32,20,57,56,"6,1","0,2","0,08",['Agidra'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Clip en plastique'],,,,,,,['Lait'],4,,,,,
941,Griottines Coffret Peureux,3123020050866,['France'],"['griottes 53%', 'sucre', 'alcool 18,75 cl à 40% vol', ' dont 10% de Kirsch']",[],?,230,962 kj(230 kcal),"0,1","0,1",39,39,1,0,0,['Peureux'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,Mix tibétain - Bio Natur'Inov,3123456003610,['France'],"['/ Ingrediënten : raisins verts Khorog*', 'mûres blanches*', 'noix de cajou*', 'baies de Goji*', 'pistaches sauvages des montagnes*', 'berbéris*', 'raisins bruns Manucca avec graines comestibles* - en proportions variables ?-100% fruits - sans sucre ajouté']",[],?,403,1686 kj(403 kcal),"15,2","2,9","53,7","36,2","9,4",0,0,"[""Bio Natur'Inov""]","['Bio', 'Sans sucre ajouté']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,
943,Plateau raclette Saveurs des 3 Monts ENTREMONT,3123931281380,['France'],[],[],?,362,1515 kj(362 kcal),30,20,"0,5","0,5",23,"1,7","0,68",['Entremont'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Schweppes Indian Tonic - 50cl,3124480184689,['France'],"['Eau gazéifiée', 'sucre', 'acidifiant: acide citrique', 'arômes naturels', 'arôme : quinine', 'édulcorants : acésulfame K et sucralose']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,25,105 kj(25 kcal),0,0,"5,8","5,8",0,0,0,"['Schweppes', 'Orangina Schweppes']",['Point Vert'],,50 cl,"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Eau tonique', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,5.8 g,en quantité modérée,0 g,en faible quantité,,-11%,-9%,-100%,-100%,-12%,-8%,-100%,-100%,-100%,8,-11%,D,-11%,,,,,,,,"['Métal', 'Canette']",,,"['E330 - Acide citrique', 'E950 - Acésulfame K', 'E955 - Sucralose']",,,,,4,Boisson gazeuse rafraîchissante aux extraits d'écorces de quinquina et d'oranges amères.,,,,
945,Double concentré de tomate - Tomate Martin - 150g (140mL),3142951115017,['France'],[],[],?,93,389 kj(93 kcal),"0,2","0,06","15,5",14,"4,6","0,1","0,04",['Tomate Martin'],,B,150 g (140 mL),"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates', 'en:canned-double-concentrate-tomato-paste']",0.2 g,en faible quantité,0.06 g,en faible quantité,14 g,en quantité élevée,0.1 g,en faible quantité,,+1%,+1%,-68%,-59%,+3%,-1%,+0%,-85%,-85%,-8,,A,,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,,,,,,,,,,,,,,
946,Coulis de tomates - Louis Martin,3142951337013,['France'],[],[],?,39,163 kj(39 kcal),"0,2","0,08","6,2","5,8","1,8",1,"0,4",['Louis Martin'],,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Coulis de tomates']",0.2 g,en faible quantité,0.08 g,en faible quantité,5.8 g,en quantité modérée,1 g,en quantité modérée,,+3%,+6%,-18%,+135%,+1%,+14%,+13%,+159%,+159%,-1,,A,,22.8%,37.1%,17.7%,10.6%,8.4%,3.3%,96,,,,,,,,,,,,,,
947,TOMAT ENT PELEE JUS 1/2 - Louis martin,3142952105017,['France'],"['Tomates pelées', 'Jus dE TOMATES', 'SEI', 'Acide ciTRiQUE']",[],?,19,79 kj(19 kcal),"0,1",0,"2,7","2,7",1,"0,5","0,2",['Louis martin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E330 - Acide citrique'],,,,,,,,,,
