,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,ingredients_origins,brand_owner,palm_ingredients,origin_detail,producer_info
1621,Tetines,8437014212990,,,,,,,,,,,['France'],[],,[],,?,,382,,"0,7",,94,,"0,5",,,,,,,,,,,,,,,,,,1598 kj(382 kcal),,"0,3",,70,,"0,01",,"0,004",,,,,,,,,,,
1622,Bio organic - Milbona,20165215,,,,['composite-carton'],['Milbona'],,,,,,['France'],[],,[],,?,,24,,"1,2",,3,,"0,5",,,,,,,,,,,,,,,,,,100 kj(24 kcal),,"0,1",,"2,8",,"0,08",,"0,032",,,,,,,,,,,
1623,Assortiment de 6 Bahn Bao - Thiriet - 180g,3292590874575,,,180 g,,['Thiriet'],,,,,['Thiriet'],['France'],[],,[],,?,,195,,"3,6",,32,,"7,4",,,,,,,,,,,,,,,,,,816 kj(195 kcal),,"1,2",,"5,4",,"1,1",,"0,44",,,,,,,,,,,
1624,Beaujolais Villages,20265892,C,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Beaujolais Villages']",,,,,['France'],[],,[],,?,,?,,?,,?,,?,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,['France'],,,,
1625,Mmm ! - Auchan,3596710472642,,,,,['Auchan'],,,,,['Auchan'],['France'],[],,[],,?,,900,,100,,0,,0,,,,,,,,,,,,,,,,,,3766 kj(900 kcal),,15,,0,,0,,0,,,,,,,,,,,
1626,Mini toasts grilles,3273670003719,,,,,,,,,,,['France'],[],,[],,?,,345,,"5,5",,"61,2",,"10,2",,,,,,,,,,,,,,,,,,1443 kj(345 kcal),,"0,7",,"2,9",,"1,5",,"0,6",,,,,,,,,,,
1627,"Poitrine fumée au bois de hêtre, fines tranches x16 - Saint Alby",4056489133940,D,,,,['Saint Alby'],"['Viandes', 'Porc', 'Poitrine de porc', 'Poitrine de porc fumée']",,,,,['France'],[],,[],,?,,291,+2%,25,+1%,"0,5",-33%,16,+1%,85.4%,9.1%,2.4%,1.8%,1.0%,0.3%,36,,25 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,1218 kj(291 kcal),+2%,10,+4%,"0,5",+6%,"2,5",+20%,1,+20%,22,+9%,E,+9%,,,,,,
1628,Carrefour,20199210,,,,,,,,,,,['France'],[],,[],,?,,0,,?,,?,,?,,,,,,,,,,,,,,,,,,0 kj(0 kcal),,,,,,0,,0,,,,,,,,,,,
1629,Délice de brebis - Le Gall - 2x 100g,3252920037605,,,2 x 100 g,,"['Le Gall', 'Grandeur Nature']",,,,,,['France'],[],,[],,?,,130,,"9,9",,"5,4",,"4,8",,,,,,,,,,,,,,,,,,544 kj(130 kcal),,"7,4",,"2,8",,"0,1",,"0,04",,,,,,,,,,,
1630,Gin Tanqueray,5000281015286,C,,,,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Gins']",,,,,"['France', 'Espagne']",[],,[],,?,,0,,?,,?,,?,,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,0 kj(0 kcal),,,,,,0,,0,,,,,,,,,,,
1631,Canard sauce au foie gras et patate douce - 300g,3368822016102,,,300 g,,,,,,,,['France'],[],,[],,?,,96,,"4,8",,5,,"7,9",,,,,,,,,,,,,,,,,,402 kj(96 kcal),,"2,2",,"1,7",,"0,6",,"0,24",,,,,,,,,,,
1632,Jambon de dinde cuit au four - agrosnack - 150g,5411431119240,,,150g,,['Agrosnack'],['Charcuterie dinde'],"['Halal', 'en:Halal Food Council of Europe', 'Food concil of Europe']",,,['Framprix'],"['France', 'Royaume-Uni']",[],,[],,?,,123,,4,,"1,5",,20,,,,,,,,,,4 g,en quantité modérée,1.5 g,en quantité modérée,0.5 g,en faible quantité,2 g,en quantité élevée,515 kj(123 kcal),,"1,5",,"0,5",,2,,"0,8",,5,,C,,,,,,,
1633,Ditalini Lisci n° 69 - Savino pasta - 500g,3580281186695,,,500g,['Plastique'],"['Savino pasta', 'Savino']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",['Fabriqué en Italie'],,,,['France'],"['semoule de blé dur de qualité supérieure', "" Traces possibles d'oeuf et de soja""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,?,,348,+5%,"1,1",-58%,71,+15%,12,+3%,,,,,,,,,1.1 g,en faible quantité,0.1 g,en faible quantité,3.5 g,en faible quantité,0.01 g,en faible quantité,1456 kj(348 kcal),+5%,"0,1",-86%,"3,5",+26%,"0,01",-95%,"0,004",-95%,-1,,A,,,,,,,
1634,Crispy caramel bar,3662072027988,,,,,,,['en:gluten-free'],,,,['France'],[],,[],,?,,365,,"12,1",,"37,4",,"25,8",,,,,,,,,,,,,,,,,,1527 kj(365 kcal),,"7,8",,"14,1",,"0,8",,"0,32",,,,,,,,,,,
1635,Bio-Hafer-flocken Großblatt - SPAR Natur Pur - 500g,9100000441221,,,500g,,"['SPAR Natur Pur', 'Spar']",,,,,['Spar'],"['France', 'Allemagne']",[],,[],,?,,370,,7,,59,,13,,,,,,,,,,,,,,,,,,1548 kj(370 kcal),,"1,3",,"0,8",,"0,02",,"0,008",,,,,,,,,,,
